name,fh,sh,ob,cool,os,rec,slk,eh,tpx,slx,hr_global,nt,pnl,wr,dd
F15S60_O-20C-40O-70R-50K5_H240_TP30SL20,15,60,-20,-40,-70,-50,5,240,0.3,0.2,22.205726405090136,260,236.91177617707763,45.38461538461539,-552.2333728444323
F15S60_O-20C-40O-70R-50K5_H360_TP35SL20,15,60,-20,-40,-70,-50,5,360,0.35,0.2,23.690349946977733,256,72.43417343643932,40.625,-416.49912180923457
F15S60_O-10C-40O-70R-50K10_H360_TP30SL20,15,60,-10,-40,-70,-50,10,360,0.3,0.2,27.72384034519957,291,67.42639211154665,41.580756013745706,-431.9311159590957
F15S60_O-10C-40O-70R-50K10_H360_TP35SL15,15,60,-10,-40,-70,-50,10,360,0.35,0.15,21.208198489751886,192,53.720363695868855,35.41666666666667,-289.99519079032143
F15S60_O-20C-40O-70R-50K10_H240_TP30SL20,15,60,-20,-40,-70,-50,10,240,0.3,0.2,22.280008321198252,234,30.772883505530444,44.01709401709402,-390.19083029452895
F15S60_O-10C-40O-70R-50K5_H360_TP30SL20,15,60,-10,-40,-70,-50,5,360,0.3,0.2,27.3025596149639,304,30.348349407827754,42.10526315789473,-502.55543550461925
F15S60_O-20C-40O-70R-50K5_H360_TP30SL20,15,60,-20,-40,-70,-50,5,360,0.3,0.2,27.338282078472957,313,9.295762278775783,41.21405750798722,-754.4491821716624
F15S60_O-10C-40O-70R-50K10_H360_TP35SL20,15,60,-10,-40,-70,-50,10,360,0.35,0.2,24.099244875943903,238,0.19275906122220476,40.33613445378151,-515.4880185456277
F15S60_O-10C-40O-70R-50K5_H360_TP30SL15,15,60,-10,-40,-70,-50,5,360,0.3,0.15,24.064756070881646,270,-53.76642852777468,33.7037037037037,-567.1561966066583
F15S60_O-20C-40O-70R-50K10_H360_TP30SL15,15,60,-20,-40,-70,-50,10,360,0.3,0.15,24.318701893072603,263,-80.72587974632188,35.361216730038024,-571.8900936085665
F15S60_O-10C-40O-70R-50K5_H360_TP35SL20,15,60,-10,-40,-70,-50,5,360,0.35,0.2,23.736600306278714,253,-81.92739794983709,38.3399209486166,-426.18272837777886
F15S60_O-20C-40O-70R-50K5_H360_TP35SL15,15,60,-20,-40,-70,-50,5,360,0.35,0.15,20.848356309650057,221,-102.89500001097076,33.4841628959276,-465.6641652983044
F15S60_O-20C-40O-70R-50K10_H360_TP40SL20,15,60,-20,-40,-70,-50,10,360,0.4,0.2,20.719783648845432,204,-166.59231093232802,36.76470588235294,-596.3539550478254
F15S60_O-20C-40O-70R-50K10_H360_TP35SL20,15,60,-20,-40,-70,-50,10,360,0.35,0.2,24.006656958602036,259,-186.01681262039074,39.768339768339764,-606.1421744267382
F15S60_O-10C-40O-70R-50K10_H240_TP30SL20,15,60,-10,-40,-70,-50,10,240,0.3,0.2,22.351672060409925,237,-229.3051932053486,43.88185654008439,-600.9780867338868
F15S60_O-10C-40O-70R-50K5_H240_TP30SL20,15,60,-10,-40,-70,-50,5,240,0.3,0.2,22.24896084007876,229,-258.96889664014634,41.48471615720524,-739.2333550467083
F15S60_O-10C-40O-70R-50K10_H360_TP30SL15,15,60,-10,-40,-70,-50,10,360,0.3,0.15,24.35814455231931,247,-276.1449456440455,31.983805668016196,-594.9481467102191
F15S60_O-20C-40O-70R-50K5_H360_TP30SL15,15,60,-20,-40,-70,-50,5,360,0.3,0.15,24.11452810180276,280,-280.08644588428297,32.857142857142854,-500.6707311628443
F15S60_O-20C-40O-70R-50K10_H360_TP35SL15,15,60,-20,-40,-70,-50,10,360,0.35,0.15,21.135843561472853,223,-331.92273789603087,32.28699551569507,-572.2475262243884
F15S60_O-20C-40O-70R-50K10_H360_TP30SL20,15,60,-20,-40,-70,-50,10,360,0.3,0.2,27.647181194091942,298,-340.692860317783,37.919463087248324,-593.3164718753101
