name,pt,fh,sh,ob,cool,os,rec,slk,eh,tpx,slx,rr,hr_global,nt,pnl,wr,dd
F30S60_O-20C-40O-70R-50K10_H360_TP30SL20,0.4,30,60,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.932713590084106,227,322.95845858123903,41.409691629955944,-355.1107308109449
F60S90_O-20C-40O-70R-50K5_H360_TP30SL20,0.55,60,90,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,29.01498929336189,52,265.6404397000524,53.84615384615385,-106.8248076439595
F15S60_O-10C-40O-70R-50K10_H360_TP30SL20,0.5,15,60,-10,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.72384034519957,346,251.63960334086414,41.61849710982659,-476.90792313371776
F60S90_O-20C-40O-70R-50K5_H360_TP30SL15,0.45,60,90,-20,-40,-70,-50,5,360,0.3,0.15,2.0,25.802997858672377,56,246.17958286627345,50.0,-181.76151631661378
F60S90_O-20C-40O-70R-50K10_H360_TP30SL20,0.4,60,90,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,29.8876404494382,71,219.02647483499823,46.478873239436616,-96.1573852536576
F60S90_O-20C-40O-70R-50K5_H360_TP30SL15,0.4,60,90,-20,-40,-70,-50,5,360,0.3,0.15,2.0,25.802997858672377,61,218.95202396928107,47.540983606557376,-176.8280671775874
F30S60_O-20C-40O-70R-50K5_H360_TP30SL20,0.5,30,60,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,27.699530516431924,202,217.54839531307562,41.089108910891085,-351.339235134903
F60S90_O-20C-40O-70R-50K5_H360_TP30SL15,0.5,60,90,-20,-40,-70,-50,5,360,0.3,0.15,2.0,25.802997858672377,48,213.55994105061836,50.0,-151.77694720700583
F30S120_O-20C-40O-70R-50K5_H240_TP30SL20,0.55,30,120,-20,-40,-70,-50,5,240,0.3,0.2,1.4999999999999998,28.011611030478957,16,207.49859921123607,62.5,-22.5272394839958
F30S120_O-20C-40O-70R-50K5_H240_TP30SL20,0.5,30,120,-20,-40,-70,-50,5,240,0.3,0.2,1.4999999999999998,28.011611030478957,19,194.8231965876057,57.89473684210527,-35.98264210762591
F15S60_O-10C-40O-70R-50K10_H360_TP30SL20,0.55,15,60,-10,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.72384034519957,290,194.36489300066796,41.724137931034484,-329.83674585255585
F30S60_O-20C-40O-70R-50K5_H360_TP30SL20,0.4,30,60,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,27.699530516431924,285,188.14714783779118,40.70175438596491,-305.8736591469642
F15S120_O-10C-40O-70R-50K10_H360_TP30SL20,0.5,15,120,-10,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.542126670540384,111,165.42901421354918,42.34234234234234,-149.62149705015918
