pattern,fh,sh,eh,ob,cool,os,rec,slk,rob,ros,n_bars,tpx,slx,rr,pt,nt,pnl,wr,dd
F15S60,15,60,360,-5,-20,-40,-30,10,20,10,4108,0.6,0.25,2.4,0.45,100,1261.9147853268164,50.0,-517.4404077010977
F15S60,15,60,360,-5,-20,-40,-30,10,20,10,4108,0.6,0.25,2.4,0.4,121,1134.6515657880796,49.586776859504134,-489.8043118898577
F15S60,15,60,360,-5,-20,-40,-30,10,20,10,4108,0.55,0.25,2.2,0.4,152,1078.6210065738082,45.39473684210527,-281.8112815003842
F15S60,15,60,360,-5,-20,-40,-30,10,20,10,4108,0.65,0.25,2.6,0.4,97,1053.7830942106457,48.45360824742268,-298.6731132629184
F15S60,15,60,360,-5,-20,-40,-30,10,20,10,4108,0.55,0.25,2.2,0.45,129,1015.3985981298447,47.286821705426355,-217.4179591897746
F15S60,15,60,360,-5,-20,-40,-30,10,15,10,3523,0.65,0.25,2.6,0.4,82,966.095169554786,52.4390243902439,-130.1246346663538
F15S60,15,60,360,-5,-20,-40,-30,10,20,10,4108,0.6,0.3,2.0,0.45,98,925.4193400973531,51.02040816326531,-444.1600976600257
F15S60,15,60,360,-5,-20,-40,-30,10,15,10,3523,0.65,0.25,2.6,0.45,68,907.6665222444831,50.0,-197.79707215187454
F15S60,15,60,360,-5,-20,-40,-30,10,20,10,4108,0.65,0.25,2.6,0.45,77,870.5681897098029,48.05194805194805,-224.4539560983876
F15S60,15,60,360,-5,-20,-40,-30,10,15,10,3523,0.55,0.25,2.2,0.4,132,806.9336762458483,49.24242424242424,-311.4008410894576
F15S60,15,60,360,-5,-20,-40,-30,10,20,10,4108,0.6,0.3,2.0,0.4,117,798.647529306465,48.717948717948715,-636.3213649410995
F15S60,15,60,360,-5,-20,-40,-30,10,15,10,3523,0.55,0.25,2.2,0.45,113,786.4120064222188,51.32743362831859,-247.70630535161808
F15S60,15,60,360,-5,-20,-40,-30,10,15,10,3523,0.6,0.25,2.4,0.4,91,766.6755797863489,49.45054945054945,-265.378621018423
F15S60,15,60,360,-5,-20,-40,-30,10,20,10,4108,0.65,0.35,1.8571428571428574,0.45,79,763.360630025149,51.89873417721519,-243.42999010469703
F60S90,60,90,360,-5,-20,-40,-30,0,15,15,3256,0.55,0.25,2.2,0.4,93,745.6624951311414,48.38709677419355,-211.39108718930584
F15S60,15,60,360,-5,-30,-40,-30,10,15,15,4457,0.6,0.15,4.0,0.45,101,692.8606250366101,36.633663366336634,-122.44402836552763
F15S60,15,60,360,-5,-30,-40,-30,0,15,10,3358,0.65,0.25,2.6,0.4,80,676.8808093595981,56.25,-148.02807003893304
