pattern,fh,sh,ob,cool,os,rec,slk,eh,tpx,slx,rr,pt,hr_full,nt,pnl,wr,dd
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.15,2.3333333333333335,0.4,21.01806239737274,378,339.13531688755893,32.27513227513227,-532.2870510401426
F30S120,30,120,-20,-40,-70,-50,5,240,0.4,0.15,2.666666666666667,0.4,21.54696132596685,19,211.16696911562394,42.10526315789473,-42.14034080671445
F30S120,30,120,-20,-40,-70,-50,5,240,0.35,0.15,2.3333333333333335,0.45,22.65193370165746,17,194.35212473741922,47.05882352941176,-46.35131278463541
F30S120,30,120,-20,-40,-70,-50,5,240,0.35,0.15,2.3333333333333335,0.5,22.65193370165746,17,194.35212473741922,47.05882352941176,-46.35131278463541
F30S120,30,120,-20,-40,-70,-50,5,240,0.35,0.15,2.3333333333333335,0.4,22.65193370165746,19,193.35280343979412,47.368421052631575,-64.83063408226008
F30S120,30,120,-20,-40,-70,-50,5,240,0.35,0.15,2.3333333333333335,0.55,22.65193370165746,14,180.1753680344973,50.0,-31.908989424274296
F30S120,30,120,-20,-40,-70,-50,5,240,0.4,0.2,2.0,0.5,22.375690607734807,15,179.60134443050174,46.666666666666664,-51.274667256785506
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.2,2.0,0.4,20.320197044334975,352,178.6762537173663,37.5,-537.3820804079396
F30S120,30,120,-20,-40,-70,-50,5,240,0.4,0.2,2.0,0.4,22.375690607734807,22,175.1942493230572,50.0,-41.214667256785106
F30S120,30,120,-20,-40,-70,-50,5,240,0.35,0.2,1.7499999999999998,0.5,24.03314917127072,17,169.80294891228277,52.94117647058824,-75.26290336642342
F15S120,15,120,-10,-40,-70,-50,10,360,0.4,0.2,2.0,0.5,21.372767857142858,75,164.54391120022,41.333333333333336,-163.36719000477478
F30S120,30,120,-20,-40,-70,-50,5,240,0.4,0.15,2.666666666666667,0.45,21.54696132596685,14,163.15511185985724,35.714285714285715,-33.67898942427382
F30S120,30,120,-20,-40,-70,-50,5,240,0.35,0.2,1.7499999999999998,0.55,24.03314917127072,15,149.8438688489996,53.333333333333336,-75.26290336642342
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,0.4,23.76847290640394,399,146.90290417038796,38.59649122807017,-646.1050174289753
F30S120,30,120,-20,-40,-70,-50,5,240,0.35,0.2,1.7499999999999998,0.4,24.03314917127072,24,146.19197822677233,50.0,-80.09290336642334
F30S120,30,120,-20,-40,-70,-50,5,240,0.4,0.2,2.0,0.45,22.375690607734807,19,136.72329868005454,47.368421052631575,-39.664667256784924
F15S120,15,120,-10,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,0.4,19.587053571428573,92,122.51751595139694,31.521739130434785,-89.91642089219295
F15S120,15,120,-10,-40,-70,-50,10,360,0.4,0.2,2.0,0.45,21.372767857142858,87,107.86387894644031,40.229885057471265,-176.89642764917608
F15S120,15,120,-10,-40,-70,-50,10,360,0.35,0.15,2.3333333333333335,0.55,22.600446428571427,61,91.30876905388732,32.78688524590164,-134.21133685123596
F30S120,30,120,-20,-40,-70,-50,5,240,0.35,0.2,1.7499999999999998,0.45,24.03314917127072,20,90.82387628269134,45.0,-80.09290336642334
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.2,1.7499999999999998,0.55,24.848484848484848,39,83.04725582429046,43.58974358974359,-132.03913698666474
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.15,2.3333333333333335,0.55,22.424242424242426,40,79.0167622474587,42.5,-175.97227490341174
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.2,2.0,0.5,20.320197044334975,250,72.2449322056732,37.6,-429.8682713141525
F30S60,30,60,-20,-40,-70,-50,10,360,0.4,0.2,2.0,0.4,20.142977291841884,159,61.14009023989729,35.22012578616352,-269.31345861778755
F30S120,30,120,-20,-40,-70,-50,5,240,0.4,0.15,2.666666666666667,0.55,21.54696132596685,10,60.47047077668958,30.0,-29.574742256766513
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.15,2.3333333333333335,0.45,21.01806239737274,324,58.958236195284826,32.407407407407405,-539.5518627326201
F15S120,15,120,-10,-40,-70,-50,10,360,0.4,0.2,2.0,0.55,21.372767857142858,70,55.08706519687394,38.57142857142858,-183.45057888789052
F15S120,15,120,-10,-40,-70,-50,10,360,0.35,0.15,2.3333333333333335,0.5,22.600446428571427,73,52.745554715067556,32.87671232876712,-154.9427884701713
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.15,2.666666666666667,0.55,21.11111111111111,27,44.591586353660205,37.03703703703704,-145.78010646009534
F15S120,15,120,-10,-40,-70,-50,10,360,0.4,0.2,2.0,0.4,21.372767857142858,103,41.530199952528164,38.83495145631068,-192.12934688888208
F30S120,30,120,-20,-40,-70,-50,5,240,0.4,0.2,2.0,0.55,22.375690607734807,12,40.898720203328594,33.33333333333333,-51.274667256785506
F30S120,30,120,-20,-40,-70,-50,5,240,0.4,0.15,2.666666666666667,0.5,21.54696132596685,12,36.98087509977995,25.0,-42.551408320679
F30S60,30,60,-20,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,0.45,24.053826745164002,183,34.19706345049599,38.79781420765027,-323.30730689880147
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.15,2.666666666666667,0.5,21.11111111111111,34,26.246098436904504,35.294117647058826,-173.917995226725
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.15,2.3333333333333335,0.5,22.424242424242426,44,25.59118693557548,40.909090909090914,-231.2878502152953
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,0.45,18.041871921182263,278,6.755262955121452,31.654676258992804,-485.36825962109106
