pattern,fh,sh,ob,cool,os,rec,slk,eh,tpx,slx,rr,pt,nt,pnl,wr,dd
F15S60,15,60,-10,-40,-70,-50,10,360,0.65,0.35,1.8571428571428574,0.4,125,599.8680066364041,48.8,-290.0006891490616
F15S60,15,60,-10,-40,-70,-50,10,360,0.7,0.15,4.666666666666667,0.4,76,539.182979293726,39.473684210526315,-143.6771961466211
F60S90,60,90,-20,-40,-70,-50,5,360,0.45,0.25,1.8,0.4,59,536.3637773809537,54.23728813559322,-125.64575832102764
F15S60,15,60,-10,-40,-70,-50,10,360,0.7,0.15,4.666666666666667,0.45,57,493.8081144500279,40.35087719298245,-108.10267439931431
F15S60,15,60,-10,-40,-70,-50,10,360,0.7,0.2,3.4999999999999996,0.5,54,493.40754586145977,46.2962962962963,-141.90323735080983
F60S90,60,90,-20,-40,-70,-50,5,360,0.6,0.3,2.0,0.4,38,470.62898629238,52.63157894736842,-140.4630278688296
F60S90,60,90,-20,-40,-70,-50,5,360,0.6,0.25,2.4,0.45,28,463.49762854772416,64.28571428571429,-83.73289467467384
F15S60,15,60,-10,-40,-70,-50,10,360,0.7,0.2,3.4999999999999996,0.4,72,455.7957194407418,43.05555555555556,-196.57307182156
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.15,4.0,0.45,141,452.34559972475563,32.62411347517731,-178.74055356091048
F15S60,15,60,-10,-40,-70,-50,10,360,0.7,0.2,3.4999999999999996,0.45,62,443.3718607146111,43.54838709677419,-141.90323735080983
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.15,4.0,0.4,167,422.29088364029485,32.33532934131736,-195.2656266187123
F60S90,60,90,-20,-40,-70,-50,5,360,0.6,0.35,1.7142857142857144,0.4,38,421.4257366640495,52.63157894736842,-157.77186584696756
F60S90,60,90,-20,-40,-70,-50,5,360,0.6,0.25,2.4,0.5,22,412.0453021072317,68.18181818181817,-83.73289467467384
F15S60,15,60,-10,-40,-70,-50,10,360,0.65,0.15,4.333333333333334,0.5,63,402.1389648136201,33.33333333333333,-107.62180065879056
F15S60,15,60,-10,-40,-70,-50,10,360,0.65,0.15,4.333333333333334,0.4,105,394.0657939822963,33.33333333333333,-110.68347487880965
