fast_h,slow_h,ob,cool,os,rec,slk,exec_h,tp_x,sl_x,rr,bars,pos,hr,tp$,sl$,score
15,60,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,4807,1329,27.647181194091946,24.890120357855416,16.593413571903614,1328
15,60,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,4715,1289,27.338282078472957,24.814577420446824,16.543051613631217,1289
15,60,-10,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,4635,1285,27.72384034519957,24.816062750790717,16.54404183386048,1285
15,60,-10,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,4571,1248,27.3025596149639,24.685294985110794,16.456863323407195,1247
15,60,-20,-40,-70,-50,10,360,0.3,0.15,2.0,4807,1169,24.318701893072603,24.890120357855416,12.445060178927708,1169
15,60,-20,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,4807,1154,24.006656958602036,29.03847375083132,16.593413571903614,1153
15,60,-20,-40,-70,-50,5,360,0.3,0.15,2.0,4715,1137,24.114528101802758,24.814577420446824,12.407288710223412,1137
15,60,-10,-40,-70,-50,10,360,0.3,0.15,2.0,4635,1129,24.35814455231931,24.816062750790717,12.408031375395359,1129
15,60,-20,-40,-70,-50,5,360,0.35,0.2,1.7499999999999998,4715,1117,23.690349946977733,28.950340323854626,16.543051613631217,1117
15,60,-10,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,4635,1117,24.099244875943903,28.95207320925584,16.54404183386048,1116
15,60,-10,-40,-70,-50,5,360,0.3,0.15,2.0,4571,1100,24.064756070881646,24.685294985110794,12.342647492555397,1100
15,60,-10,-40,-70,-50,5,360,0.35,0.2,1.7499999999999998,4571,1085,23.736600306278714,28.799510815962584,16.456863323407195,1085
15,60,-20,-40,-70,-50,10,240,0.3,0.2,1.4999999999999998,4807,1071,22.280008321198252,24.890120357855416,16.593413571903614,1071
15,60,-20,-40,-70,-50,5,240,0.3,0.2,1.4999999999999998,4715,1047,22.205726405090136,24.814577420446824,16.543051613631217,1046
15,60,-10,-40,-70,-50,10,240,0.3,0.2,1.4999999999999998,4635,1036,22.351672060409925,24.816062750790717,16.54404183386048,1036
15,60,-10,-40,-70,-50,5,240,0.3,0.2,1.4999999999999998,4571,1017,22.24896084007876,24.685294985110794,16.456863323407195,1017
15,60,-20,-40,-70,-50,10,360,0.35,0.15,2.3333333333333335,4807,1016,21.135843561472853,29.03847375083132,12.445060178927708,1016
15,60,-20,-40,-70,-50,10,360,0.4,0.2,2.0,4807,996,20.719783648845432,33.18682714380723,16.593413571903614,995
15,60,-20,-40,-70,-50,5,360,0.35,0.15,2.3333333333333335,4715,983,20.848356309650054,28.950340323854626,12.407288710223412,983
15,60,-10,-40,-70,-50,10,360,0.35,0.15,2.3333333333333335,4635,983,21.208198489751886,28.95207320925584,12.408031375395359,983
15,60,-20,-40,-70,-50,5,360,0.4,0.2,2.0,4715,966,20.48780487804878,33.086103227262434,16.543051613631217,966
15,60,-20,-40,-70,-50,10,240,0.3,0.15,2.0,4807,963,20.033284793010196,24.890120357855416,12.445060178927708,963
15,60,-10,-40,-70,-50,10,360,0.4,0.2,2.0,4635,960,20.711974110032365,33.08808366772096,16.54404183386048,960
15,60,-10,-40,-70,-50,5,360,0.35,0.15,2.3333333333333335,4571,955,20.892583679719973,28.799510815962584,12.342647492555397,955
15,60,-20,-40,-70,-50,5,240,0.3,0.15,2.0,4715,940,19.936373276776244,24.814577420446824,12.407288710223412,939
15,60,-10,-40,-70,-50,5,360,0.4,0.2,2.0,4571,939,20.542550864143514,32.91372664681439,16.456863323407195,939
15,60,-10,-40,-70,-50,10,240,0.3,0.15,2.0,4635,932,20.10787486515642,24.816062750790717,12.408031375395359,932
15,60,-10,-40,-70,-50,5,240,0.3,0.15,2.0,4571,913,19.973747538831766,24.685294985110794,12.342647492555397,913
15,60,-20,-40,-70,-50,10,240,0.35,0.2,1.7499999999999998,4807,883,18.36904514250052,29.03847375083132,16.593413571903614,883
15,60,-20,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,4807,881,18.32743915123778,33.18682714380723,12.445060178927708,881
15,60,-20,-40,-70,-50,5,240,0.35,0.2,1.7499999999999998,4715,865,18.345705196182397,28.950340323854626,16.543051613631217,865
15,60,-10,-40,-70,-50,10,240,0.35,0.2,1.7499999999999998,4635,860,18.554476806903992,28.95207320925584,16.54404183386048,860
15,60,-20,-40,-70,-50,5,360,0.4,0.15,2.666666666666667,4715,855,18.133616118769883,33.086103227262434,12.407288710223412,855
15,60,-10,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,4635,849,18.31715210355987,33.08808366772096,12.408031375395359,849
15,60,-10,-40,-70,-50,5,240,0.35,0.2,1.7499999999999998,4571,846,18.507985123605337,28.799510815962584,16.456863323407195,846
15,60,-10,-40,-70,-50,5,360,0.4,0.15,2.666666666666667,4571,831,18.179829359002404,32.91372664681439,12.342647492555397,830
15,60,-20,-40,-70,-50,10,240,0.35,0.15,2.3333333333333335,4807,803,16.704805491990847,29.03847375083132,12.445060178927708,803
15,90,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,2752,795,28.888081395348834,25.017486848417025,16.67832456561135,794
15,60,-20,-40,-70,-50,5,240,0.35,0.15,2.3333333333333335,4715,788,16.712619300106045,28.950340323854626,12.407288710223412,788
15,60,-10,-40,-70,-50,10,240,0.35,0.15,2.3333333333333335,4635,783,16.893203883495143,28.95207320925584,12.408031375395359,782
