dx,rx,tpx,slx,rr,pt,n_pat,nt,pnl,wr,dd
0.3,0.12,0.65,0.4,1.625,0.45,32746,124,766.4363012554031,45.16129032258064,-279.2594119211726
0.4,0.15,0.55,0.35,1.5714285714285716,0.5,17244,78,672.7648641447336,46.15384615384615,-246.6440728695652
0.3,0.12,0.65,0.4,1.625,0.5,32746,112,655.4875136376754,46.42857142857143,-322.96941192117265
0.4,0.1,0.65,0.3,2.166666666666667,0.45,20155,82,628.0698415016923,46.34146341463415,-143.4398621109449
0.3,0.1,0.55,0.25,2.2,0.45,35476,191,606.8356591382735,37.17277486910995,-415.3196319943263
0.3,0.12,0.65,0.3,2.166666666666667,0.45,32746,125,594.2292442255366,42.4,-179.29518393050785
0.3,0.12,0.6,0.4,1.4999999999999998,0.5,32746,135,553.1783787555778,40.0,-298.88725106382935
0.4,0.15,0.55,0.35,1.5714285714285716,0.45,17244,84,528.9135511008494,44.047619047619044,-235.0940390376527
0.3,0.15,0.7,0.3,2.3333333333333335,0.5,28636,97,523.1150618961592,37.11340206185567,-335.14880557280594
0.5,0.12,0.65,0.35,1.8571428571428574,0.5,11205,34,511.0758183758162,47.05882352941176,-185.31895271337726
0.3,0.1,0.6,0.25,2.4,0.5,35476,172,509.57458705582667,35.46511627906977,-249.09517743368906
0.4,0.12,0.55,0.35,1.5714285714285716,0.5,19149,79,506.91788962091823,44.303797468354425,-161.3845080923602
0.3,0.12,0.65,0.35,1.8571428571428574,0.45,32746,123,499.1724915916666,39.02439024390244,-213.06272136512507
0.5,0.12,0.65,0.4,1.625,0.45,11205,33,497.88732653969464,45.45454545454545,-176.10516189275768
0.3,0.15,0.6,0.3,2.0,0.5,28636,115,492.3565313810459,41.73913043478261,-285.59914908715564
0.5,0.1,0.6,0.35,1.7142857142857144,0.5,11678,37,492.35067382501757,48.64864864864865,-182.84288917125286
0.3,0.12,0.7,0.3,2.3333333333333335,0.45,32746,110,490.24905106251526,33.63636363636363,-447.4701988729239
0.5,0.12,0.55,0.4,1.375,0.45,11205,47,481.0225814822538,48.93617021276596,-162.72848466551932
0.5,0.1,0.55,0.25,2.2,0.45,11678,45,478.037336470622,42.22222222222222,-174.95694128077412
0.4,0.12,0.55,0.3,1.8333333333333335,0.5,19149,85,476.56825103289566,42.35294117647059,-249.85496224600774
0.5,0.15,0.6,0.35,1.7142857142857144,0.45,10282,36,474.8472173674645,47.22222222222222,-131.7170496310846
0.5,0.12,0.65,0.35,1.8571428571428574,0.45,11205,35,474.4105670739532,40.0,-185.31895271337726
0.5,0.12,0.55,0.4,1.375,0.5,11205,43,472.29061518574827,48.837209302325576,-162.72848466551932
0.5,0.12,0.55,0.35,1.5714285714285716,0.45,11205,46,455.101095798816,43.47826086956522,-188.52616060163882
0.5,0.12,0.55,0.35,1.5714285714285716,0.5,11205,40,453.9351650660806,45.0,-196.21594093455587
0.4,0.12,0.55,0.3,1.8333333333333335,0.45,19149,90,453.7574832820628,45.55555555555556,-243.60581381519023
0.3,0.15,0.7,0.3,2.3333333333333335,0.45,28636,103,432.2389203859925,37.86407766990291,-276.73972772662273
0.4,0.1,0.65,0.3,2.166666666666667,0.5,20155,76,431.9157311989711,44.73684210526316,-227.53307659229313
0.3,0.1,0.55,0.3,1.8333333333333335,0.5,35476,170,431.60130394768566,40.588235294117645,-430.72524752145273
0.5,0.1,0.6,0.4,1.4999999999999998,0.5,11678,36,421.0275914734493,47.22222222222222,-209.5827495107642
0.3,0.12,0.55,0.3,1.8333333333333335,0.5,32746,150,417.3607185600954,38.0,-388.57882656615857
0.3,0.12,0.55,0.25,2.2,0.45,32746,176,414.9631912480959,36.36363636363637,-418.011562868076
0.5,0.1,0.7,0.3,2.3333333333333335,0.5,11678,26,414.2981210887074,50.0,-145.67249715024445
0.4,0.15,0.7,0.35,2.0,0.45,17244,57,410.6058873414131,43.859649122807014,-154.49527693377422
0.3,0.15,0.7,0.25,2.8,0.45,28636,110,408.2044780229362,33.63636363636363,-248.0803275323451
0.3,0.15,0.65,0.25,2.6,0.45,28636,118,405.2965032815173,35.59322033898305,-194.0476826914528
0.3,0.12,0.6,0.4,1.4999999999999998,0.45,32746,151,404.0939518435266,40.397350993377486,-358.9844458131529
0.3,0.1,0.6,0.35,1.7142857142857144,0.5,35476,147,399.78124449467987,42.17687074829932,-409.99504492221513
0.5,0.15,0.55,0.25,2.2,0.45,10282,38,397.9647613629477,42.10526315789473,-164.4248809618921
0.3,0.12,0.7,0.4,1.7499999999999998,0.45,32746,114,390.2135622232536,37.719298245614034,-262.32856806896416
0.3,0.1,0.7,0.4,1.7499999999999998,0.45,35476,117,384.8760154992692,38.46153846153847,-253.25201081691057
0.5,0.1,0.6,0.35,1.7142857142857144,0.45,11678,40,382.22747411108,45.0,-146.90136054020513
0.5,0.12,0.6,0.35,1.7142857142857144,0.45,11205,42,380.2029478703789,42.857142857142854,-155.2272353897788
0.3,0.15,0.65,0.25,2.6,0.5,28636,109,378.055226114026,36.69724770642202,-144.007461598203
0.5,0.12,0.6,0.4,1.4999999999999998,0.45,11205,39,376.30926056365524,43.58974358974359,-162.76516189275753
0.3,0.12,0.55,0.25,2.2,0.5,32746,152,375.56808186710714,36.84210526315789,-317.3954256364914
0.3,0.12,0.65,0.3,2.166666666666667,0.5,32746,108,373.8597917478978,37.96296296296296,-256.6088041516132
0.4,0.1,0.55,0.3,1.8333333333333335,0.5,20155,96,370.770014435368,40.625,-222.27164465934266
0.5,0.1,0.65,0.35,1.8571428571428574,0.45,11678,38,370.58957007569234,42.10526315789473,-225.35299642143127
0.4,0.1,0.55,0.35,1.5714285714285716,0.45,20155,102,367.49504505506593,45.09803921568628,-263.684190544338
0.3,0.1,0.6,0.3,2.0,0.5,35476,157,363.2118011102207,39.490445859872615,-383.0732039050454
0.4,0.12,0.6,0.35,1.7142857142857144,0.5,19149,76,358.2924298931125,44.73684210526316,-143.29750560869024
0.5,0.12,0.55,0.3,1.8333333333333335,0.45,11205,45,357.9618798939746,46.666666666666664,-198.23685541065515
0.4,0.1,0.65,0.35,1.8571428571428574,0.45,20155,74,355.480955190666,44.5945945945946,-252.92622101521647
0.5,0.1,0.6,0.25,2.4,0.5,11678,45,353.4298112462061,37.77777777777778,-226.41448335631685
0.5,0.15,0.6,0.35,1.7142857142857144,0.5,10282,33,352.7217753447435,48.484848484848484,-131.7170496310846
0.3,0.12,0.65,0.35,1.8571428571428574,0.5,32746,110,349.43259418990874,41.81818181818181,-255.07215703830389
0.3,0.15,0.6,0.25,2.4,0.45,28636,135,348.08792300220375,30.37037037037037,-291.3626091623378
0.5,0.12,0.6,0.3,2.0,0.45,11205,40,345.331308320855,40.0,-234.9324513801257
0.3,0.12,0.7,0.25,2.8,0.5,32746,94,344.1661849599741,30.851063829787233,-328.1954210383992
0.4,0.1,0.55,0.3,1.8333333333333335,0.45,20155,104,339.26413774673665,40.38461538461539,-262.2075213479734
0.5,0.1,0.7,0.3,2.3333333333333335,0.45,11678,29,332.95027203589234,41.37931034482759,-206.01848765134946
0.5,0.1,0.65,0.35,1.8571428571428574,0.5,11678,35,331.47280047983304,48.57142857142857,-183.48790746558007
0.5,0.12,0.6,0.35,1.7142857142857144,0.5,11205,37,329.81339120670873,43.24324324324324,-182.79895271337773
0.5,0.1,0.55,0.25,2.2,0.5,11678,42,328.1199802256833,38.095238095238095,-186.22625367553746
0.4,0.12,0.55,0.35,1.5714285714285716,0.45,19149,89,326.58391504147266,39.325842696629216,-227.74331538942533
0.3,0.12,0.7,0.4,1.7499999999999998,0.5,32746,101,325.773546104283,36.633663366336634,-272.93540643403685
