h,tpx,slx,rr,pt,hr_mask,nt,pnl,wr,dd,n_cycles
480,0.55,0.25,2.2,0.4,22.2,258,1236.9,38.4,-396.5,27
480,0.55,0.25,2.2,0.45,22.2,242,1221.9,39.7,-369.2,27
240,0.5,0.25,2.0,0.4,12.2,186,1080.0,43.0,-294.7,26
360,0.45,0.25,1.8,0.4,23.7,327,1062.7,41.6,-590.7,27
360,0.6,0.25,2.4,0.4,13.0,145,1040.0,40.7,-191.5,27
240,0.6,0.25,2.4,0.4,8.2,85,1027.0,48.2,-89.7,26
240,0.6,0.2,3.0,0.4,8.2,88,989.8,43.2,-112.6,26
360,0.45,0.25,1.8,0.45,23.7,307,983.1,41.7,-588.3,27
480,0.55,0.1,5.5,0.5,22.2,358,982.7,20.7,-223.9,27
480,0.35,0.25,1.4,0.4,42.2,519,969.4,38.3,-750.8,27
480,0.6,0.25,2.4,0.5,18.7,200,958.9,38.0,-342.0,27
360,0.45,0.2,2.25,0.45,23.7,332,958.2,37.0,-541.7,27
480,0.55,0.2,2.75,0.45,22.2,264,941.2,34.1,-295.4,27
240,0.6,0.15,4.0,0.4,8.2,94,940.7,38.3,-109.7,26
360,0.45,0.15,3.0,0.4,23.7,404,940.2,30.9,-673.9,27
360,0.45,0.2,2.25,0.4,23.7,358,932.4,36.9,-549.5,27
480,0.55,0.12,4.58,0.45,22.2,341,932.1,23.8,-319.0,27
480,0.55,0.12,4.58,0.5,22.2,315,920.7,23.5,-263.8,27
240,0.5,0.2,2.5,0.4,12.2,201,920.3,36.8,-332.8,26
480,0.35,0.2,1.75,0.4,42.2,575,915.8,33.4,-729.8,27
480,0.55,0.1,5.5,0.45,22.2,389,909.4,20.6,-349.9,27
240,0.6,0.12,5.0,0.4,8.2,106,909.2,33.0,-104.9,26
360,0.35,0.2,1.75,0.5,35.6,489,908.9,36.8,-479.8,27
480,0.55,0.2,2.75,0.4,22.2,286,907.8,33.2,-355.4,27
360,0.45,0.12,3.75,0.4,23.7,457,905.1,26.5,-648.4,27
360,0.45,0.12,3.75,0.45,23.7,428,901.8,26.9,-567.6,27
240,0.6,0.1,6.0,0.4,8.2,117,893.6,28.2,-104.1,26
480,0.55,0.1,5.5,0.4,22.2,422,890.0,20.1,-412.3,27
360,0.6,0.2,3.0,0.4,13.0,156,885.7,34.6,-158.9,27
360,0.6,0.25,2.4,0.5,13.0,124,874.7,38.7,-209.0,27
480,0.55,0.12,4.58,0.4,22.2,373,870.0,23.3,-436.7,27
360,0.7,0.25,2.8,0.4,9.1,92,867.2,43.5,-259.7,27
480,0.35,0.25,1.4,0.5,42.2,494,866.7,39.1,-636.7,27
480,0.6,0.25,2.4,0.45,18.7,209,865.0,37.3,-342.0,27
480,0.5,0.25,2.0,0.5,26.5,279,851.7,38.0,-396.5,27
240,0.5,0.25,2.0,0.45,12.2,169,843.3,42.0,-401.2,26
480,0.35,0.25,1.4,0.45,42.2,500,841.2,39.2,-689.6,27
240,0.6,0.25,2.4,0.45,8.2,78,836.1,46.2,-89.7,26
480,0.6,0.2,3.0,0.5,18.7,216,832.1,33.3,-330.1,27
240,0.6,0.2,3.0,0.45,8.2,80,823.1,42.5,-112.6,26
240,0.35,0.25,1.4,0.5,25.3,340,812.6,43.8,-695.6,27
360,0.6,0.25,2.4,0.45,13.0,138,808.4,37.7,-241.0,27
240,0.55,0.2,2.75,0.4,10.0,154,807.0,41.6,-202.6,26
480,0.55,0.25,2.2,0.5,22.2,227,802.9,37.0,-342.0,27
480,0.55,0.15,3.67,0.4,22.2,323,798.5,27.9,-520.1,27
480,0.55,0.15,3.67,0.45,22.2,299,795.2,28.4,-413.9,27
240,0.55,0.25,2.2,0.45,10.0,130,794.3,46.2,-175.4,26
360,0.45,0.15,3.0,0.45,23.7,377,781.3,30.8,-611.6,27
240,0.5,0.15,3.33,0.4,12.2,225,777.9,30.7,-305.1,26
480,0.35,0.2,1.75,0.5,42.2,551,776.0,33.9,-651.0,27
240,0.6,0.1,6.0,0.45,8.2,107,764.5,28.0,-104.1,26
240,0.55,0.2,2.75,0.45,10.0,139,764.3,41.7,-139.2,26
240,0.55,0.25,2.2,0.4,10.0,143,763.9,45.5,-292.3,26
240,0.55,0.15,3.67,0.4,10.0,172,763.5,34.3,-170.9,26
180,0.45,0.2,2.25,0.45,11.4,178,760.4,41.6,-350.3,26
240,0.6,0.12,5.0,0.45,8.2,96,760.0,32.3,-100.0,26
240,0.5,0.2,2.5,0.5,12.2,166,756.4,38.6,-426.1,26
480,0.45,0.2,2.25,0.45,31.6,388,756.4,32.5,-485.3,27
480,0.55,0.15,3.67,0.5,22.2,276,754.6,27.5,-331.2,27
240,0.5,0.12,4.17,0.4,12.2,259,752.2,24.7,-302.7,26
240,0.5,0.25,2.0,0.5,12.2,157,747.1,42.7,-423.7,26
120,0.35,0.25,1.4,0.5,12.7,239,744.8,51.0,-474.2,26
360,0.6,0.12,5.0,0.4,13.0,200,741.7,24.0,-205.5,27
180,0.6,0.1,6.0,0.45,5.5,97,740.8,29.9,-126.4,26
360,0.6,0.15,4.0,0.4,13.0,177,738.0,28.2,-193.3,27
240,0.6,0.25,2.4,0.5,8.2,72,734.7,45.8,-89.7,26
360,0.45,0.2,2.25,0.5,23.7,304,731.5,36.2,-517.5,27
240,0.5,0.2,2.5,0.45,12.2,184,727.9,37.0,-449.8,26
240,0.6,0.15,4.0,0.45,8.2,86,727.9,36.0,-93.7,26
360,0.35,0.2,1.75,0.45,35.6,520,721.7,36.3,-531.2,27
240,0.35,0.2,1.75,0.5,25.3,369,721.6,39.3,-605.9,27
120,0.35,0.25,1.4,0.4,12.7,305,716.6,50.5,-506.9,26
360,0.7,0.25,2.8,0.45,9.1,84,706.7,40.5,-271.9,27
240,0.55,0.12,4.58,0.45,10.0,173,706.6,28.9,-146.8,26
240,0.55,0.15,3.67,0.45,10.0,157,706.3,34.4,-126.9,26
180,0.45,0.2,2.25,0.4,11.4,193,706.0,40.9,-350.3,26
180,0.45,0.2,2.25,0.5,11.4,155,704.6,41.9,-380.6,26
120,0.35,0.25,1.4,0.45,12.7,269,703.1,50.6,-517.8,26
240,0.55,0.12,4.58,0.4,10.0,198,701.9,28.3,-188.8,26
180,0.35,0.25,1.4,0.5,19.3,305,700.9,47.5,-675.7,26
180,0.6,0.2,3.0,0.4,5.5,79,700.4,46.8,-242.4,26
480,0.6,0.2,3.0,0.45,18.7,228,699.4,32.0,-359.4,27
480,0.5,0.2,2.5,0.5,26.5,306,699.3,32.7,-447.9,27
180,0.6,0.2,3.0,0.45,5.5,72,698.0,45.8,-162.3,26
360,0.6,0.15,4.0,0.5,13.0,146,692.3,28.8,-166.4,27
180,0.45,0.25,1.8,0.4,11.4,184,692.2,45.1,-409.3,26
180,0.35,0.2,1.75,0.5,19.3,331,690.4,43.2,-588.9,26
360,0.45,0.12,3.75,0.5,23.7,388,689.9,25.5,-529.5,27
480,0.45,0.25,1.8,0.45,31.6,347,689.4,36.0,-517.5,27
180,0.6,0.15,4.0,0.45,5.5,79,685.0,39.2,-175.7,26
360,0.6,0.2,3.0,0.5,13.0,134,682.5,33.6,-220.0,27
360,0.55,0.25,2.2,0.45,15.4,192,682.2,40.1,-475.8,27
360,0.4,0.25,1.6,0.5,29.3,349,679.4,41.0,-541.0,27
240,0.5,0.1,5.0,0.4,12.2,286,678.4,21.3,-256.6,26
360,0.6,0.2,3.0,0.45,13.0,149,678.2,33.6,-186.7,27
480,0.35,0.2,1.75,0.45,42.2,562,673.5,33.8,-729.8,27
360,0.7,0.25,2.8,0.5,9.1,75,673.0,40.0,-294.1,27
240,0.55,0.1,5.5,0.45,10.0,195,670.1,23.1,-208.4,26
240,0.6,0.2,3.0,0.5,8.2,73,663.1,41.1,-112.6,26
360,0.6,0.1,6.0,0.4,13.0,224,662.7,19.6,-205.6,27
180,0.6,0.1,6.0,0.4,5.5,106,662.2,29.2,-169.9,26
360,0.35,0.25,1.4,0.5,35.6,451,660.3,40.6,-591.3,27
480,0.7,0.25,2.8,0.4,12.8,153,658.0,38.6,-342.0,27
240,0.5,0.12,4.17,0.5,12.2,213,657.7,25.8,-406.7,26
480,0.6,0.25,2.4,0.4,18.7,224,654.3,36.2,-394.1,27
360,0.7,0.2,3.5,0.4,9.1,99,652.4,37.4,-271.9,27
360,0.45,0.25,1.8,0.5,23.7,281,651.9,40.2,-588.3,27
