run_id,window,horizon,trend_threshold,min_15m_drop,min_15m_rise,stage1_min_prob,stage2_min_prob,return_code,elapsed_s,status,trades,n_days,total_pnl,avg_trade,avg_day,positive_days_pct,stage1_balanced_accuracy,stage2_balanced_accuracy,score
w150_h30_thr0.012_d15_r15_p10.6_p20.7,150,30,0.012,15.0,15.0,0.6,0.7,0,47.7,OK,60,19,326.84999999999764,5.447499999999961,17.202631578947244,52.63157894736842,0.5658704733913064,0.7352941176470589,1588.4599071207408
w150_h25_thr0.008_d15_r15_p10.6_p20.6,150,25,0.008,15.0,15.0,0.6,0.6,0,40.89,OK,137,25,539.9899999999998,3.9415328467153268,21.59959999999999,52.0,0.606976911786584,0.5198598130841121,1579.849813084112
w150_h30_thr0.012_d15_r15_p10.6_p20.6,150,30,0.012,15.0,15.0,0.6,0.6,0,50.77,OK,61,19,313.4999999999982,5.139344262295052,16.499999999999904,47.368421052631575,0.5701372951103172,0.75,1537.184210526314
w150_h30_thr0.012_d15_r15_p10.6_p20.65,150,30,0.012,15.0,15.0,0.6,0.65,0,49.44,OK,60,19,318.869999999999,5.314499999999983,16.782631578947313,47.368421052631575,0.5664231612129336,0.7352941176470589,1527.8483281733736
w150_h30_thr0.008_d15_r15_p10.6_p20.6,150,30,0.008,15.0,15.0,0.6,0.6,0,46.54,OK,128,23,419.4900000000007,3.2772656250000054,18.23869565217394,56.52173913043478,0.5944099323587904,0.524888888888889,1509.5962801932374
w150_h30_thr0.006_d15_r15_p10.6_p20.65,150,30,0.006,15.0,15.0,0.6,0.65,0,45.12,OK,178,34,511.85999999999876,2.875617977528083,15.054705882352906,50.0,0.60172145322682,0.48594691617888763,1497.8069161788865
w150_h25_thr0.008_d15_r15_p10.6_p20.7,150,25,0.008,15.0,15.0,0.6,0.7,0,39.33,OK,128,25,462.7500000000018,3.615234375000014,18.510000000000073,52.0,0.5904845753784979,0.5107936507936508,1493.5436507936527
w150_h30_thr0.008_d15_r15_p10.6_p20.65,150,30,0.008,15.0,15.0,0.6,0.65,0,42.38,OK,126,23,364.5600000000022,2.893333333333351,15.850434782608792,56.52173913043478,0.5867524950785182,0.5359474389019083,1465.7248302062583
w150_h30_thr0.008_d15_r15_p10.6_p20.7,150,30,0.008,15.0,15.0,0.6,0.7,0,42.16,OK,122,22,326.88999999999487,2.6794262295081546,14.85863636363613,54.54545454545454,0.577551723372174,0.5351361013227108,1407.480646777251
w150_h25_thr0.012_d15_r15_p10.6_p20.65,150,25,0.012,15.0,15.0,0.6,0.65,0,44.73,OK,54,14,295.29999999999654,5.468518518518454,21.092857142856897,42.857142857142854,0.5830858361205152,0.6633064516129032,1387.1778801843284
