signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl
0,2026-02-04T15:35:00+00:00,2026-02-04T15:35:00+00:00,2026-02-04T16:00:00+00:00,0,down,4911.0,4914.92,-3.9200000000000728
26,2026-02-04T16:01:00+00:00,2026-02-04T16:01:00+00:00,2026-02-04T16:26:00+00:00,0,down,4918.04,4910.75,7.289999999999964
53,2026-02-04T16:28:00+00:00,2026-02-04T16:28:00+00:00,2026-02-04T16:53:00+00:00,0,down,4920.77,4900.33,20.44000000000051
79,2026-02-04T16:54:00+00:00,2026-02-04T16:54:00+00:00,2026-02-04T17:19:00+00:00,0,down,4901.5,4908.23,-6.729999999999563
105,2026-02-04T17:20:00+00:00,2026-02-04T17:20:00+00:00,2026-02-04T17:45:00+00:00,0,down,4910.27,4900.0,10.270000000000437
131,2026-02-04T17:46:00+00:00,2026-02-04T17:46:00+00:00,2026-02-04T18:11:00+00:00,2,up,4899.27,4909.73,10.459999999999127
157,2026-02-04T18:12:00+00:00,2026-02-04T18:12:00+00:00,2026-02-04T18:37:00+00:00,2,up,4908.39,4920.73,12.339999999999236
183,2026-02-04T18:38:00+00:00,2026-02-04T18:38:00+00:00,2026-02-04T19:03:00+00:00,2,up,4912.02,4929.64,17.61999999999989
213,2026-02-04T19:08:00+00:00,2026-02-04T19:08:00+00:00,2026-02-04T19:33:00+00:00,2,up,4941.25,4932.37,-8.88000000000011
239,2026-02-04T19:34:00+00:00,2026-02-04T19:34:00+00:00,2026-02-04T19:59:00+00:00,2,up,4931.63,4942.0,10.36999999999989
270,2026-02-04T20:05:00+00:00,2026-02-04T20:05:00+00:00,2026-02-04T20:30:00+00:00,2,up,4938.21,4918.67,-19.539999999999964
302,2026-02-04T20:37:00+00:00,2026-02-04T20:37:00+00:00,2026-02-04T21:02:00+00:00,0,down,4939.68,4940.85,-1.1700000000000728
331,2026-02-04T21:06:00+00:00,2026-02-04T21:06:00+00:00,2026-02-04T21:31:00+00:00,2,up,4949.98,4953.38,3.4000000000005457
