signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
141,2026-04-01T00:26:00+00:00,2026-04-01T00:27:00+00:00,2026-04-01T00:36:00+00:00,2,up,4717.49,4705.49,-12.0,0.9950415681089901,0.999858177631415,0,141,2026-04-01T00:51:00+00:00,4711.61,stop_loss
176,2026-04-01T01:01:00+00:00,2026-04-01T01:02:00+00:00,2026-04-01T01:26:00+00:00,2,up,4701.82,4703.02,1.2000000000007276,0.9925776166786185,0.9925776166786185,0,176,2026-04-01T01:26:00+00:00,4703.02,timeout
363,2026-04-01T07:02:00+00:00,2026-04-01T07:03:00+00:00,2026-04-01T07:15:00+00:00,2,up,4727.75,4715.75,-12.0,0.9999297690570403,0.99986120622389,3,369,2026-04-01T07:33:00+00:00,4734.79,stop_loss
398,2026-04-01T07:37:00+00:00,2026-04-01T07:38:00+00:00,2026-04-01T07:44:00+00:00,2,up,4743.12,4731.12,-12.0,0.998170395328224,0.9986112913912387,1,399,2026-04-01T08:03:00+00:00,4725.32,stop_loss
413,2026-04-01T07:52:00+00:00,2026-04-01T07:53:00+00:00,2026-04-01T08:20:00+00:00,2,up,4713.5,4727.52,14.020000000000437,0.9978289661747834,0.9825561857457552,2,416,2026-04-01T08:20:00+00:00,4727.52,timeout
635,2026-04-01T14:01:00+00:00,2026-04-01T14:02:00+00:00,2026-04-01T14:30:00+00:00,2,up,4737.5,4742.92,5.420000000000073,0.999989861235786,0.9999909554396109,3,639,2026-04-01T14:30:00+00:00,4742.92,timeout
818,2026-04-01T18:24:00+00:00,2026-04-01T18:25:00+00:00,2026-04-01T18:38:00+00:00,2,up,4755.73,4743.73,-12.0,0.9092195349770313,0.8872144361089747,0,818,2026-04-01T18:49:00+00:00,4756.42,stop_loss
832,2026-04-01T18:38:00+00:00,2026-04-01T18:39:00+00:00,2026-04-01T19:04:00+00:00,2,up,4742.56,4758.23,15.669999999999163,0.9664148887643764,0.8376629805008483,1,833,2026-04-01T19:04:00+00:00,4758.23,timeout
984,2026-04-02T00:04:00+00:00,2026-04-02T00:05:00+00:00,2026-04-02T00:42:00+00:00,2,up,4781.21,4792.89,11.680000000000291,0.9940146227743617,0.9985644805074827,1,997,2026-04-02T00:42:00+00:00,4792.89,timeout
1022,2026-04-02T00:42:00+00:00,2026-04-02T00:43:00+00:00,2026-04-02T01:03:00+00:00,2,up,4792.54,4780.54,-12.0,0.9971967286917447,0.9971967286917447,0,1022,2026-04-02T01:07:00+00:00,4730.63,stop_loss
1046,2026-04-02T01:19:00+00:00,2026-04-02T01:20:00+00:00,2026-04-02T01:21:00+00:00,2,up,4727.02,4725.54,-1.480000000000473,0.8844490613434577,0.8844490613434577,0,1046,2026-04-02T01:44:00+00:00,4689.82,reverse_signal
1048,2026-04-02T01:21:00+00:00,2026-04-02T01:22:00+00:00,2026-04-02T01:25:00+00:00,2,up,4719.3,4707.3,-12.0,0.8882230415041766,0.9392563430441782,1,1051,2026-04-02T01:49:00+00:00,4697.54,stop_loss
1052,2026-04-02T01:25:00+00:00,2026-04-02T01:26:00+00:00,2026-04-02T01:26:00+00:00,2,up,4701.52,4689.52,-12.0,0.5234834629562606,0.5234834629562606,0,1052,2026-04-02T01:50:00+00:00,4705.98,stop_loss
1053,2026-04-02T01:26:00+00:00,2026-04-02T01:27:00+00:00,2026-04-02T01:31:00+00:00,2,up,4689.32,4677.32,-12.0,0.7939296980660793,0.9444142573453755,0,1053,2026-04-02T01:51:00+00:00,4710.45,stop_loss
1058,2026-04-02T01:31:00+00:00,2026-04-02T01:32:00+00:00,2026-04-02T02:07:00+00:00,2,up,4672.9,4701.5,28.600000000000364,0.9826749146454351,0.9998906161771521,1,1069,2026-04-02T02:07:00+00:00,4701.5,target_hit
1098,2026-04-02T02:11:00+00:00,2026-04-02T02:12:00+00:00,2026-04-02T02:36:00+00:00,2,up,4679.76,4667.76,-12.0,0.9998607672047927,0.9780003905392564,4,1121,2026-04-02T02:59:00+00:00,4687.17,stop_loss
1123,2026-04-02T02:36:00+00:00,2026-04-02T02:37:00+00:00,2026-04-02T03:01:00+00:00,2,up,4664.41,4682.5,18.090000000000146,0.9783735381165042,0.736485773750552,0,1123,2026-04-02T03:01:00+00:00,4682.5,timeout
1165,2026-04-02T03:18:00+00:00,2026-04-02T03:19:00+00:00,2026-04-02T03:43:00+00:00,2,up,4692.73,4689.85,-2.8799999999991996,0.9997310270512331,0.9997310270512331,0,1165,2026-04-02T03:43:00+00:00,4689.85,timeout
