signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
35,2025-11-25T17:12:00+00:00,2025-11-25T17:12:00+00:00,2025-11-28T05:24:00+00:00,0,down,4149.73,4167.73,-18.0,0.8369544929400946,0.8369544929400946,0,35,2025-11-25T17:37:00+00:00,4157.11,stop_loss
44,2025-11-28T05:25:00+00:00,2025-11-28T05:25:00+00:00,2025-11-28T08:10:00+00:00,2,up,4186.02,4171.02,-15.0,0.9999710253183033,0.9999710253183033,0,44,2025-11-28T05:50:00+00:00,4185.23,stop_loss
62,2025-11-28T08:11:00+00:00,2025-11-28T08:11:00+00:00,2025-11-28T08:21:00+00:00,0,down,4176.7,4160.98,15.720000000000255,0.7748409221348712,0.7748409221348712,0,62,2025-11-28T09:24:00+00:00,4161.04,reverse_signal
72,2025-11-28T08:22:00+00:00,2025-11-28T08:22:00+00:00,2025-11-28T09:34:00+00:00,2,up,4166.2,4165.93,-0.26999999999952706,0.6330375367372452,0.6330375367372452,0,72,2025-11-28T09:34:00+00:00,4165.93,timeout
212,2025-12-01T14:44:00+00:00,2025-12-01T14:44:00+00:00,2025-12-01T15:00:00+00:00,0,down,4225.32,4243.32,-18.0,0.9989849705653979,0.9989066842450679,1,213,2025-12-01T15:10:00+00:00,4236.38,stop_loss
307,2025-12-02T01:09:00+00:00,2025-12-02T01:09:00+00:00,2025-12-02T01:36:00+00:00,2,up,4206.61,4217.09,10.480000000000473,0.9836467907070899,0.7416459357528944,2,309,2025-12-02T01:36:00+00:00,4217.09,target_hit
515,2025-12-05T16:11:00+00:00,2025-12-05T16:11:00+00:00,2025-12-05T16:12:00+00:00,0,down,4213.94,4213.78,0.15999999999985448,0.7254416001387238,0.7254416001387238,0,515,2025-12-05T16:36:00+00:00,4214.13,reverse_signal
519,2025-12-05T16:15:00+00:00,2025-12-05T16:15:00+00:00,2025-12-05T16:45:00+00:00,0,down,4207.14,4210.26,-3.119999999999891,0.9257354931866731,0.9710118742112516,2,524,2025-12-05T16:45:00+00:00,4210.26,timeout
660,2025-12-10T20:04:00+00:00,2025-12-10T20:04:00+00:00,2025-12-10T20:29:00+00:00,0,down,4223.77,4232.7,-8.929999999999382,0.999830960941071,0.999830960941071,0,660,2025-12-10T20:29:00+00:00,4232.7,timeout
945,2025-12-12T15:25:00+00:00,2025-12-12T15:25:00+00:00,2025-12-12T16:00:00+00:00,0,down,4309.4,4291.79,17.609999999999673,0.9960766786237101,0.975562054713852,10,976,2025-12-12T16:21:00+00:00,4273.72,reverse_signal
981,2025-12-12T16:01:00+00:00,2025-12-12T16:01:00+00:00,2025-12-12T16:28:00+00:00,2,up,4284.17,4291.08,6.9099999999998545,0.7087861575046144,0.7497549124411109,2,983,2025-12-12T16:28:00+00:00,4291.08,target_hit
1019,2025-12-12T16:39:00+00:00,2025-12-12T16:39:00+00:00,2025-12-12T16:48:00+00:00,2,up,4266.54,4278.53,11.989999999999782,0.9921131788299395,0.7983274781728316,1,1020,2025-12-12T17:05:00+00:00,4278.76,reverse_signal
1029,2025-12-12T16:49:00+00:00,2025-12-12T16:49:00+00:00,2025-12-12T17:14:00+00:00,0,down,4278.63,4273.72,4.9099999999998545,0.7569345839307827,0.7569345839307827,0,1029,2025-12-12T17:14:00+00:00,4273.72,target_hit
1550,2025-12-18T17:14:00+00:00,2025-12-18T17:14:00+00:00,2025-12-18T17:39:00+00:00,2,up,4328.67,4337.37,8.699999999999818,0.999324589174397,0.9968612467273015,0,1550,2025-12-18T17:39:00+00:00,4337.37,target_hit
1954,2025-12-24T03:01:00+00:00,2025-12-24T03:01:00+00:00,2025-12-24T03:05:00+00:00,2,up,4482.21,4484.53,2.319999999999709,0.9920586304360474,0.9920586304360474,0,1954,2025-12-24T03:26:00+00:00,4491.14,reverse_signal
2243,2025-12-29T00:23:00+00:00,2025-12-29T00:23:00+00:00,2025-12-29T01:00:00+00:00,0,down,4495.64,4494.58,1.0600000000004002,0.8857929928820664,0.8492171001370044,4,2255,2025-12-29T01:00:00+00:00,4494.58,target_hit
