signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
43,2025-11-28T05:24:00+00:00,2025-11-28T05:25:00+00:00,2025-11-28T08:10:00+00:00,2,up,4184.21,4169.21,-15.0,0.9999464636999146,0.9999464636999146,0,43,2025-11-28T05:49:00+00:00,4185.49,stop_loss
71,2025-11-28T08:21:00+00:00,2025-11-28T08:22:00+00:00,2025-11-28T09:33:00+00:00,2,up,4168.47,4164.58,-3.8900000000003274,0.6478501647535485,0.6478501647535485,0,71,2025-11-28T09:33:00+00:00,4164.58,timeout
218,2025-12-01T14:50:00+00:00,2025-12-01T14:51:00+00:00,2025-12-01T15:15:00+00:00,0,down,4236.99,4225.66,11.329999999999927,0.9986608267108882,0.9986608267108882,0,218,2025-12-01T15:15:00+00:00,4225.66,target_hit
307,2025-12-02T01:09:00+00:00,2025-12-02T01:10:00+00:00,2025-12-02T01:34:00+00:00,0,down,4206.06,4214.98,-8.919999999999163,0.6330241530084577,0.7275605126505736,0,307,2025-12-02T01:34:00+00:00,4214.98,timeout
516,2025-12-05T16:12:00+00:00,2025-12-05T16:13:00+00:00,2025-12-05T16:37:00+00:00,0,down,4212.94,4215.31,-2.3700000000008004,0.5662680169415526,0.5662680169415526,0,516,2025-12-05T16:37:00+00:00,4215.31,timeout
951,2025-12-12T15:31:00+00:00,2025-12-12T15:32:00+00:00,2025-12-12T15:48:00+00:00,0,down,4311.47,4320.08,-8.609999999999673,0.9995338853399575,0.7316573531990794,3,964,2025-12-12T16:09:00+00:00,4276.89,reverse_signal
970,2025-12-12T15:50:00+00:00,2025-12-12T15:51:00+00:00,2025-12-12T15:59:00+00:00,0,down,4313.46,4286.18,27.279999999999745,0.8235735413583849,0.9900904483430016,2,973,2025-12-12T16:18:00+00:00,4282.14,reverse_signal
979,2025-12-12T15:59:00+00:00,2025-12-12T16:00:00+00:00,2025-12-12T16:21:00+00:00,2,up,4290.04,4275.04,-15.0,0.8755527659415002,0.99965835438817,4,983,2025-12-12T16:28:00+00:00,4291.08,stop_loss
1001,2025-12-12T16:21:00+00:00,2025-12-12T16:22:00+00:00,2025-12-12T16:43:00+00:00,0,down,4273.88,4259.2,14.680000000000291,0.8508452103530477,0.8508452103530477,0,1001,2025-12-12T16:46:00+00:00,4271.84,reverse_signal
1023,2025-12-12T16:43:00+00:00,2025-12-12T16:44:00+00:00,2025-12-12T17:11:00+00:00,2,up,4268.25,4276.07,7.819999999999709,0.9985122167417702,0.9898695754383688,1,1026,2025-12-12T17:11:00+00:00,4276.07,target_hit
