signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
35,2025-11-25T17:12:00+00:00,2025-11-25T17:13:00+00:00,2025-11-28T05:24:00+00:00,0,down,4149.76,4167.76,-18.0,0.9588100325557174,0.9588100325557174,0,35,2025-11-25T17:37:00+00:00,4157.11,stop_loss
44,2025-11-28T05:25:00+00:00,2025-11-28T05:26:00+00:00,2025-11-28T08:10:00+00:00,2,up,4186.02,4171.02,-15.0,0.9999733257074801,0.9999733257074801,0,44,2025-11-28T05:50:00+00:00,4185.23,stop_loss
71,2025-11-28T08:21:00+00:00,2025-11-28T08:22:00+00:00,2025-11-28T09:33:00+00:00,2,up,4168.47,4164.58,-3.8900000000003274,0.6478501647535485,0.6478501647535485,0,71,2025-11-28T09:33:00+00:00,4164.58,timeout
138,2025-11-28T14:43:00+00:00,2025-11-28T14:44:00+00:00,2025-11-28T15:08:00+00:00,2,up,4198.81,4193.31,-5.5,0.9999356893741667,0.9999356893741667,0,138,2025-11-28T15:08:00+00:00,4193.31,timeout
218,2025-12-01T14:50:00+00:00,2025-12-01T14:51:00+00:00,2025-12-01T15:15:00+00:00,0,down,4236.99,4225.66,11.329999999999927,0.9985472058677021,0.9985472058677021,0,218,2025-12-01T15:15:00+00:00,4225.66,target_hit
308,2025-12-02T01:10:00+00:00,2025-12-02T01:11:00+00:00,2025-12-02T01:12:00+00:00,2,up,4206.11,4204.32,-1.7899999999999636,0.6320724203300689,0.6320724203300689,0,308,2025-12-02T01:35:00+00:00,4217.0,reverse_signal
310,2025-12-02T01:12:00+00:00,2025-12-02T01:13:00+00:00,2025-12-02T01:37:00+00:00,0,down,4205.14,4216.16,-11.019999999999527,0.799411353924589,0.799411353924589,0,310,2025-12-02T01:37:00+00:00,4216.16,timeout
950,2025-12-12T15:30:00+00:00,2025-12-12T15:31:00+00:00,2025-12-12T15:48:00+00:00,0,down,4304.88,4320.08,-15.199999999999818,0.999701305773247,0.9403888092563961,7,965,2025-12-12T16:10:00+00:00,4276.82,reverse_signal
968,2025-12-12T15:48:00+00:00,2025-12-12T15:49:00+00:00,2025-12-12T15:59:00+00:00,0,down,4319.06,4286.18,32.88000000000011,0.9511043858401027,0.8792805057168965,2,976,2025-12-12T16:21:00+00:00,4273.72,reverse_signal
981,2025-12-12T16:01:00+00:00,2025-12-12T16:02:00+00:00,2025-12-12T16:22:00+00:00,2,up,4283.99,4273.88,-10.109999999999673,0.9257516154975141,0.9969136515100914,2,983,2025-12-12T16:28:00+00:00,4291.08,reverse_signal
1004,2025-12-12T16:24:00+00:00,2025-12-12T16:25:00+00:00,2025-12-12T16:39:00+00:00,2,up,4282.89,4267.89,-15.0,0.9571488920654209,0.9571488920654209,0,1004,2025-12-12T16:49:00+00:00,4278.63,stop_loss
1022,2025-12-12T16:42:00+00:00,2025-12-12T16:43:00+00:00,2025-12-12T17:11:00+00:00,2,up,4259.2,4276.07,16.86999999999989,0.9969737271464724,0.8731634104406627,1,1026,2025-12-12T17:11:00+00:00,4276.07,target_hit
1952,2025-12-24T02:59:00+00:00,2025-12-24T03:00:00+00:00,2025-12-24T03:05:00+00:00,2,up,4478.91,4479.09,0.18000000000029104,0.9973437104624437,0.9416621688266592,2,1956,2025-12-24T03:28:00+00:00,4492.11,reverse_signal
1958,2025-12-24T03:05:00+00:00,2025-12-24T03:06:00+00:00,2025-12-24T03:30:00+00:00,0,down,4484.64,4492.36,-7.719999999999345,0.8891958268922509,0.8891958268922509,0,1958,2025-12-24T03:30:00+00:00,4492.36,timeout
2243,2025-12-29T00:23:00+00:00,2025-12-29T00:24:00+00:00,2025-12-29T00:52:00+00:00,0,down,4495.65,4499.38,-3.730000000000473,0.6581331448980141,0.733803832334222,4,2254,2025-12-29T00:59:00+00:00,4497.88,reverse_signal
2281,2025-12-29T01:01:00+00:00,2025-12-29T01:02:00+00:00,2025-12-29T01:27:00+00:00,0,down,4499.05,4497.6,1.449999999999818,0.988125862234417,0.9389977227189975,1,2282,2025-12-29T01:27:00+00:00,4497.6,target_hit
2412,2025-12-29T07:03:00+00:00,2025-12-29T07:04:00+00:00,2025-12-29T07:36:00+00:00,2,up,4452.34,4479.21,26.86999999999989,0.9198018668657825,0.9994536373207962,5,2420,2025-12-29T07:36:00+00:00,4479.21,target_hit
2568,2025-12-29T11:44:00+00:00,2025-12-29T11:45:00+00:00,2025-12-29T12:09:00+00:00,2,up,4453.09,4455.29,2.199999999999818,0.9928254888887041,0.9928254888887041,0,2568,2025-12-29T12:09:00+00:00,4455.29,target_hit
2623,2025-12-29T13:42:00+00:00,2025-12-29T13:43:00+00:00,2025-12-29T13:46:00+00:00,2,up,4428.02,4425.02,-3.0,0.7950490239112449,0.7950490239112449,0,2623,2025-12-29T14:07:00+00:00,4392.03,reverse_signal
2633,2025-12-29T13:52:00+00:00,2025-12-29T13:53:00+00:00,2025-12-29T14:05:00+00:00,2,up,4413.48,4398.48,-15.0,0.8690391178594122,0.9958142154128071,0,2633,2025-12-29T14:17:00+00:00,4403.43,stop_loss
