signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
43,2025-11-28T05:24:00+00:00,2025-11-28T05:24:00+00:00,2025-11-28T08:10:00+00:00,2,up,4184.1,4169.1,-15.0,0.9999537815968705,0.9999937165945322,0,43,2025-11-28T05:49:00+00:00,4185.49,stop_loss
62,2025-11-28T08:11:00+00:00,2025-11-28T08:11:00+00:00,2025-11-28T09:24:00+00:00,0,down,4176.7,4161.04,15.659999999999854,0.9206261642903485,0.9206261642903485,0,62,2025-11-28T09:24:00+00:00,4161.04,target_hit
218,2025-12-01T14:50:00+00:00,2025-12-01T14:50:00+00:00,2025-12-01T15:15:00+00:00,0,down,4236.97,4225.66,11.3100000000004,0.9996090998142714,0.9996090998142714,0,218,2025-12-01T15:15:00+00:00,4225.66,target_hit
307,2025-12-02T01:09:00+00:00,2025-12-02T01:09:00+00:00,2025-12-02T01:34:00+00:00,0,down,4206.61,4214.98,-8.36999999999989,0.7985515168271298,0.8499590282112597,0,307,2025-12-02T01:34:00+00:00,4214.98,timeout
515,2025-12-05T16:11:00+00:00,2025-12-05T16:11:00+00:00,2025-12-05T16:40:00+00:00,0,down,4213.94,4212.54,1.3999999999996362,0.7861342179582472,0.9987256441271045,1,519,2025-12-05T16:40:00+00:00,4212.54,target_hit
950,2025-12-12T15:30:00+00:00,2025-12-12T15:30:00+00:00,2025-12-12T15:47:00+00:00,0,down,4304.89,4320.1,-15.210000000000036,0.9995379970559352,0.8312278352499624,6,965,2025-12-12T16:10:00+00:00,4276.82,reverse_signal
968,2025-12-12T15:48:00+00:00,2025-12-12T15:48:00+00:00,2025-12-12T15:58:00+00:00,0,down,4318.88,4286.54,32.340000000000146,0.9644435998666687,0.7849080002468197,3,976,2025-12-12T16:21:00+00:00,4273.72,reverse_signal
979,2025-12-12T15:59:00+00:00,2025-12-12T15:59:00+00:00,2025-12-12T16:19:00+00:00,2,up,4290.64,4283.57,-7.0700000000006185,0.8793418165981212,0.997969664665487,3,983,2025-12-12T16:28:00+00:00,4291.08,reverse_signal
1000,2025-12-12T16:20:00+00:00,2025-12-12T16:20:00+00:00,2025-12-12T16:24:00+00:00,0,down,4282.89,4282.69,0.2000000000007276,0.8548996490017612,0.8543614546718978,1,1001,2025-12-12T16:46:00+00:00,4271.84,reverse_signal
1019,2025-12-12T16:39:00+00:00,2025-12-12T16:39:00+00:00,2025-12-12T16:48:00+00:00,2,up,4266.54,4278.53,11.989999999999782,0.9884183227905057,0.7513123919339377,1,1020,2025-12-12T17:05:00+00:00,4278.76,reverse_signal
1553,2025-12-18T17:17:00+00:00,2025-12-18T17:17:00+00:00,2025-12-18T17:42:00+00:00,2,up,4325.23,4336.13,10.900000000000546,0.9996529525270808,0.9986808506746635,0,1553,2025-12-18T17:42:00+00:00,4336.13,target_hit
1954,2025-12-24T03:01:00+00:00,2025-12-24T03:01:00+00:00,2025-12-24T03:26:00+00:00,2,up,4482.21,4491.14,8.930000000000291,0.9946591230374631,0.9946591230374631,0,1954,2025-12-24T03:26:00+00:00,4491.14,target_hit
2243,2025-12-29T00:23:00+00:00,2025-12-29T00:23:00+00:00,2025-12-29T00:59:00+00:00,0,down,4495.64,4497.88,-2.2399999999997817,0.7378238907515495,0.9895261974452978,3,2254,2025-12-29T00:59:00+00:00,4497.88,timeout
2284,2025-12-29T01:04:00+00:00,2025-12-29T01:04:00+00:00,2025-12-29T01:29:00+00:00,0,down,4504.95,4499.63,5.319999999999709,0.9603955610346547,0.9603955610346547,0,2284,2025-12-29T01:29:00+00:00,4499.63,target_hit
2413,2025-12-29T07:04:00+00:00,2025-12-29T07:04:00+00:00,2025-12-29T07:36:00+00:00,2,up,4455.88,4479.21,23.329999999999927,0.9884628357808749,0.9992713653194617,3,2420,2025-12-29T07:36:00+00:00,4479.21,target_hit
2668,2025-12-29T14:27:00+00:00,2025-12-29T14:27:00+00:00,2025-12-29T14:30:00+00:00,2,up,4391.1,4376.1,-15.0,0.9927411229186973,0.9787130792679968,1,2669,2025-12-29T14:53:00+00:00,4374.37,stop_loss
2672,2025-12-29T14:31:00+00:00,2025-12-29T14:31:00+00:00,2025-12-29T14:56:00+00:00,2,up,4372.47,4367.63,-4.8400000000001455,0.9308957764507783,0.9220089981456258,0,2672,2025-12-29T14:56:00+00:00,4367.63,timeout
2704,2025-12-29T15:03:00+00:00,2025-12-29T15:03:00+00:00,2025-12-29T15:09:00+00:00,2,up,4342.37,4343.73,1.3599999999996726,0.9148575225954716,0.5863582098225012,1,2706,2025-12-29T15:30:00+00:00,4326.56,reverse_signal
2712,2025-12-29T15:11:00+00:00,2025-12-29T15:11:00+00:00,2025-12-29T15:21:00+00:00,0,down,4335.85,4316.96,18.890000000000327,0.9742775891692981,0.9017661447928865,2,2714,2025-12-29T15:38:00+00:00,4328.68,reverse_signal
2723,2025-12-29T15:22:00+00:00,2025-12-29T15:22:00+00:00,2025-12-29T15:24:00+00:00,0,down,4314.21,4316.02,-1.8100000000004002,0.7115596559810277,0.6203489267779596,0,2723,2025-12-29T15:47:00+00:00,4328.1,reverse_signal
2727,2025-12-29T15:26:00+00:00,2025-12-29T15:26:00+00:00,2025-12-29T16:01:00+00:00,2,up,4324.72,4332.8,8.079999999999927,0.9912868168635086,0.9848308044262196,4,2737,2025-12-29T16:01:00+00:00,4332.8,target_hit
2950,2025-12-30T14:50:00+00:00,2025-12-30T14:50:00+00:00,2025-12-30T15:29:00+00:00,0,down,4362.71,4366.15,-3.4399999999996,0.9927930971414415,0.9998734804351835,2,2964,2025-12-30T15:29:00+00:00,4366.15,timeout
3165,2025-12-31T05:54:00+00:00,2025-12-31T05:54:00+00:00,2025-12-31T06:28:00+00:00,2,up,4287.12,4306.87,19.75,0.7511418652257729,0.999791858327035,3,3174,2025-12-31T06:28:00+00:00,4306.87,target_hit
4825,2026-01-15T01:32:00+00:00,2026-01-15T01:32:00+00:00,2026-01-15T01:33:00+00:00,2,up,4590.73,4594.99,4.260000000000218,0.9540413111244828,0.9540413111244828,0,4825,2026-01-15T01:57:00+00:00,4604.89,reverse_signal
4870,2026-01-16T15:27:00+00:00,2026-01-16T15:27:00+00:00,2026-01-16T15:52:00+00:00,0,down,4583.48,4560.84,22.639999999999418,0.9669446366563796,0.9312782151562915,0,4870,2026-01-16T15:52:00+00:00,4560.84,target_hit
4896,2026-01-16T15:53:00+00:00,2026-01-16T15:53:00+00:00,2026-01-16T16:06:00+00:00,0,down,4566.16,4584.16,-18.0,0.9264596253381022,0.999348438201422,0,4896,2026-01-16T16:18:00+00:00,4586.42,stop_loss
5039,2026-01-18T23:02:00+00:00,2026-01-18T23:02:00+00:00,2026-01-18T23:27:00+00:00,2,up,4642.46,4678.35,35.89000000000033,0.9999628087862805,0.9999628087862805,0,5039,2026-01-18T23:27:00+00:00,4678.35,target_hit
5070,2026-01-18T23:33:00+00:00,2026-01-18T23:33:00+00:00,2026-01-18T23:58:00+00:00,0,down,4680.44,4674.38,6.059999999999491,0.8614383620130134,0.8614383620130134,0,5070,2026-01-18T23:58:00+00:00,4674.38,target_hit
5646,2026-01-21T14:12:00+00:00,2026-01-21T14:12:00+00:00,2026-01-21T14:15:00+00:00,0,down,4843.86,4848.72,-4.860000000000582,0.9988564913349364,0.9926586105725349,0,5646,2026-01-21T14:37:00+00:00,4865.3,reverse_signal
5650,2026-01-21T14:16:00+00:00,2026-01-21T14:16:00+00:00,2026-01-21T14:19:00+00:00,0,down,4851.92,4846.25,5.670000000000073,0.7333317330027327,0.7082944369438391,0,5650,2026-01-21T14:41:00+00:00,4867.77,reverse_signal
5654,2026-01-21T14:20:00+00:00,2026-01-21T14:20:00+00:00,2026-01-21T14:22:00+00:00,2,up,4855.39,4848.58,-6.8100000000004,0.7973624465129555,0.7973624465129555,0,5654,2026-01-21T14:45:00+00:00,4859.27,reverse_signal
5657,2026-01-21T14:23:00+00:00,2026-01-21T14:23:00+00:00,2026-01-21T14:51:00+00:00,0,down,4853.54,4849.42,4.119999999999891,0.9885271543474036,0.9654307368374861,2,5660,2026-01-21T14:51:00+00:00,4849.42,target_hit
