feature_a,feature_b,corr,abs_corr
asia_weekday,ny_weekday,1.0,1.0
asia_weekday,london_weekday,1.0,1.0
london_weekday,ny_weekday,1.0,1.0
weekday_utc_plus_2,asia_weekday,1.0,1.0
weekday_utc_plus_2,london_weekday,1.0,1.0
weekday_utc_plus_2,ny_weekday,1.0,1.0
ny_session_open,ny_session_high,0.9999900897552191,0.9999900897552191
london_session_open,london_session_high,0.9999841531557211,0.9999841531557211
asia_session_open,asia_session_high,0.9999807664292862,0.9999807664292862
asia_session_open,asia_session_low,0.9999604623781339,0.9999604623781339
london_session_open,london_session_low,0.999958223201361,0.999958223201361
london_session_high,london_session_low,0.9999506565906918,0.9999506565906918
asia_session_high,asia_session_low,0.9999357987581131,0.9999357987581131
session_open,session_high,0.9999260148542051,0.9999260148542051
sma_5,sma_10,0.999924873662377,0.999924873662377
ny_session_open,ny_session_low,0.9999228253553986,0.9999228253553986
ny_session_high,ny_session_low,0.999920638805745,0.999920638805745
sma_10,sma_20,0.9998411947899741,0.9998411947899741
session_open,session_low,0.9997434928988164,0.9997434928988164
dist_session_high_pct,dist_session_low_pct,-0.9997372972493528,0.9997372972493528
session_high,session_low,0.9996793490998761,0.9996793490998761
sma_5,sma_20,0.9996611949116059,0.9996611949116059
day_open,day_high,0.9985518200158957,0.9985518200158957
sma_10,day_low,0.9983240124230992,0.9983240124230992
sma_5,day_low,0.9982917153954057,0.9982917153954057
sma_20,day_low,0.998241537228028,0.998241537228028
sma_20,day_high,0.9981385178200443,0.9981385178200443
sma_10,day_high,0.997719279653933,0.997719279653933
sma_5,day_high,0.9974931701438289,0.9974931701438289
sma_20,day_open,0.996937049318531,0.996937049318531
higher_highs,lower_highs,-0.9966056273610941,0.9966056273610941
sma_10,day_open,0.9963499324766512,0.9963499324766512
sma_5,day_open,0.9960560781418826,0.9960560781418826
is_bullish,is_bearish,-0.9958381913779873,0.9958381913779873
day_open,day_low,0.9956598324210423,0.9956598324210423
higher_lows,lower_lows,-0.9956017125826542,0.9956017125826542
day_high,day_low,0.9948274960484452,0.9948274960484452
price_change_5,ret_5_pct,0.989079377191886,0.989079377191886
is_ny_session,ny_session_low,0.9883446426205885,0.9883446426205885
is_ny_session,ny_session_open,0.9877141423817857,0.9877141423817857
is_ny_session,ny_session_high,0.9875402232160719,0.9875402232160719
is_asia_session,asia_session_low,0.9868854442684698,0.9868854442684698
is_asia_session,asia_session_open,0.9865282886181904,0.9865282886181904
is_london_session,london_session_low,0.9862230644351638,0.9862230644351638
is_asia_session,asia_session_high,0.9861520364482702,0.9861520364482702
is_london_session,london_session_open,0.9858426869809761,0.9858426869809761
is_london_session,london_session_high,0.9857425653215949,0.9857425653215949
avg_range,atr_proxy_30,0.9832547239993715,0.9832547239993715
body,ret_1_pct,0.9816393015629387,0.9816393015629387
avg_range,atr_proxy_14,0.9772017921153608,0.9772017921153608
current_range_vs_avg,range_vs_atr_14,0.9663311255497091,0.9663311255497091
avg_body_size,max_body_size,0.9546107514496307,0.9546107514496307
wr_90,wr_120,0.9543567517571181,0.9543567517571181
atr_proxy_14,atr_proxy_30,0.9519296765490985,0.9519296765490985
price_vs_sma5,ret_3_pct,0.951407746606663,0.951407746606663
atr_proxy_30,realized_vol_60,0.9439897203503794,0.9439897203503794
wr_15,close_pos_20,0.9436193437137957,0.9436193437137957
avg_range,realized_vol_20,0.9364993172494064,0.9364993172494064
price_change_5,low_change_5,0.9349742574010056,0.9349742574010056
atr_proxy_14,realized_vol_20,0.9348437178204755,0.9348437178204755
price_vs_sma20,ret_15_pct,0.9331685117555268,0.9331685117555268
session_low,dist_session_high_pct,0.9319008215383295,0.9319008215383295
session_open,dist_session_high_pct,0.9300608864921392,0.9300608864921392
session_high,dist_session_high_pct,0.9289546538150877,0.9289546538150877
session_low,dist_session_low_pct,-0.9288731791339603,0.9288731791339603
range_std_5,max_body_size,0.9269535158319899,0.9269535158319899
session_open,dist_session_low_pct,-0.9265939035256721,0.9265939035256721
session_high,dist_session_low_pct,-0.9253569099319408,0.9253569099319408
avg_body_size,realized_vol_10,0.9235124666640461,0.9235124666640461
ret_60_pct,slope_60_pct_per_bar,0.9233506979158735,0.9233506979158735
price_vs_sma10,ret_5_pct,0.9230426621934191,0.9230426621934191
avg_range,realized_vol_60,0.922982336615056,0.922982336615056
low_change_5,ret_5_pct,0.9186865790158488,0.9186865790158488
wr_30,close_pos_20,0.9160573094531367,0.9160573094531367
price_change_5,price_vs_sma10,0.9137117230399442,0.9137117230399442
wr_15,close_pos_10,0.9125890706251688,0.9125890706251688
wr_90,close_pos_60,0.9122922582527158,0.9122922582527158
ret_15_pct,slope_20_pct_per_bar,0.9111677171119877,0.9111677171119877
max_body_size,realized_vol_10,0.9108702123985195,0.9108702123985195
close_std_5,avg_body_size,0.9069877567579726,0.9069877567579726
price_vs_sma20,ret_10_pct,0.9066075844046544,0.9066075844046544
price_change_5,high_change_5,0.9041295219573918,0.9041295219573918
atr_proxy_30,realized_vol_20,0.9021744492012578,0.9021744492012578
close_std_5,max_body_size,0.9015473180717739,0.9015473180717739
