ts,pred,side,entry,exit,pnl
2026-02-24T01:37:00+00:00,2,up,5174.9,5165.34,-9.55999999999949
2026-02-24T01:38:00+00:00,2,up,5166.56,5170.81,4.25
2026-03-02T15:04:00+00:00,0,down,5330.42,5342.28,-11.859999999999673
2026-03-02T15:05:00+00:00,0,down,5321.8,5335.81,-14.010000000000218
2026-03-02T15:06:00+00:00,0,down,5320.24,5326.47,-6.230000000000473
2026-03-02T15:07:00+00:00,0,down,5340.35,5335.26,5.0900000000001455
2026-03-02T15:08:00+00:00,0,down,5344.76,5334.11,10.650000000000546
2026-03-02T15:09:00+00:00,0,down,5335.89,5334.57,1.3200000000006185
2026-03-02T15:11:00+00:00,0,down,5335.51,5329.82,5.690000000000509
2026-03-02T16:31:00+00:00,0,down,5304.77,5296.82,7.950000000000728
2026-03-02T16:39:00+00:00,0,down,5306.53,5296.38,10.149999999999636
2026-03-02T16:40:00+00:00,0,down,5308.44,5302.33,6.109999999999673
2026-03-02T16:42:00+00:00,0,down,5302.15,5300.42,1.7299999999995634
2026-03-02T17:05:00+00:00,2,up,5303.6,5308.99,5.389999999999418
2026-03-03T15:01:00+00:00,0,down,5049.32,5065.01,-15.69000000000051
2026-03-03T15:02:00+00:00,0,down,5060.75,5066.42,-5.670000000000073
2026-03-03T15:03:00+00:00,0,down,5049.8,5060.02,-10.220000000000255
2026-03-03T15:04:00+00:00,0,down,5033.02,5062.15,-29.1299999999992
2026-03-03T15:05:00+00:00,0,down,5047.26,5054.7,-7.4399999999996
2026-03-03T15:06:00+00:00,0,down,5056.65,5064.54,-7.890000000000327
2026-03-03T15:11:00+00:00,2,up,5043.17,5081.5,38.32999999999993
2026-03-03T15:15:00+00:00,2,up,5032.06,5079.19,47.1299999999992
2026-03-03T15:16:00+00:00,2,up,5008.52,5085.52,77.0
2026-03-03T15:17:00+00:00,2,up,5004.12,5092.26,88.14000000000033
2026-03-03T15:24:00+00:00,0,down,5040.55,5108.31,-67.76000000000022
2026-03-03T15:25:00+00:00,0,down,5043.9,5115.29,-71.39000000000033
2026-03-03T15:26:00+00:00,0,down,5044.19,5118.08,-73.89000000000033
2026-03-03T15:31:00+00:00,2,up,5061.46,5104.79,43.32999999999993
2026-03-03T15:33:00+00:00,0,down,5057.46,5106.67,-49.210000000000036
2026-03-03T15:35:00+00:00,0,down,5057.12,5108.06,-50.94000000000051
2026-03-03T15:36:00+00:00,0,down,5052.56,5105.38,-52.81999999999971
2026-03-03T15:38:00+00:00,2,up,5069.9,5106.54,36.64000000000033
2026-03-03T15:40:00+00:00,0,down,5065.65,5109.77,-44.1200000000008
2026-03-03T15:41:00+00:00,0,down,5065.01,5112.65,-47.63999999999942
2026-03-03T15:42:00+00:00,0,down,5066.42,5116.6,-50.18000000000029
2026-03-03T15:44:00+00:00,0,down,5062.15,5121.98,-59.82999999999993
2026-03-03T15:49:00+00:00,0,down,5073.78,5112.77,-38.99000000000069
2026-03-03T15:50:00+00:00,0,down,5071.51,5113.84,-42.32999999999993
2026-03-03T15:51:00+00:00,0,down,5081.5,5115.04,-33.539999999999964
2026-03-03T15:52:00+00:00,0,down,5079.19,5114.38,-35.19000000000051
2026-03-03T15:53:00+00:00,0,down,5076.77,5113.08,-36.30999999999949
2026-03-03T15:54:00+00:00,0,down,5081.83,5111.8,-29.970000000000255
2026-03-03T15:55:00+00:00,0,down,5079.19,5112.8,-33.61000000000058
2026-03-03T15:56:00+00:00,0,down,5085.52,5128.44,-42.91999999999916
2026-03-03T16:02:00+00:00,0,down,5096.19,5116.56,-20.3700000000008
2026-03-03T16:04:00+00:00,0,down,5108.31,5111.11,-2.7999999999992724
2026-03-03T16:05:00+00:00,0,down,5115.29,5106.33,8.960000000000036
2026-03-03T16:06:00+00:00,0,down,5118.08,5103.23,14.850000000000364
2026-03-03T16:07:00+00:00,0,down,5115.25,5109.7,5.550000000000182
2026-03-03T16:09:00+00:00,0,down,5112.24,5110.24,2.0
2026-03-03T16:21:00+00:00,0,down,5112.65,5096.22,16.42999999999938
2026-03-03T16:22:00+00:00,0,down,5116.6,5097.02,19.579999999999927
2026-03-03T16:24:00+00:00,0,down,5121.98,5087.47,34.50999999999931
2026-03-03T16:25:00+00:00,0,down,5123.54,5084.83,38.710000000000036
2026-03-03T16:26:00+00:00,0,down,5121.37,5086.65,34.720000000000255
2026-03-03T16:51:00+00:00,0,down,5106.62,5076.48,30.140000000000327
2026-03-03T16:54:00+00:00,0,down,5111.62,5075.24,36.38000000000011
2026-03-03T16:57:00+00:00,0,down,5105.71,5075.8,29.909999999999854
2026-03-03T17:04:00+00:00,0,down,5087.47,5079.37,8.100000000000364
2026-03-03T17:10:00+00:00,0,down,5093.5,5076.95,16.550000000000182
2026-03-03T18:02:00+00:00,0,down,5090.1,5131.56,-41.460000000000036
2026-03-03T18:34:00+00:00,2,up,5116.09,5112.82,-3.2700000000004366
2026-03-03T19:15:00+00:00,2,up,5121.5,5116.69,-4.8100000000004
2026-03-03T19:43:00+00:00,0,down,5109.46,5126.31,-16.850000000000364
2026-03-03T20:04:00+00:00,0,down,5116.04,5112.04,4.0
2026-03-04T15:02:00+00:00,0,down,5158.9,5147.93,10.969999999999345
2026-03-04T15:03:00+00:00,0,down,5157.44,5141.06,16.3799999999992
2026-03-04T15:04:00+00:00,0,down,5158.93,5144.54,14.390000000000327
2026-03-04T15:05:00+00:00,0,down,5145.19,5141.88,3.3099999999994907
2026-03-04T15:06:00+00:00,0,down,5147.68,5142.15,5.530000000000655
2026-03-04T15:07:00+00:00,0,down,5149.31,5139.42,9.890000000000327
2026-03-04T15:13:00+00:00,0,down,5140.19,5152.04,-11.850000000000364
2026-03-04T15:14:00+00:00,0,down,5134.94,5148.51,-13.570000000000618
2026-03-04T15:15:00+00:00,0,down,5140.08,5149.24,-9.159999999999854
2026-03-06T15:33:00+00:00,0,down,5155.69,5142.09,13.599999999999454
2026-03-08T22:02:00+00:00,2,up,5177.62,5123.57,-54.05000000000018
2026-03-08T22:03:00+00:00,2,up,5181.15,5108.12,-73.02999999999975
2026-03-08T22:23:00+00:00,2,up,5156.94,5118.25,-38.6899999999996
2026-03-08T22:37:00+00:00,0,down,5145.19,5101.93,43.25999999999931
2026-03-08T22:46:00+00:00,0,down,5133.44,5099.63,33.80999999999949
2026-03-09T02:08:00+00:00,2,up,5079.15,5092.73,13.579999999999927
2026-03-19T15:00:00+00:00,0,down,4601.9,4579.33,22.56999999999971
2026-03-19T15:03:00+00:00,0,down,4605.86,4576.27,29.589999999999236
2026-03-19T15:09:00+00:00,0,down,4617.62,4583.91,33.710000000000036
2026-03-19T15:20:00+00:00,2,up,4609.49,4602.66,-6.829999999999927
2026-03-19T15:22:00+00:00,2,up,4610.17,4614.25,4.079999999999927
2026-03-19T15:24:00+00:00,0,down,4608.02,4613.39,-5.369999999999891
2026-03-19T15:25:00+00:00,0,down,4609.97,4619.76,-9.789999999999964
2026-03-19T15:26:00+00:00,0,down,4598.73,4614.47,-15.740000000000691
2026-03-19T15:27:00+00:00,0,down,4604.62,4624.92,-20.300000000000182
2026-03-19T15:30:00+00:00,0,down,4596.11,4604.91,-8.800000000000182
2026-03-19T16:22:00+00:00,2,up,4609.98,4591.07,-18.909999999999854
2026-03-19T16:23:00+00:00,2,up,4606.49,4591.94,-14.550000000000182
2026-03-19T16:24:00+00:00,2,up,4609.13,4591.36,-17.770000000000437
2026-03-19T16:25:00+00:00,2,up,4607.56,4595.14,-12.420000000000073
2026-03-19T16:26:00+00:00,2,up,4607.47,4591.35,-16.11999999999989
2026-03-19T16:27:00+00:00,2,up,4602.03,4588.75,-13.279999999999745
2026-03-19T16:36:00+00:00,2,up,4588.92,4580.81,-8.109999999999673
2026-03-19T17:17:00+00:00,2,up,4584.12,4620.61,36.48999999999978
2026-03-19T17:19:00+00:00,2,up,4597.34,4616.28,18.9399999999996
2026-03-19T17:20:00+00:00,0,down,4604.93,4615.3,-10.36999999999989
2026-03-19T17:24:00+00:00,2,up,4610.73,4610.81,0.08000000000083674
2026-03-19T17:28:00+00:00,2,up,4602.25,4608.86,6.609999999999673
2026-03-19T17:32:00+00:00,2,up,4613.38,4614.11,0.7299999999995634
2026-03-19T19:12:00+00:00,2,up,4650.65,4637.39,-13.259999999999309
2026-03-19T19:21:00+00:00,2,up,4648.67,4649.53,0.8599999999996726
2026-03-19T19:22:00+00:00,2,up,4652.13,4654.46,2.3299999999999272
2026-03-19T19:24:00+00:00,2,up,4644.08,4650.08,6.0
2026-03-19T19:26:00+00:00,2,up,4637.72,4654.3,16.579999999999927
2026-03-19T19:27:00+00:00,2,up,4642.77,4652.0,9.229999999999563
2026-03-19T19:28:00+00:00,2,up,4637.99,4656.07,18.079999999999927
2026-03-19T19:29:00+00:00,2,up,4644.26,4655.78,11.519999999999527
2026-03-19T19:30:00+00:00,2,up,4640.89,4653.23,12.339999999999236
2026-03-19T19:31:00+00:00,2,up,4640.49,4653.57,13.079999999999927
2026-03-19T19:32:00+00:00,2,up,4642.23,4657.58,15.350000000000364
2026-03-19T19:35:00+00:00,2,up,4633.98,4653.95,19.970000000000255
2026-03-19T19:36:00+00:00,2,up,4639.99,4650.57,10.579999999999927
2026-03-19T19:37:00+00:00,2,up,4645.46,4651.39,5.930000000000291
2026-03-19T19:38:00+00:00,2,up,4641.13,4658.78,17.649999999999636
2026-03-19T19:39:00+00:00,2,up,4640.88,4655.82,14.9399999999996
2026-03-19T19:40:00+00:00,2,up,4640.54,4656.0,15.460000000000036
2026-03-19T19:42:00+00:00,2,up,4641.65,4659.36,17.710000000000036
