signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl
309,2026-02-24T01:37:00+00:00,2026-02-24T01:37:00+00:00,2026-02-24T02:17:00+00:00,2,up,5174.9,5165.34,-9.55999999999949
1957,2026-03-02T15:04:00+00:00,2026-03-02T15:04:00+00:00,2026-03-02T15:44:00+00:00,0,down,5330.42,5342.28,-11.859999999999673
2044,2026-03-02T16:31:00+00:00,2026-03-02T16:31:00+00:00,2026-03-02T17:11:00+00:00,0,down,5304.77,5296.82,7.950000000000728
2583,2026-03-03T15:01:00+00:00,2026-03-03T15:01:00+00:00,2026-03-03T15:41:00+00:00,0,down,5049.32,5065.01,-15.69000000000051
2624,2026-03-03T15:42:00+00:00,2026-03-03T15:42:00+00:00,2026-03-03T16:22:00+00:00,0,down,5066.42,5116.6,-50.18000000000029
2666,2026-03-03T16:24:00+00:00,2026-03-03T16:24:00+00:00,2026-03-03T17:04:00+00:00,0,down,5121.98,5087.47,34.50999999999931
2712,2026-03-03T17:10:00+00:00,2026-03-03T17:10:00+00:00,2026-03-03T17:50:00+00:00,0,down,5093.5,5076.95,16.550000000000182
2764,2026-03-03T18:02:00+00:00,2026-03-03T18:02:00+00:00,2026-03-03T18:42:00+00:00,0,down,5090.1,5131.56,-41.460000000000036
2837,2026-03-03T19:15:00+00:00,2026-03-03T19:15:00+00:00,2026-03-03T19:55:00+00:00,2,up,5121.5,5116.69,-4.8100000000004
2886,2026-03-03T20:04:00+00:00,2026-03-03T20:04:00+00:00,2026-03-03T20:44:00+00:00,0,down,5116.04,5112.04,4.0
3402,2026-03-04T15:02:00+00:00,2026-03-04T15:02:00+00:00,2026-03-04T15:42:00+00:00,0,down,5158.9,5147.93,10.969999999999345
4226,2026-03-06T15:33:00+00:00,2026-03-06T15:33:00+00:00,2026-03-06T16:13:00+00:00,0,down,5155.69,5142.09,13.599999999999454
4474,2026-03-08T22:02:00+00:00,2026-03-08T22:02:00+00:00,2026-03-08T22:42:00+00:00,2,up,5177.62,5123.57,-54.05000000000018
4518,2026-03-08T22:46:00+00:00,2026-03-08T22:46:00+00:00,2026-03-08T23:26:00+00:00,0,down,5133.44,5099.63,33.80999999999949
4690,2026-03-09T02:08:00+00:00,2026-03-09T02:08:00+00:00,2026-03-09T02:48:00+00:00,2,up,5079.15,5092.73,13.579999999999927
7409,2026-03-19T15:00:00+00:00,2026-03-19T15:00:00+00:00,2026-03-19T15:40:00+00:00,0,down,4601.9,4579.33,22.56999999999971
7491,2026-03-19T16:22:00+00:00,2026-03-19T16:22:00+00:00,2026-03-19T17:02:00+00:00,2,up,4609.98,4591.07,-18.909999999999854
7546,2026-03-19T17:17:00+00:00,2026-03-19T17:17:00+00:00,2026-03-19T17:57:00+00:00,2,up,4584.12,4620.61,36.48999999999978
7661,2026-03-19T19:12:00+00:00,2026-03-19T19:12:00+00:00,2026-03-19T19:52:00+00:00,2,up,4650.65,4637.39,-13.259999999999309
8470,2026-03-20T18:47:00+00:00,2026-03-20T18:47:00+00:00,2026-03-20T19:27:00+00:00,0,down,4516.72,4496.43,20.289999999999964
8512,2026-03-20T19:29:00+00:00,2026-03-20T19:29:00+00:00,2026-03-20T20:09:00+00:00,2,up,4498.27,4502.21,3.9399999999996
8625,2026-03-22T22:23:00+00:00,2026-03-22T22:23:00+00:00,2026-03-22T23:03:00+00:00,2,up,4520.73,4500.7,-20.029999999999745
8668,2026-03-22T23:06:00+00:00,2026-03-22T23:06:00+00:00,2026-03-22T23:46:00+00:00,2,up,4496.66,4482.37,-14.289999999999964
8725,2026-03-23T00:03:00+00:00,2026-03-23T00:03:00+00:00,2026-03-23T00:43:00+00:00,2,up,4435.93,4358.86,-77.07000000000062
8766,2026-03-23T00:44:00+00:00,2026-03-23T00:44:00+00:00,2026-03-23T01:24:00+00:00,0,down,4362.52,4432.12,-69.59999999999945
8782,2026-03-23T01:30:00+00:00,2026-03-23T01:30:00+00:00,2026-03-23T02:10:00+00:00,0,down,4432.92,4408.98,23.94000000000051
8824,2026-03-23T02:12:00+00:00,2026-03-23T02:12:00+00:00,2026-03-23T02:52:00+00:00,0,down,4396.42,4371.38,25.039999999999964
