signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
1,2025-11-25T17:03:00+00:00,2025-11-25T17:04:00+00:00,2025-11-25T17:28:00+00:00,2,up,4147.82,4151.83,4.010000000000218,0.9999495005664695,0.9999495005664695,0,1,2025-11-25T17:28:00+00:00,4151.83,target_hit
18,2025-11-28T05:24:00+00:00,2025-11-28T05:25:00+00:00,2025-11-28T08:10:00+00:00,2,up,4184.21,4172.21,-12.0,0.9999144509117325,0.9999144509117325,0,18,2025-11-28T05:49:00+00:00,4185.49,stop_loss
37,2025-11-28T08:11:00+00:00,2025-11-28T08:13:00+00:00,2025-11-28T08:21:00+00:00,0,down,4173.07,4164.65,8.420000000000073,0.91740517772695,0.91740517772695,0,37,2025-11-28T09:24:00+00:00,4161.04,reverse_signal
46,2025-11-28T08:21:00+00:00,2025-11-28T08:22:00+00:00,2025-11-28T09:34:00+00:00,2,up,4168.47,4165.93,-2.5399999999999636,0.9835316365084497,0.8103538704943727,1,47,2025-11-28T09:34:00+00:00,4165.93,timeout
73,2025-11-28T09:35:00+00:00,2025-11-28T09:36:00+00:00,2025-11-28T10:01:00+00:00,2,up,4162.37,4168.92,6.550000000000182,0.9719076485240332,0.9483961735437503,1,74,2025-11-28T10:01:00+00:00,4168.92,target_hit
187,2025-12-01T14:44:00+00:00,2025-12-01T14:45:00+00:00,2025-12-01T15:00:00+00:00,0,down,4225.33,4243.33,-18.0,0.9991313520197797,0.999537707479698,3,195,2025-12-01T15:17:00+00:00,4230.53,stop_loss
282,2025-12-02T01:09:00+00:00,2025-12-02T01:10:00+00:00,2025-12-02T01:14:00+00:00,2,up,4206.06,4201.03,-5.030000000000655,0.8072579522843689,0.8364205886031792,1,283,2025-12-02T01:35:00+00:00,4217.0,reverse_signal
287,2025-12-02T01:14:00+00:00,2025-12-02T01:15:00+00:00,2025-12-02T01:43:00+00:00,0,down,4205.48,4210.91,-5.430000000000291,0.7401640549345869,0.9957114988884052,3,291,2025-12-02T01:43:00+00:00,4210.91,timeout
489,2025-12-05T16:10:00+00:00,2025-12-05T16:11:00+00:00,2025-12-05T16:13:00+00:00,0,down,4219.15,4212.94,6.210000000000036,0.5346867776301347,0.5346867776301347,0,489,2025-12-05T16:35:00+00:00,4214.81,reverse_signal
493,2025-12-05T16:14:00+00:00,2025-12-05T16:15:00+00:00,2025-12-05T16:21:00+00:00,2,up,4203.46,4203.61,0.1499999999996362,0.7541837691617955,0.7541837691617955,0,493,2025-12-05T16:39:00+00:00,4211.85,reverse_signal
501,2025-12-05T16:22:00+00:00,2025-12-05T16:23:00+00:00,2025-12-05T16:47:00+00:00,0,down,4209.62,4208.12,1.5,0.9998636694817623,0.99996844898805,0,501,2025-12-05T16:47:00+00:00,4208.12,target_hit
919,2025-12-12T15:24:00+00:00,2025-12-12T15:25:00+00:00,2025-12-12T15:55:00+00:00,0,down,4309.44,4300.53,8.909999999999854,0.9978513909348461,0.8275149136503959,10,940,2025-12-12T16:10:00+00:00,4276.82,reverse_signal
950,2025-12-12T15:55:00+00:00,2025-12-12T15:56:00+00:00,2025-12-12T16:03:00+00:00,2,up,4295.5,4283.5,-12.0,0.6780995464278886,0.9962517027473802,3,957,2025-12-12T16:27:00+00:00,4289.6,stop_loss
958,2025-12-12T16:03:00+00:00,2025-12-12T16:04:00+00:00,2025-12-12T16:28:00+00:00,2,up,4283.13,4291.08,7.949999999999818,0.9994843872476221,0.9815902071503605,0,958,2025-12-12T16:28:00+00:00,4291.08,target_hit
996,2025-12-12T16:41:00+00:00,2025-12-12T16:42:00+00:00,2025-12-12T16:48:00+00:00,2,up,4266.45,4277.63,11.180000000000291,0.9752141701774811,0.9540650141889923,2,1001,2025-12-12T17:11:00+00:00,4276.07,reverse_signal
1003,2025-12-12T16:48:00+00:00,2025-12-12T16:49:00+00:00,2025-12-12T17:13:00+00:00,0,down,4278.39,4272.92,5.470000000000255,0.9500575921683976,0.9500575921683976,0,1003,2025-12-12T17:13:00+00:00,4272.92,target_hit
1524,2025-12-18T17:13:00+00:00,2025-12-18T17:14:00+00:00,2025-12-18T17:38:00+00:00,2,up,4328.78,4337.45,8.670000000000073,0.9999564867397845,0.9999641339913337,0,1524,2025-12-18T17:38:00+00:00,4337.45,target_hit
1740,2025-12-23T15:02:00+00:00,2025-12-23T15:03:00+00:00,2025-12-23T15:04:00+00:00,2,up,4433.6,4432.15,-1.4500000000007276,0.504498234339668,0.504498234339668,0,1740,2025-12-23T15:27:00+00:00,4442.98,reverse_signal
1742,2025-12-23T15:04:00+00:00,2025-12-23T15:05:00+00:00,2025-12-23T15:29:00+00:00,2,up,4434.21,4442.69,8.479999999999563,0.9172123703124985,0.9172123703124985,0,1742,2025-12-23T15:29:00+00:00,4442.69,target_hit
1924,2025-12-24T02:59:00+00:00,2025-12-24T03:00:00+00:00,2025-12-24T03:44:00+00:00,2,up,4478.91,4494.88,15.970000000000255,0.9922131923550972,0.9398495577095055,3,1944,2025-12-24T03:44:00+00:00,4494.88,target_hit
2215,2025-12-29T00:23:00+00:00,2025-12-29T00:24:00+00:00,2025-12-29T00:32:00+00:00,0,down,4495.65,4484.06,11.589999999999236,0.5000688079131337,0.9674613939541313,2,2218,2025-12-29T00:51:00+00:00,4499.36,reverse_signal
2224,2025-12-29T00:32:00+00:00,2025-12-29T00:33:00+00:00,2025-12-29T01:00:00+00:00,0,down,4487.99,4494.58,-6.5900000000001455,0.9781283669383231,0.7775818945124074,2,2227,2025-12-29T01:00:00+00:00,4494.58,timeout
2253,2025-12-29T01:01:00+00:00,2025-12-29T01:02:00+00:00,2025-12-29T01:28:00+00:00,0,down,4499.05,4497.38,1.6700000000000728,0.9909663339565512,0.9254278149206853,2,2255,2025-12-29T01:28:00+00:00,4497.38,target_hit
2384,2025-12-29T07:03:00+00:00,2025-12-29T07:04:00+00:00,2025-12-29T07:36:00+00:00,2,up,4452.34,4479.21,26.86999999999989,0.928673878675722,0.9811424732147301,2,2392,2025-12-29T07:36:00+00:00,4479.21,target_hit
2563,2025-12-29T12:07:00+00:00,2025-12-29T12:08:00+00:00,2025-12-29T12:33:00+00:00,2,up,4455.55,4456.92,1.3699999999998909,0.8626961072946059,0.8523323842565076,1,2564,2025-12-29T12:33:00+00:00,4456.92,target_hit
2595,2025-12-29T13:42:00+00:00,2025-12-29T13:43:00+00:00,2025-12-29T13:48:00+00:00,2,up,4428.02,4423.67,-4.350000000000364,0.9908411941645001,0.6930283555745584,1,2598,2025-12-29T14:10:00+00:00,4394.61,reverse_signal
2603,2025-12-29T13:50:00+00:00,2025-12-29T13:51:00+00:00,2025-12-29T14:00:00+00:00,2,up,4411.83,4421.29,9.460000000000036,0.7255824125146534,0.646098314830639,0,2603,2025-12-29T14:15:00+00:00,4405.29,reverse_signal
2613,2025-12-29T14:00:00+00:00,2025-12-29T14:01:00+00:00,2025-12-29T14:02:00+00:00,0,down,4412.04,4407.09,4.949999999999818,0.5969985017394502,0.5969985017394502,0,2613,2025-12-29T14:25:00+00:00,4389.57,reverse_signal
2615,2025-12-29T14:02:00+00:00,2025-12-29T14:03:00+00:00,2025-12-29T14:06:00+00:00,2,up,4406.37,4394.37,-12.0,0.9451895155804986,0.9451895155804986,0,2615,2025-12-29T14:27:00+00:00,4391.1,stop_loss
2619,2025-12-29T14:06:00+00:00,2025-12-29T14:07:00+00:00,2025-12-29T14:12:00+00:00,2,up,4388.01,4391.61,3.5999999999994543,0.9353829727791055,0.9557595546713494,1,2620,2025-12-29T14:32:00+00:00,4375.64,reverse_signal
2625,2025-12-29T14:12:00+00:00,2025-12-29T14:13:00+00:00,2025-12-29T14:30:00+00:00,2,up,4393.21,4381.21,-12.0,0.7084997320811105,0.9757474703700665,0,2625,2025-12-29T14:37:00+00:00,4376.76,stop_loss
2643,2025-12-29T14:30:00+00:00,2025-12-29T14:31:00+00:00,2025-12-29T14:34:00+00:00,0,down,4369.81,4376.37,-6.559999999999491,0.5522283182168413,0.5522283182168413,0,2643,2025-12-29T14:55:00+00:00,4373.49,reverse_signal
