signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
18,2025-11-28T05:24:00+00:00,2025-11-28T05:25:00+00:00,2025-11-28T08:10:00+00:00,2,up,4184.21,4172.21,-12.0,0.999917131740261,0.999917131740261,0,18,2025-11-28T05:49:00+00:00,4185.49,stop_loss
37,2025-11-28T08:11:00+00:00,2025-11-28T08:13:00+00:00,2025-11-28T09:24:00+00:00,0,down,4173.07,4161.04,12.029999999999745,0.9651473071761787,0.9247355109776942,0,37,2025-11-28T09:24:00+00:00,4161.04,target_hit
73,2025-11-28T09:35:00+00:00,2025-11-28T09:36:00+00:00,2025-11-28T10:00:00+00:00,2,up,4162.37,4167.35,4.980000000000473,0.9860825357199788,0.9860825357199788,0,73,2025-11-28T10:00:00+00:00,4167.35,target_hit
113,2025-11-28T14:43:00+00:00,2025-11-28T14:44:00+00:00,2025-11-28T15:08:00+00:00,2,up,4198.81,4193.31,-5.5,0.9965841139639405,0.9965841139639405,0,113,2025-11-28T15:08:00+00:00,4193.31,timeout
188,2025-12-01T14:45:00+00:00,2025-12-01T14:46:00+00:00,2025-12-01T15:15:00+00:00,0,down,4229.0,4225.66,3.3400000000001455,0.9993577206339163,0.9995095843256293,3,193,2025-12-01T15:15:00+00:00,4225.66,target_hit
283,2025-12-02T01:10:00+00:00,2025-12-02T01:11:00+00:00,2025-12-02T01:12:00+00:00,2,up,4206.11,4204.32,-1.7899999999999636,0.8327623743980186,0.8327623743980186,0,283,2025-12-02T01:35:00+00:00,4217.0,reverse_signal
285,2025-12-02T01:12:00+00:00,2025-12-02T01:13:00+00:00,2025-12-02T01:43:00+00:00,0,down,4205.14,4210.91,-5.769999999999527,0.5980267023591255,0.9979256856267734,4,291,2025-12-02T01:43:00+00:00,4210.91,timeout
489,2025-12-05T16:10:00+00:00,2025-12-05T16:11:00+00:00,2025-12-05T16:47:00+00:00,0,down,4219.15,4208.12,11.029999999999745,0.7804940697588199,0.9999886171839617,2,501,2025-12-05T16:47:00+00:00,4208.12,target_hit
637,2025-12-10T20:06:00+00:00,2025-12-10T20:07:00+00:00,2025-12-10T20:31:00+00:00,0,down,4222.7,4231.63,-8.930000000000291,0.9998505244747465,0.9998505244747465,0,637,2025-12-10T20:31:00+00:00,4231.63,timeout
924,2025-12-12T15:29:00+00:00,2025-12-12T15:30:00+00:00,2025-12-12T15:45:00+00:00,0,down,4300.68,4318.68,-18.0,0.992099088051399,0.997068256455122,6,939,2025-12-12T16:09:00+00:00,4276.89,stop_loss
941,2025-12-12T15:46:00+00:00,2025-12-12T15:47:00+00:00,2025-12-12T15:59:00+00:00,0,down,4318.53,4286.18,32.349999999999454,0.9470214936860658,0.6678622270274305,1,952,2025-12-12T16:22:00+00:00,4276.73,reverse_signal
954,2025-12-12T15:59:00+00:00,2025-12-12T16:00:00+00:00,2025-12-12T16:04:00+00:00,2,up,4290.04,4278.04,-12.0,0.9870658029878643,0.9994271863012549,4,958,2025-12-12T16:28:00+00:00,4291.08,stop_loss
959,2025-12-12T16:04:00+00:00,2025-12-12T16:05:00+00:00,2025-12-12T16:29:00+00:00,2,up,4277.32,4290.11,12.789999999999964,0.9993345699558038,0.9989531284616753,0,959,2025-12-12T16:29:00+00:00,4290.11,target_hit
995,2025-12-12T16:40:00+00:00,2025-12-12T16:41:00+00:00,2025-12-12T16:48:00+00:00,2,up,4263.86,4277.63,13.770000000000437,0.9925342307397406,0.9545855104521097,0,995,2025-12-12T17:05:00+00:00,4278.76,reverse_signal
1003,2025-12-12T16:48:00+00:00,2025-12-12T16:49:00+00:00,2025-12-12T17:13:00+00:00,0,down,4278.39,4272.92,5.470000000000255,0.9855803756292487,0.9855803756292487,0,1003,2025-12-12T17:13:00+00:00,4272.92,target_hit
1161,2025-12-15T16:18:00+00:00,2025-12-15T16:19:00+00:00,2025-12-15T16:43:00+00:00,0,down,4305.23,4294.23,11.0,0.9277370440602644,0.9277370440602644,0,1161,2025-12-15T16:43:00+00:00,4294.23,target_hit
1528,2025-12-18T17:17:00+00:00,2025-12-18T17:18:00+00:00,2025-12-18T17:42:00+00:00,2,up,4325.07,4336.13,11.0600000000004,0.9999915352432915,0.9999915352432915,0,1528,2025-12-18T17:42:00+00:00,4336.13,target_hit
1741,2025-12-23T15:03:00+00:00,2025-12-23T15:04:00+00:00,2025-12-23T15:05:00+00:00,0,down,4432.15,4434.21,-2.0600000000004,0.9046216867127356,0.9046216867127356,0,1741,2025-12-23T15:28:00+00:00,4444.91,reverse_signal
1924,2025-12-24T02:59:00+00:00,2025-12-24T03:00:00+00:00,2025-12-24T03:44:00+00:00,2,up,4478.91,4494.88,15.970000000000255,0.9927595802374224,0.9003167644265457,2,1944,2025-12-24T03:44:00+00:00,4494.88,target_hit
2215,2025-12-29T00:23:00+00:00,2025-12-29T00:24:00+00:00,2025-12-29T00:25:00+00:00,2,up,4495.65,4494.32,-1.3299999999999272,0.7608307685149627,0.7608307685149627,0,2215,2025-12-29T00:48:00+00:00,4504.69,reverse_signal
2218,2025-12-29T00:26:00+00:00,2025-12-29T00:27:00+00:00,2025-12-29T00:32:00+00:00,0,down,4488.85,4484.06,4.789999999999964,0.9739514491778052,0.6166683454941264,1,2222,2025-12-29T00:55:00+00:00,4497.46,reverse_signal
2224,2025-12-29T00:32:00+00:00,2025-12-29T00:33:00+00:00,2025-12-29T01:00:00+00:00,0,down,4487.99,4494.58,-6.5900000000001455,0.9950209666377134,0.6919084416195367,2,2227,2025-12-29T01:00:00+00:00,4494.58,timeout
2253,2025-12-29T01:01:00+00:00,2025-12-29T01:02:00+00:00,2025-12-29T01:28:00+00:00,0,down,4499.05,4497.38,1.6700000000000728,0.9937208530462973,0.8451690207546516,2,2255,2025-12-29T01:28:00+00:00,4497.38,target_hit
2384,2025-12-29T07:03:00+00:00,2025-12-29T07:04:00+00:00,2025-12-29T07:36:00+00:00,2,up,4452.34,4479.21,26.86999999999989,0.9489478734486646,0.9844656922781159,4,2392,2025-12-29T07:36:00+00:00,4479.21,target_hit
2564,2025-12-29T12:08:00+00:00,2025-12-29T12:09:00+00:00,2025-12-29T12:33:00+00:00,0,down,4454.59,4456.92,-2.3299999999999272,0.8189275372311555,0.8189275372311555,0,2564,2025-12-29T12:33:00+00:00,4456.92,timeout
2596,2025-12-29T13:43:00+00:00,2025-12-29T13:44:00+00:00,2025-12-29T13:50:00+00:00,0,down,4431.54,4417.15,14.390000000000327,0.7099780552078352,0.8742000181326728,0,2596,2025-12-29T14:08:00+00:00,4389.2,reverse_signal
2603,2025-12-29T13:50:00+00:00,2025-12-29T13:51:00+00:00,2025-12-29T13:55:00+00:00,2,up,4411.83,4411.7,-0.13000000000010914,0.8309600649173541,0.9273475409838992,0,2603,2025-12-29T14:15:00+00:00,4405.29,reverse_signal
2608,2025-12-29T13:55:00+00:00,2025-12-29T13:56:00+00:00,2025-12-29T14:01:00+00:00,0,down,4408.84,4412.04,-3.199999999999818,0.593872924454015,0.9049249466648518,2,2612,2025-12-29T14:24:00+00:00,4389.53,reverse_signal
2614,2025-12-29T14:01:00+00:00,2025-12-29T14:02:00+00:00,2025-12-29T14:06:00+00:00,2,up,4407.09,4395.09,-12.0,0.9137125144306744,0.998638643506275,0,2614,2025-12-29T14:26:00+00:00,4394.55,stop_loss
2619,2025-12-29T14:06:00+00:00,2025-12-29T14:07:00+00:00,2025-12-29T14:12:00+00:00,2,up,4388.01,4391.61,3.5999999999994543,0.9966772071245165,0.9966772071245165,0,2619,2025-12-29T14:31:00+00:00,4372.47,reverse_signal
2631,2025-12-29T14:18:00+00:00,2025-12-29T14:19:00+00:00,2025-12-29T14:30:00+00:00,2,up,4394.95,4382.95,-12.0,0.9151961430009542,0.9953592569038444,1,2632,2025-12-29T14:44:00+00:00,4373.59,stop_loss
2643,2025-12-29T14:30:00+00:00,2025-12-29T14:31:00+00:00,2025-12-29T14:33:00+00:00,0,down,4369.81,4375.65,-5.839999999999236,0.5729646916877347,0.5729646916877347,0,2643,2025-12-29T14:55:00+00:00,4373.49,reverse_signal
2646,2025-12-29T14:33:00+00:00,2025-12-29T14:34:00+00:00,2025-12-29T14:41:00+00:00,2,up,4376.37,4364.37,-12.0,0.8926806820603131,0.9102806230573772,0,2646,2025-12-29T14:58:00+00:00,4359.83,stop_loss
2658,2025-12-29T14:45:00+00:00,2025-12-29T14:46:00+00:00,2025-12-29T14:56:00+00:00,2,up,4379.67,4367.67,-12.0,0.9592511376214481,0.9733100699068364,1,2661,2025-12-29T15:13:00+00:00,4344.51,stop_loss
2669,2025-12-29T14:56:00+00:00,2025-12-29T14:57:00+00:00,2025-12-29T15:00:00+00:00,2,up,4367.66,4355.66,-12.0,0.9086083319076301,0.8725460164720897,0,2669,2025-12-29T15:21:00+00:00,4316.96,stop_loss
2673,2025-12-29T15:00:00+00:00,2025-12-29T15:01:00+00:00,2025-12-29T15:05:00+00:00,2,up,4351.62,4339.62,-12.0,0.9458433820047988,0.72707314911103,2,2675,2025-12-29T15:27:00+00:00,4325.99,stop_loss
2678,2025-12-29T15:05:00+00:00,2025-12-29T15:06:00+00:00,2025-12-29T15:12:00+00:00,2,up,4339.19,4335.99,-3.199999999999818,0.9972264866520416,0.9760874387585617,1,2682,2025-12-29T15:34:00+00:00,4328.16,reverse_signal
2685,2025-12-29T15:12:00+00:00,2025-12-29T15:13:00+00:00,2025-12-29T15:16:00+00:00,0,down,4341.34,4335.94,5.400000000000546,0.7559449145735838,0.9803710731431909,1,2686,2025-12-29T15:38:00+00:00,4328.68,reverse_signal
2689,2025-12-29T15:16:00+00:00,2025-12-29T15:17:00+00:00,2025-12-29T15:18:00+00:00,2,up,4329.22,4333.29,4.069999999999709,0.8230801860996309,0.8230801860996309,0,2689,2025-12-29T15:41:00+00:00,4325.22,reverse_signal
2693,2025-12-29T15:20:00+00:00,2025-12-29T15:21:00+00:00,2025-12-29T15:25:00+00:00,0,down,4325.56,4316.06,9.5,0.7314893338768022,0.8538532163261702,2,2696,2025-12-29T15:48:00+00:00,4329.87,reverse_signal
2699,2025-12-29T15:26:00+00:00,2025-12-29T15:27:00+00:00,2025-12-29T15:36:00+00:00,2,up,4324.71,4333.35,8.640000000000327,0.9818574682192146,0.9090241419770435,2,2706,2025-12-29T15:58:00+00:00,4328.55,reverse_signal
2709,2025-12-29T15:36:00+00:00,2025-12-29T15:37:00+00:00,2025-12-29T16:30:00+00:00,2,up,4334.82,4336.97,2.1500000000005457,0.5534679144228611,0.9994172324406916,3,2738,2025-12-29T16:30:00+00:00,4336.97,target_hit
2792,2025-12-29T16:59:00+00:00,2025-12-29T17:00:00+00:00,2025-12-29T17:25:00+00:00,0,down,4341.76,4323.69,18.07000000000062,0.5407560109058898,0.8965938374877588,1,2793,2025-12-29T17:25:00+00:00,4323.69,target_hit
2922,2025-12-30T14:50:00+00:00,2025-12-30T14:51:00+00:00,2025-12-30T14:52:00+00:00,2,up,4363.14,4364.82,1.6799999999993815,0.5246530712492896,0.5246530712492896,0,2922,2025-12-30T15:15:00+00:00,4371.71,reverse_signal
2924,2025-12-30T14:52:00+00:00,2025-12-30T14:53:00+00:00,2025-12-30T15:31:00+00:00,0,down,4369.22,4362.25,6.970000000000255,0.9426604405134311,0.9967062244884275,3,2938,2025-12-30T15:31:00+00:00,4362.25,target_hit
3125,2025-12-31T05:40:00+00:00,2025-12-31T05:41:00+00:00,2025-12-31T05:56:00+00:00,0,down,4326.29,4283.93,42.35999999999967,0.5752990043374671,0.7055681156700593,0,3125,2025-12-31T06:05:00+00:00,4292.06,reverse_signal
3139,2025-12-31T05:56:00+00:00,2025-12-31T05:57:00+00:00,2025-12-31T06:37:00+00:00,2,up,4286.26,4313.4,27.139999999999418,0.7924302424076292,0.9674485323984279,3,3155,2025-12-31T06:37:00+00:00,4313.4,target_hit
