signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
18,2025-11-28T05:24:00+00:00,2025-11-28T05:25:00+00:00,2025-11-28T08:10:00+00:00,2,up,4184.21,4172.21,-12.0,0.999871985246907,0.9265922087558578,0,18,2025-11-28T05:49:00+00:00,4185.49,stop_loss
46,2025-11-28T08:21:00+00:00,2025-11-28T08:22:00+00:00,2025-11-28T09:33:00+00:00,2,up,4168.47,4164.58,-3.8900000000003274,0.896610353598187,0.896610353598187,0,46,2025-11-28T09:33:00+00:00,4164.58,timeout
113,2025-11-28T14:43:00+00:00,2025-11-28T14:44:00+00:00,2025-11-28T15:08:00+00:00,2,up,4198.81,4193.31,-5.5,0.9436496016412087,0.9436496016412087,0,113,2025-11-28T15:08:00+00:00,4193.31,timeout
193,2025-12-01T14:50:00+00:00,2025-12-01T14:51:00+00:00,2025-12-01T15:15:00+00:00,0,down,4236.99,4225.66,11.329999999999927,0.999517414999794,0.999517414999794,0,193,2025-12-01T15:15:00+00:00,4225.66,timeout
282,2025-12-02T01:09:00+00:00,2025-12-02T01:10:00+00:00,2025-12-02T01:12:00+00:00,0,down,4206.06,4204.32,1.7400000000006912,0.6515231572234792,0.5326872661589039,0,282,2025-12-02T01:34:00+00:00,4214.98,reverse_signal
285,2025-12-02T01:12:00+00:00,2025-12-02T01:13:00+00:00,2025-12-02T01:43:00+00:00,0,down,4205.14,4210.91,-5.769999999999527,0.5537667333835091,0.986793119428862,4,291,2025-12-02T01:43:00+00:00,4210.91,timeout
491,2025-12-05T16:12:00+00:00,2025-12-05T16:13:00+00:00,2025-12-05T16:19:00+00:00,2,up,4212.94,4206.59,-6.349999999999454,0.5236242546110719,0.5236242546110719,0,491,2025-12-05T16:37:00+00:00,4215.31,reverse_signal
499,2025-12-05T16:20:00+00:00,2025-12-05T16:21:00+00:00,2025-12-05T16:45:00+00:00,0,down,4203.61,4210.26,-6.650000000000546,0.9999397354403918,0.9999397354403918,0,499,2025-12-05T16:45:00+00:00,4210.26,timeout
635,2025-12-10T20:04:00+00:00,2025-12-10T20:05:00+00:00,2025-12-10T20:29:00+00:00,2,up,4224.32,4232.7,8.38000000000011,0.9983346584654145,0.9991743212768532,0,635,2025-12-10T20:29:00+00:00,4232.7,timeout
919,2025-12-12T15:24:00+00:00,2025-12-12T15:25:00+00:00,2025-12-12T15:59:00+00:00,0,down,4309.44,4286.18,23.25999999999931,0.9982907515316091,0.985651394620448,8,951,2025-12-12T16:21:00+00:00,4273.72,reverse_signal
954,2025-12-12T15:59:00+00:00,2025-12-12T16:00:00+00:00,2025-12-12T16:04:00+00:00,2,up,4290.04,4278.04,-12.0,0.959705895661963,0.9978287125339845,4,958,2025-12-12T16:28:00+00:00,4291.08,stop_loss
959,2025-12-12T16:04:00+00:00,2025-12-12T16:05:00+00:00,2025-12-12T16:22:00+00:00,2,up,4277.32,4273.88,-3.4399999999996,0.9974014737240827,0.7250298882340401,0,959,2025-12-12T16:29:00+00:00,4290.11,reverse_signal
977,2025-12-12T16:22:00+00:00,2025-12-12T16:23:00+00:00,2025-12-12T16:25:00+00:00,2,up,4276.97,4282.89,5.920000000000073,0.8398886119431765,0.8398886119431765,0,977,2025-12-12T16:47:00+00:00,4277.62,reverse_signal
995,2025-12-12T16:40:00+00:00,2025-12-12T16:41:00+00:00,2025-12-12T17:05:00+00:00,2,up,4263.86,4278.76,14.900000000000546,0.9985798616376761,0.9583785038589507,0,995,2025-12-12T17:05:00+00:00,4278.76,timeout
1097,2025-12-12T18:22:00+00:00,2025-12-12T18:23:00+00:00,2025-12-12T18:47:00+00:00,2,up,4298.01,4292.45,-5.5600000000004,0.9974674153721672,0.9974674153721672,0,1097,2025-12-12T18:47:00+00:00,4292.45,timeout
1466,2025-12-18T16:15:00+00:00,2025-12-18T16:16:00+00:00,2025-12-18T16:40:00+00:00,2,up,4366.21,4367.69,1.4799999999995634,0.9993923291315178,0.9993923291315178,0,1466,2025-12-18T16:40:00+00:00,4367.69,timeout
1523,2025-12-18T17:12:00+00:00,2025-12-18T17:13:00+00:00,2025-12-18T17:38:00+00:00,2,up,4326.45,4337.45,11.0,0.9999907752939107,0.9999342813813542,1,1524,2025-12-18T17:38:00+00:00,4337.45,timeout
