signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
18,2025-11-28T05:24:00+00:00,2025-11-28T05:25:00+00:00,2025-11-28T08:10:00+00:00,2,up,4184.21,4169.21,-15.0,0.9999317791477564,0.9999664237509349,0,18,2025-11-28T05:49:00+00:00,4185.49,stop_loss
36,2025-11-28T08:10:00+00:00,2025-11-28T08:11:00+00:00,2025-11-28T08:21:00+00:00,2,up,4167.35,4164.65,-2.7000000000007276,0.8375577345979671,0.8375577345979671,0,36,2025-11-28T09:23:00+00:00,4160.67,reverse_signal
46,2025-11-28T08:21:00+00:00,2025-11-28T08:22:00+00:00,2025-11-28T08:23:00+00:00,2,up,4168.47,4166.04,-2.430000000000291,0.51712557908708,0.51712557908708,0,46,2025-11-28T09:33:00+00:00,4164.58,reverse_signal
113,2025-11-28T14:43:00+00:00,2025-11-28T14:44:00+00:00,2025-11-28T15:08:00+00:00,2,up,4198.81,4193.31,-5.5,0.9945076417954891,0.9945076417954891,0,113,2025-11-28T15:08:00+00:00,4193.31,timeout
282,2025-12-02T01:09:00+00:00,2025-12-02T01:10:00+00:00,2025-12-02T01:43:00+00:00,0,down,4206.06,4210.91,-4.849999999999454,0.6512764291179561,0.987864003555255,3,291,2025-12-02T01:43:00+00:00,4210.91,timeout
490,2025-12-05T16:11:00+00:00,2025-12-05T16:12:00+00:00,2025-12-05T16:45:00+00:00,0,down,4213.93,4210.26,3.6700000000000728,0.8413231089975592,0.9997411481984153,4,499,2025-12-05T16:45:00+00:00,4210.26,target_hit
635,2025-12-10T20:04:00+00:00,2025-12-10T20:05:00+00:00,2025-12-10T20:29:00+00:00,2,up,4224.32,4232.7,8.38000000000011,0.9998857690301398,0.9997887338864918,0,635,2025-12-10T20:29:00+00:00,4232.7,target_hit
919,2025-12-12T15:24:00+00:00,2025-12-12T15:25:00+00:00,2025-12-12T15:59:00+00:00,0,down,4309.44,4286.18,23.25999999999931,0.9997314510849531,0.7487844478267272,9,951,2025-12-12T16:21:00+00:00,4273.72,reverse_signal
954,2025-12-12T15:59:00+00:00,2025-12-12T16:00:00+00:00,2025-12-12T16:21:00+00:00,2,up,4290.04,4275.04,-15.0,0.8183178360009077,0.6119907875684923,3,958,2025-12-12T16:28:00+00:00,4291.08,stop_loss
976,2025-12-12T16:21:00+00:00,2025-12-12T16:22:00+00:00,2025-12-12T16:41:00+00:00,0,down,4273.88,4263.86,10.020000000000437,0.7377571130156327,0.7377571130156327,0,976,2025-12-12T16:46:00+00:00,4271.84,reverse_signal
997,2025-12-12T16:42:00+00:00,2025-12-12T16:43:00+00:00,2025-12-12T17:07:00+00:00,2,up,4259.2,4275.85,16.650000000000546,0.9964088107227096,0.9789407684546039,0,997,2025-12-12T17:07:00+00:00,4275.85,target_hit
1531,2025-12-18T17:20:00+00:00,2025-12-18T17:21:00+00:00,2025-12-18T17:45:00+00:00,2,up,4327.26,4336.68,9.420000000000073,0.961030097239912,0.961030097239912,0,1531,2025-12-18T17:45:00+00:00,4336.68,target_hit
1671,2025-12-23T01:15:00+00:00,2025-12-23T01:16:00+00:00,2025-12-23T14:05:00+00:00,2,up,4484.28,4469.28,-15.0,0.9999893264291041,0.9999771758809174,1,1676,2025-12-23T01:45:00+00:00,4484.94,stop_loss
1686,2025-12-23T14:05:00+00:00,2025-12-23T14:06:00+00:00,2025-12-23T14:30:00+00:00,0,down,4465.9,4459.53,6.369999999999891,0.9847831844224179,0.9847831844224179,0,1686,2025-12-23T14:30:00+00:00,4459.53,target_hit
