signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
304,2026-02-24T01:32:00+00:00,2026-02-24T01:32:00+00:00,2026-02-24T01:39:00+00:00,2,up,5171.65,5164.98,-6.670000000000073,0.9183706677103207,0.9183706677103207,0,304,2026-02-24T01:57:00+00:00,5169.08,reverse_signal
1140,2026-02-26T00:00:00+00:00,2026-02-26T00:00:00+00:00,2026-02-26T00:25:00+00:00,2,up,5161.81,5180.65,18.839999999999236,0.9881403544673487,0.9881403544673487,0,1140,2026-02-26T00:25:00+00:00,5180.65,signal_target
1599,2026-03-01T23:05:00+00:00,2026-03-01T23:05:00+00:00,2026-03-01T23:06:00+00:00,2,up,5368.42,5353.42,-15.0,0.9984556967718273,0.9984556967718273,0,1599,2026-03-01T23:30:00+00:00,5359.51,stop_loss
1601,2026-03-01T23:07:00+00:00,2026-03-01T23:07:00+00:00,2026-03-01T23:32:00+00:00,2,up,5341.77,5365.4,23.6299999999992,0.9973248152049016,0.9973248152049016,0,1601,2026-03-01T23:32:00+00:00,5365.4,signal_target
1641,2026-03-01T23:47:00+00:00,2026-03-01T23:47:00+00:00,2026-03-02T00:09:00+00:00,2,up,5385.54,5370.54,-15.0,0.9641727008445243,0.9641727008445243,0,1641,2026-03-02T00:12:00+00:00,5376.53,stop_loss
1717,2026-03-02T01:33:00+00:00,2026-03-02T01:33:00+00:00,2026-03-02T01:40:00+00:00,2,up,5325.5,5335.76,10.260000000000218,0.7502401770692331,0.7502401770692331,0,1717,2026-03-02T01:58:00+00:00,5326.62,reverse_signal
1725,2026-03-02T01:41:00+00:00,2026-03-02T01:41:00+00:00,2026-03-02T02:06:00+00:00,0,down,5332.33,5320.22,12.109999999999673,0.6472112042530451,0.6472112042530451,0,1725,2026-03-02T02:06:00+00:00,5320.22,signal_target
1955,2026-03-02T15:02:00+00:00,2026-03-02T15:02:00+00:00,2026-03-02T15:03:00+00:00,0,down,5326.13,5323.65,2.480000000000473,0.7102926351621754,0.7102926351621754,0,1955,2026-03-02T15:27:00+00:00,5337.15,reverse_signal
1957,2026-03-02T15:04:00+00:00,2026-03-02T15:04:00+00:00,2026-03-02T15:53:00+00:00,0,down,5330.42,5329.95,0.47000000000025466,0.8588320070513016,0.7712312870085295,1,1981,2026-03-02T15:53:00+00:00,5329.95,signal_target
2015,2026-03-02T16:02:00+00:00,2026-03-02T16:02:00+00:00,2026-03-02T16:06:00+00:00,0,down,5266.86,5284.86,-18.0,0.9508445556721856,0.8557986867500036,1,2018,2026-03-02T16:30:00+00:00,5308.46,stop_loss
2021,2026-03-02T16:08:00+00:00,2026-03-02T16:08:00+00:00,2026-03-02T16:27:00+00:00,0,down,5290.92,5308.92,-18.0,0.8221011538382836,0.9052187018278126,2,2025,2026-03-02T16:37:00+00:00,5293.38,stop_loss
2072,2026-03-02T16:59:00+00:00,2026-03-02T16:59:00+00:00,2026-03-02T17:32:00+00:00,2,up,5290.05,5315.49,25.4399999999996,0.8107808426472166,0.9083344419592013,3,2080,2026-03-02T17:32:00+00:00,5315.49,signal_target
2582,2026-03-03T15:00:00+00:00,2026-03-03T15:00:00+00:00,2026-03-03T15:25:00+00:00,0,down,5051.5,5043.9,7.600000000000364,0.7329595093235253,0.8113331868811049,0,2582,2026-03-03T15:25:00+00:00,5043.9,signal_target
2608,2026-03-03T15:26:00+00:00,2026-03-03T15:26:00+00:00,2026-03-03T15:30:00+00:00,0,down,5044.19,5055.15,-10.960000000000036,0.8366936427239343,0.7686963151787723,2,2610,2026-03-03T15:53:00+00:00,5076.77,reverse_signal
2613,2026-03-03T15:31:00+00:00,2026-03-03T15:31:00+00:00,2026-03-03T15:38:00+00:00,2,up,5061.46,5069.9,8.4399999999996,0.8450260917454345,0.7224033560071511,2,2615,2026-03-03T15:58:00+00:00,5094.6,reverse_signal
2621,2026-03-03T15:39:00+00:00,2026-03-03T15:39:00+00:00,2026-03-03T15:42:00+00:00,0,down,5067.98,5066.42,1.5599999999994907,0.8295645016785637,0.6392067283461451,0,2621,2026-03-03T16:04:00+00:00,5108.31,reverse_signal
2626,2026-03-03T15:44:00+00:00,2026-03-03T15:44:00+00:00,2026-03-03T15:51:00+00:00,0,down,5062.15,5080.15,-18.0,0.7671758336405371,0.9699171446221099,3,2629,2026-03-03T16:12:00+00:00,5101.73,stop_loss
2634,2026-03-03T15:52:00+00:00,2026-03-03T15:52:00+00:00,2026-03-03T16:01:00+00:00,0,down,5079.19,5097.19,-18.0,0.9802376305884709,0.9629280885513298,0,2634,2026-03-03T16:17:00+00:00,5101.97,stop_loss
2644,2026-03-03T16:02:00+00:00,2026-03-03T16:02:00+00:00,2026-03-03T16:05:00+00:00,0,down,5096.19,5114.19,-18.0,0.9765054411852454,0.9766498025886567,0,2644,2026-03-03T16:27:00+00:00,5115.61,stop_loss
2648,2026-03-03T16:06:00+00:00,2026-03-03T16:06:00+00:00,2026-03-03T17:01:00+00:00,0,down,5118.08,5096.22,21.859999999999673,0.9823348856352389,0.911777155714071,9,2690,2026-03-03T17:13:00+00:00,5090.33,reverse_signal
2708,2026-03-03T17:06:00+00:00,2026-03-03T17:06:00+00:00,2026-03-03T17:11:00+00:00,0,down,5086.65,5096.46,-9.8100000000004,0.6784987889383769,0.6784987889383769,0,2708,2026-03-03T17:31:00+00:00,5076.48,reverse_signal
2714,2026-03-03T17:12:00+00:00,2026-03-03T17:12:00+00:00,2026-03-03T17:14:00+00:00,2,up,5094.96,5098.33,3.369999999999891,0.7204519562267561,0.7204519562267561,0,2714,2026-03-03T17:37:00+00:00,5075.8,reverse_signal
2717,2026-03-03T17:15:00+00:00,2026-03-03T17:15:00+00:00,2026-03-03T17:28:00+00:00,2,up,5102.6,5087.6,-15.0,0.6835477169225396,0.9893013520534666,0,2717,2026-03-03T17:40:00+00:00,5086.27,stop_loss
2732,2026-03-03T17:30:00+00:00,2026-03-03T17:30:00+00:00,2026-03-03T17:56:00+00:00,0,down,5081.44,5070.9,10.539999999999964,0.6752817242527219,0.9485526071947576,1,2733,2026-03-03T17:56:00+00:00,5070.9,signal_target
2801,2026-03-03T18:39:00+00:00,2026-03-03T18:39:00+00:00,2026-03-03T19:04:00+00:00,2,up,5132.5,5140.03,7.529999999999745,0.9685510807147066,0.9651605066727543,0,2801,2026-03-03T19:04:00+00:00,5140.03,signal_target
2837,2026-03-03T19:15:00+00:00,2026-03-03T19:15:00+00:00,2026-03-03T19:17:00+00:00,2,up,5121.5,5106.5,-15.0,0.9390513622940683,0.9575311071875734,0,2837,2026-03-03T19:40:00+00:00,5114.93,stop_loss
2840,2026-03-03T19:18:00+00:00,2026-03-03T19:18:00+00:00,2026-03-03T19:36:00+00:00,2,up,5108.17,5105.69,-2.480000000000473,0.9029911879419946,0.6978029091985725,2,2843,2026-03-03T19:46:00+00:00,5126.46,reverse_signal
2859,2026-03-03T19:37:00+00:00,2026-03-03T19:37:00+00:00,2026-03-03T19:51:00+00:00,0,down,5113.25,5120.72,-7.470000000000255,0.712999182807499,0.7266843826193021,1,2861,2026-03-03T20:04:00+00:00,5116.04,reverse_signal
2875,2026-03-03T19:53:00+00:00,2026-03-03T19:53:00+00:00,2026-03-03T20:24:00+00:00,2,up,5119.08,5129.11,10.029999999999745,0.7519752810196852,0.9584568585805079,4,2881,2026-03-03T20:24:00+00:00,5129.11,signal_target
2934,2026-03-03T20:52:00+00:00,2026-03-03T20:52:00+00:00,2026-03-03T21:24:00+00:00,2,up,5092.81,5099.81,7.0,0.6711005455989978,0.7874716953793717,1,2941,2026-03-03T21:24:00+00:00,5099.81,signal_target
3005,2026-03-03T23:04:00+00:00,2026-03-03T23:04:00+00:00,2026-03-03T23:47:00+00:00,2,up,5111.47,5129.84,18.36999999999989,0.9997520270479553,0.96428830795603,2,3023,2026-03-03T23:47:00+00:00,5129.84,signal_target
3400,2026-03-04T15:00:00+00:00,2026-03-04T15:00:00+00:00,2026-03-04T15:48:00+00:00,0,down,5153.14,5138.48,14.660000000000764,0.7117395851962424,0.8169527949813987,2,3423,2026-03-04T15:48:00+00:00,5138.48,signal_target
3538,2026-03-04T17:24:00+00:00,2026-03-04T17:24:00+00:00,2026-03-04T17:49:00+00:00,2,up,5128.77,5140.62,11.849999999999454,0.9922729235014157,0.9426099728472388,0,3538,2026-03-04T17:49:00+00:00,5140.62,signal_target
3809,2026-03-05T15:01:00+00:00,2026-03-05T15:01:00+00:00,2026-03-05T15:02:00+00:00,0,down,5116.56,5116.43,0.13000000000010914,0.7349992068287705,0.7349992068287705,0,3809,2026-03-05T15:26:00+00:00,5077.06,reverse_signal
3811,2026-03-05T15:03:00+00:00,2026-03-05T15:03:00+00:00,2026-03-05T15:04:00+00:00,2,up,5112.15,5097.15,-15.0,0.7302805941595993,0.7302805941595993,0,3811,2026-03-05T15:28:00+00:00,5080.92,stop_loss
3813,2026-03-05T15:05:00+00:00,2026-03-05T15:05:00+00:00,2026-03-05T15:09:00+00:00,0,down,5095.75,5069.94,25.8100000000004,0.6139265478021788,0.6613907908069747,0,3813,2026-03-05T15:30:00+00:00,5084.76,reverse_signal
3818,2026-03-05T15:10:00+00:00,2026-03-05T15:10:00+00:00,2026-03-05T15:21:00+00:00,2,up,5068.43,5082.5,14.069999999999709,0.649699360055475,0.7793304410808616,0,3818,2026-03-05T15:35:00+00:00,5090.02,reverse_signal
3830,2026-03-05T15:22:00+00:00,2026-03-05T15:22:00+00:00,2026-03-05T15:25:00+00:00,0,down,5082.35,5076.65,5.700000000000728,0.6656522355440614,0.7778618851422324,1,3831,2026-03-05T15:48:00+00:00,5086.93,reverse_signal
3835,2026-03-05T15:27:00+00:00,2026-03-05T15:27:00+00:00,2026-03-05T15:34:00+00:00,0,down,5073.23,5091.23,-18.0,0.7431268322060537,0.8534167317035323,0,3835,2026-03-05T15:52:00+00:00,5090.51,stop_loss
3848,2026-03-05T15:40:00+00:00,2026-03-05T15:40:00+00:00,2026-03-05T15:46:00+00:00,0,down,5083.78,5088.2,-4.420000000000073,0.9564183539708939,0.6177906847402469,3,3853,2026-03-05T16:10:00+00:00,5080.42,reverse_signal
3856,2026-03-05T15:48:00+00:00,2026-03-05T15:48:00+00:00,2026-03-05T16:14:00+00:00,2,up,5086.93,5083.64,-3.2899999999999636,0.7831390060520256,0.9877466105297767,1,3857,2026-03-05T16:14:00+00:00,5083.64,signal_target
3912,2026-03-05T16:44:00+00:00,2026-03-05T16:44:00+00:00,2026-03-05T17:09:00+00:00,2,up,5070.96,5086.65,15.6899999999996,0.9907425565318208,0.9907425565318208,0,3912,2026-03-05T17:09:00+00:00,5086.65,signal_target
4194,2026-03-06T15:01:00+00:00,2026-03-06T15:01:00+00:00,2026-03-06T15:26:00+00:00,2,up,5143.99,5168.71,24.720000000000255,0.6316071528799502,0.888448834694149,0,4194,2026-03-06T15:26:00+00:00,5168.71,signal_target
4223,2026-03-06T15:30:00+00:00,2026-03-06T15:30:00+00:00,2026-03-06T15:50:00+00:00,2,up,5158.56,5143.56,-15.0,0.6076994941070648,0.7023835546298995,2,4225,2026-03-06T15:57:00+00:00,5146.5,stop_loss
4254,2026-03-06T16:01:00+00:00,2026-03-06T16:01:00+00:00,2026-03-06T16:26:00+00:00,2,up,5143.94,5137.12,-6.819999999999709,0.9955063649906454,0.9955063649906454,0,4254,2026-03-06T16:26:00+00:00,5137.12,signal_target
4474,2026-03-08T22:02:00+00:00,2026-03-08T22:02:00+00:00,2026-03-08T22:05:00+00:00,2,up,5177.62,5162.62,-15.0,0.9781779909472001,0.9839387384193757,2,4476,2026-03-08T22:29:00+00:00,5156.2,stop_loss
4478,2026-03-08T22:06:00+00:00,2026-03-08T22:06:00+00:00,2026-03-08T22:19:00+00:00,2,up,5149.55,5134.55,-15.0,0.9973133470697373,0.9965073346733212,1,4479,2026-03-08T22:32:00+00:00,5157.93,stop_loss
4492,2026-03-08T22:20:00+00:00,2026-03-08T22:20:00+00:00,2026-03-08T22:41:00+00:00,2,up,5142.13,5127.13,-15.0,0.9940514967636471,0.907138717702297,1,4507,2026-03-08T23:00:00+00:00,5135.23,stop_loss
4514,2026-03-08T22:42:00+00:00,2026-03-08T22:42:00+00:00,2026-03-08T22:43:00+00:00,2,up,5123.57,5108.57,-15.0,0.7953507523406674,0.7953507523406674,0,4514,2026-03-08T23:07:00+00:00,5119.4,stop_loss
4516,2026-03-08T22:44:00+00:00,2026-03-08T22:44:00+00:00,2026-03-08T22:49:00+00:00,2,up,5126.19,5111.19,-15.0,0.7527296133612502,0.6642364442081767,0,4516,2026-03-08T23:09:00+00:00,5114.76,stop_loss
4523,2026-03-08T22:51:00+00:00,2026-03-08T22:51:00+00:00,2026-03-08T23:25:00+00:00,0,down,5117.24,5097.5,19.73999999999978,0.741871654981741,0.7127042391476872,4,4532,2026-03-08T23:25:00+00:00,5097.5,signal_target
4584,2026-03-08T23:52:00+00:00,2026-03-08T23:52:00+00:00,2026-03-09T00:10:00+00:00,2,up,5063.88,5048.88,-15.0,0.9188452803741177,0.7005932908280641,5,4600,2026-03-09T00:33:00+00:00,5054.33,stop_loss
4603,2026-03-09T00:11:00+00:00,2026-03-09T00:11:00+00:00,2026-03-09T00:13:00+00:00,2,up,5045.73,5030.73,-15.0,0.8720617408439382,0.8720617408439382,0,4603,2026-03-09T00:36:00+00:00,5059.46,stop_loss
