signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
223,2026-02-24T01:03:00+00:00,2026-02-24T01:03:00+00:00,2026-02-24T01:16:00+00:00,0,down,5207.66,5148.28,59.38000000000011,0.9112010250816366,0.8263414263198549,0,223,2026-02-24T01:28:00+00:00,5160.51,reverse_signal
237,2026-02-24T01:17:00+00:00,2026-02-24T01:17:00+00:00,2026-02-24T01:38:00+00:00,2,up,5162.59,5166.56,3.9700000000002547,0.9040898893532514,0.7692398626848403,2,240,2026-02-24T01:45:00+00:00,5178.4,reverse_signal
259,2026-02-24T01:39:00+00:00,2026-02-24T01:39:00+00:00,2026-02-24T02:07:00+00:00,0,down,5164.98,5171.15,-6.170000000000073,0.8176236723199037,0.6048864296131171,1,262,2026-02-24T02:07:00+00:00,5171.15,signal_target
1700,2026-02-27T16:25:00+00:00,2026-02-27T16:25:00+00:00,2026-02-27T16:50:00+00:00,2,up,5235.0,5236.19,1.1899999999995998,0.6508567707334021,0.6508567707334021,0,1700,2026-02-27T16:50:00+00:00,5236.19,signal_target
1826,2026-03-01T23:05:00+00:00,2026-03-01T23:05:00+00:00,2026-03-01T23:06:00+00:00,2,up,5368.42,5353.42,-15.0,0.9885790559218586,0.9885790559218586,0,1826,2026-03-01T23:30:00+00:00,5359.51,stop_loss
1828,2026-03-01T23:07:00+00:00,2026-03-01T23:07:00+00:00,2026-03-01T23:37:00+00:00,2,up,5341.77,5375.54,33.76999999999953,0.987085551382236,0.9815939311643712,3,1833,2026-03-01T23:37:00+00:00,5375.54,signal_target
1945,2026-03-02T01:04:00+00:00,2026-03-02T01:04:00+00:00,2026-03-02T01:29:00+00:00,2,up,5329.85,5314.85,-15.0,0.6391113354939736,0.6238206656503358,2,1962,2026-03-02T01:46:00+00:00,5334.37,stop_loss
1973,2026-03-02T01:32:00+00:00,2026-03-02T01:32:00+00:00,2026-03-02T01:36:00+00:00,0,down,5315.17,5328.12,-12.949999999999818,0.6489685639502338,0.6734609330553396,2,1975,2026-03-02T01:59:00+00:00,5325.14,reverse_signal
1978,2026-03-02T01:37:00+00:00,2026-03-02T01:37:00+00:00,2026-03-02T02:02:00+00:00,2,up,5327.96,5322.13,-5.829999999999927,0.6967369668088269,0.7820806420262424,0,1978,2026-03-02T02:02:00+00:00,5322.13,signal_target
2397,2026-03-02T14:22:00+00:00,2026-03-02T14:22:00+00:00,2026-03-02T14:31:00+00:00,0,down,5349.46,5324.03,25.43000000000029,0.8997099282209188,0.6159954483016344,0,2397,2026-03-02T14:47:00+00:00,5335.08,reverse_signal
