signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
5,2026-02-06T00:05:00+00:00,2026-02-06T00:05:00+00:00,2026-02-06T00:26:00+00:00,0,down,4692.0,4710.0,-18.0,0.6228394072181025,0.8710372359457726,1,6,2026-02-06T00:31:00+00:00,4714.08,stop_loss
27,2026-02-06T00:27:00+00:00,2026-02-06T00:27:00+00:00,2026-02-06T00:37:00+00:00,0,down,4725.6,4743.6,-18.0,0.8452612616625547,0.7499075753153137,2,36,2026-02-06T01:01:00+00:00,4718.64,stop_loss
38,2026-02-06T00:38:00+00:00,2026-02-06T00:38:00+00:00,2026-02-06T00:42:00+00:00,0,down,4737.0,4755.0,-18.0,0.8114343878811712,0.7903971731823314,0,38,2026-02-06T01:03:00+00:00,4734.29,stop_loss
44,2026-02-06T00:44:00+00:00,2026-02-06T00:44:00+00:00,2026-02-06T00:54:00+00:00,0,down,4758.85,4741.48,17.3700000000008,0.7566970655378737,0.625181455516354,1,53,2026-02-06T01:18:00+00:00,4719.02,reverse_signal
56,2026-02-06T00:56:00+00:00,2026-02-06T00:56:00+00:00,2026-02-06T00:57:00+00:00,2,up,4749.52,4755.92,6.399999999999636,0.6035691205040599,0.6035691205040599,0,56,2026-02-06T01:21:00+00:00,4722.87,reverse_signal
58,2026-02-06T00:58:00+00:00,2026-02-06T00:58:00+00:00,2026-02-06T01:03:00+00:00,0,down,4764.52,4734.29,30.230000000000473,0.8524093284282553,0.6540764689622092,0,58,2026-02-06T01:23:00+00:00,4708.1,reverse_signal
64,2026-02-06T01:04:00+00:00,2026-02-06T01:04:00+00:00,2026-02-06T01:05:00+00:00,2,up,4747.05,4738.26,-8.789999999999964,0.7193373016222103,0.7193373016222103,0,64,2026-02-06T01:29:00+00:00,4712.3,reverse_signal
66,2026-02-06T01:06:00+00:00,2026-02-06T01:06:00+00:00,2026-02-06T01:31:00+00:00,0,down,4750.83,4728.7,22.13000000000011,0.9170893076231176,0.6416416883637548,0,66,2026-02-06T01:31:00+00:00,4728.7,signal_target
95,2026-02-06T01:35:00+00:00,2026-02-06T01:35:00+00:00,2026-02-06T01:53:00+00:00,0,down,4743.15,4761.15,-18.0,0.6058206964504567,0.9467114143251916,2,98,2026-02-06T02:03:00+00:00,4766.55,stop_loss
118,2026-02-06T01:58:00+00:00,2026-02-06T01:58:00+00:00,2026-02-06T02:07:00+00:00,0,down,4766.08,4784.08,-18.0,0.7072677174848611,0.7580476835040765,0,118,2026-02-06T02:23:00+00:00,4792.02,stop_loss
128,2026-02-06T02:08:00+00:00,2026-02-06T02:08:00+00:00,2026-02-06T02:09:00+00:00,2,up,4779.33,4790.13,10.800000000000182,0.6261533558531432,0.6261533558531432,0,128,2026-02-06T02:33:00+00:00,4829.04,reverse_signal
