signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
223,2026-02-24T01:03:00+00:00,2026-02-24T01:03:00+00:00,2026-02-24T01:15:00+00:00,0,down,5207.66,5157.77,49.88999999999942,0.8998927433315896,0.709841895486264,0,223,2026-02-24T01:28:00+00:00,5160.51,reverse_signal
236,2026-02-24T01:16:00+00:00,2026-02-24T01:16:00+00:00,2026-02-24T01:36:00+00:00,2,up,5148.28,5170.94,22.659999999999854,0.7283562399273148,0.7832291084951944,3,240,2026-02-24T01:45:00+00:00,5178.4,reverse_signal
258,2026-02-24T01:38:00+00:00,2026-02-24T01:38:00+00:00,2026-02-24T02:08:00+00:00,0,down,5166.56,5169.71,-3.149999999999636,0.8825948050985841,0.8172516181671263,2,263,2026-02-24T02:08:00+00:00,5169.71,signal_target
1331,2026-02-26T15:00:00+00:00,2026-02-26T15:00:00+00:00,2026-02-26T15:25:00+00:00,0,down,5166.32,5153.52,12.799999999999272,0.9544093962654053,0.9544093962654053,0,1331,2026-02-26T15:25:00+00:00,5153.52,signal_target
1359,2026-02-26T15:28:00+00:00,2026-02-26T15:28:00+00:00,2026-02-26T15:35:00+00:00,0,down,5139.94,5157.94,-18.0,0.8715157059616703,0.9477574190139035,2,1362,2026-02-26T15:56:00+00:00,5189.23,stop_loss
1536,2026-02-27T13:08:00+00:00,2026-02-27T13:08:00+00:00,2026-02-27T13:33:00+00:00,2,up,5213.85,5229.25,15.399999999999636,0.7711779756029171,0.7711779756029171,0,1536,2026-02-27T13:33:00+00:00,5229.25,signal_target
1827,2026-03-01T23:06:00+00:00,2026-03-01T23:06:00+00:00,2026-03-01T23:34:00+00:00,2,up,5343.76,5366.86,23.099999999999454,0.9768017508805289,0.99349112903422,3,1830,2026-03-01T23:34:00+00:00,5366.86,signal_target
1943,2026-03-02T01:02:00+00:00,2026-03-02T01:02:00+00:00,2026-03-02T01:16:00+00:00,2,up,5330.63,5343.68,13.050000000000182,0.7106422822898737,0.6998874982814278,1,1954,2026-03-02T01:38:00+00:00,5332.55,reverse_signal
1964,2026-03-02T01:23:00+00:00,2026-03-02T01:23:00+00:00,2026-03-02T01:29:00+00:00,2,up,5327.73,5312.73,-15.0,0.6074309726119537,0.7542105560257616,1,1965,2026-03-02T01:49:00+00:00,5331.31,stop_loss
1971,2026-03-02T01:30:00+00:00,2026-03-02T01:30:00+00:00,2026-03-02T01:36:00+00:00,0,down,5311.15,5328.12,-16.970000000000255,0.6161996953601718,0.6512350057868657,2,1975,2026-03-02T01:59:00+00:00,5325.14,reverse_signal
1979,2026-03-02T01:38:00+00:00,2026-03-02T01:38:00+00:00,2026-03-02T02:02:00+00:00,0,down,5332.55,5322.13,10.420000000000073,0.7131001201659546,0.9294793118328073,2,1984,2026-03-02T02:08:00+00:00,5323.56,reverse_signal
2397,2026-03-02T14:22:00+00:00,2026-03-02T14:22:00+00:00,2026-03-02T14:31:00+00:00,0,down,5349.46,5324.03,25.43000000000029,0.8968539267543487,0.779868173259785,0,2397,2026-03-02T14:47:00+00:00,5335.08,reverse_signal
2407,2026-03-02T14:32:00+00:00,2026-03-02T14:32:00+00:00,2026-03-02T14:33:00+00:00,2,up,5325.15,5310.15,-15.0,0.6997759973982709,0.6997759973982709,0,2407,2026-03-02T14:57:00+00:00,5330.17,stop_loss
