signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
40,2025-11-25T17:17:00+00:00,2025-11-25T17:17:00+00:00,2025-11-25T17:43:00+00:00,2,up,4148.52,4151.26,2.7399999999997817,0.9967482885139849,0.9968263466122089,1,41,2025-11-25T17:43:00+00:00,4151.26,target_hit
43,2025-11-28T05:24:00+00:00,2025-11-28T05:24:00+00:00,2025-11-28T08:10:00+00:00,2,up,4184.1,4169.1,-15.0,0.9998850501176592,0.9999424659832226,0,43,2025-11-28T05:49:00+00:00,4185.49,stop_loss
62,2025-11-28T08:11:00+00:00,2025-11-28T08:11:00+00:00,2025-11-28T09:24:00+00:00,0,down,4176.7,4161.04,15.659999999999854,0.691230060096509,0.6173684751407873,0,62,2025-11-28T09:24:00+00:00,4161.04,target_hit
308,2025-12-02T01:10:00+00:00,2025-12-02T01:10:00+00:00,2025-12-02T01:35:00+00:00,0,down,4206.4,4217.0,-10.600000000000364,0.9204358055435571,0.9204358055435571,0,308,2025-12-02T01:35:00+00:00,4217.0,timeout
950,2025-12-12T15:30:00+00:00,2025-12-12T15:30:00+00:00,2025-12-12T15:58:00+00:00,0,down,4304.89,4286.54,18.350000000000364,0.9962288659806992,0.9776897898487135,6,965,2025-12-12T16:10:00+00:00,4276.82,reverse_signal
981,2025-12-12T16:01:00+00:00,2025-12-12T16:01:00+00:00,2025-12-12T16:21:00+00:00,2,up,4284.17,4273.72,-10.449999999999818,0.870286566713929,0.9917502028341528,2,983,2025-12-12T16:28:00+00:00,4291.08,reverse_signal
1022,2025-12-12T16:42:00+00:00,2025-12-12T16:42:00+00:00,2025-12-12T17:11:00+00:00,2,up,4259.19,4276.07,16.88000000000011,0.9900590953841375,0.8814813829991028,1,1026,2025-12-12T17:11:00+00:00,4276.07,target_hit
1554,2025-12-18T17:18:00+00:00,2025-12-18T17:18:00+00:00,2025-12-18T17:43:00+00:00,2,up,4331.15,4335.39,4.240000000000691,0.9927601678019898,0.9927601678019898,0,1554,2025-12-18T17:43:00+00:00,4335.39,target_hit
1954,2025-12-24T03:01:00+00:00,2025-12-24T03:01:00+00:00,2025-12-24T03:26:00+00:00,2,up,4482.21,4491.14,8.930000000000291,0.9886762918614951,0.9886762918614951,0,1954,2025-12-24T03:26:00+00:00,4491.14,target_hit
2243,2025-12-29T00:23:00+00:00,2025-12-29T00:23:00+00:00,2025-12-29T00:30:00+00:00,0,down,4495.64,4480.99,14.650000000000546,0.7958997931703186,0.7321369242684497,2,2246,2025-12-29T00:51:00+00:00,4499.36,reverse_signal
