signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
43,2025-11-28T05:24:00+00:00,2025-11-28T05:24:00+00:00,2025-11-28T08:10:00+00:00,2,up,4184.1,4169.1,-15.0,0.9999164764744151,0.9999164764744151,0,43,2025-11-28T05:49:00+00:00,4185.49,stop_loss
71,2025-11-28T08:21:00+00:00,2025-11-28T08:21:00+00:00,2025-11-28T09:33:00+00:00,2,up,4160.98,4164.58,3.600000000000364,0.9836302911929692,0.9836302911929692,0,71,2025-11-28T09:33:00+00:00,4164.58,target_hit
218,2025-12-01T14:50:00+00:00,2025-12-01T14:50:00+00:00,2025-12-01T15:15:00+00:00,0,down,4236.97,4225.66,11.3100000000004,0.999674597909325,0.999674597909325,0,218,2025-12-01T15:15:00+00:00,4225.66,target_hit
308,2025-12-02T01:10:00+00:00,2025-12-02T01:10:00+00:00,2025-12-02T01:39:00+00:00,0,down,4206.4,4214.46,-8.0600000000004,0.6688975479137935,0.9946109825187898,2,312,2025-12-02T01:39:00+00:00,4214.46,timeout
516,2025-12-05T16:12:00+00:00,2025-12-05T16:12:00+00:00,2025-12-05T16:37:00+00:00,2,up,4213.78,4215.31,1.5300000000006548,0.8735454887914361,0.8735454887914361,0,516,2025-12-05T16:37:00+00:00,4215.31,target_hit
964,2025-12-12T15:44:00+00:00,2025-12-12T15:44:00+00:00,2025-12-12T15:47:00+00:00,0,down,4317.59,4320.1,-2.5100000000002183,0.9208673766996234,0.7468118246709833,1,965,2025-12-12T16:10:00+00:00,4276.82,reverse_signal
968,2025-12-12T15:48:00+00:00,2025-12-12T15:48:00+00:00,2025-12-12T15:58:00+00:00,0,down,4318.88,4286.54,32.340000000000146,0.9649205852377549,0.9959418980791686,1,973,2025-12-12T16:18:00+00:00,4282.14,reverse_signal
981,2025-12-12T16:01:00+00:00,2025-12-12T16:01:00+00:00,2025-12-12T16:28:00+00:00,2,up,4284.17,4291.08,6.9099999999998545,0.9546692705609084,0.9421909762004504,2,983,2025-12-12T16:28:00+00:00,4291.08,target_hit
1020,2025-12-12T16:40:00+00:00,2025-12-12T16:40:00+00:00,2025-12-12T16:48:00+00:00,2,up,4262.37,4278.53,16.159999999999854,0.9908279492937644,0.9004503674774589,0,1020,2025-12-12T17:05:00+00:00,4278.76,reverse_signal
1554,2025-12-18T17:18:00+00:00,2025-12-18T17:18:00+00:00,2025-12-18T17:43:00+00:00,2,up,4331.15,4335.39,4.240000000000691,0.9973530557879984,0.9973530557879984,0,1554,2025-12-18T17:43:00+00:00,4335.39,target_hit
2243,2025-12-29T00:23:00+00:00,2025-12-29T00:23:00+00:00,2025-12-29T00:31:00+00:00,0,down,4495.64,4484.01,11.63000000000011,0.9153288782714928,0.6080905572746509,3,2250,2025-12-29T00:55:00+00:00,4497.46,reverse_signal
2252,2025-12-29T00:32:00+00:00,2025-12-29T00:32:00+00:00,2025-12-29T00:59:00+00:00,0,down,4488.24,4497.88,-9.640000000000327,0.9851311409578336,0.740404078763012,1,2254,2025-12-29T00:59:00+00:00,4497.88,timeout
