signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
236,2026-02-24T01:16:00+00:00,2026-02-24T01:16:00+00:00,2026-02-24T01:17:00+00:00,0,down,5148.28,5162.59,-14.3100000000004,0.6358688628172673,0.6358688628172673,0,236,2026-02-24T01:41:00+00:00,5169.35,reverse_signal
240,2026-02-24T01:20:00+00:00,2026-02-24T01:20:00+00:00,2026-02-24T01:24:00+00:00,2,up,5169.05,5154.05,-15.0,0.7543369360612355,0.7543369360612355,0,240,2026-02-24T01:45:00+00:00,5178.4,stop_loss
245,2026-02-24T01:25:00+00:00,2026-02-24T01:25:00+00:00,2026-02-24T01:50:00+00:00,2,up,5150.02,5176.16,26.139999999999418,0.728644356463007,0.7489621689202591,0,245,2026-02-24T01:50:00+00:00,5176.16,signal_target
1359,2026-02-26T15:28:00+00:00,2026-02-26T15:28:00+00:00,2026-02-26T15:35:00+00:00,0,down,5139.94,5157.94,-18.0,0.9071308507469238,0.9071308507469238,0,1359,2026-02-26T15:53:00+00:00,5191.34,stop_loss
1826,2026-03-01T23:05:00+00:00,2026-03-01T23:05:00+00:00,2026-03-01T23:06:00+00:00,2,up,5368.42,5353.42,-15.0,0.9872618866171926,0.9872618866171926,0,1826,2026-03-01T23:30:00+00:00,5359.51,stop_loss
1949,2026-03-02T01:08:00+00:00,2026-03-02T01:08:00+00:00,2026-03-02T01:21:00+00:00,0,down,5328.02,5332.48,-4.459999999999127,0.6972848270022354,0.6152717867018038,1,1950,2026-03-02T01:34:00+00:00,5325.25,reverse_signal
1964,2026-03-02T01:23:00+00:00,2026-03-02T01:23:00+00:00,2026-03-02T01:29:00+00:00,2,up,5327.73,5312.73,-15.0,0.6959944335376208,0.6851418296730105,1,1965,2026-03-02T01:49:00+00:00,5331.31,stop_loss
1973,2026-03-02T01:32:00+00:00,2026-03-02T01:32:00+00:00,2026-03-02T01:39:00+00:00,0,down,5315.17,5333.17,-18.0,0.6220353853728375,0.7763292431939826,3,1978,2026-03-02T02:02:00+00:00,5322.13,stop_loss
2401,2026-03-02T14:26:00+00:00,2026-03-02T14:26:00+00:00,2026-03-02T14:28:00+00:00,0,down,5314.74,5332.74,-18.0,0.7016203280422879,0.6112109392908056,1,2402,2026-03-02T14:52:00+00:00,5333.22,stop_loss
2404,2026-03-02T14:29:00+00:00,2026-03-02T14:29:00+00:00,2026-03-02T14:42:00+00:00,0,down,5333.69,5351.69,-18.0,0.8017815468169947,0.7158525473573267,1,2405,2026-03-02T14:55:00+00:00,5335.84,stop_loss
2423,2026-03-02T14:48:00+00:00,2026-03-02T14:48:00+00:00,2026-03-02T15:17:00+00:00,0,down,5340.71,5322.07,18.640000000000327,0.8991964591501348,0.6903757380827253,1,2427,2026-03-02T15:17:00+00:00,5322.07,signal_target
2498,2026-03-02T16:03:00+00:00,2026-03-02T16:03:00+00:00,2026-03-02T16:06:00+00:00,0,down,5273.0,5291.0,-18.0,0.7733308338937435,0.7233106592571961,1,2500,2026-03-02T16:30:00+00:00,5308.46,stop_loss
2502,2026-03-02T16:07:00+00:00,2026-03-02T16:07:00+00:00,2026-03-02T16:13:00+00:00,0,down,5282.19,5300.19,-18.0,0.8221812985043835,0.8220589307949406,3,2505,2026-03-02T16:35:00+00:00,5286.81,stop_loss
2514,2026-03-02T16:19:00+00:00,2026-03-02T16:19:00+00:00,2026-03-02T16:25:00+00:00,0,down,5285.54,5303.54,-18.0,0.8676019993558993,0.9548325494189555,1,2516,2026-03-02T16:46:00+00:00,5297.21,stop_loss
2531,2026-03-02T16:36:00+00:00,2026-03-02T16:36:00+00:00,2026-03-02T17:00:00+00:00,0,down,5293.53,5296.77,-3.240000000000691,0.8534595529916778,0.7283382347015663,1,2541,2026-03-02T17:11:00+00:00,5296.82,reverse_signal
2556,2026-03-02T17:01:00+00:00,2026-03-02T17:01:00+00:00,2026-03-02T17:27:00+00:00,2,up,5297.22,5311.79,14.569999999999709,0.901561694262049,0.9213145542585233,1,2557,2026-03-02T17:27:00+00:00,5311.79,signal_target
2730,2026-03-02T20:20:00+00:00,2026-03-02T20:20:00+00:00,2026-03-02T20:45:00+00:00,2,up,5336.77,5337.94,1.1699999999991633,0.935324499209317,0.935324499209317,0,2730,2026-03-02T20:45:00+00:00,5337.94,signal_target
3048,2026-03-03T06:14:00+00:00,2026-03-03T06:14:00+00:00,2026-03-03T06:40:00+00:00,2,up,5290.29,5311.56,21.270000000000437,0.7592377354099408,0.8257603410526599,1,3049,2026-03-03T06:40:00+00:00,5311.56,signal_target
