side,entry_idx,exit_idx,entry_time,exit_time,entry_price,exit_price,pnl_usd,bars_held,exit_reason,lookback,ema_fast,ema_slow,atr_period,tp_atr,sl_atr,max_hold
short,65,74,2026-01-02 16:15:00+00:00,2026-01-02 18:30:00+00:00,4322.63,4312.73,9.900000000000546,10,timeout,24,20,60,10,1.6,1.3,10
long,118,127,2026-01-05 06:30:00+00:00,2026-01-05 08:45:00+00:00,4424.53,4429.96,5.430000000000291,10,timeout,24,20,60,10,1.6,1.3,10
long,131,136,2026-01-05 09:45:00+00:00,2026-01-05 11:00:00+00:00,4437.87,4430.4444,-7.4255999999995765,6,stop_loss,24,20,60,10,1.6,1.3,10
long,153,160,2026-01-05 15:15:00+00:00,2026-01-05 17:00:00+00:00,4449.38,4432.9467,-16.43329999999969,8,stop_loss,24,20,60,10,1.6,1.3,10
long,243,246,2026-01-06 14:45:00+00:00,2026-01-06 15:30:00+00:00,4479.64,4467.5617,-12.078300000000127,4,stop_loss,24,20,60,10,1.6,1.3,10
short,329,329,2026-01-07 13:15:00+00:00,2026-01-07 13:15:00+00:00,4432.74,4444.3333999999995,-11.593399999999747,1,stop_loss,24,20,60,10,1.6,1.3,10
short,337,338,2026-01-07 15:15:00+00:00,2026-01-07 15:30:00+00:00,4426.62,4444.2272,-17.607200000000375,2,stop_loss,24,20,60,10,1.6,1.3,10
short,417,417,2026-01-08 12:15:00+00:00,2026-01-08 12:15:00+00:00,4412.29,4420.3552,-8.065200000000004,1,stop_loss,24,20,60,10,1.6,1.3,10
long,435,444,2026-01-08 16:45:00+00:00,2026-01-08 19:00:00+00:00,4460.9,4447.25,-13.649999999999636,10,timeout,24,20,60,10,1.6,1.3,10
long,450,456,2026-01-08 20:30:00+00:00,2026-01-08 23:00:00+00:00,4470.87,4482.2908,11.420799999999872,7,take_profit,24,20,60,10,1.6,1.3,10
long,515,521,2026-01-09 13:45:00+00:00,2026-01-09 15:15:00+00:00,4487.48,4503.0144,15.53440000000046,7,take_profit,24,20,60,10,1.6,1.3,10
long,523,531,2026-01-09 15:45:00+00:00,2026-01-09 17:45:00+00:00,4514.86,4494.8946,-19.965400000000045,9,stop_loss,24,20,60,10,1.6,1.3,10
long,588,592,2026-01-12 09:00:00+00:00,2026-01-12 10:00:00+00:00,4596.96,4587.2022,-9.757800000000316,5,stop_loss,24,20,60,10,1.6,1.3,10
long,605,607,2026-01-12 13:15:00+00:00,2026-01-12 13:45:00+00:00,4606.72,4619.555200000001,12.835200000000441,3,take_profit,24,20,60,10,1.6,1.3,10
long,615,624,2026-01-12 15:45:00+00:00,2026-01-12 18:00:00+00:00,4623.91,4608.41,-15.5,10,timeout,24,20,60,10,1.6,1.3,10
long,699,703,2026-01-13 13:45:00+00:00,2026-01-13 14:45:00+00:00,4618.27,4632.5804,14.31039999999939,5,take_profit,24,20,60,10,1.6,1.3,10
short,883,884,2026-01-15 13:45:00+00:00,2026-01-15 14:00:00+00:00,4590.06,4599.2419,-9.181899999999587,2,stop_loss,24,20,60,10,1.6,1.3,10
short,973,973,2026-01-16 13:15:00+00:00,2026-01-16 13:15:00+00:00,4596.5,4585.6968,10.803200000000288,1,take_profit,24,20,60,10,1.6,1.3,10
long,981,981,2026-01-16 15:15:00+00:00,2026-01-16 15:15:00+00:00,4616.36,4601.8299,-14.530099999999948,1,stop_loss,24,20,60,10,1.6,1.3,10
short,983,984,2026-01-16 15:45:00+00:00,2026-01-16 16:00:00+00:00,4555.42,4578.7329,-23.3128999999999,2,stop_loss,24,20,60,10,1.6,1.3,10
long,1076,1085,2026-01-19 16:00:00+00:00,2026-01-19 18:15:00+00:00,4674.53,4678.47,3.9400000000005093,10,timeout,24,20,60,10,1.6,1.3,10
long,1124,1131,2026-01-20 07:30:00+00:00,2026-01-20 09:15:00+00:00,4718.69,4731.73,13.039999999999964,8,take_profit,24,20,60,10,1.6,1.3,10
long,1133,1136,2026-01-20 09:45:00+00:00,2026-01-20 10:30:00+00:00,4734.5,4724.3431,-10.15689999999995,4,stop_loss,24,20,60,10,1.6,1.3,10
long,1151,1152,2026-01-20 14:15:00+00:00,2026-01-20 14:30:00+00:00,4740.61,4730.132,-10.478000000000065,2,stop_loss,24,20,60,10,1.6,1.3,10
long,1162,1171,2026-01-20 17:00:00+00:00,2026-01-20 19:15:00+00:00,4753.03,4759.71,6.680000000000291,10,timeout,24,20,60,10,1.6,1.3,10
long,1212,1212,2026-01-21 06:30:00+00:00,2026-01-21 06:30:00+00:00,4884.25,4869.6445,-14.605499999999665,1,stop_loss,24,20,60,10,1.6,1.3,10
long,1241,1242,2026-01-21 13:45:00+00:00,2026-01-21 14:00:00+00:00,4877.43,4865.4154,-12.014600000000428,2,stop_loss,24,20,60,10,1.6,1.3,10
short,1265,1267,2026-01-21 19:45:00+00:00,2026-01-21 20:15:00+00:00,4765.85,4793.290400000001,-27.44040000000041,3,stop_loss,24,20,60,10,1.6,1.3,10
long,1337,1338,2026-01-22 14:45:00+00:00,2026-01-22 15:00:00+00:00,4846.02,4832.347900000001,-13.672099999999773,2,stop_loss,24,20,60,10,1.6,1.3,10
long,1340,1342,2026-01-22 15:30:00+00:00,2026-01-22 16:00:00+00:00,4854.16,4874.744,20.583999999999833,3,take_profit,24,20,60,10,1.6,1.3,10
long,1345,1349,2026-01-22 16:45:00+00:00,2026-01-22 17:45:00+00:00,4881.14,4901.533600000001,20.393600000000333,5,take_profit,24,20,60,10,1.6,1.3,10
long,1351,1359,2026-01-22 18:15:00+00:00,2026-01-22 20:15:00+00:00,4908.89,4928.131600000001,19.24160000000029,9,take_profit,24,20,60,10,1.6,1.3,10
long,1433,1435,2026-01-23 15:45:00+00:00,2026-01-23 16:15:00+00:00,4959.24,4980.7375999999995,21.497599999999693,3,take_profit,24,20,60,10,1.6,1.3,10
long,1527,1527,2026-01-26 16:15:00+00:00,2026-01-26 16:15:00+00:00,5101.7,5082.0725999999995,-19.627400000000307,1,stop_loss,24,20,60,10,1.6,1.3,10
long,1620,1629,2026-01-27 16:30:00+00:00,2026-01-27 18:45:00+00:00,5099.11,5087.91,-11.199999999999818,10,timeout,24,20,60,10,1.6,1.3,10
long,1635,1637,2026-01-27 20:15:00+00:00,2026-01-27 20:45:00+00:00,5141.54,5160.42,18.88000000000011,3,take_profit,24,20,60,10,1.6,1.3,10
