ts,pred,side,entry,exit,pnl
2026-02-23T01:58:00+00:00,0,down,5159.06,5168.58,-9.519999999999527
2026-02-23T02:06:00+00:00,0,down,5163.77,5174.32,-10.549999999999272
2026-02-24T01:36:00+00:00,0,down,5170.94,5169.85,1.089999999999236
2026-03-02T01:36:00+00:00,0,down,5328.12,5333.35,-5.230000000000473
2026-03-02T15:04:00+00:00,0,down,5330.42,5342.28,-11.859999999999673
2026-03-02T15:05:00+00:00,0,down,5321.8,5335.81,-14.010000000000218
2026-03-02T15:06:00+00:00,0,down,5320.24,5326.47,-6.230000000000473
2026-03-02T15:07:00+00:00,0,down,5340.35,5335.26,5.0900000000001455
2026-03-02T15:10:00+00:00,0,down,5337.08,5336.34,0.7399999999997817
2026-03-02T16:31:00+00:00,0,down,5304.77,5296.82,7.950000000000728
2026-03-02T16:39:00+00:00,0,down,5306.53,5296.38,10.149999999999636
2026-03-02T16:40:00+00:00,0,down,5308.44,5302.33,6.109999999999673
2026-03-02T16:42:00+00:00,0,down,5302.15,5300.42,1.7299999999995634
2026-03-02T16:48:00+00:00,0,down,5298.64,5307.64,-9.0
2026-03-02T16:50:00+00:00,0,down,5299.89,5309.52,-9.63000000000011
2026-03-02T17:03:00+00:00,2,up,5293.15,5305.4,12.25
2026-03-02T17:32:00+00:00,2,up,5315.49,5293.62,-21.86999999999989
2026-03-03T15:01:00+00:00,0,down,5049.32,5065.01,-15.69000000000051
2026-03-03T15:02:00+00:00,0,down,5060.75,5066.42,-5.670000000000073
2026-03-03T15:03:00+00:00,0,down,5049.8,5060.02,-10.220000000000255
2026-03-03T15:04:00+00:00,2,up,5033.02,5062.15,29.1299999999992
2026-03-03T15:05:00+00:00,0,down,5047.26,5054.7,-7.4399999999996
2026-03-03T15:07:00+00:00,0,down,5054.41,5070.38,-15.970000000000255
2026-03-03T15:09:00+00:00,0,down,5046.29,5073.78,-27.48999999999978
2026-03-03T15:10:00+00:00,2,up,5043.42,5071.51,28.090000000000146
2026-03-03T15:11:00+00:00,2,up,5043.17,5081.5,38.32999999999993
2026-03-03T15:13:00+00:00,2,up,5028.85,5076.77,47.92000000000007
2026-03-03T15:14:00+00:00,2,up,5040.35,5081.83,41.47999999999956
2026-03-03T15:15:00+00:00,2,up,5032.06,5079.19,47.1299999999992
2026-03-03T15:16:00+00:00,2,up,5008.52,5085.52,77.0
2026-03-03T15:17:00+00:00,2,up,5004.12,5092.26,88.14000000000033
2026-03-03T15:18:00+00:00,2,up,5013.88,5094.6,80.72000000000025
2026-03-03T15:19:00+00:00,2,up,5025.71,5095.27,69.5600000000004
2026-03-03T15:21:00+00:00,0,down,5044.33,5097.87,-53.539999999999964
2026-03-03T15:23:00+00:00,0,down,5037.65,5104.21,-66.5600000000004
2026-03-03T15:24:00+00:00,0,down,5040.55,5108.31,-67.76000000000022
2026-03-03T15:25:00+00:00,0,down,5043.9,5115.29,-71.39000000000033
2026-03-03T15:26:00+00:00,0,down,5044.19,5118.08,-73.89000000000033
2026-03-03T15:30:00+00:00,0,down,5055.15,5110.5,-55.350000000000364
2026-03-03T15:31:00+00:00,0,down,5061.46,5104.79,-43.32999999999993
2026-03-03T15:32:00+00:00,0,down,5058.18,5101.73,-43.54999999999927
2026-03-03T15:33:00+00:00,0,down,5057.46,5106.67,-49.210000000000036
2026-03-03T15:35:00+00:00,0,down,5057.12,5108.06,-50.94000000000051
2026-03-03T15:36:00+00:00,0,down,5052.56,5105.38,-52.81999999999971
2026-03-03T15:37:00+00:00,0,down,5064.69,5101.97,-37.280000000000655
2026-03-03T15:38:00+00:00,0,down,5069.9,5106.54,-36.64000000000033
2026-03-03T15:39:00+00:00,0,down,5067.98,5107.77,-39.79000000000087
2026-03-03T15:40:00+00:00,0,down,5065.65,5109.77,-44.1200000000008
2026-03-03T15:41:00+00:00,0,down,5065.01,5112.65,-47.63999999999942
2026-03-03T15:42:00+00:00,0,down,5066.42,5116.6,-50.18000000000029
2026-03-03T15:43:00+00:00,0,down,5060.02,5125.15,-65.1299999999992
2026-03-03T15:44:00+00:00,0,down,5062.15,5121.98,-59.82999999999993
2026-03-03T15:45:00+00:00,0,down,5054.7,5123.54,-68.84000000000015
2026-03-03T15:47:00+00:00,0,down,5070.38,5115.61,-45.22999999999956
2026-03-03T15:49:00+00:00,0,down,5073.78,5112.77,-38.99000000000069
2026-03-03T15:50:00+00:00,0,down,5071.51,5113.84,-42.32999999999993
2026-03-03T15:51:00+00:00,0,down,5081.5,5115.04,-33.539999999999964
2026-03-03T15:52:00+00:00,0,down,5079.19,5114.38,-35.19000000000051
2026-03-03T15:53:00+00:00,0,down,5076.77,5113.08,-36.30999999999949
2026-03-03T15:54:00+00:00,0,down,5081.83,5111.8,-29.970000000000255
