signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,day
19,2026-02-23T01:58:00+00:00,2026-02-23T01:58:00+00:00,2026-02-23T02:38:00+00:00,0,down,5159.06,5168.58,-9.519999999999527,2026-02-23 00:00:00+00:00
308,2026-02-24T01:36:00+00:00,2026-02-24T01:36:00+00:00,2026-02-24T02:16:00+00:00,0,down,5170.94,5169.85,1.089999999999236,2026-02-24 00:00:00+00:00
1720,2026-03-02T01:36:00+00:00,2026-03-02T01:36:00+00:00,2026-03-02T02:16:00+00:00,0,down,5328.12,5333.35,-5.230000000000473,2026-03-02 00:00:00+00:00
1957,2026-03-02T15:04:00+00:00,2026-03-02T15:04:00+00:00,2026-03-02T15:44:00+00:00,0,down,5330.42,5342.28,-11.859999999999673,2026-03-02 00:00:00+00:00
2044,2026-03-02T16:31:00+00:00,2026-03-02T16:31:00+00:00,2026-03-02T17:11:00+00:00,0,down,5304.77,5296.82,7.950000000000728,2026-03-02 00:00:00+00:00
2105,2026-03-02T17:32:00+00:00,2026-03-02T17:32:00+00:00,2026-03-02T18:12:00+00:00,2,up,5315.49,5293.62,-21.86999999999989,2026-03-02 00:00:00+00:00
2583,2026-03-03T15:01:00+00:00,2026-03-03T15:01:00+00:00,2026-03-03T15:41:00+00:00,0,down,5049.32,5065.01,-15.69000000000051,2026-03-03 00:00:00+00:00
2624,2026-03-03T15:42:00+00:00,2026-03-03T15:42:00+00:00,2026-03-03T16:22:00+00:00,0,down,5066.42,5116.6,-50.18000000000029,2026-03-03 00:00:00+00:00
2665,2026-03-03T16:23:00+00:00,2026-03-03T16:23:00+00:00,2026-03-03T17:03:00+00:00,0,down,5125.15,5084.54,40.60999999999967,2026-03-03 00:00:00+00:00
2707,2026-03-03T17:05:00+00:00,2026-03-03T17:05:00+00:00,2026-03-03T17:45:00+00:00,2,up,5084.83,5082.17,-2.6599999999998545,2026-03-03 00:00:00+00:00
2790,2026-03-03T18:28:00+00:00,2026-03-03T18:28:00+00:00,2026-03-03T19:08:00+00:00,2,up,5112.71,5131.15,18.4399999999996,2026-03-03 00:00:00+00:00
2833,2026-03-03T19:11:00+00:00,2026-03-03T19:11:00+00:00,2026-03-03T19:51:00+00:00,0,down,5124.37,5120.72,3.649999999999636,2026-03-03 00:00:00+00:00
2885,2026-03-03T20:03:00+00:00,2026-03-03T20:03:00+00:00,2026-03-03T20:43:00+00:00,0,down,5117.79,5111.25,6.539999999999964,2026-03-03 00:00:00+00:00
3066,2026-03-04T00:05:00+00:00,2026-03-04T00:05:00+00:00,2026-03-04T00:45:00+00:00,2,up,5112.02,5135.75,23.729999999999563,2026-03-04 00:00:00+00:00
3402,2026-03-04T15:02:00+00:00,2026-03-04T15:02:00+00:00,2026-03-04T15:42:00+00:00,0,down,5158.9,5147.93,10.969999999999345,2026-03-04 00:00:00+00:00
3819,2026-03-05T15:11:00+00:00,2026-03-05T15:11:00+00:00,2026-03-05T15:51:00+00:00,0,down,5072.4,5089.67,-17.270000000000437,2026-03-05 00:00:00+00:00
4204,2026-03-06T15:11:00+00:00,2026-03-06T15:11:00+00:00,2026-03-06T15:51:00+00:00,0,down,5147.01,5140.48,6.530000000000655,2026-03-06 00:00:00+00:00
4482,2026-03-08T22:10:00+00:00,2026-03-08T22:10:00+00:00,2026-03-08T22:50:00+00:00,2,up,5167.02,5107.06,-59.960000000000036,2026-03-08 00:00:00+00:00
4614,2026-03-09T00:22:00+00:00,2026-03-09T00:22:00+00:00,2026-03-09T01:02:00+00:00,0,down,5050.98,5038.42,12.55999999999949,2026-03-09 00:00:00+00:00
4690,2026-03-09T02:08:00+00:00,2026-03-09T02:08:00+00:00,2026-03-09T02:48:00+00:00,0,down,5079.15,5092.73,-13.579999999999927,2026-03-09 00:00:00+00:00
7409,2026-03-19T15:00:00+00:00,2026-03-19T15:00:00+00:00,2026-03-19T15:40:00+00:00,0,down,4601.9,4579.33,22.56999999999971,2026-03-19 00:00:00+00:00
7454,2026-03-19T15:45:00+00:00,2026-03-19T15:45:00+00:00,2026-03-19T16:25:00+00:00,0,down,4573.22,4607.56,-34.340000000000146,2026-03-19 00:00:00+00:00
7496,2026-03-19T16:27:00+00:00,2026-03-19T16:27:00+00:00,2026-03-19T17:07:00+00:00,0,down,4602.03,4588.75,13.279999999999745,2026-03-19 00:00:00+00:00
7545,2026-03-19T17:16:00+00:00,2026-03-19T17:16:00+00:00,2026-03-19T17:56:00+00:00,0,down,4580.81,4618.6,-37.789999999999964,2026-03-19 00:00:00+00:00
7587,2026-03-19T17:58:00+00:00,2026-03-19T17:58:00+00:00,2026-03-19T18:38:00+00:00,2,up,4615.78,4605.25,-10.529999999999745,2026-03-19 00:00:00+00:00
7644,2026-03-19T18:55:00+00:00,2026-03-19T18:55:00+00:00,2026-03-19T19:35:00+00:00,2,up,4606.88,4633.98,27.099999999999454,2026-03-19 00:00:00+00:00
7685,2026-03-19T19:36:00+00:00,2026-03-19T19:36:00+00:00,2026-03-19T20:16:00+00:00,0,down,4639.99,4650.57,-10.579999999999927,2026-03-19 00:00:00+00:00
8372,2026-03-20T17:09:00+00:00,2026-03-20T17:09:00+00:00,2026-03-20T17:49:00+00:00,0,down,4590.8,4564.07,26.730000000000473,2026-03-20 00:00:00+00:00
8469,2026-03-20T18:46:00+00:00,2026-03-20T18:46:00+00:00,2026-03-20T19:26:00+00:00,0,down,4523.12,4491.98,31.140000000000327,2026-03-20 00:00:00+00:00
8512,2026-03-20T19:29:00+00:00,2026-03-20T19:29:00+00:00,2026-03-20T20:09:00+00:00,2,up,4498.27,4502.21,3.9399999999996,2026-03-20 00:00:00+00:00
8623,2026-03-22T22:21:00+00:00,2026-03-22T22:21:00+00:00,2026-03-22T23:01:00+00:00,2,up,4524.83,4507.39,-17.4399999999996,2026-03-22 00:00:00+00:00
8664,2026-03-22T23:02:00+00:00,2026-03-22T23:02:00+00:00,2026-03-22T23:42:00+00:00,2,up,4507.66,4484.12,-23.539999999999964,2026-03-22 00:00:00+00:00
8725,2026-03-23T00:03:00+00:00,2026-03-23T00:03:00+00:00,2026-03-23T00:43:00+00:00,0,down,4435.93,4358.86,77.07000000000062,2026-03-23 00:00:00+00:00
8766,2026-03-23T00:44:00+00:00,2026-03-23T00:44:00+00:00,2026-03-23T01:24:00+00:00,0,down,4362.52,4432.12,-69.59999999999945,2026-03-23 00:00:00+00:00
8782,2026-03-23T01:30:00+00:00,2026-03-23T01:30:00+00:00,2026-03-23T02:10:00+00:00,0,down,4432.92,4408.98,23.94000000000051,2026-03-23 00:00:00+00:00
8824,2026-03-23T02:12:00+00:00,2026-03-23T02:12:00+00:00,2026-03-23T02:52:00+00:00,0,down,4396.42,4371.38,25.039999999999964,2026-03-23 00:00:00+00:00
8868,2026-03-23T02:56:00+00:00,2026-03-23T02:56:00+00:00,2026-03-23T03:36:00+00:00,0,down,4364.88,4347.22,17.659999999999854,2026-03-23 00:00:00+00:00
8920,2026-03-23T03:48:00+00:00,2026-03-23T03:48:00+00:00,2026-03-23T04:28:00+00:00,2,up,4349.96,4369.63,19.670000000000073,2026-03-23 00:00:00+00:00
9001,2026-03-23T05:09:00+00:00,2026-03-23T05:09:00+00:00,2026-03-23T05:49:00+00:00,2,up,4374.04,4320.75,-53.289999999999964,2026-03-23 00:00:00+00:00
9050,2026-03-23T05:58:00+00:00,2026-03-23T05:58:00+00:00,2026-03-23T06:38:00+00:00,0,down,4311.56,4233.82,77.74000000000069,2026-03-23 00:00:00+00:00
9093,2026-03-23T06:41:00+00:00,2026-03-23T06:41:00+00:00,2026-03-23T07:21:00+00:00,0,down,4234.0,4102.96,131.03999999999996,2026-03-23 00:00:00+00:00
