signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
43,2025-11-28T05:24:00+00:00,2025-11-28T05:24:00+00:00,2025-11-28T08:10:00+00:00,2,up,4184.1,4169.1,-15.0,0.9999537815968705,0.9999537815968705,0,43,2025-11-28T05:49:00+00:00,4185.49,stop_loss
71,2025-11-28T08:21:00+00:00,2025-11-28T08:21:00+00:00,2025-11-28T09:33:00+00:00,2,up,4160.98,4164.58,3.600000000000364,0.5551062393600451,0.5551062393600451,0,71,2025-11-28T09:33:00+00:00,4164.58,target_hit
308,2025-12-02T01:10:00+00:00,2025-12-02T01:10:00+00:00,2025-12-02T01:35:00+00:00,0,down,4206.4,4217.0,-10.600000000000364,0.6262936580058496,0.8222481219099513,0,308,2025-12-02T01:35:00+00:00,4217.0,timeout
515,2025-12-05T16:11:00+00:00,2025-12-05T16:11:00+00:00,2025-12-05T16:36:00+00:00,0,down,4213.94,4214.13,-0.19000000000050932,0.7861342179582472,0.7861342179582472,0,515,2025-12-05T16:36:00+00:00,4214.13,timeout
950,2025-12-12T15:30:00+00:00,2025-12-12T15:30:00+00:00,2025-12-12T15:47:00+00:00,0,down,4304.89,4320.1,-15.210000000000036,0.9995379970559352,0.9329099105233726,4,964,2025-12-12T16:09:00+00:00,4276.89,reverse_signal
973,2025-12-12T15:53:00+00:00,2025-12-12T15:53:00+00:00,2025-12-12T15:58:00+00:00,0,down,4303.29,4286.54,16.75,0.9632814082766016,0.7849080002468197,1,976,2025-12-12T16:21:00+00:00,4273.72,reverse_signal
981,2025-12-12T16:01:00+00:00,2025-12-12T16:01:00+00:00,2025-12-12T16:21:00+00:00,2,up,4284.17,4273.72,-10.449999999999818,0.9548223389391454,0.9328786168951416,2,983,2025-12-12T16:28:00+00:00,4291.08,reverse_signal
1022,2025-12-12T16:42:00+00:00,2025-12-12T16:42:00+00:00,2025-12-12T17:11:00+00:00,2,up,4259.19,4276.07,16.88000000000011,0.9971703875942827,0.9878739045100383,1,1026,2025-12-12T17:11:00+00:00,4276.07,target_hit
1554,2025-12-18T17:18:00+00:00,2025-12-18T17:18:00+00:00,2025-12-18T17:43:00+00:00,2,up,4331.15,4335.39,4.240000000000691,0.9986808506746635,0.9986808506746635,0,1554,2025-12-18T17:43:00+00:00,4335.39,target_hit
1954,2025-12-24T03:01:00+00:00,2025-12-24T03:01:00+00:00,2025-12-24T03:26:00+00:00,2,up,4482.21,4491.14,8.930000000000291,0.9946591230374631,0.9946591230374631,0,1954,2025-12-24T03:26:00+00:00,4491.14,target_hit
