signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
43,2025-11-28T05:24:00+00:00,2025-11-28T05:24:00+00:00,2025-11-28T08:10:00+00:00,2,up,4184.1,4169.1,-15.0,0.9999441599633909,0.9999441599633909,0,43,2025-11-28T05:49:00+00:00,4185.49,stop_loss
218,2025-12-01T14:50:00+00:00,2025-12-01T14:50:00+00:00,2025-12-01T15:15:00+00:00,0,down,4236.97,4225.66,11.3100000000004,0.9996090998142714,0.9941998668054371,0,218,2025-12-01T15:15:00+00:00,4225.66,target_hit
308,2025-12-02T01:10:00+00:00,2025-12-02T01:10:00+00:00,2025-12-02T01:11:00+00:00,2,up,4206.4,4204.36,-2.0399999999999636,0.7002917083349568,0.7002917083349568,0,308,2025-12-02T01:35:00+00:00,4217.0,reverse_signal
313,2025-12-02T01:15:00+00:00,2025-12-02T01:15:00+00:00,2025-12-02T01:40:00+00:00,0,down,4207.45,4213.28,-5.829999999999927,0.994581137316164,0.994581137316164,0,313,2025-12-02T01:40:00+00:00,4213.28,timeout
515,2025-12-05T16:11:00+00:00,2025-12-05T16:11:00+00:00,2025-12-05T16:40:00+00:00,0,down,4213.94,4212.54,1.3999999999996362,0.7861342179582472,0.9834615133397576,1,519,2025-12-05T16:40:00+00:00,4212.54,target_hit
949,2025-12-12T15:29:00+00:00,2025-12-12T15:29:00+00:00,2025-12-12T15:45:00+00:00,0,down,4300.93,4318.93,-18.0,0.998023102886818,0.9329099105233726,4,964,2025-12-12T16:09:00+00:00,4276.89,stop_loss
966,2025-12-12T15:46:00+00:00,2025-12-12T15:46:00+00:00,2025-12-12T15:47:00+00:00,0,down,4318.26,4320.1,-1.8400000000001455,0.8312278352499624,0.8312278352499624,0,966,2025-12-12T16:11:00+00:00,4280.33,reverse_signal
968,2025-12-12T15:48:00+00:00,2025-12-12T15:48:00+00:00,2025-12-12T15:58:00+00:00,0,down,4318.88,4286.54,32.340000000000146,0.9674896208539907,0.6663979337139079,2,976,2025-12-12T16:21:00+00:00,4273.72,reverse_signal
979,2025-12-12T15:59:00+00:00,2025-12-12T15:59:00+00:00,2025-12-12T16:21:00+00:00,2,up,4290.64,4275.64,-15.0,0.8793418165981212,0.9961931869837282,3,983,2025-12-12T16:28:00+00:00,4291.08,stop_loss
1022,2025-12-12T16:42:00+00:00,2025-12-12T16:42:00+00:00,2025-12-12T17:11:00+00:00,2,up,4259.19,4276.07,16.88000000000011,0.9981013806911325,0.8841758111062165,1,1026,2025-12-12T17:11:00+00:00,4276.07,target_hit
1554,2025-12-18T17:18:00+00:00,2025-12-18T17:18:00+00:00,2025-12-18T17:43:00+00:00,2,up,4331.15,4335.39,4.240000000000691,0.9986808506746635,0.9986808506746635,0,1554,2025-12-18T17:43:00+00:00,4335.39,target_hit
1954,2025-12-24T03:01:00+00:00,2025-12-24T03:01:00+00:00,2025-12-24T03:26:00+00:00,2,up,4482.21,4491.14,8.930000000000291,0.9946591230374631,0.9946591230374631,0,1954,2025-12-24T03:26:00+00:00,4491.14,target_hit
2243,2025-12-29T00:23:00+00:00,2025-12-29T00:23:00+00:00,2025-12-29T00:59:00+00:00,0,down,4495.64,4497.88,-2.2399999999997817,0.7378238907515495,0.9988719987024394,3,2254,2025-12-29T00:59:00+00:00,4497.88,timeout
2284,2025-12-29T01:04:00+00:00,2025-12-29T01:04:00+00:00,2025-12-29T01:29:00+00:00,0,down,4504.95,4499.63,5.319999999999709,0.9639899677666983,0.9639899677666983,0,2284,2025-12-29T01:29:00+00:00,4499.63,target_hit
2412,2025-12-29T07:03:00+00:00,2025-12-29T07:03:00+00:00,2025-12-29T07:34:00+00:00,2,up,4452.6,4478.32,25.719999999999345,0.9709045225284751,0.9978925872998416,3,2418,2025-12-29T07:34:00+00:00,4478.32,target_hit
2643,2025-12-29T14:02:00+00:00,2025-12-29T14:02:00+00:00,2025-12-29T14:06:00+00:00,2,up,4406.36,4391.36,-15.0,0.9931699964559348,0.9995674511541578,0,2643,2025-12-29T14:27:00+00:00,4391.1,stop_loss
2648,2025-12-29T14:07:00+00:00,2025-12-29T14:07:00+00:00,2025-12-29T14:30:00+00:00,2,up,4392.03,4377.03,-15.0,0.8400059714797267,0.8400059714797267,0,2648,2025-12-29T14:32:00+00:00,4375.64,stop_loss
2672,2025-12-29T14:31:00+00:00,2025-12-29T14:31:00+00:00,2025-12-29T14:56:00+00:00,2,up,4372.47,4367.63,-4.8400000000001455,0.940620519453772,0.9980762695258908,0,2672,2025-12-29T14:56:00+00:00,4367.63,timeout
2701,2025-12-29T15:00:00+00:00,2025-12-29T15:00:00+00:00,2025-12-29T15:06:00+00:00,2,up,4351.61,4336.61,-15.0,0.9848739186597005,0.9921320883894942,2,2706,2025-12-29T15:30:00+00:00,4326.56,stop_loss
2708,2025-12-29T15:07:00+00:00,2025-12-29T15:07:00+00:00,2025-12-29T15:09:00+00:00,2,up,4328.99,4343.73,14.739999999999782,0.9453308093471544,0.9453308093471544,0,2708,2025-12-29T15:32:00+00:00,4320.85,reverse_signal
2712,2025-12-29T15:11:00+00:00,2025-12-29T15:11:00+00:00,2025-12-29T15:26:00+00:00,0,down,4335.85,4324.72,11.13000000000011,0.9655102561494942,0.9548633443510331,2,2714,2025-12-29T15:38:00+00:00,4328.68,reverse_signal
2730,2025-12-29T15:29:00+00:00,2025-12-29T15:29:00+00:00,2025-12-29T16:12:00+00:00,2,up,4319.85,4339.95,20.099999999999454,0.9987984670526752,0.9839371721722756,4,2748,2025-12-29T16:12:00+00:00,4339.95,target_hit
2962,2025-12-30T15:02:00+00:00,2025-12-30T15:02:00+00:00,2025-12-30T15:31:00+00:00,0,down,4363.78,4362.25,1.5299999999997453,0.9989958420827593,0.9989499883366715,2,2966,2025-12-30T15:31:00+00:00,4362.25,target_hit
3164,2025-12-31T05:53:00+00:00,2025-12-31T05:53:00+00:00,2025-12-31T06:28:00+00:00,2,up,4292.54,4306.87,14.329999999999927,0.8015910474549657,0.9998064447385557,4,3174,2025-12-31T06:28:00+00:00,4306.87,target_hit
4825,2026-01-15T01:32:00+00:00,2026-01-15T01:32:00+00:00,2026-01-15T01:57:00+00:00,2,up,4590.73,4604.89,14.160000000000764,0.9540413111244828,0.9540413111244828,0,4825,2026-01-15T01:57:00+00:00,4604.89,target_hit
4870,2026-01-16T15:27:00+00:00,2026-01-16T15:27:00+00:00,2026-01-16T15:47:00+00:00,0,down,4583.48,4568.49,14.989999999999782,0.9669446366563796,0.6485093634737857,0,4870,2026-01-16T15:52:00+00:00,4560.84,reverse_signal
4891,2026-01-16T15:48:00+00:00,2026-01-16T15:48:00+00:00,2026-01-16T15:50:00+00:00,2,up,4568.35,4566.42,-1.930000000000291,0.9413463958652569,0.7180657919699944,0,4891,2026-01-16T16:13:00+00:00,4592.67,reverse_signal
4894,2026-01-16T15:51:00+00:00,2026-01-16T15:51:00+00:00,2026-01-16T15:52:00+00:00,2,up,4569.81,4560.84,-8.970000000000255,0.7996544298114807,0.7996544298114807,0,4894,2026-01-16T16:16:00+00:00,4587.28,reverse_signal
4896,2026-01-16T15:53:00+00:00,2026-01-16T15:53:00+00:00,2026-01-16T16:06:00+00:00,0,down,4566.16,4584.16,-18.0,0.8504473915737442,0.9932375218835569,0,4896,2026-01-16T16:18:00+00:00,4586.42,stop_loss
5039,2026-01-18T23:02:00+00:00,2026-01-18T23:02:00+00:00,2026-01-18T23:27:00+00:00,2,up,4642.46,4678.35,35.89000000000033,0.9999628087862805,0.9999628087862805,0,5039,2026-01-18T23:27:00+00:00,4678.35,target_hit
5070,2026-01-18T23:33:00+00:00,2026-01-18T23:33:00+00:00,2026-01-18T23:58:00+00:00,0,down,4680.44,4674.38,6.059999999999491,0.8614383620130134,0.8614383620130134,0,5070,2026-01-18T23:58:00+00:00,4674.38,target_hit
5646,2026-01-21T14:12:00+00:00,2026-01-21T14:12:00+00:00,2026-01-21T14:15:00+00:00,0,down,4843.86,4848.72,-4.860000000000582,0.9988564913349364,0.9926586105725349,0,5646,2026-01-21T14:37:00+00:00,4865.3,reverse_signal
5650,2026-01-21T14:16:00+00:00,2026-01-21T14:16:00+00:00,2026-01-21T14:19:00+00:00,0,down,4851.92,4846.25,5.670000000000073,0.7333317330027327,0.9309715804636952,1,5652,2026-01-21T14:43:00+00:00,4865.1,reverse_signal
5654,2026-01-21T14:20:00+00:00,2026-01-21T14:20:00+00:00,2026-01-21T14:22:00+00:00,2,up,4855.39,4848.58,-6.8100000000004,0.7973624465129555,0.7973624465129555,0,5654,2026-01-21T14:45:00+00:00,4859.27,reverse_signal
5657,2026-01-21T14:23:00+00:00,2026-01-21T14:23:00+00:00,2026-01-21T14:51:00+00:00,0,down,4853.54,4849.42,4.119999999999891,0.961243200333023,0.979089815761603,2,5660,2026-01-21T14:51:00+00:00,4849.42,target_hit
5691,2026-01-21T14:57:00+00:00,2026-01-21T14:57:00+00:00,2026-01-21T15:22:00+00:00,0,down,4855.24,4822.74,32.5,0.79909904076719,0.79909904076719,0,5691,2026-01-21T15:22:00+00:00,4822.74,target_hit
5723,2026-01-21T15:29:00+00:00,2026-01-21T15:29:00+00:00,2026-01-21T15:53:00+00:00,0,down,4831.25,4849.25,-18.0,0.9987573218964597,0.9899233508311479,2,5728,2026-01-21T15:59:00+00:00,4847.98,stop_loss
5807,2026-01-21T16:53:00+00:00,2026-01-21T16:53:00+00:00,2026-01-21T17:18:00+00:00,0,down,4830.26,4818.33,11.930000000000291,0.9941615077452801,0.9941615077452801,0,5807,2026-01-21T17:18:00+00:00,4818.33,target_hit
5962,2026-01-21T19:28:00+00:00,2026-01-21T19:28:00+00:00,2026-01-21T19:35:00+00:00,2,up,4810.87,4795.87,-15.0,0.9988266740126782,0.9969532500430459,5,5968,2026-01-21T19:59:00+00:00,4781.38,stop_loss
5971,2026-01-21T19:37:00+00:00,2026-01-21T19:37:00+00:00,2026-01-21T19:51:00+00:00,2,up,4777.31,4762.31,-15.0,0.9573131438645899,0.9977028850861224,2,5984,2026-01-21T20:15:00+00:00,4789.78,stop_loss
5986,2026-01-21T19:52:00+00:00,2026-01-21T19:52:00+00:00,2026-01-21T20:30:00+00:00,2,up,4762.89,4806.66,43.76999999999953,0.9980082219542542,0.7840142271027372,3,5999,2026-01-21T20:30:00+00:00,4806.66,target_hit
6113,2026-01-21T21:59:00+00:00,2026-01-21T21:59:00+00:00,2026-01-21T23:04:00+00:00,2,up,4832.8,4817.8,-15.0,0.9991135440465791,0.9991135440465791,0,6113,2026-01-21T23:25:00+00:00,4791.52,stop_loss
6122,2026-01-21T23:09:00+00:00,2026-01-21T23:09:00+00:00,2026-01-21T23:37:00+00:00,2,up,4803.06,4796.53,-6.530000000000655,0.9999699056053676,0.9999824448724572,1,6125,2026-01-21T23:37:00+00:00,4796.53,timeout
6239,2026-01-22T01:06:00+00:00,2026-01-22T01:06:00+00:00,2026-01-22T01:19:00+00:00,0,down,4780.72,4798.72,-18.0,0.6880373938211679,0.9306946391739999,0,6239,2026-01-22T01:31:00+00:00,4796.07,stop_loss
6728,2026-01-23T01:02:00+00:00,2026-01-23T01:02:00+00:00,2026-01-23T08:23:00+00:00,2,up,4939.11,4924.11,-15.0,0.9999910003633178,0.9999910003633178,0,6728,2026-01-23T01:27:00+00:00,4949.64,stop_loss
6735,2026-01-23T08:29:00+00:00,2026-01-23T08:29:00+00:00,2026-01-23T08:54:00+00:00,2,up,4913.47,4914.21,0.7399999999997817,0.7432772581517807,0.7432772581517807,0,6735,2026-01-23T08:54:00+00:00,4914.21,target_hit
6993,2026-01-25T23:01:00+00:00,2026-01-25T23:01:00+00:00,2026-01-25T23:09:00+00:00,2,up,5020.1,5023.22,3.119999999999891,0.9998791315918981,0.8996667516529743,3,6999,2026-01-25T23:32:00+00:00,5025.66,reverse_signal
7002,2026-01-25T23:10:00+00:00,2026-01-25T23:10:00+00:00,2026-01-25T23:16:00+00:00,0,down,5021.55,5026.0,-4.449999999999818,0.9466354671796765,0.8104961225085707,0,7002,2026-01-25T23:35:00+00:00,5021.55,reverse_signal
7009,2026-01-25T23:17:00+00:00,2026-01-25T23:17:00+00:00,2026-01-25T23:46:00+00:00,2,up,5028.24,5034.77,6.530000000000655,0.9937779051308862,0.9992275234322543,3,7013,2026-01-25T23:46:00+00:00,5034.77,target_hit
7083,2026-01-26T00:31:00+00:00,2026-01-26T00:31:00+00:00,2026-01-26T01:26:00+00:00,2,up,5044.24,5071.07,26.829999999999927,0.9999472955228315,0.9999975320060673,10,7113,2026-01-26T01:26:00+00:00,5071.07,target_hit
7621,2026-01-26T19:03:00+00:00,2026-01-26T19:03:00+00:00,2026-01-26T19:07:00+00:00,0,down,5041.81,5059.81,-18.0,0.7330184010892185,0.9999371216284648,1,7622,2026-01-26T19:29:00+00:00,5027.7,stop_loss
7638,2026-01-26T19:20:00+00:00,2026-01-26T19:20:00+00:00,2026-01-26T19:24:00+00:00,0,down,5034.25,5021.85,12.399999999999636,0.9451014144645956,0.9451014144645956,0,7638,2026-01-26T19:45:00+00:00,5032.88,reverse_signal
7644,2026-01-26T19:26:00+00:00,2026-01-26T19:26:00+00:00,2026-01-26T19:48:00+00:00,2,up,5034.15,5019.15,-15.0,0.6688671059222507,0.9766244905600554,3,7651,2026-01-26T19:58:00+00:00,5029.22,stop_loss
7667,2026-01-26T19:49:00+00:00,2026-01-26T19:49:00+00:00,2026-01-26T19:55:00+00:00,2,up,5017.9,5027.16,9.260000000000218,0.7535935561570539,0.8494720380280314,1,7668,2026-01-26T20:15:00+00:00,5050.51,reverse_signal
7674,2026-01-26T19:56:00+00:00,2026-01-26T19:56:00+00:00,2026-01-26T20:05:00+00:00,0,down,5026.48,5044.48,-18.0,0.9886339800347369,0.995630823994569,0,7674,2026-01-26T20:21:00+00:00,5047.56,stop_loss
7702,2026-01-26T20:24:00+00:00,2026-01-26T20:24:00+00:00,2026-01-26T20:38:00+00:00,0,down,5050.52,5039.08,11.44000000000051,0.9613443026087879,0.8871079537682274,0,7702,2026-01-26T20:49:00+00:00,5047.85,reverse_signal
7717,2026-01-26T20:39:00+00:00,2026-01-26T20:39:00+00:00,2026-01-26T21:21:00+00:00,0,down,5040.86,5022.4,18.460000000000036,0.9465364059002687,0.9230513512514361,6,7735,2026-01-26T21:22:00+00:00,5012.0,reverse_signal
7760,2026-01-26T21:22:00+00:00,2026-01-26T21:22:00+00:00,2026-01-26T21:31:00+00:00,2,up,5012.0,5010.56,-1.4399999999995998,0.7603494796766542,0.9454614823534379,2,7762,2026-01-26T21:49:00+00:00,5014.99,reverse_signal
7770,2026-01-26T21:32:00+00:00,2026-01-26T21:32:00+00:00,2026-01-26T21:36:00+00:00,0,down,5007.28,5002.13,5.149999999999636,0.7332380479272946,0.9934294196109102,1,7771,2026-01-26T21:58:00+00:00,5008.1,reverse_signal
7775,2026-01-26T21:37:00+00:00,2026-01-26T21:37:00+00:00,2026-01-26T21:39:00+00:00,0,down,4998.81,5001.73,-2.9199999999991633,0.9550351991193898,0.9550351991193898,0,7775,2026-01-26T23:03:00+00:00,5029.16,reverse_signal
7778,2026-01-26T21:40:00+00:00,2026-01-26T21:40:00+00:00,2026-01-26T21:45:00+00:00,2,up,5010.76,5012.08,1.319999999999709,0.9708832068656812,0.9199689761180104,2,7781,2026-01-26T23:09:00+00:00,5037.41,reverse_signal
7917,2026-01-27T01:00:00+00:00,2026-01-27T01:00:00+00:00,2026-01-27T01:30:00+00:00,2,up,5032.59,5070.06,37.470000000000255,0.999982929688779,0.9998748487234591,3,7922,2026-01-27T01:30:00+00:00,5070.06,target_hit
8096,2026-01-27T14:16:00+00:00,2026-01-27T14:16:00+00:00,2026-01-27T14:32:00+00:00,0,down,5051.48,5069.48,-18.0,0.9984937148410341,0.9956303565561542,1,8111,2026-01-27T14:56:00+00:00,5060.32,stop_loss
8145,2026-01-27T15:05:00+00:00,2026-01-27T15:05:00+00:00,2026-01-27T15:30:00+00:00,0,down,5067.29,5074.3,-7.010000000000218,0.9992610303035868,0.9985687662374073,0,8145,2026-01-27T15:30:00+00:00,5074.3,timeout
8306,2026-01-27T20:04:00+00:00,2026-01-27T20:04:00+00:00,2026-01-27T20:47:00+00:00,2,up,5119.03,5153.27,34.24000000000069,0.9656148478949633,0.8835452213752873,8,8332,2026-01-27T20:55:00+00:00,5179.58,reverse_signal
8350,2026-01-27T20:48:00+00:00,2026-01-27T20:48:00+00:00,2026-01-27T20:49:00+00:00,0,down,5164.02,5160.69,3.3300000000008367,0.6685983692005886,0.6685983692005886,0,8350,2026-01-27T21:13:00+00:00,5173.51,reverse_signal
8358,2026-01-27T20:56:00+00:00,2026-01-27T20:56:00+00:00,2026-01-27T21:01:00+00:00,0,down,5169.47,5176.06,-6.5900000000001455,0.7072123433008473,0.7072123433008473,0,8358,2026-01-27T21:21:00+00:00,5175.04,reverse_signal
8366,2026-01-27T21:04:00+00:00,2026-01-27T21:04:00+00:00,2026-01-27T21:29:00+00:00,2,up,5178.43,5173.98,-4.450000000000728,0.9999607169010301,0.9999607169010301,0,8366,2026-01-27T21:29:00+00:00,5173.98,timeout
8499,2026-01-28T01:07:00+00:00,2026-01-28T01:07:00+00:00,2026-01-28T01:11:00+00:00,2,up,5198.84,5183.84,-15.0,0.9939622563184302,0.9021530212351706,0,8499,2026-01-28T01:32:00+00:00,5192.96,stop_loss
8504,2026-01-28T01:12:00+00:00,2026-01-28T01:12:00+00:00,2026-01-28T01:37:00+00:00,2,up,5183.55,5200.18,16.63000000000011,0.7949267905419966,0.9802698094584296,0,8504,2026-01-28T01:37:00+00:00,5200.18,target_hit
9192,2026-01-28T15:08:00+00:00,2026-01-28T15:08:00+00:00,2026-01-28T15:17:00+00:00,0,down,5253.46,5247.28,6.180000000000291,0.903300058813659,0.9273216353112934,0,9192,2026-01-28T15:33:00+00:00,5271.14,reverse_signal
9202,2026-01-28T15:18:00+00:00,2026-01-28T15:18:00+00:00,2026-01-28T15:43:00+00:00,2,up,5257.02,5281.55,24.529999999999745,0.9200545236871331,0.9516799520318429,0,9202,2026-01-28T15:43:00+00:00,5281.55,target_hit
9397,2026-01-28T18:33:00+00:00,2026-01-28T18:33:00+00:00,2026-01-28T18:45:00+00:00,0,down,5289.4,5273.57,15.829999999999927,0.9926605484646871,0.9358457054976355,1,9400,2026-01-28T19:01:00+00:00,5270.13,reverse_signal
9410,2026-01-28T18:46:00+00:00,2026-01-28T18:46:00+00:00,2026-01-28T19:01:00+00:00,2,up,5275.53,5270.13,-5.399999999999636,0.9721966877998528,0.6299541826363924,2,9415,2026-01-28T19:16:00+00:00,5297.59,reverse_signal
9426,2026-01-28T19:02:00+00:00,2026-01-28T19:02:00+00:00,2026-01-28T19:03:00+00:00,0,down,5271.04,5275.27,-4.230000000000473,0.9758907322442268,0.9758907322442268,0,9426,2026-01-28T19:27:00+00:00,5290.69,reverse_signal
9436,2026-01-28T19:12:00+00:00,2026-01-28T19:12:00+00:00,2026-01-28T19:37:00+00:00,0,down,5291.03,5303.94,-12.909999999999854,0.9850012293876037,0.9850012293876037,0,9436,2026-01-28T19:37:00+00:00,5303.94,timeout
9466,2026-01-28T19:42:00+00:00,2026-01-28T19:42:00+00:00,2026-01-28T19:57:00+00:00,0,down,5306.72,5324.72,-18.0,0.9957128321951378,0.9900492778930048,0,9466,2026-01-28T20:07:00+00:00,5330.45,stop_loss
9484,2026-01-28T20:00:00+00:00,2026-01-28T20:00:00+00:00,2026-01-28T20:23:00+00:00,0,down,5333.13,5338.79,-5.6599999999998545,0.8769236609392592,0.6859784698202178,0,9484,2026-01-28T20:25:00+00:00,5344.41,reverse_signal
9509,2026-01-28T20:25:00+00:00,2026-01-28T20:25:00+00:00,2026-01-28T20:33:00+00:00,2,up,5344.41,5360.91,16.5,0.9648102272773821,0.9031668887851538,0,9509,2026-01-28T20:50:00+00:00,5387.47,reverse_signal
9518,2026-01-28T20:34:00+00:00,2026-01-28T20:34:00+00:00,2026-01-28T20:35:00+00:00,2,up,5359.8,5365.96,6.1599999999998545,0.8252884570546346,0.8252884570546346,0,9518,2026-01-28T20:59:00+00:00,5376.97,reverse_signal
9527,2026-01-28T20:43:00+00:00,2026-01-28T20:43:00+00:00,2026-01-28T20:49:00+00:00,0,down,5380.18,5388.91,-8.729999999999563,0.9849927228919734,0.6630001296340209,2,9530,2026-01-28T21:11:00+00:00,5385.11,reverse_signal
9535,2026-01-28T20:51:00+00:00,2026-01-28T20:51:00+00:00,2026-01-28T21:26:00+00:00,2,up,5381.42,5388.42,7.0,0.8862211175618957,0.9968973110047233,4,9545,2026-01-28T21:26:00+00:00,5388.42,target_hit
9606,2026-01-28T23:03:00+00:00,2026-01-28T23:03:00+00:00,2026-01-28T23:40:00+00:00,2,up,5441.52,5572.25,130.72999999999956,0.999949611043111,0.999868578399588,4,9618,2026-01-28T23:40:00+00:00,5572.25,target_hit
9644,2026-01-28T23:41:00+00:00,2026-01-28T23:41:00+00:00,2026-01-28T23:42:00+00:00,2,up,5570.7,5555.7,-15.0,0.9997267650537809,0.9997267650537809,0,9644,2026-01-29T00:06:00+00:00,5495.52,stop_loss
9646,2026-01-28T23:43:00+00:00,2026-01-28T23:43:00+00:00,2026-01-28T23:44:00+00:00,2,up,5549.81,5534.81,-15.0,0.7771756922354729,0.7771756922354729,0,9646,2026-01-29T00:08:00+00:00,5507.0,stop_loss
9648,2026-01-28T23:45:00+00:00,2026-01-28T23:45:00+00:00,2026-01-28T23:47:00+00:00,2,up,5525.19,5510.19,-15.0,0.9953787253094035,0.9982737377687151,1,9649,2026-01-29T00:11:00+00:00,5508.52,stop_loss
9651,2026-01-28T23:48:00+00:00,2026-01-28T23:48:00+00:00,2026-01-28T23:49:00+00:00,2,up,5516.65,5501.65,-15.0,0.9939428347424446,0.9939428347424446,0,9651,2026-01-29T00:13:00+00:00,5497.75,stop_loss
9653,2026-01-28T23:50:00+00:00,2026-01-28T23:50:00+00:00,2026-01-28T23:54:00+00:00,2,up,5504.65,5489.65,-15.0,0.999266571328062,0.9920121434179177,0,9653,2026-01-29T00:15:00+00:00,5497.27,stop_loss
9659,2026-01-28T23:56:00+00:00,2026-01-28T23:56:00+00:00,2026-01-29T00:00:00+00:00,2,up,5521.3,5506.3,-15.0,0.9960153625137375,0.9990772052654789,1,9660,2026-01-29T00:22:00+00:00,5480.88,stop_loss
9664,2026-01-29T00:01:00+00:00,2026-01-29T00:01:00+00:00,2026-01-29T00:35:00+00:00,2,up,5462.25,5521.46,59.210000000000036,0.973625381261805,0.8925355265446538,6,9673,2026-01-29T00:35:00+00:00,5521.46,target_hit
9707,2026-01-29T00:44:00+00:00,2026-01-29T00:44:00+00:00,2026-01-29T01:01:00+00:00,0,down,5509.15,5501.12,8.029999999999745,0.7698051934308606,0.7698051934308606,0,9707,2026-01-29T01:09:00+00:00,5446.77,reverse_signal
9725,2026-01-29T01:02:00+00:00,2026-01-29T01:02:00+00:00,2026-01-29T01:04:00+00:00,2,up,5490.86,5475.86,-15.0,0.9998444288865731,0.9998115458789841,0,9725,2026-01-29T01:27:00+00:00,5508.18,stop_loss
