signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
35,2025-11-25T17:12:00+00:00,2025-11-25T17:12:00+00:00,2025-11-28T05:24:00+00:00,0,down,4149.73,4167.73,-18.0,0.8280794409934648,0.8280794409934648,0,35,2025-11-25T17:37:00+00:00,4157.11,stop_loss
44,2025-11-28T05:25:00+00:00,2025-11-28T05:25:00+00:00,2025-11-28T08:10:00+00:00,2,up,4186.02,4171.02,-15.0,0.9999663637087927,0.9999663637087927,0,44,2025-11-28T05:50:00+00:00,4185.23,stop_loss
67,2025-11-28T08:17:00+00:00,2025-11-28T08:17:00+00:00,2025-11-28T09:29:00+00:00,0,down,4170.75,4161.92,8.829999999999927,0.8667238905828116,0.8667238905828116,0,67,2025-11-28T09:29:00+00:00,4161.92,target_hit
138,2025-11-28T14:43:00+00:00,2025-11-28T14:43:00+00:00,2025-11-28T15:08:00+00:00,2,up,4198.78,4193.31,-5.469999999999345,0.9999067450792889,0.9999067450792889,0,138,2025-11-28T15:08:00+00:00,4193.31,timeout
212,2025-12-01T14:44:00+00:00,2025-12-01T14:44:00+00:00,2025-12-01T15:00:00+00:00,0,down,4225.32,4243.32,-18.0,0.9997107193352105,0.9997680587896995,3,218,2025-12-01T15:15:00+00:00,4225.66,stop_loss
307,2025-12-02T01:09:00+00:00,2025-12-02T01:09:00+00:00,2025-12-02T01:35:00+00:00,2,up,4206.61,4217.0,10.390000000000327,0.9912262284355438,0.9833232667261103,1,308,2025-12-02T01:35:00+00:00,4217.0,target_hit
368,2025-12-02T15:35:00+00:00,2025-12-02T15:35:00+00:00,2025-12-02T16:00:00+00:00,0,down,4184.92,4173.18,11.739999999999782,0.9998656921241611,0.9998656921241611,0,368,2025-12-02T16:00:00+00:00,4173.18,target_hit
515,2025-12-05T16:11:00+00:00,2025-12-05T16:11:00+00:00,2025-12-05T16:12:00+00:00,0,down,4213.94,4213.78,0.15999999999985448,0.605482821030529,0.605482821030529,0,515,2025-12-05T16:36:00+00:00,4214.13,reverse_signal
519,2025-12-05T16:15:00+00:00,2025-12-05T16:15:00+00:00,2025-12-05T16:40:00+00:00,0,down,4207.14,4212.54,-5.399999999999636,0.8746960425832879,0.8746960425832879,0,519,2025-12-05T16:40:00+00:00,4212.54,timeout
950,2025-12-12T15:30:00+00:00,2025-12-12T15:30:00+00:00,2025-12-12T15:47:00+00:00,0,down,4304.89,4320.1,-15.210000000000036,0.9991780222661335,0.9495773147457715,1,964,2025-12-12T16:09:00+00:00,4276.89,reverse_signal
