signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
43,2025-11-28T05:24:00+00:00,2025-11-28T05:25:00+00:00,2025-11-28T08:10:00+00:00,2,up,4184.21,4169.21,-15.0,0.9999366381043616,0.9999696803628558,0,43,2025-11-28T05:49:00+00:00,4185.49,stop_loss
71,2025-11-28T08:21:00+00:00,2025-11-28T08:22:00+00:00,2025-11-28T09:33:00+00:00,2,up,4168.47,4164.58,-3.8900000000003274,0.7119892252678218,0.7119892252678218,0,71,2025-11-28T09:33:00+00:00,4164.58,timeout
138,2025-11-28T14:43:00+00:00,2025-11-28T14:44:00+00:00,2025-11-28T15:08:00+00:00,2,up,4198.81,4193.31,-5.5,0.9999470541489367,0.9999470541489367,0,138,2025-11-28T15:08:00+00:00,4193.31,timeout
215,2025-12-01T14:47:00+00:00,2025-12-01T14:48:00+00:00,2025-12-01T15:15:00+00:00,0,down,4230.82,4225.66,5.1599999999998545,0.9978781321898185,0.9977133664276783,1,218,2025-12-01T15:15:00+00:00,4225.66,target_hit
309,2025-12-02T01:11:00+00:00,2025-12-02T01:12:00+00:00,2025-12-02T01:36:00+00:00,0,down,4204.32,4217.09,-12.770000000000437,0.815634933193037,0.815634933193037,0,309,2025-12-02T01:36:00+00:00,4217.09,timeout
516,2025-12-05T16:12:00+00:00,2025-12-05T16:13:00+00:00,2025-12-05T16:37:00+00:00,0,down,4212.94,4215.31,-2.3700000000008004,0.7383459122557611,0.7383459122557611,0,516,2025-12-05T16:37:00+00:00,4215.31,timeout
950,2025-12-12T15:30:00+00:00,2025-12-12T15:31:00+00:00,2025-12-12T15:48:00+00:00,0,down,4304.88,4320.08,-15.199999999999818,0.999701305773247,0.7316573531990794,3,965,2025-12-12T16:10:00+00:00,4276.82,reverse_signal
969,2025-12-12T15:49:00+00:00,2025-12-12T15:50:00+00:00,2025-12-12T15:59:00+00:00,0,down,4317.36,4286.18,31.17999999999938,0.6684920894208901,0.8686472563946452,3,976,2025-12-12T16:21:00+00:00,4273.72,reverse_signal
979,2025-12-12T15:59:00+00:00,2025-12-12T16:00:00+00:00,2025-12-12T16:20:00+00:00,2,up,4290.04,4283.98,-6.0600000000004,0.8755527659415002,0.9966235481936213,3,983,2025-12-12T16:28:00+00:00,4291.08,reverse_signal
1001,2025-12-12T16:21:00+00:00,2025-12-12T16:22:00+00:00,2025-12-12T16:25:00+00:00,0,down,4273.88,4282.89,-9.010000000000218,0.8511167567413684,0.8511167567413684,0,1001,2025-12-12T16:46:00+00:00,4271.84,reverse_signal
1022,2025-12-12T16:42:00+00:00,2025-12-12T16:43:00+00:00,2025-12-12T16:49:00+00:00,2,up,4259.2,4278.39,19.19000000000051,0.9968276693108482,0.8861136252792254,1,1026,2025-12-12T17:11:00+00:00,4276.07,reverse_signal
1550,2025-12-18T17:14:00+00:00,2025-12-18T17:15:00+00:00,2025-12-18T17:39:00+00:00,2,up,4328.75,4337.37,8.61999999999989,0.9996520619394831,0.9992906719983939,0,1550,2025-12-18T17:39:00+00:00,4337.37,target_hit
1770,2025-12-23T15:04:00+00:00,2025-12-23T15:05:00+00:00,2025-12-23T15:29:00+00:00,2,up,4434.21,4442.69,8.479999999999563,0.9939230334894472,0.9939230334894472,0,1770,2025-12-23T15:29:00+00:00,4442.69,target_hit
1954,2025-12-24T03:01:00+00:00,2025-12-24T03:02:00+00:00,2025-12-24T03:28:00+00:00,2,up,4482.33,4492.11,9.779999999999745,0.9972256204401986,0.8728838048271711,1,1956,2025-12-24T03:28:00+00:00,4492.11,target_hit
2243,2025-12-29T00:23:00+00:00,2025-12-29T00:24:00+00:00,2025-12-29T00:31:00+00:00,0,down,4495.65,4481.19,14.460000000000036,0.6729512542761755,0.7951907915659265,2,2246,2025-12-29T00:51:00+00:00,4499.36,reverse_signal
2252,2025-12-29T00:32:00+00:00,2025-12-29T00:33:00+00:00,2025-12-29T00:48:00+00:00,0,down,4487.99,4498.19,-10.199999999999818,0.9956361201763851,0.9975798859618743,1,2254,2025-12-29T00:59:00+00:00,4497.88,reverse_signal
2268,2025-12-29T00:48:00+00:00,2025-12-29T00:49:00+00:00,2025-12-29T01:02:00+00:00,2,up,4504.72,4499.05,-5.670000000000073,0.7551224755284117,0.6975059935143704,1,2270,2025-12-29T01:15:00+00:00,4514.94,reverse_signal
2282,2025-12-29T01:02:00+00:00,2025-12-29T01:03:00+00:00,2025-12-29T01:27:00+00:00,0,down,4501.52,4497.6,3.9200000000000728,0.9852649730386113,0.9852649730386113,0,2282,2025-12-29T01:27:00+00:00,4497.6,target_hit
2412,2025-12-29T07:03:00+00:00,2025-12-29T07:04:00+00:00,2025-12-29T07:36:00+00:00,2,up,4452.34,4479.21,26.86999999999989,0.9579682523269427,0.9990585694672728,5,2420,2025-12-29T07:36:00+00:00,4479.21,target_hit
2567,2025-12-29T11:43:00+00:00,2025-12-29T11:44:00+00:00,2025-12-29T12:09:00+00:00,2,up,4447.91,4455.29,7.380000000000109,0.9992679528530141,0.9973894686652579,1,2568,2025-12-29T12:09:00+00:00,4455.29,target_hit
2623,2025-12-29T13:42:00+00:00,2025-12-29T13:43:00+00:00,2025-12-29T13:49:00+00:00,2,up,4428.02,4418.15,-9.8700000000008,0.8793584492641318,0.8793584492641318,0,2623,2025-12-29T14:07:00+00:00,4392.03,reverse_signal
2634,2025-12-29T13:53:00+00:00,2025-12-29T13:54:00+00:00,2025-12-29T14:00:00+00:00,2,up,4417.4,4421.29,3.8900000000003274,0.8279152699066793,0.8279152699066793,0,2634,2025-12-29T14:18:00+00:00,4395.49,reverse_signal
2642,2025-12-29T14:01:00+00:00,2025-12-29T14:02:00+00:00,2025-12-29T14:06:00+00:00,2,up,4407.09,4392.09,-15.0,0.9986980471487785,0.9979864707402009,0,2642,2025-12-29T14:26:00+00:00,4394.55,stop_loss
2647,2025-12-29T14:06:00+00:00,2025-12-29T14:07:00+00:00,2025-12-29T14:30:00+00:00,2,up,4388.01,4373.01,-15.0,0.945819834143976,0.9855723657305148,2,2653,2025-12-29T14:37:00+00:00,4376.76,stop_loss
2671,2025-12-29T14:30:00+00:00,2025-12-29T14:31:00+00:00,2025-12-29T14:55:00+00:00,2,up,4369.81,4373.49,3.6799999999993815,0.9702558109179308,0.9277738002794111,0,2671,2025-12-29T14:55:00+00:00,4373.49,target_hit
2697,2025-12-29T14:56:00+00:00,2025-12-29T14:57:00+00:00,2025-12-29T15:03:00+00:00,0,down,4367.66,4343.44,24.220000000000255,0.8871227026645019,0.9301000406914364,1,2699,2025-12-29T15:23:00+00:00,4312.14,reverse_signal
2704,2025-12-29T15:03:00+00:00,2025-12-29T15:04:00+00:00,2025-12-29T15:09:00+00:00,2,up,4342.3,4334.33,-7.970000000000255,0.9127134210695362,0.8150721561152785,1,2706,2025-12-29T15:30:00+00:00,4326.56,reverse_signal
2710,2025-12-29T15:09:00+00:00,2025-12-29T15:10:00+00:00,2025-12-29T15:25:00+00:00,0,down,4343.78,4316.06,27.719999999999345,0.841703830487321,0.9405978234162983,1,2717,2025-12-29T15:41:00+00:00,4325.22,reverse_signal
2727,2025-12-29T15:26:00+00:00,2025-12-29T15:27:00+00:00,2025-12-29T16:11:00+00:00,2,up,4324.71,4337.85,13.140000000000327,0.9888577807743979,0.9664246747385793,7,2747,2025-12-29T16:11:00+00:00,4337.85,target_hit
2948,2025-12-30T14:48:00+00:00,2025-12-30T14:49:00+00:00,2025-12-30T15:31:00+00:00,0,down,4362.07,4362.25,-0.18000000000029104,0.8157309389900527,0.9990096847821368,3,2966,2025-12-30T15:31:00+00:00,4362.25,timeout
3164,2025-12-31T05:53:00+00:00,2025-12-31T05:54:00+00:00,2025-12-31T06:29:00+00:00,2,up,4292.53,4307.44,14.909999999999854,0.75754285753719,0.9996783157288475,5,3175,2025-12-31T06:29:00+00:00,4307.44,target_hit
3459,2026-01-01T23:58:00+00:00,2026-01-01T23:59:00+00:00,2026-01-02T00:23:00+00:00,2,up,4348.89,4345.37,-3.5200000000004366,0.9995824141396348,0.9995824141396348,0,3459,2026-01-02T00:23:00+00:00,4345.37,timeout
4824,2026-01-15T01:31:00+00:00,2026-01-15T01:32:00+00:00,2026-01-15T01:56:00+00:00,2,up,4586.89,4605.88,18.98999999999978,0.8846421397350934,0.690502123911865,0,4824,2026-01-15T01:56:00+00:00,4605.88,target_hit
4870,2026-01-16T15:27:00+00:00,2026-01-16T15:28:00+00:00,2026-01-16T15:48:00+00:00,0,down,4583.77,4568.48,15.290000000000873,0.9898759586102532,0.8112233707487847,0,4870,2026-01-16T15:52:00+00:00,4560.84,reverse_signal
4891,2026-01-16T15:48:00+00:00,2026-01-16T15:49:00+00:00,2026-01-16T15:51:00+00:00,2,up,4568.16,4566.51,-1.6499999999996362,0.92839595221493,0.8641346537680575,0,4891,2026-01-16T16:13:00+00:00,4592.67,reverse_signal
4894,2026-01-16T15:51:00+00:00,2026-01-16T15:52:00+00:00,2026-01-16T15:53:00+00:00,2,up,4569.79,4560.85,-8.9399999999996,0.7581263597739994,0.7581263597739994,0,4894,2026-01-16T16:16:00+00:00,4587.28,reverse_signal
4896,2026-01-16T15:53:00+00:00,2026-01-16T15:54:00+00:00,2026-01-16T16:06:00+00:00,0,down,4566.03,4584.03,-18.0,0.9208238203288184,0.9715999081987458,0,4896,2026-01-16T16:18:00+00:00,4586.42,stop_loss
