signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
43,2025-11-28T05:24:00+00:00,2025-11-28T05:24:00+00:00,2025-11-28T08:10:00+00:00,2,up,4184.1,4169.1,-15.0,0.9999221295749028,0.9999511633796626,0,43,2025-11-28T05:49:00+00:00,4185.49,stop_loss
62,2025-11-28T08:11:00+00:00,2025-11-28T08:11:00+00:00,2025-11-28T08:21:00+00:00,0,down,4176.7,4160.98,15.720000000000255,0.8769463469186538,0.8769463469186538,0,62,2025-11-28T09:24:00+00:00,4161.04,reverse_signal
72,2025-11-28T08:22:00+00:00,2025-11-28T08:22:00+00:00,2025-11-28T09:34:00+00:00,2,up,4166.2,4165.93,-0.26999999999952706,0.8453199142315037,0.8453199142315037,0,72,2025-11-28T09:34:00+00:00,4165.93,timeout
212,2025-12-01T14:44:00+00:00,2025-12-01T14:44:00+00:00,2025-12-01T15:00:00+00:00,0,down,4225.32,4243.32,-18.0,0.999128765628597,0.999674597909325,1,218,2025-12-01T15:15:00+00:00,4225.66,stop_loss
307,2025-12-02T01:09:00+00:00,2025-12-02T01:09:00+00:00,2025-12-02T01:36:00+00:00,2,up,4206.61,4217.09,10.480000000000473,0.9869341212408321,0.9137262066251569,2,309,2025-12-02T01:36:00+00:00,4217.09,target_hit
515,2025-12-05T16:11:00+00:00,2025-12-05T16:11:00+00:00,2025-12-05T16:12:00+00:00,0,down,4213.94,4213.78,0.15999999999985448,0.782621392068224,0.782621392068224,0,515,2025-12-05T16:36:00+00:00,4214.13,reverse_signal
519,2025-12-05T16:15:00+00:00,2025-12-05T16:15:00+00:00,2025-12-05T16:35:00+00:00,0,down,4207.14,4214.81,-7.670000000000073,0.9582460497586782,0.9836991492213276,2,524,2025-12-05T16:45:00+00:00,4210.26,reverse_signal
950,2025-12-12T15:30:00+00:00,2025-12-12T15:30:00+00:00,2025-12-12T15:47:00+00:00,0,down,4304.89,4320.1,-15.210000000000036,0.9961850868535094,0.7690372460239201,7,965,2025-12-12T16:10:00+00:00,4276.82,reverse_signal
968,2025-12-12T15:48:00+00:00,2025-12-12T15:48:00+00:00,2025-12-12T15:58:00+00:00,0,down,4318.88,4286.54,32.340000000000146,0.9767404967216878,0.9640562204791935,3,976,2025-12-12T16:21:00+00:00,4273.72,reverse_signal
979,2025-12-12T15:59:00+00:00,2025-12-12T15:59:00+00:00,2025-12-12T16:00:00+00:00,0,down,4290.64,4291.79,-1.1499999999996362,0.5089592485530114,0.5089592485530114,0,979,2025-12-12T16:24:00+00:00,4282.69,reverse_signal
981,2025-12-12T16:01:00+00:00,2025-12-12T16:01:00+00:00,2025-12-12T16:28:00+00:00,2,up,4284.17,4291.08,6.9099999999998545,0.9371743331044526,0.9749014421169891,2,983,2025-12-12T16:28:00+00:00,4291.08,target_hit
1020,2025-12-12T16:40:00+00:00,2025-12-12T16:40:00+00:00,2025-12-12T16:48:00+00:00,2,up,4262.37,4278.53,16.159999999999854,0.9930362570826616,0.6529934799262347,0,1020,2025-12-12T17:05:00+00:00,4278.76,reverse_signal
1553,2025-12-18T17:17:00+00:00,2025-12-18T17:17:00+00:00,2025-12-18T17:46:00+00:00,2,up,4325.23,4337.15,11.920000000000073,0.9995937584358817,0.9947761193438589,1,1557,2025-12-18T17:46:00+00:00,4337.15,target_hit
1952,2025-12-24T02:59:00+00:00,2025-12-24T02:59:00+00:00,2025-12-24T03:02:00+00:00,2,up,4477.98,4480.53,2.550000000000182,0.999280690686926,0.9909418973346661,1,1954,2025-12-24T03:26:00+00:00,4491.14,reverse_signal
1956,2025-12-24T03:03:00+00:00,2025-12-24T03:03:00+00:00,2025-12-24T03:44:00+00:00,2,up,4481.05,4494.88,13.829999999999927,0.844630410356478,0.9913000978341383,1,1972,2025-12-24T03:44:00+00:00,4494.88,target_hit
2243,2025-12-29T00:23:00+00:00,2025-12-29T00:23:00+00:00,2025-12-29T00:31:00+00:00,0,down,4495.64,4484.01,11.63000000000011,0.9153288782714928,0.6080905572746509,3,2250,2025-12-29T00:55:00+00:00,4497.46,reverse_signal
2252,2025-12-29T00:32:00+00:00,2025-12-29T00:32:00+00:00,2025-12-29T00:51:00+00:00,0,down,4488.24,4499.36,-11.11999999999989,0.9851311409578336,0.688827152744812,2,2255,2025-12-29T01:00:00+00:00,4494.58,reverse_signal
2281,2025-12-29T01:01:00+00:00,2025-12-29T01:01:00+00:00,2025-12-29T01:27:00+00:00,0,down,4499.4,4497.6,1.7999999999992724,0.9792902266537411,0.8252616007417595,1,2282,2025-12-29T01:27:00+00:00,4497.6,target_hit
2412,2025-12-29T07:03:00+00:00,2025-12-29T07:03:00+00:00,2025-12-29T07:34:00+00:00,2,up,4452.6,4478.32,25.719999999999345,0.9276590014727593,0.9881831598935276,3,2418,2025-12-29T07:34:00+00:00,4478.32,target_hit
2567,2025-12-29T11:43:00+00:00,2025-12-29T11:43:00+00:00,2025-12-29T12:33:00+00:00,2,up,4447.89,4456.92,9.029999999999745,0.9987373955579449,0.7468917761429313,3,2592,2025-12-29T12:33:00+00:00,4456.92,target_hit
2623,2025-12-29T13:42:00+00:00,2025-12-29T13:42:00+00:00,2025-12-29T13:48:00+00:00,2,up,4427.98,4417.97,-10.009999999999309,0.974237917033916,0.8466467173428639,0,2623,2025-12-29T14:07:00+00:00,4392.03,reverse_signal
2631,2025-12-29T13:50:00+00:00,2025-12-29T13:50:00+00:00,2025-12-29T13:55:00+00:00,0,down,4411.87,4410.31,1.5599999999994907,0.8487051906059155,0.8067702268879595,3,2635,2025-12-29T14:19:00+00:00,4395.29,reverse_signal
2637,2025-12-29T13:56:00+00:00,2025-12-29T13:56:00+00:00,2025-12-29T14:06:00+00:00,2,up,4410.58,4395.58,-15.0,0.9329539414607134,0.9992947887204889,0,2637,2025-12-29T14:21:00+00:00,4396.16,stop_loss
2648,2025-12-29T14:07:00+00:00,2025-12-29T14:07:00+00:00,2025-12-29T14:30:00+00:00,2,up,4392.03,4377.03,-15.0,0.9604338375630456,0.9728318439102097,1,2652,2025-12-29T14:36:00+00:00,4383.46,stop_loss
2672,2025-12-29T14:31:00+00:00,2025-12-29T14:31:00+00:00,2025-12-29T14:32:00+00:00,0,down,4372.47,4375.64,-3.1700000000000728,0.6167122580626616,0.6167122580626616,0,2672,2025-12-29T14:56:00+00:00,4367.63,reverse_signal
2674,2025-12-29T14:33:00+00:00,2025-12-29T14:33:00+00:00,2025-12-29T14:42:00+00:00,2,up,4376.47,4361.47,-15.0,0.9977126468211927,0.9989643980809207,1,2675,2025-12-29T14:59:00+00:00,4360.52,stop_loss
2686,2025-12-29T14:45:00+00:00,2025-12-29T14:45:00+00:00,2025-12-29T14:56:00+00:00,2,up,4379.94,4367.63,-12.30999999999949,0.9996244876307133,0.9964835761073604,1,2688,2025-12-29T15:12:00+00:00,4341.32,reverse_signal
2699,2025-12-29T14:58:00+00:00,2025-12-29T14:58:00+00:00,2025-12-29T15:03:00+00:00,0,down,4359.83,4342.37,17.460000000000036,0.9338640200712522,0.9338640200712522,0,2699,2025-12-29T15:23:00+00:00,4312.14,reverse_signal
2705,2025-12-29T15:04:00+00:00,2025-12-29T15:04:00+00:00,2025-12-29T15:20:00+00:00,2,up,4341.84,4326.84,-15.0,0.9940180241341598,0.7186100405741974,3,2711,2025-12-29T15:35:00+00:00,4333.34,stop_loss
2722,2025-12-29T15:21:00+00:00,2025-12-29T15:21:00+00:00,2025-12-29T15:23:00+00:00,2,up,4316.96,4312.14,-4.819999999999709,0.5341258793686718,0.6907559767628845,0,2722,2025-12-29T15:46:00+00:00,4334.84,reverse_signal
2725,2025-12-29T15:24:00+00:00,2025-12-29T15:24:00+00:00,2025-12-29T16:12:00+00:00,2,up,4316.02,4339.95,23.92999999999938,0.8909187475097553,0.7610461372515505,4,2748,2025-12-29T16:12:00+00:00,4339.95,target_hit
2945,2025-12-30T14:45:00+00:00,2025-12-30T14:45:00+00:00,2025-12-30T15:31:00+00:00,0,down,4365.03,4362.25,2.7799999999997453,0.7878001577796093,0.9990581684432958,5,2966,2025-12-30T15:31:00+00:00,4362.25,target_hit
3163,2025-12-31T05:52:00+00:00,2025-12-31T05:52:00+00:00,2025-12-31T05:55:00+00:00,0,down,4297.4,4284.14,13.259999999999309,0.9625222914761324,0.9064189862057274,0,3163,2025-12-31T06:17:00+00:00,4295.2,reverse_signal
3167,2025-12-31T05:56:00+00:00,2025-12-31T05:56:00+00:00,2025-12-31T06:44:00+00:00,2,up,4285.96,4314.72,28.76000000000022,0.686431016322932,0.9358117394546125,8,3190,2025-12-31T06:44:00+00:00,4314.72,target_hit
3587,2026-01-02T14:39:00+00:00,2026-01-02T14:39:00+00:00,2026-01-02T15:04:00+00:00,2,up,4351.12,4342.27,-8.849999999999454,0.8831499354119436,0.8831499354119436,0,3587,2026-01-02T15:04:00+00:00,4342.27,timeout
4396,2026-01-12T01:35:00+00:00,2026-01-12T01:35:00+00:00,2026-01-12T02:00:00+00:00,2,up,4575.51,4573.97,-1.5399999999999636,0.9993269760410676,0.8972947756776097,0,4396,2026-01-12T02:00:00+00:00,4573.97,timeout
4824,2026-01-15T01:31:00+00:00,2026-01-15T01:31:00+00:00,2026-01-15T01:33:00+00:00,2,up,4586.88,4594.99,8.109999999999673,0.9623476366203384,0.9646345481717696,0,4824,2026-01-15T01:56:00+00:00,4605.88,reverse_signal
4870,2026-01-16T15:27:00+00:00,2026-01-16T15:27:00+00:00,2026-01-16T15:47:00+00:00,0,down,4583.48,4568.49,14.989999999999782,0.9872684605759953,0.8243022208142011,0,4870,2026-01-16T15:52:00+00:00,4560.84,reverse_signal
4891,2026-01-16T15:48:00+00:00,2026-01-16T15:48:00+00:00,2026-01-16T15:50:00+00:00,2,up,4568.35,4566.42,-1.930000000000291,0.9691370603224766,0.9216578093221235,0,4891,2026-01-16T16:13:00+00:00,4592.67,reverse_signal
4894,2026-01-16T15:51:00+00:00,2026-01-16T15:51:00+00:00,2026-01-16T15:52:00+00:00,2,up,4569.81,4560.84,-8.970000000000255,0.9374947387670186,0.9374947387670186,0,4894,2026-01-16T16:16:00+00:00,4587.28,reverse_signal
