signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
43,2025-11-28T05:24:00+00:00,2025-11-28T05:24:00+00:00,2025-11-28T08:10:00+00:00,2,up,4184.1,4169.1,-15.0,0.9999385667933357,0.9999762205587965,0,43,2025-11-28T05:49:00+00:00,4185.49,stop_loss
71,2025-11-28T08:21:00+00:00,2025-11-28T08:21:00+00:00,2025-11-28T09:33:00+00:00,2,up,4160.98,4164.58,3.600000000000364,0.7027508200657079,0.7027508200657079,0,71,2025-11-28T09:33:00+00:00,4164.58,target_hit
138,2025-11-28T14:43:00+00:00,2025-11-28T14:43:00+00:00,2025-11-28T15:08:00+00:00,2,up,4198.78,4193.31,-5.469999999999345,0.9999006990541478,0.9999006990541478,0,138,2025-11-28T15:08:00+00:00,4193.31,timeout
213,2025-12-01T14:45:00+00:00,2025-12-01T14:45:00+00:00,2025-12-01T15:15:00+00:00,0,down,4228.88,4225.66,3.2200000000002547,0.9978765402653308,0.999664671736553,2,218,2025-12-01T15:15:00+00:00,4225.66,target_hit
308,2025-12-02T01:10:00+00:00,2025-12-02T01:10:00+00:00,2025-12-02T01:12:00+00:00,2,up,4206.4,4205.13,-1.269999999999527,0.7589717001994181,0.7589717001994181,0,308,2025-12-02T01:35:00+00:00,4217.0,reverse_signal
311,2025-12-02T01:13:00+00:00,2025-12-02T01:13:00+00:00,2025-12-02T01:38:00+00:00,0,down,4200.9,4213.45,-12.550000000000182,0.9134922336885485,0.9134922336885485,0,311,2025-12-02T01:38:00+00:00,4213.45,timeout
516,2025-12-05T16:12:00+00:00,2025-12-05T16:12:00+00:00,2025-12-05T16:15:00+00:00,2,up,4213.78,4207.14,-6.639999999999418,0.6961411632137634,0.6961411632137634,0,516,2025-12-05T16:37:00+00:00,4215.31,reverse_signal
521,2025-12-05T16:17:00+00:00,2025-12-05T16:17:00+00:00,2025-12-05T16:42:00+00:00,0,down,4203.55,4210.09,-6.539999999999964,0.9750572014710716,0.9984330466065732,0,521,2025-12-05T16:42:00+00:00,4210.09,timeout
950,2025-12-12T15:30:00+00:00,2025-12-12T15:30:00+00:00,2025-12-12T15:47:00+00:00,0,down,4304.89,4320.1,-15.210000000000036,0.9995379970559352,0.8312278352499624,6,965,2025-12-12T16:10:00+00:00,4276.82,reverse_signal
968,2025-12-12T15:48:00+00:00,2025-12-12T15:48:00+00:00,2025-12-12T15:58:00+00:00,0,down,4318.88,4286.54,32.340000000000146,0.9644435998666687,0.6555745863191527,4,976,2025-12-12T16:21:00+00:00,4273.72,reverse_signal
979,2025-12-12T15:59:00+00:00,2025-12-12T15:59:00+00:00,2025-12-12T16:19:00+00:00,2,up,4290.64,4283.57,-7.0700000000006185,0.8793418165981212,0.9981716436351009,3,983,2025-12-12T16:28:00+00:00,4291.08,reverse_signal
1001,2025-12-12T16:21:00+00:00,2025-12-12T16:21:00+00:00,2025-12-12T16:24:00+00:00,0,down,4273.72,4282.69,-8.969999999999345,0.8608128556450385,0.8608128556450385,0,1001,2025-12-12T16:46:00+00:00,4271.84,reverse_signal
1021,2025-12-12T16:41:00+00:00,2025-12-12T16:41:00+00:00,2025-12-12T17:11:00+00:00,2,up,4266.41,4276.07,9.659999999999854,0.9927457382997764,0.7902564680160089,2,1026,2025-12-12T17:11:00+00:00,4276.07,target_hit
1553,2025-12-18T17:17:00+00:00,2025-12-18T17:17:00+00:00,2025-12-18T17:42:00+00:00,2,up,4325.23,4336.13,10.900000000000546,0.9996529525270808,0.9986808506746635,0,1553,2025-12-18T17:42:00+00:00,4336.13,target_hit
1954,2025-12-24T03:01:00+00:00,2025-12-24T03:01:00+00:00,2025-12-24T03:28:00+00:00,2,up,4482.21,4492.11,9.899999999999636,0.9943091505495185,0.8796171012332854,1,1956,2025-12-24T03:28:00+00:00,4492.11,target_hit
2243,2025-12-29T00:23:00+00:00,2025-12-29T00:23:00+00:00,2025-12-29T00:51:00+00:00,0,down,4495.64,4499.36,-3.719999999999345,0.6738163867209078,0.8991159173240807,3,2254,2025-12-29T00:59:00+00:00,4497.88,reverse_signal
2281,2025-12-29T01:01:00+00:00,2025-12-29T01:01:00+00:00,2025-12-29T01:27:00+00:00,0,down,4499.4,4497.6,1.7999999999992724,0.9900537302949073,0.8986107250997262,1,2282,2025-12-29T01:27:00+00:00,4497.6,target_hit
2412,2025-12-29T07:03:00+00:00,2025-12-29T07:03:00+00:00,2025-12-29T07:36:00+00:00,2,up,4452.6,4479.21,26.609999999999673,0.9090179835440938,0.9995054943388904,4,2420,2025-12-29T07:36:00+00:00,4479.21,target_hit
2567,2025-12-29T11:43:00+00:00,2025-12-29T11:43:00+00:00,2025-12-29T12:09:00+00:00,2,up,4447.89,4455.29,7.399999999999636,0.9992362157414919,0.9973513791978493,1,2568,2025-12-29T12:09:00+00:00,4455.29,target_hit
2624,2025-12-29T13:43:00+00:00,2025-12-29T13:43:00+00:00,2025-12-29T13:48:00+00:00,2,up,4431.53,4417.97,-13.55999999999949,0.7624358549314036,0.7624358549314036,0,2624,2025-12-29T14:08:00+00:00,4389.2,reverse_signal
2630,2025-12-29T13:49:00+00:00,2025-12-29T13:49:00+00:00,2025-12-29T14:03:00+00:00,2,up,4417.19,4402.19,-15.0,0.8269373440101282,0.9990282559313238,1,2631,2025-12-29T14:15:00+00:00,4405.29,stop_loss
2645,2025-12-29T14:04:00+00:00,2025-12-29T14:04:00+00:00,2025-12-29T14:29:00+00:00,2,up,4399.81,4389.79,-10.020000000000437,0.9989202740442334,0.9948812034574505,0,2645,2025-12-29T14:29:00+00:00,4389.79,timeout
2672,2025-12-29T14:31:00+00:00,2025-12-29T14:31:00+00:00,2025-12-29T14:56:00+00:00,2,up,4372.47,4367.63,-4.8400000000001455,0.9766007457696652,0.9257935282718215,0,2672,2025-12-29T14:56:00+00:00,4367.63,timeout
2698,2025-12-29T14:57:00+00:00,2025-12-29T14:57:00+00:00,2025-12-29T15:02:00+00:00,0,down,4364.64,4343.46,21.18000000000029,0.7890643649646099,0.7890643649646099,0,2698,2025-12-29T15:22:00+00:00,4314.21,reverse_signal
2704,2025-12-29T15:03:00+00:00,2025-12-29T15:03:00+00:00,2025-12-29T15:09:00+00:00,2,up,4342.37,4343.73,1.3599999999996726,0.9366749150496088,0.8796444700845225,1,2706,2025-12-29T15:30:00+00:00,4326.56,reverse_signal
2711,2025-12-29T15:10:00+00:00,2025-12-29T15:10:00+00:00,2025-12-29T15:24:00+00:00,0,down,4341.28,4316.02,25.25999999999931,0.9271889898635898,0.890686535377648,3,2717,2025-12-29T15:41:00+00:00,4325.22,reverse_signal
2727,2025-12-29T15:26:00+00:00,2025-12-29T15:26:00+00:00,2025-12-29T16:12:00+00:00,2,up,4324.72,4339.95,15.229999999999563,0.9953732909251558,0.9770632803120436,9,2748,2025-12-29T16:12:00+00:00,4339.95,target_hit
2945,2025-12-30T14:45:00+00:00,2025-12-30T14:45:00+00:00,2025-12-30T15:30:00+00:00,0,down,4365.03,4364.68,0.3499999999994543,0.8005925470388019,0.9848728620467001,4,2965,2025-12-30T15:30:00+00:00,4364.68,target_hit
3164,2025-12-31T05:53:00+00:00,2025-12-31T05:53:00+00:00,2025-12-31T06:33:00+00:00,2,up,4292.54,4310.46,17.920000000000073,0.7362782358869548,0.9997969478417759,6,3179,2025-12-31T06:33:00+00:00,4310.46,target_hit
4824,2026-01-15T01:31:00+00:00,2026-01-15T01:31:00+00:00,2026-01-15T01:56:00+00:00,2,up,4586.88,4605.88,19.0,0.7971239836606128,0.9569968801347208,0,4824,2026-01-15T01:56:00+00:00,4605.88,target_hit
4870,2026-01-16T15:27:00+00:00,2026-01-16T15:27:00+00:00,2026-01-16T15:47:00+00:00,0,down,4583.48,4568.49,14.989999999999782,0.969511169632278,0.6485093634737857,0,4870,2026-01-16T15:52:00+00:00,4560.84,reverse_signal
4891,2026-01-16T15:48:00+00:00,2026-01-16T15:48:00+00:00,2026-01-16T15:50:00+00:00,2,up,4568.35,4566.42,-1.930000000000291,0.9413463958652569,0.7180657919699944,0,4891,2026-01-16T16:13:00+00:00,4592.67,reverse_signal
4894,2026-01-16T15:51:00+00:00,2026-01-16T15:51:00+00:00,2026-01-16T15:52:00+00:00,2,up,4569.81,4560.84,-8.970000000000255,0.7996544298114807,0.7996544298114807,0,4894,2026-01-16T16:16:00+00:00,4587.28,reverse_signal
4896,2026-01-16T15:53:00+00:00,2026-01-16T15:53:00+00:00,2026-01-16T16:06:00+00:00,0,down,4566.16,4584.16,-18.0,0.8504473915737442,0.993210604698946,0,4896,2026-01-16T16:18:00+00:00,4586.42,stop_loss
5070,2026-01-18T23:33:00+00:00,2026-01-18T23:33:00+00:00,2026-01-18T23:58:00+00:00,0,down,4680.44,4674.38,6.059999999999491,0.8448094189291485,0.8448094189291485,0,5070,2026-01-18T23:58:00+00:00,4674.38,target_hit
5646,2026-01-21T14:12:00+00:00,2026-01-21T14:12:00+00:00,2026-01-21T14:15:00+00:00,0,down,4843.86,4848.72,-4.860000000000582,0.9989217581409064,0.9841249993031989,0,5646,2026-01-21T14:37:00+00:00,4865.3,reverse_signal
5650,2026-01-21T14:16:00+00:00,2026-01-21T14:16:00+00:00,2026-01-21T14:19:00+00:00,0,down,4851.92,4846.25,5.670000000000073,0.8479128373590029,0.91684567275999,1,5652,2026-01-21T14:43:00+00:00,4865.1,reverse_signal
5654,2026-01-21T14:20:00+00:00,2026-01-21T14:20:00+00:00,2026-01-21T14:23:00+00:00,2,up,4855.39,4853.54,-1.8500000000003638,0.9058915476429563,0.9058915476429563,0,5654,2026-01-21T14:45:00+00:00,4859.27,reverse_signal
5658,2026-01-21T14:24:00+00:00,2026-01-21T14:24:00+00:00,2026-01-21T14:51:00+00:00,0,down,4853.22,4849.42,3.800000000000182,0.7814081094224903,0.7888710936947406,1,5660,2026-01-21T14:51:00+00:00,4849.42,target_hit
5695,2026-01-21T15:01:00+00:00,2026-01-21T15:01:00+00:00,2026-01-21T15:26:00+00:00,0,down,4855.11,4821.64,33.469999999999345,0.942360265399013,0.942360265399013,0,5695,2026-01-21T15:26:00+00:00,4821.64,target_hit
5726,2026-01-21T15:32:00+00:00,2026-01-21T15:32:00+00:00,2026-01-21T16:07:00+00:00,0,down,4836.35,4854.35,-18.0,0.999978830630482,0.9973122744054266,3,5754,2026-01-21T16:25:00+00:00,4833.49,stop_loss
5806,2026-01-21T16:52:00+00:00,2026-01-21T16:52:00+00:00,2026-01-21T17:18:00+00:00,0,down,4824.86,4818.33,6.529999999999745,0.988590613295454,0.9927311783623688,1,5807,2026-01-21T17:18:00+00:00,4818.33,target_hit
5962,2026-01-21T19:28:00+00:00,2026-01-21T19:28:00+00:00,2026-01-21T19:35:00+00:00,2,up,4810.87,4795.87,-15.0,0.9910093004152298,0.99842942598989,4,5968,2026-01-21T19:59:00+00:00,4781.38,stop_loss
5970,2026-01-21T19:36:00+00:00,2026-01-21T19:36:00+00:00,2026-01-21T19:37:00+00:00,0,down,4781.03,4777.31,3.719999999999345,0.6817871974559353,0.6817871974559353,0,5970,2026-01-21T20:01:00+00:00,4785.6,reverse_signal
5972,2026-01-21T19:38:00+00:00,2026-01-21T19:38:00+00:00,2026-01-21T19:44:00+00:00,2,up,4788.0,4773.0,-15.0,0.7961801698667518,0.985355101291366,1,5975,2026-01-21T20:06:00+00:00,4782.06,stop_loss
5979,2026-01-21T19:45:00+00:00,2026-01-21T19:45:00+00:00,2026-01-21T20:07:00+00:00,2,up,4766.89,4781.78,14.889999999999418,0.9785684336715842,0.8266274405033757,8,5999,2026-01-21T20:30:00+00:00,4806.66,reverse_signal
