run_id,window,horizon,trend_threshold,long_target_threshold,short_target_threshold,long_adverse_limit,short_adverse_limit,min_15m_drop,min_15m_rise,max_flat_ratio,stage1_min_prob,stage2_min_prob,model_source,return_code,elapsed_s,status,trades,n_days,total_pnl,avg_trade,avg_day,positive_days_pct,stage1_balanced_accuracy,stage2_balanced_accuracy,score
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.55_p20.6,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.55,0.6,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.48_p20.5,0,6.16,OK,1440,72,4808.939999999975,3.3395416666666495,66.79083333333298,77.77777777777779,0.6874713709333913,0.5349263813674549,6121.644159145208
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.55_p20.6,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.55,0.6,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.48_p20.5,0,5.2,OK,1440,72,4808.939999999975,3.3395416666666495,66.79083333333298,77.77777777777779,0.6874713709333913,0.5349263813674549,6121.644159145208
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.48_p20.6,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.48,0.6,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.48_p20.5,0,5.23,OK,1497,73,4828.079999999975,3.225170340681346,66.13808219178048,73.97260273972603,0.693720622107482,0.5330062857056722,6100.812313102908
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.48_p20.6,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.48,0.6,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.48_p20.5,0,5.44,OK,1497,73,4828.079999999975,3.225170340681346,66.13808219178048,73.97260273972603,0.693720622107482,0.5330062857056722,6100.812313102908
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.55_p20.5,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.55,0.5,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.48_p20.5,0,5.52,OK,1476,73,4740.699999999982,3.2118563685636734,64.94109589041071,79.45205479452055,0.6964492953178052,0.531654811814028,6066.875359759215
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.55_p20.5,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.55,0.5,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.48_p20.5,0,7.54,OK,1476,73,4740.699999999982,3.2118563685636734,64.94109589041071,79.45205479452055,0.6964492953178052,0.531654811814028,6066.875359759215
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.48_p20.6,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.5,0.48,0.6,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.48_p20.5,0,5.66,OK,1337,69,4783.909999999981,3.5780927449513693,69.33202898550697,73.91304347826086,0.6654537822370977,0.5369234202047884,6059.963854987378
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.48_p20.6,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.5,0.48,0.6,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.48_p20.5,0,6.47,OK,1337,69,4783.909999999981,3.5780927449513693,69.33202898550697,73.91304347826086,0.6654537822370977,0.5369234202047884,6059.963854987378
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.55_p20.55,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.55,0.55,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.48_p20.5,0,5.48,OK,1453,72,4738.019999999976,3.2608534067446495,65.805833333333,77.77777777777779,0.69125847967043,0.5333841525492751,6049.1819303270295
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.55_p20.55,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.55,0.55,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.48_p20.5,0,5.48,OK,1453,72,4738.019999999976,3.2608534067446495,65.805833333333,77.77777777777779,0.69125847967043,0.5333841525492751,6049.1819303270295
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.48_p20.5,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.48,0.5,trained,0,33.35,OK,1536,74,4757.269999999983,3.097180989583322,64.28743243243221,75.67567567567568,0.7031248932282448,0.5301935539655906,6044.22031072233
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.48_p20.5,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.48,0.5,trained,0,65.97,OK,1536,74,4757.269999999983,3.097180989583322,64.28743243243221,75.67567567567568,0.7031248932282448,0.5301935539655906,6044.22031072233
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.48_p20.55,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.48,0.55,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.48_p20.5,0,7.06,OK,1511,74,4779.2599999999775,3.1629781601588203,64.5845945945943,72.97297297297297,0.6978678933289235,0.5316291538061844,6040.618883535892
