run_id,window,horizon,trend_threshold,long_target_threshold,short_target_threshold,long_adverse_limit,short_adverse_limit,min_15m_drop,min_15m_rise,max_flat_ratio,stage1_min_prob,stage2_min_prob,model_source,return_code,elapsed_s,status,trades,n_days,total_pnl,avg_trade,avg_day,positive_days_pct,stage1_balanced_accuracy,stage2_balanced_accuracy,score
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.48_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.5,0.48,0.5,trained,0,234.76,OK,1413,71,5923.139999999994,4.191889596602969,83.42450704225344,73.23943661971832,0.6797826371928788,0.5679575182544544,7223.491884451631
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.48_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.5,0.48,0.5,trained,0,194.14,OK,1413,71,5923.139999999994,4.191889596602969,83.42450704225344,73.23943661971832,0.6797826371928788,0.5679575182544544,7223.491884451631
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.48_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.48,0.5,trained,0,213.1,OK,1545,73,5658.520000000004,3.6624724919093876,77.51397260273978,71.23287671232876,0.700322262782202,0.5703366972267159,6941.185464350007
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.48_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.48,0.5,trained,0,156.37,OK,1545,73,5658.520000000004,3.6624724919093876,77.51397260273978,71.23287671232876,0.700322262782202,0.5703366972267159,6941.185464350007
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.5_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.5,0.5,trained,0,180.02,OK,1478,74,5533.369999999977,3.7438227334235297,74.77527027026996,70.27027027027027,0.6987523478397142,0.5651089622870962,6801.1816649897755
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.5_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.5,0.5,trained,0,181.87,OK,1478,74,5533.369999999977,3.7438227334235297,74.77527027026996,70.27027027027027,0.6987523478397142,0.5651089622870962,6801.1816649897755
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.52_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.52,0.5,trained,0,220.55,OK,1464,72,5534.0399999999945,3.780081967213111,76.8616666666666,68.05555555555556,0.6955043510486751,0.558788798718044,6773.384354273594
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.52_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.52,0.5,trained,0,185.08,OK,1464,72,5534.0399999999945,3.780081967213111,76.8616666666666,68.05555555555556,0.6955043510486751,0.558788798718044,6773.384354273594
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.5_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.5,0.5,0.5,trained,0,241.84,OK,1367,70,5358.219999999997,3.9196927578639333,76.54599999999995,72.85714285714285,0.6723950709830018,0.567510173981919,6654.301602553344
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.5_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.5,0.5,0.5,trained,0,189.83,OK,1367,70,5358.219999999997,3.9196927578639333,76.54599999999995,72.85714285714285,0.6723950709830018,0.567510173981919,6654.301602553344
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.55_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.55,0.5,trained,0,232.9,OK,1477,73,5185.359999999989,3.5107379823967424,71.03232876712313,72.6027397260274,0.6925448942486981,0.5577749887638543,6469.162386024117
