run_id,window,horizon,trend_threshold,long_target_threshold,short_target_threshold,long_adverse_limit,short_adverse_limit,min_15m_drop,min_15m_rise,stage1_min_prob,stage2_min_prob,return_code,elapsed_s,status,trades,n_days,total_pnl,avg_trade,avg_day,positive_days_pct,stage1_balanced_accuracy,stage2_balanced_accuracy,score
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_p10.6_p20.6,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,0.6,0.6,0,52.24,OK,215,29,934.3399999999992,4.3457674418604615,32.21862068965515,62.06896551724138,0.6045730529908272,0.5309244919617939,2085.9541471342072
w150_h25_thr0.008_d15_lt0.008_st0.008_ls15_ss15_r15_p10.6_p20.6,150,25,0.008,0.008,0.008,15.0,15.0,15.0,15.0,0.6,0.6,0,41.67,OK,191,25,838.1999999999971,4.388481675392655,33.527999999999885,68.0,0.606976911786584,0.5198598130841121,2038.0598130841092
w150_h25_thr0.008_d15_lt0.006_st0.01_ls12_ss18_r15_p10.6_p20.6,150,25,0.008,0.006,0.01,12.0,18.0,15.0,15.0,0.6,0.6,0,45.57,OK,238,32,814.6700000000001,3.4229831932773114,25.458437500000002,65.625,0.5940750764307052,0.5305526725480021,2001.4726725480023
w150_h25_thr0.008_d15_lt0.006_st0.01_ls12_ss15_r15_p10.6_p20.6,150,25,0.008,0.006,0.01,12.0,15.0,15.0,15.0,0.6,0.6,0,46.1,OK,249,29,758.6900000000014,3.0469477911646643,26.161724137931085,72.41379310344827,0.601387471343094,0.5139783709157846,1996.8063019502688
w150_h25_thr0.008_d15_lt0.008_st0.008_ls15_ss18_r15_p10.6_p20.6,150,25,0.008,0.008,0.008,15.0,18.0,15.0,15.0,0.6,0.6,0,43.44,OK,170,25,768.0100000000048,4.517705882352969,30.72040000000019,60.0,0.6113689030845406,0.5135645604395604,1881.5745604395652
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss15_r15_p10.6_p20.6,150,25,0.008,0.006,0.008,15.0,15.0,15.0,15.0,0.6,0.6,0,47.46,OK,239,31,767.1399999999958,3.209790794979062,24.74645161290309,58.06451612903226,0.6055355453029314,0.5128967130835126,1860.681874373831
w150_h25_thr0.008_d15_lt0.006_st0.01_ls15_ss15_r15_p10.6_p20.6,150,25,0.008,0.006,0.01,15.0,15.0,15.0,15.0,0.6,0.6,0,46.0,OK,211,31,651.3099999999959,3.0867772511848144,21.009999999999867,67.74193548387096,0.5889821501414598,0.5219981047786653,1850.7274596173709
w150_h25_thr0.008_d15_lt0.006_st0.008_ls12_ss15_r15_p10.6_p20.6,150,25,0.008,0.006,0.008,12.0,15.0,15.0,15.0,0.6,0.6,0,46.48,OK,240,30,669.3400000000038,2.7889166666666823,22.311333333333458,53.333333333333336,0.6024388140610966,0.5181623931623932,1720.8357264957303
w150_h25_thr0.008_d15_lt0.006_st0.01_ls15_ss18_r15_p10.6_p20.6,150,25,0.008,0.006,0.01,15.0,18.0,15.0,15.0,0.6,0.6,0,43.62,OK,217,29,570.6699999999973,2.629815668202753,19.678275862068872,62.06896551724138,0.6007585229918895,0.5172902803534417,1708.649935525853
w150_h25_thr0.008_d15_lt0.008_st0.01_ls12_ss15_r15_p10.6_p20.6,150,25,0.008,0.008,0.01,12.0,15.0,15.0,15.0,0.6,0.6,0,55.06,OK,128,23,587.8599999999988,4.59265624999999,25.559130434782556,56.52173913043478,0.5764094512955672,0.5373254564983888,1690.4028478027353
w150_h25_thr0.008_d15_lt0.008_st0.008_ls12_ss18_r15_p10.6_p20.6,150,25,0.008,0.008,0.008,12.0,18.0,15.0,15.0,0.6,0.6,0,44.41,OK,167,23,534.2500000000027,3.199101796407202,23.228260869565336,65.21739130434783,0.6017515004996431,0.5000598086124403,1686.4837216559213
w150_h25_thr0.008_d15_lt0.006_st0.008_ls12_ss18_r15_p10.6_p20.6,150,25,0.008,0.006,0.008,12.0,18.0,15.0,15.0,0.6,0.6,0,48.87,OK,235,29,550.8399999999983,2.3439999999999928,18.99448275862063,55.172413793103445,0.6145968306649133,0.49100225599412395,1593.5663939251567
w150_h25_thr0.008_d15_lt0.008_st0.008_ls12_ss15_r15_p10.6_p20.6,150,25,0.008,0.008,0.008,12.0,15.0,15.0,15.0,0.6,0.6,0,54.04,OK,148,23,544.0700000000061,3.67614864864869,23.65521739130461,47.82608695652174,0.5857623258811379,0.521211808422791,1543.5426779880145
w150_h25_thr0.008_d15_lt0.008_st0.01_ls15_ss18_r15_p10.6_p20.6,150,25,0.008,0.008,0.01,15.0,18.0,15.0,15.0,0.6,0.6,0,75.68,OK,127,23,431.3299999999963,3.396299212598396,18.753478260869404,52.17391304347826,0.5806324043114591,0.5333333333333333,1486.4024637681123
w150_h25_thr0.008_d15_lt0.008_st0.01_ls12_ss18_r15_p10.6_p20.6,150,25,0.008,0.008,0.01,12.0,18.0,15.0,15.0,0.6,0.6,0,56.41,OK,131,22,276.92999999999665,2.1139694656488293,12.58772727272712,45.45454545454545,0.5715229808974732,0.5781573498964804,1309.6328044419315
w150_h25_thr0.008_d15_lt0.008_st0.01_ls15_ss15_r15_p10.6_p20.6,150,25,0.008,0.008,0.01,15.0,15.0,15.0,15.0,0.6,0.6,0,62.97,OK,133,22,322.62999999999556,2.425789473684177,14.664999999999798,40.909090909090914,0.5773926866560235,0.4878386699507389,1219.5595790416437
