signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
35,2025-11-25T17:12:00+00:00,2025-11-25T17:13:00+00:00,2025-11-28T05:24:00+00:00,0,down,4149.76,4167.76,-18.0,0.9545558373774344,0.9545558373774344,0,35,2025-11-25T17:37:00+00:00,4157.11,stop_loss
43,2025-11-28T05:24:00+00:00,2025-11-28T05:25:00+00:00,2025-11-28T08:10:00+00:00,2,up,4184.21,4169.21,-15.0,0.999960317558552,0.9943336755872962,0,43,2025-11-28T05:49:00+00:00,4185.49,stop_loss
62,2025-11-28T08:11:00+00:00,2025-11-28T08:13:00+00:00,2025-11-28T08:22:00+00:00,0,down,4173.07,4168.47,4.599999999999454,0.7748409221348712,0.8793258659392825,1,64,2025-11-28T09:26:00+00:00,4160.96,reverse_signal
72,2025-11-28T08:22:00+00:00,2025-11-28T08:23:00+00:00,2025-11-28T08:30:00+00:00,2,up,4166.04,4163.26,-2.7799999999997453,0.6480698665215593,0.6480698665215593,0,72,2025-11-28T09:34:00+00:00,4165.93,reverse_signal
83,2025-11-28T09:20:00+00:00,2025-11-28T09:21:00+00:00,2025-11-28T09:25:00+00:00,0,down,4162.9,4160.73,2.1700000000000728,0.7425891866492613,0.7425891866492613,0,83,2025-11-28T09:45:00+00:00,4163.68,reverse_signal
100,2025-11-28T09:37:00+00:00,2025-11-28T09:38:00+00:00,2025-11-28T10:02:00+00:00,2,up,4163.29,4169.35,6.0600000000004,0.5744290979754837,0.5744290979754837,0,100,2025-11-28T10:02:00+00:00,4169.35,target_hit
138,2025-11-28T14:43:00+00:00,2025-11-28T14:44:00+00:00,2025-11-28T15:08:00+00:00,2,up,4198.81,4193.31,-5.5,0.9984728546619135,0.9984728546619135,0,138,2025-11-28T15:08:00+00:00,4193.31,timeout
215,2025-12-01T14:47:00+00:00,2025-12-01T14:48:00+00:00,2025-12-01T15:15:00+00:00,0,down,4230.82,4225.66,5.1599999999998545,0.9995868760854965,0.9989200066841095,2,218,2025-12-01T15:15:00+00:00,4225.66,target_hit
307,2025-12-02T01:09:00+00:00,2025-12-02T01:10:00+00:00,2025-12-02T01:36:00+00:00,2,up,4206.06,4217.09,11.029999999999745,0.9836467907070899,0.8250582983207427,2,309,2025-12-02T01:36:00+00:00,4217.09,target_hit
515,2025-12-05T16:11:00+00:00,2025-12-05T16:12:00+00:00,2025-12-05T16:13:00+00:00,0,down,4213.93,4212.94,0.9900000000006912,0.7254416001387238,0.7254416001387238,0,515,2025-12-05T16:36:00+00:00,4214.13,reverse_signal
517,2025-12-05T16:13:00+00:00,2025-12-05T16:14:00+00:00,2025-12-05T16:15:00+00:00,0,down,4213.7,4203.46,10.239999999999782,0.743794398285221,0.743794398285221,0,517,2025-12-05T16:38:00+00:00,4215.01,reverse_signal
519,2025-12-05T16:15:00+00:00,2025-12-05T16:16:00+00:00,2025-12-05T16:36:00+00:00,0,down,4207.13,4215.11,-7.979999999999563,0.9257354931866731,0.998560583546297,2,524,2025-12-05T16:45:00+00:00,4210.26,reverse_signal
945,2025-12-12T15:25:00+00:00,2025-12-12T15:26:00+00:00,2025-12-12T15:48:00+00:00,0,down,4309.33,4320.08,-10.75,0.9960766786237101,0.8526319005584069,11,965,2025-12-12T16:10:00+00:00,4276.82,reverse_signal
968,2025-12-12T15:48:00+00:00,2025-12-12T15:49:00+00:00,2025-12-12T15:59:00+00:00,0,down,4319.06,4286.18,32.88000000000011,0.9801289732048841,0.8413292650737287,2,976,2025-12-12T16:21:00+00:00,4273.72,reverse_signal
979,2025-12-12T15:59:00+00:00,2025-12-12T16:00:00+00:00,2025-12-12T16:20:00+00:00,2,up,4290.04,4283.98,-6.0600000000004,0.6885081180814755,0.9688837049714714,3,983,2025-12-12T16:28:00+00:00,4291.08,reverse_signal
1001,2025-12-12T16:21:00+00:00,2025-12-12T16:22:00+00:00,2025-12-12T16:29:00+00:00,0,down,4273.88,4291.53,-17.649999999999636,0.9109056589469736,0.9109056589469736,0,1001,2025-12-12T16:46:00+00:00,4271.84,reverse_signal
1018,2025-12-12T16:38:00+00:00,2025-12-12T16:39:00+00:00,2025-12-12T17:03:00+00:00,2,up,4268.32,4282.67,14.350000000000364,0.9994496449945727,0.9966475406427093,0,1018,2025-12-12T17:03:00+00:00,4282.67,target_hit
1179,2025-12-15T16:11:00+00:00,2025-12-15T16:12:00+00:00,2025-12-15T16:36:00+00:00,2,up,4301.33,4288.1,-13.229999999999563,0.802909366830018,0.802909366830018,0,1179,2025-12-15T16:36:00+00:00,4288.1,timeout
1488,2025-12-18T16:12:00+00:00,2025-12-18T16:13:00+00:00,2025-12-18T16:37:00+00:00,2,up,4361.49,4369.46,7.970000000000255,0.9999731635751321,0.9999731635751321,0,1488,2025-12-18T16:37:00+00:00,4369.46,target_hit
1548,2025-12-18T17:12:00+00:00,2025-12-18T17:13:00+00:00,2025-12-18T17:20:00+00:00,2,up,4326.45,4331.59,5.140000000000327,0.9995654391517099,0.9970189434630679,1,1549,2025-12-18T17:38:00+00:00,4337.45,reverse_signal
1557,2025-12-18T17:21:00+00:00,2025-12-18T17:22:00+00:00,2025-12-18T17:46:00+00:00,2,up,4331.04,4337.15,6.109999999999673,0.9954277951882874,0.9954277951882874,0,1557,2025-12-18T17:46:00+00:00,4337.15,target_hit
1767,2025-12-23T15:01:00+00:00,2025-12-23T15:02:00+00:00,2025-12-23T15:26:00+00:00,0,down,4443.78,4447.03,-3.25,0.9987785330682474,0.9987785330682474,0,1767,2025-12-23T15:26:00+00:00,4447.03,timeout
1952,2025-12-24T02:59:00+00:00,2025-12-24T03:00:00+00:00,2025-12-24T03:05:00+00:00,2,up,4478.91,4479.09,0.18000000000029104,0.9981055518160032,0.9593759787353336,2,1956,2025-12-24T03:28:00+00:00,4492.11,reverse_signal
1972,2025-12-24T03:19:00+00:00,2025-12-24T03:20:00+00:00,2025-12-24T03:44:00+00:00,2,up,4495.51,4494.88,-0.6300000000001091,0.9992328279603929,0.9992328279603929,0,1972,2025-12-24T03:44:00+00:00,4494.88,timeout
2242,2025-12-29T00:22:00+00:00,2025-12-29T00:23:00+00:00,2025-12-29T00:24:00+00:00,2,up,4500.0,4495.65,-4.350000000000364,0.6253209593785141,0.6253209593785141,0,2242,2025-12-29T00:47:00+00:00,4498.84,reverse_signal
2246,2025-12-29T00:26:00+00:00,2025-12-29T00:27:00+00:00,2025-12-29T00:32:00+00:00,0,down,4488.85,4484.06,4.789999999999964,0.9844326890303443,0.7707714426161123,0,2246,2025-12-29T00:51:00+00:00,4499.36,reverse_signal
2252,2025-12-29T00:32:00+00:00,2025-12-29T00:33:00+00:00,2025-12-29T01:00:00+00:00,0,down,4487.99,4494.58,-6.5900000000001455,0.9821681740041498,0.8041549459906305,2,2255,2025-12-29T01:00:00+00:00,4494.58,timeout
2281,2025-12-29T01:01:00+00:00,2025-12-29T01:02:00+00:00,2025-12-29T01:28:00+00:00,0,down,4499.05,4497.65,1.4000000000005457,0.632980618878263,0.9850894420688461,1,2284,2025-12-29T01:29:00+00:00,4499.63,reverse_signal
2412,2025-12-29T07:03:00+00:00,2025-12-29T07:04:00+00:00,2025-12-29T07:34:00+00:00,2,up,4452.34,4478.32,25.979999999999563,0.8140017063009767,0.9931394612920867,4,2418,2025-12-29T07:34:00+00:00,4478.32,target_hit
2564,2025-12-29T11:40:00+00:00,2025-12-29T11:41:00+00:00,2025-12-29T12:09:00+00:00,2,up,4438.6,4455.29,16.6899999999996,0.9999837902810004,0.9477349552450192,2,2568,2025-12-29T12:09:00+00:00,4455.29,target_hit
2623,2025-12-29T13:42:00+00:00,2025-12-29T13:43:00+00:00,2025-12-29T13:48:00+00:00,2,up,4428.02,4423.67,-4.350000000000364,0.9894209111937289,0.7713260890182141,1,2626,2025-12-29T14:10:00+00:00,4394.61,reverse_signal
2629,2025-12-29T13:48:00+00:00,2025-12-29T13:49:00+00:00,2025-12-29T13:56:00+00:00,0,down,4418.15,4408.84,9.30999999999949,0.8446342362508487,0.8415333678228778,1,2635,2025-12-29T14:19:00+00:00,4395.29,reverse_signal
2637,2025-12-29T13:56:00+00:00,2025-12-29T13:57:00+00:00,2025-12-29T14:06:00+00:00,2,up,4410.6,4395.6,-15.0,0.9014341038282393,0.9852044623704599,0,2637,2025-12-29T14:21:00+00:00,4396.16,stop_loss
2647,2025-12-29T14:06:00+00:00,2025-12-29T14:07:00+00:00,2025-12-29T14:30:00+00:00,2,up,4388.01,4373.01,-15.0,0.958780077692233,0.9890681713297019,3,2651,2025-12-29T14:35:00+00:00,4386.45,stop_loss
2672,2025-12-29T14:31:00+00:00,2025-12-29T14:32:00+00:00,2025-12-29T14:56:00+00:00,2,up,4373.06,4367.63,-5.430000000000291,0.7334098661020791,0.9919248944313809,0,2672,2025-12-29T14:56:00+00:00,4367.63,timeout
2697,2025-12-29T14:56:00+00:00,2025-12-29T14:57:00+00:00,2025-12-29T15:01:00+00:00,0,down,4367.66,4351.62,16.039999999999964,0.8824516191140804,0.9229043886052452,2,2699,2025-12-29T15:23:00+00:00,4312.14,reverse_signal
2702,2025-12-29T15:01:00+00:00,2025-12-29T15:02:00+00:00,2025-12-29T15:07:00+00:00,2,up,4350.23,4335.23,-15.0,0.9702392225767207,0.9691759199357576,2,2706,2025-12-29T15:30:00+00:00,4326.56,stop_loss
2709,2025-12-29T15:08:00+00:00,2025-12-29T15:09:00+00:00,2025-12-29T15:16:00+00:00,0,down,4334.33,4335.94,-1.6099999999996726,0.6404147325440336,0.888293712770592,0,2709,2025-12-29T15:33:00+00:00,4323.39,reverse_signal
2717,2025-12-29T15:16:00+00:00,2025-12-29T15:17:00+00:00,2025-12-29T15:21:00+00:00,2,up,4329.22,4325.56,-3.6599999999998545,0.6107694439237947,0.5923356524332458,1,2718,2025-12-29T15:42:00+00:00,4330.36,reverse_signal
2722,2025-12-29T15:21:00+00:00,2025-12-29T15:22:00+00:00,2025-12-29T15:24:00+00:00,2,up,4317.1,4312.15,-4.950000000000728,0.7261526182809945,0.7261526182809945,0,2722,2025-12-29T15:46:00+00:00,4334.84,reverse_signal
2725,2025-12-29T15:24:00+00:00,2025-12-29T15:25:00+00:00,2025-12-29T16:12:00+00:00,2,up,4316.06,4339.95,23.889999999999418,0.8189436225021361,0.9430763177801662,6,2748,2025-12-29T16:12:00+00:00,4339.95,target_hit
2777,2025-12-29T16:16:00+00:00,2025-12-29T16:17:00+00:00,2025-12-29T16:41:00+00:00,2,up,4325.2,4335.32,10.11999999999989,0.9992672504451924,0.9992672504451924,0,2777,2025-12-29T16:41:00+00:00,4335.32,target_hit
2815,2025-12-29T16:54:00+00:00,2025-12-29T16:55:00+00:00,2025-12-29T17:00:00+00:00,2,up,4345.9,4341.76,-4.139999999999418,0.9985016123315903,0.9985016123315903,0,2815,2025-12-29T17:19:00+00:00,4332.35,reverse_signal
2944,2025-12-30T14:44:00+00:00,2025-12-30T14:45:00+00:00,2025-12-30T15:30:00+00:00,0,down,4371.19,4364.68,6.509999999999309,0.7783529117566858,0.9738977150210005,4,2965,2025-12-30T15:30:00+00:00,4364.68,target_hit
