signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
35,2025-11-25T17:12:00+00:00,2025-11-25T17:13:00+00:00,2025-11-28T05:24:00+00:00,0,down,4149.76,4167.76,-18.0,0.9545558373774344,0.9545558373774344,0,35,2025-11-25T17:37:00+00:00,4157.11,stop_loss
43,2025-11-28T05:24:00+00:00,2025-11-28T05:25:00+00:00,2025-11-28T08:10:00+00:00,2,up,4184.21,4169.21,-15.0,0.999960317558552,0.9999710253183033,0,43,2025-11-28T05:49:00+00:00,4185.49,stop_loss
62,2025-11-28T08:11:00+00:00,2025-11-28T08:13:00+00:00,2025-11-28T08:22:00+00:00,0,down,4173.07,4168.47,4.599999999999454,0.7748409221348712,0.7748409221348712,0,62,2025-11-28T09:24:00+00:00,4161.04,reverse_signal
72,2025-11-28T08:22:00+00:00,2025-11-28T08:23:00+00:00,2025-11-28T09:34:00+00:00,2,up,4166.04,4165.93,-0.10999999999967258,0.6480698665215593,0.6480698665215593,0,72,2025-11-28T09:34:00+00:00,4165.93,timeout
212,2025-12-01T14:44:00+00:00,2025-12-01T14:45:00+00:00,2025-12-01T15:00:00+00:00,0,down,4225.33,4243.33,-18.0,0.9989849705653979,0.9997728188872866,2,218,2025-12-01T15:15:00+00:00,4225.66,stop_loss
307,2025-12-02T01:09:00+00:00,2025-12-02T01:10:00+00:00,2025-12-02T01:40:00+00:00,0,down,4206.06,4213.28,-7.219999999999345,0.7023398229088627,0.9982562870831944,2,313,2025-12-02T01:40:00+00:00,4213.28,timeout
515,2025-12-05T16:11:00+00:00,2025-12-05T16:12:00+00:00,2025-12-05T16:13:00+00:00,0,down,4213.93,4212.94,0.9900000000006912,0.7254416001387238,0.7254416001387238,0,515,2025-12-05T16:36:00+00:00,4214.13,reverse_signal
519,2025-12-05T16:15:00+00:00,2025-12-05T16:16:00+00:00,2025-12-05T16:45:00+00:00,0,down,4207.13,4210.26,-3.130000000000109,0.9257354931866731,0.9710118742112516,2,524,2025-12-05T16:45:00+00:00,4210.26,timeout
660,2025-12-10T20:04:00+00:00,2025-12-10T20:05:00+00:00,2025-12-10T20:29:00+00:00,0,down,4224.32,4232.7,-8.38000000000011,0.999830960941071,0.999830960941071,0,660,2025-12-10T20:29:00+00:00,4232.7,timeout
945,2025-12-12T15:25:00+00:00,2025-12-12T15:26:00+00:00,2025-12-12T15:48:00+00:00,0,down,4309.33,4320.08,-10.75,0.9960766786237101,0.8526319005584069,9,965,2025-12-12T16:10:00+00:00,4276.82,reverse_signal
968,2025-12-12T15:48:00+00:00,2025-12-12T15:49:00+00:00,2025-12-12T15:59:00+00:00,0,down,4319.06,4286.18,32.88000000000011,0.9546065749428914,0.956281702146967,2,976,2025-12-12T16:21:00+00:00,4273.72,reverse_signal
979,2025-12-12T15:59:00+00:00,2025-12-12T16:00:00+00:00,2025-12-12T16:20:00+00:00,2,up,4290.04,4283.98,-6.0600000000004,0.6885081180814755,0.9688837049714714,3,983,2025-12-12T16:28:00+00:00,4291.08,reverse_signal
1000,2025-12-12T16:20:00+00:00,2025-12-12T16:21:00+00:00,2025-12-12T16:40:00+00:00,0,down,4282.59,4266.5,16.090000000000146,0.8571453811148185,0.9229933932829351,1,1001,2025-12-12T16:46:00+00:00,4271.84,reverse_signal
1020,2025-12-12T16:40:00+00:00,2025-12-12T16:41:00+00:00,2025-12-12T17:05:00+00:00,2,up,4263.86,4278.76,14.900000000000546,0.9995832547977795,0.9952118325639306,0,1020,2025-12-12T17:05:00+00:00,4278.76,target_hit
1550,2025-12-18T17:14:00+00:00,2025-12-18T17:15:00+00:00,2025-12-18T17:39:00+00:00,2,up,4328.75,4337.37,8.61999999999989,0.999324589174397,0.9968612467273015,0,1550,2025-12-18T17:39:00+00:00,4337.37,target_hit
1954,2025-12-24T03:01:00+00:00,2025-12-24T03:02:00+00:00,2025-12-24T03:06:00+00:00,2,up,4482.33,4484.64,2.3100000000004,0.9920586304360474,0.9920586304360474,0,1954,2025-12-24T03:26:00+00:00,4491.14,reverse_signal
2243,2025-12-29T00:23:00+00:00,2025-12-29T00:24:00+00:00,2025-12-29T01:00:00+00:00,0,down,4495.65,4494.58,1.069999999999709,0.8857929928820664,0.8492171001370044,4,2255,2025-12-29T01:00:00+00:00,4494.58,target_hit
2281,2025-12-29T01:01:00+00:00,2025-12-29T01:02:00+00:00,2025-12-29T01:29:00+00:00,0,down,4499.05,4499.63,-0.5799999999999272,0.9812549895316962,0.9238967769068883,1,2284,2025-12-29T01:29:00+00:00,4499.63,timeout
2412,2025-12-29T07:03:00+00:00,2025-12-29T07:04:00+00:00,2025-12-29T07:36:00+00:00,2,up,4452.34,4479.21,26.86999999999989,0.8140017063009767,0.9997047699056818,5,2420,2025-12-29T07:36:00+00:00,4479.21,target_hit
2564,2025-12-29T11:40:00+00:00,2025-12-29T11:41:00+00:00,2025-12-29T12:09:00+00:00,2,up,4438.6,4455.29,16.6899999999996,0.9999837902810004,0.9893558966415016,1,2568,2025-12-29T12:09:00+00:00,4455.29,target_hit
2623,2025-12-29T13:42:00+00:00,2025-12-29T13:43:00+00:00,2025-12-29T13:49:00+00:00,2,up,4428.02,4418.15,-9.8700000000008,0.9894209111937289,0.9068974449172643,0,2623,2025-12-29T14:07:00+00:00,4392.03,reverse_signal
2640,2025-12-29T13:59:00+00:00,2025-12-29T14:00:00+00:00,2025-12-29T14:05:00+00:00,0,down,4421.29,4399.77,21.519999999999527,0.6663147055579632,0.6663147055579632,0,2640,2025-12-29T14:24:00+00:00,4389.53,reverse_signal
2648,2025-12-29T14:07:00+00:00,2025-12-29T14:08:00+00:00,2025-12-29T14:30:00+00:00,2,up,4392.33,4377.33,-15.0,0.9435977608057263,0.9723223758991546,1,2653,2025-12-29T14:37:00+00:00,4376.76,stop_loss
2671,2025-12-29T14:30:00+00:00,2025-12-29T14:31:00+00:00,2025-12-29T14:55:00+00:00,2,up,4369.81,4373.49,3.6799999999993815,0.7344727126624095,0.991486662563385,0,2671,2025-12-29T14:55:00+00:00,4373.49,target_hit
2697,2025-12-29T14:56:00+00:00,2025-12-29T14:57:00+00:00,2025-12-29T15:06:00+00:00,0,down,4367.66,4339.19,28.470000000000255,0.9310265483488065,0.6060459363512694,2,2699,2025-12-29T15:23:00+00:00,4312.14,reverse_signal
2707,2025-12-29T15:06:00+00:00,2025-12-29T15:07:00+00:00,2025-12-29T15:11:00+00:00,2,up,4335.81,4341.3,5.489999999999782,0.9694593378457284,0.9694593378457284,0,2707,2025-12-29T15:31:00+00:00,4321.83,reverse_signal
2712,2025-12-29T15:11:00+00:00,2025-12-29T15:12:00+00:00,2025-12-29T15:16:00+00:00,0,down,4335.99,4335.94,0.0500000000001819,0.8872684214216636,0.9299223337523929,2,2714,2025-12-29T15:38:00+00:00,4328.68,reverse_signal
2721,2025-12-29T15:20:00+00:00,2025-12-29T15:21:00+00:00,2025-12-29T15:25:00+00:00,0,down,4325.56,4316.06,9.5,0.8567597488788745,0.8985208767625652,1,2723,2025-12-29T15:47:00+00:00,4328.1,reverse_signal
2727,2025-12-29T15:26:00+00:00,2025-12-29T15:27:00+00:00,2025-12-29T16:12:00+00:00,2,up,4324.71,4339.95,15.239999999999782,0.9925257761380563,0.9239893595222405,8,2748,2025-12-29T16:12:00+00:00,4339.95,target_hit
2960,2025-12-30T15:00:00+00:00,2025-12-30T15:01:00+00:00,2025-12-30T15:31:00+00:00,0,down,4370.63,4362.25,8.38000000000011,0.9944005390200034,0.9988108384049948,4,2966,2025-12-30T15:31:00+00:00,4362.25,target_hit
3163,2025-12-31T05:52:00+00:00,2025-12-31T05:53:00+00:00,2025-12-31T05:56:00+00:00,0,down,4297.63,4283.93,13.699999999999818,0.7808685670790108,0.7045285134343486,0,3163,2025-12-31T06:17:00+00:00,4295.2,reverse_signal
3167,2025-12-31T05:56:00+00:00,2025-12-31T05:57:00+00:00,2025-12-31T06:39:00+00:00,2,up,4286.26,4314.33,28.06999999999971,0.7385386450876471,0.9955873552262843,5,3185,2025-12-31T06:39:00+00:00,4314.33,target_hit
4402,2026-01-12T01:41:00+00:00,2026-01-12T01:42:00+00:00,2026-01-12T01:43:00+00:00,0,down,4577.94,4573.2,4.739999999999782,0.6491576240891458,0.6491576240891458,0,4402,2026-01-12T02:06:00+00:00,4567.41,reverse_signal
4825,2026-01-15T01:32:00+00:00,2026-01-15T01:33:00+00:00,2026-01-15T01:34:00+00:00,2,up,4590.5,4595.04,4.539999999999964,0.9588919482776964,0.9588919482776964,0,4825,2026-01-15T01:57:00+00:00,4604.89,reverse_signal
4870,2026-01-16T15:27:00+00:00,2026-01-16T15:28:00+00:00,2026-01-16T15:52:00+00:00,0,down,4583.77,4560.84,22.93000000000029,0.9876378932258305,0.925075743137676,0,4870,2026-01-16T15:52:00+00:00,4560.84,target_hit
4895,2026-01-16T15:52:00+00:00,2026-01-16T15:53:00+00:00,2026-01-16T16:03:00+00:00,0,down,4560.85,4578.85,-18.0,0.9976276162869415,0.9974100273250103,1,4896,2026-01-16T16:18:00+00:00,4586.42,stop_loss
5646,2026-01-21T14:12:00+00:00,2026-01-21T14:13:00+00:00,2026-01-21T14:21:00+00:00,0,down,4843.69,4855.25,-11.5600000000004,0.9946794471888506,0.9581807276720031,1,5652,2026-01-21T14:43:00+00:00,4865.1,reverse_signal
5655,2026-01-21T14:21:00+00:00,2026-01-21T14:22:00+00:00,2026-01-21T14:36:00+00:00,0,down,4854.34,4855.48,-1.139999999999418,0.8687385022501543,0.9137813404643759,2,5660,2026-01-21T14:51:00+00:00,4849.42,reverse_signal
5670,2026-01-21T14:36:00+00:00,2026-01-21T14:37:00+00:00,2026-01-21T14:39:00+00:00,2,up,4861.25,4866.31,5.0600000000004,0.8441317986320341,0.8441317986320341,0,5670,2026-01-21T15:01:00+00:00,4855.11,reverse_signal
5673,2026-01-21T14:39:00+00:00,2026-01-21T14:40:00+00:00,2026-01-21T15:04:00+00:00,0,down,4871.03,4861.89,9.139999999999418,0.9311925589333554,0.8868309760737398,0,5673,2026-01-21T15:04:00+00:00,4861.89,target_hit
