signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
35,2025-11-25T17:12:00+00:00,2025-11-25T17:13:00+00:00,2025-11-28T05:24:00+00:00,0,down,4149.76,4167.76,-18.0,0.9565226353158747,0.9565226353158747,0,35,2025-11-25T17:37:00+00:00,4157.11,stop_loss
43,2025-11-28T05:24:00+00:00,2025-11-28T05:25:00+00:00,2025-11-28T08:10:00+00:00,2,up,4184.21,4169.21,-15.0,0.9999323400296121,0.9999762205587965,0,43,2025-11-28T05:49:00+00:00,4185.49,stop_loss
71,2025-11-28T08:21:00+00:00,2025-11-28T08:22:00+00:00,2025-11-28T09:33:00+00:00,2,up,4168.47,4164.58,-3.8900000000003274,0.7027508200657079,0.7027508200657079,0,71,2025-11-28T09:33:00+00:00,4164.58,timeout
138,2025-11-28T14:43:00+00:00,2025-11-28T14:44:00+00:00,2025-11-28T15:08:00+00:00,2,up,4198.81,4193.31,-5.5,0.9998902736629265,0.9998902736629265,0,138,2025-11-28T15:08:00+00:00,4193.31,timeout
213,2025-12-01T14:45:00+00:00,2025-12-01T14:46:00+00:00,2025-12-01T15:15:00+00:00,0,down,4229.0,4225.66,3.3400000000001455,0.9978765402653308,0.999664671736553,2,218,2025-12-01T15:15:00+00:00,4225.66,target_hit
308,2025-12-02T01:10:00+00:00,2025-12-02T01:11:00+00:00,2025-12-02T01:13:00+00:00,2,up,4206.11,4205.14,-0.9699999999993452,0.7589717001994181,0.7589717001994181,0,308,2025-12-02T01:35:00+00:00,4217.0,reverse_signal
311,2025-12-02T01:13:00+00:00,2025-12-02T01:14:00+00:00,2025-12-02T01:38:00+00:00,0,down,4201.03,4213.45,-12.420000000000073,0.9134922336885485,0.9134922336885485,0,311,2025-12-02T01:38:00+00:00,4213.45,timeout
516,2025-12-05T16:12:00+00:00,2025-12-05T16:13:00+00:00,2025-12-05T16:37:00+00:00,2,up,4212.94,4215.31,2.3700000000008004,0.6756792939983124,0.6756792939983124,0,516,2025-12-05T16:37:00+00:00,4215.31,target_hit
964,2025-12-12T15:44:00+00:00,2025-12-12T15:45:00+00:00,2025-12-12T15:48:00+00:00,0,down,4317.43,4320.08,-2.649999999999636,0.9964856409529357,0.9964856409529357,0,964,2025-12-12T16:09:00+00:00,4276.89,reverse_signal
970,2025-12-12T15:50:00+00:00,2025-12-12T15:51:00+00:00,2025-12-12T15:59:00+00:00,0,down,4313.46,4286.18,27.279999999999745,0.8331029778101487,0.9677890358668535,1,973,2025-12-12T16:18:00+00:00,4282.14,reverse_signal
981,2025-12-12T16:01:00+00:00,2025-12-12T16:02:00+00:00,2025-12-12T16:28:00+00:00,2,up,4283.99,4291.08,7.0900000000001455,0.940113081587787,0.8961990655079582,2,983,2025-12-12T16:28:00+00:00,4291.08,target_hit
1022,2025-12-12T16:42:00+00:00,2025-12-12T16:43:00+00:00,2025-12-12T17:11:00+00:00,2,up,4259.2,4276.07,16.86999999999989,0.9990719599011667,0.9885425907217308,1,1026,2025-12-12T17:11:00+00:00,4276.07,target_hit
1554,2025-12-18T17:18:00+00:00,2025-12-18T17:19:00+00:00,2025-12-18T17:43:00+00:00,2,up,4331.14,4335.39,4.25,0.9986808506746635,0.9986808506746635,0,1554,2025-12-18T17:43:00+00:00,4335.39,target_hit
1954,2025-12-24T03:01:00+00:00,2025-12-24T03:02:00+00:00,2025-12-24T03:28:00+00:00,2,up,4482.33,4492.11,9.779999999999745,0.9943091505495185,0.8796171012332854,1,1956,2025-12-24T03:28:00+00:00,4492.11,target_hit
2243,2025-12-29T00:23:00+00:00,2025-12-29T00:24:00+00:00,2025-12-29T00:55:00+00:00,0,down,4495.65,4497.46,-1.8100000000004002,0.6738163867209078,0.8896753455628574,3,2250,2025-12-29T00:55:00+00:00,4497.46,timeout
2281,2025-12-29T01:01:00+00:00,2025-12-29T01:02:00+00:00,2025-12-29T01:27:00+00:00,0,down,4499.05,4497.6,1.449999999999818,0.9831417947111672,0.8986107250997262,1,2282,2025-12-29T01:27:00+00:00,4497.6,target_hit
2412,2025-12-29T07:03:00+00:00,2025-12-29T07:04:00+00:00,2025-12-29T07:36:00+00:00,2,up,4452.34,4479.21,26.86999999999989,0.9090179835440938,0.9995560888171031,4,2420,2025-12-29T07:36:00+00:00,4479.21,target_hit
2567,2025-12-29T11:43:00+00:00,2025-12-29T11:44:00+00:00,2025-12-29T12:09:00+00:00,2,up,4447.91,4455.29,7.380000000000109,0.9992362157414919,0.98732631195669,1,2568,2025-12-29T12:09:00+00:00,4455.29,target_hit
2624,2025-12-29T13:43:00+00:00,2025-12-29T13:44:00+00:00,2025-12-29T13:49:00+00:00,2,up,4431.54,4418.15,-13.390000000000327,0.7594374156680999,0.7594374156680999,0,2624,2025-12-29T14:08:00+00:00,4389.2,reverse_signal
2631,2025-12-29T13:50:00+00:00,2025-12-29T13:51:00+00:00,2025-12-29T13:57:00+00:00,0,down,4411.83,4410.6,1.2299999999995634,0.7914776454079289,0.9232210451821182,2,2635,2025-12-29T14:19:00+00:00,4395.29,reverse_signal
2640,2025-12-29T13:59:00+00:00,2025-12-29T14:00:00+00:00,2025-12-29T14:02:00+00:00,0,down,4421.29,4407.09,14.199999999999818,0.6045539145247163,0.6045539145247163,0,2640,2025-12-29T14:24:00+00:00,4389.53,reverse_signal
2643,2025-12-29T14:02:00+00:00,2025-12-29T14:03:00+00:00,2025-12-29T14:06:00+00:00,2,up,4406.37,4391.37,-15.0,0.998944076850127,0.9989058153354073,0,2643,2025-12-29T14:27:00+00:00,4391.1,stop_loss
2647,2025-12-29T14:06:00+00:00,2025-12-29T14:07:00+00:00,2025-12-29T14:30:00+00:00,2,up,4388.01,4373.01,-15.0,0.9937813205359066,0.963611840259016,1,2648,2025-12-29T14:32:00+00:00,4375.64,stop_loss
2672,2025-12-29T14:31:00+00:00,2025-12-29T14:32:00+00:00,2025-12-29T14:56:00+00:00,2,up,4373.06,4367.63,-5.430000000000291,0.9755201322651876,0.9377079399435023,0,2672,2025-12-29T14:56:00+00:00,4367.63,timeout
2697,2025-12-29T14:56:00+00:00,2025-12-29T14:57:00+00:00,2025-12-29T15:03:00+00:00,0,down,4367.66,4343.44,24.220000000000255,0.9201311153331033,0.7358662657569186,1,2698,2025-12-29T15:22:00+00:00,4314.21,reverse_signal
2704,2025-12-29T15:03:00+00:00,2025-12-29T15:04:00+00:00,2025-12-29T15:09:00+00:00,2,up,4342.3,4334.33,-7.970000000000255,0.9404713116987403,0.8000830752866764,1,2706,2025-12-29T15:30:00+00:00,4326.56,reverse_signal
2710,2025-12-29T15:09:00+00:00,2025-12-29T15:10:00+00:00,2025-12-29T15:23:00+00:00,0,down,4343.78,4313.75,30.029999999999745,0.7741698930684396,0.5877484175955993,1,2717,2025-12-29T15:41:00+00:00,4325.22,reverse_signal
2724,2025-12-29T15:23:00+00:00,2025-12-29T15:24:00+00:00,2025-12-29T15:36:00+00:00,2,up,4312.15,4333.35,21.200000000000728,0.8368801565324031,0.5070983484501527,0,2724,2025-12-29T15:48:00+00:00,4329.87,reverse_signal
2737,2025-12-29T15:36:00+00:00,2025-12-29T15:37:00+00:00,2025-12-29T15:40:00+00:00,2,up,4334.82,4327.7,-7.119999999999891,0.6867459763966977,0.8362109218420464,1,2739,2025-12-29T16:03:00+00:00,4334.94,reverse_signal
2741,2025-12-29T15:40:00+00:00,2025-12-29T15:41:00+00:00,2025-12-29T16:12:00+00:00,2,up,4332.02,4339.95,7.9299999999993815,0.8800783416699196,0.5756725081949582,3,2748,2025-12-29T16:12:00+00:00,4339.95,target_hit
2945,2025-12-30T14:45:00+00:00,2025-12-30T14:46:00+00:00,2025-12-30T15:29:00+00:00,0,down,4365.05,4366.15,-1.0999999999994543,0.7566029571594475,0.999551864716208,4,2964,2025-12-30T15:29:00+00:00,4366.15,timeout
3163,2025-12-31T05:52:00+00:00,2025-12-31T05:53:00+00:00,2025-12-31T05:59:00+00:00,0,down,4297.63,4289.14,8.489999999999782,0.5616907293266324,0.6254772761826304,0,3163,2025-12-31T06:17:00+00:00,4295.2,reverse_signal
3170,2025-12-31T05:59:00+00:00,2025-12-31T06:00:00+00:00,2025-12-31T06:39:00+00:00,2,up,4285.79,4314.33,28.539999999999964,0.9827649054085792,0.8664711800239825,5,3185,2025-12-31T06:39:00+00:00,4314.33,target_hit
3625,2026-01-02T15:17:00+00:00,2026-01-02T15:18:00+00:00,2026-01-02T15:42:00+00:00,0,down,4335.12,4344.71,-9.590000000000146,0.9757546654291145,0.9757546654291145,0,3625,2026-01-02T15:42:00+00:00,4344.71,timeout
4824,2026-01-15T01:31:00+00:00,2026-01-15T01:32:00+00:00,2026-01-15T01:56:00+00:00,2,up,4586.89,4605.88,18.98999999999978,0.7971239836606128,0.9569968801347208,0,4824,2026-01-15T01:56:00+00:00,4605.88,target_hit
4870,2026-01-16T15:27:00+00:00,2026-01-16T15:28:00+00:00,2026-01-16T15:52:00+00:00,0,down,4583.77,4560.84,22.93000000000029,0.969511169632278,0.9474351973338387,0,4870,2026-01-16T15:52:00+00:00,4560.84,target_hit
