entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,pnl_usd,reason
224,254,2025-05-20 01:45:00+00:00,2025-05-20 02:15:00+00:00,3226.1,3214.18,11.920000000000073,timeout
1561,1591,2025-05-21 01:03:00+00:00,2025-05-21 01:33:00+00:00,3305.45,3289.73,15.7199999999998,timeout
2315,2345,2025-05-21 13:37:00+00:00,2025-05-21 14:07:00+00:00,3302.05,3300.8,1.25,timeout
2548,2554,2025-05-21 17:30:00+00:00,2025-05-21 17:36:00+00:00,3307.81,3312.81,-5.0,stop
3605,3619,2025-05-22 12:08:00+00:00,2025-05-22 12:22:00+00:00,3307.41,3312.41,-5.0,stop
3634,3658,2025-05-22 12:37:00+00:00,2025-05-22 13:01:00+00:00,3303.95,3308.95,-5.0,stop
3767,3797,2025-05-22 14:50:00+00:00,2025-05-22 15:20:00+00:00,3298.95,3291.08,7.869999999999891,timeout
4349,4358,2025-05-23 01:33:00+00:00,2025-05-23 01:42:00+00:00,3298.21,3303.21,-5.0,stop
4969,4970,2025-05-23 11:53:00+00:00,2025-05-23 11:54:00+00:00,3340.38,3345.38,-5.0,stop
5029,5033,2025-05-23 12:53:00+00:00,2025-05-23 12:57:00+00:00,3352.38,3357.38,-5.0,stop
5056,5057,2025-05-23 13:20:00+00:00,2025-05-23 13:21:00+00:00,3348.08,3353.08,-5.0,stop
5061,5091,2025-05-23 13:25:00+00:00,2025-05-23 13:55:00+00:00,3348.66,3345.49,3.1700000000000728,timeout
5175,5184,2025-05-23 15:19:00+00:00,2025-05-23 15:28:00+00:00,3352.7,3357.7,-5.0,stop
7378,7408,2025-05-27 08:34:00+00:00,2025-05-27 09:04:00+00:00,3299.73,3299.85,-0.11999999999989086,timeout
7692,7722,2025-05-27 13:48:00+00:00,2025-05-27 14:18:00+00:00,3296.73,3297.35,-0.6199999999998909,timeout
9524,9554,2025-05-28 22:22:00+00:00,2025-05-28 22:52:00+00:00,3283.63,3287.54,-3.9099999999998545,timeout
9679,9709,2025-05-29 00:57:00+00:00,2025-05-29 01:27:00+00:00,3261.54,3254.26,7.279999999999745,timeout
9793,9823,2025-05-29 02:51:00+00:00,2025-05-29 03:21:00+00:00,3269.65,3272.73,-3.0799999999999272,timeout
10459,10472,2025-05-29 13:57:00+00:00,2025-05-29 14:10:00+00:00,3314.03,3319.03,-5.0,stop
11490,11509,2025-05-30 08:09:00+00:00,2025-05-30 08:28:00+00:00,3293.93,3298.93,-5.0,stop
11754,11761,2025-05-30 12:33:00+00:00,2025-05-30 12:40:00+00:00,3297.5,3302.5,-5.0,stop
11797,11804,2025-05-30 13:16:00+00:00,2025-05-30 13:23:00+00:00,3295.18,3300.18,-5.0,stop
