entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,pnl_usd,reason
224,239,2025-05-20 01:45:00+00:00,2025-05-20 02:00:00+00:00,3226.1,3222.73,3.369999999999891,timeout
1561,1576,2025-05-21 01:03:00+00:00,2025-05-21 01:18:00+00:00,3305.45,3296.93,8.519999999999982,timeout
2315,2330,2025-05-21 13:37:00+00:00,2025-05-21 13:52:00+00:00,3302.05,3298.18,3.8700000000003456,timeout
2340,2355,2025-05-21 14:02:00+00:00,2025-05-21 14:17:00+00:00,3297.47,3301.53,-4.0600000000004,timeout
2548,2554,2025-05-21 17:30:00+00:00,2025-05-21 17:36:00+00:00,3307.81,3312.81,-5.0,stop
3605,3619,2025-05-22 12:08:00+00:00,2025-05-22 12:22:00+00:00,3307.41,3312.41,-5.0,stop
3634,3649,2025-05-22 12:37:00+00:00,2025-05-22 12:52:00+00:00,3303.95,3302.13,1.819999999999709,timeout
3767,3782,2025-05-22 14:50:00+00:00,2025-05-22 15:05:00+00:00,3298.95,3290.03,8.919999999999618,timeout
3783,3798,2025-05-22 15:06:00+00:00,2025-05-22 15:21:00+00:00,3288.39,3291.3,-2.9100000000003092,timeout
4349,4358,2025-05-23 01:33:00+00:00,2025-05-23 01:42:00+00:00,3298.21,3303.21,-5.0,stop
4969,4970,2025-05-23 11:53:00+00:00,2025-05-23 11:54:00+00:00,3340.38,3345.38,-5.0,stop
5029,5033,2025-05-23 12:53:00+00:00,2025-05-23 12:57:00+00:00,3352.38,3357.38,-5.0,stop
5056,5057,2025-05-23 13:20:00+00:00,2025-05-23 13:21:00+00:00,3348.08,3353.08,-5.0,stop
5061,5076,2025-05-23 13:25:00+00:00,2025-05-23 13:40:00+00:00,3348.66,3343.28,5.379999999999654,timeout
5175,5184,2025-05-23 15:19:00+00:00,2025-05-23 15:28:00+00:00,3352.7,3357.7,-5.0,stop
7378,7393,2025-05-27 08:34:00+00:00,2025-05-27 08:49:00+00:00,3299.73,3300.45,-0.7199999999997999,timeout
7692,7707,2025-05-27 13:48:00+00:00,2025-05-27 14:03:00+00:00,3296.73,3288.95,7.7800000000002,timeout
9524,9539,2025-05-28 22:22:00+00:00,2025-05-28 22:37:00+00:00,3283.63,3286.36,-2.730000000000018,timeout
9679,9694,2025-05-29 00:57:00+00:00,2025-05-29 01:12:00+00:00,3261.54,3254.39,7.150000000000091,timeout
9793,9808,2025-05-29 02:51:00+00:00,2025-05-29 03:06:00+00:00,3269.65,3269.88,-0.2300000000000182,timeout
10459,10472,2025-05-29 13:57:00+00:00,2025-05-29 14:10:00+00:00,3314.03,3319.03,-5.0,stop
11490,11505,2025-05-30 08:09:00+00:00,2025-05-30 08:24:00+00:00,3293.93,3297.73,-3.800000000000182,timeout
11754,11761,2025-05-30 12:33:00+00:00,2025-05-30 12:40:00+00:00,3297.5,3302.5,-5.0,stop
11797,11804,2025-05-30 13:16:00+00:00,2025-05-30 13:23:00+00:00,3295.18,3300.18,-5.0,stop
11857,11860,2025-05-30 14:16:00+00:00,2025-05-30 14:19:00+00:00,3280.13,3285.13,-5.0,stop
13305,13320,2025-06-02 15:25:00+00:00,2025-06-02 15:40:00+00:00,3372.03,3374.2,-2.169999999999618,timeout
14182,14197,2025-06-03 07:03:00+00:00,2025-06-03 07:18:00+00:00,3355.35,3357.93,-2.5799999999999272,timeout
17274,17289,2025-06-05 12:37:00+00:00,2025-06-05 12:52:00+00:00,3393.08,3380.13,12.949999999999818,timeout
17322,17330,2025-06-05 13:25:00+00:00,2025-06-05 13:33:00+00:00,3378.13,3383.13,-5.0,stop
17346,17361,2025-06-05 13:49:00+00:00,2025-06-05 14:04:00+00:00,3378.65,3374.53,4.119999999999891,timeout
17379,17388,2025-06-05 14:22:00+00:00,2025-06-05 14:31:00+00:00,3374.27,3379.27,-5.0,stop
17395,17397,2025-06-05 14:38:00+00:00,2025-06-05 14:40:00+00:00,3377.5,3382.5,-5.0,stop
18677,18684,2025-06-06 13:01:00+00:00,2025-06-06 13:08:00+00:00,3348.33,3353.33,-5.0,stop
18696,18711,2025-06-06 13:20:00+00:00,2025-06-06 13:35:00+00:00,3352.03,3354.23,-2.199999999999818,timeout
21495,21510,2025-06-10 14:01:00+00:00,2025-06-10 14:16:00+00:00,3338.95,3337.73,1.2199999999998,timeout
22806,22821,2025-06-11 12:53:00+00:00,2025-06-11 13:08:00+00:00,3342.88,3337.9,4.980000000000018,timeout
22843,22858,2025-06-11 13:30:00+00:00,2025-06-11 13:45:00+00:00,3335.73,3329.98,5.75,timeout
24109,24124,2025-06-12 11:37:00+00:00,2025-06-12 11:52:00+00:00,3375.43,3379.38,-3.950000000000273,timeout
24205,24220,2025-06-12 13:13:00+00:00,2025-06-12 13:28:00+00:00,3384.1,3383.27,0.8299999999999272,timeout
24239,24254,2025-06-12 13:47:00+00:00,2025-06-12 14:02:00+00:00,3391.68,3389.15,2.5299999999997453,timeout
24263,24276,2025-06-12 14:11:00+00:00,2025-06-12 14:24:00+00:00,3385.93,3390.93,-5.0,stop
24280,24295,2025-06-12 14:28:00+00:00,2025-06-12 14:43:00+00:00,3386.15,3387.23,-1.0799999999999272,timeout
24804,24809,2025-06-13 00:13:00+00:00,2025-06-13 00:18:00+00:00,3404.98,3409.98,-5.0,stop
24985,25000,2025-06-13 03:14:00+00:00,2025-06-13 03:29:00+00:00,3431.68,3430.68,1.0,timeout
25193,25208,2025-06-13 06:42:00+00:00,2025-06-13 06:57:00+00:00,3421.35,3416.38,4.9699999999998,timeout
25425,25440,2025-06-13 10:34:00+00:00,2025-06-13 10:49:00+00:00,3418.3,3414.03,4.269999999999982,timeout
25625,25640,2025-06-13 13:54:00+00:00,2025-06-13 14:09:00+00:00,3434.03,3435.63,-1.599999999999909,timeout
25683,25698,2025-06-13 14:52:00+00:00,2025-06-13 15:07:00+00:00,3433.58,3426.39,7.190000000000055,timeout
28375,28390,2025-06-17 13:46:00+00:00,2025-06-17 14:01:00+00:00,3390.93,3389.8,1.1299999999996544,timeout
32376,32385,2025-06-20 14:00:00+00:00,2025-06-20 14:09:00+00:00,3366.83,3371.83,-5.0,stop
32820,32835,2025-06-22 22:26:00+00:00,2025-06-22 22:41:00+00:00,3378.43,3378.78,-0.3500000000003638,timeout
33760,33761,2025-06-23 14:06:00+00:00,2025-06-23 14:07:00+00:00,3371.03,3376.03,-5.0,stop
34026,34041,2025-06-23 18:32:00+00:00,2025-06-23 18:47:00+00:00,3378.93,3380.38,-1.4500000000002728,timeout
35153,35159,2025-06-24 14:20:00+00:00,2025-06-24 14:26:00+00:00,3302.55,3307.55,-5.0,stop
37891,37906,2025-06-26 14:00:00+00:00,2025-06-26 14:15:00+00:00,3318.93,3322.18,-3.25,timeout
39305,39320,2025-06-27 14:35:00+00:00,2025-06-27 14:50:00+00:00,3270.38,3266.73,3.650000000000091,timeout
52780,52795,2025-07-11 13:22:00+00:00,2025-07-11 13:37:00+00:00,3352.7,3354.8,-2.100000000000364,timeout
53320,53335,2025-07-13 23:23:00+00:00,2025-07-13 23:38:00+00:00,3367.53,3367.38,0.15000000000009095,timeout
57057,57068,2025-07-16 15:42:00+00:00,2025-07-16 15:53:00+00:00,3359.66,3364.66,-5.0,stop
58244,58259,2025-07-17 12:30:00+00:00,2025-07-17 12:45:00+00:00,3317.95,3312.36,5.589999999999691,timeout
62471,62473,2025-07-22 14:00:00+00:00,2025-07-22 14:02:00+00:00,3406.62,3411.62,-5.0,stop
64456,64471,2025-07-24 01:07:00+00:00,2025-07-24 01:22:00+00:00,3388.39,3390.02,-1.6300000000001091,timeout
73507,73510,2025-08-01 14:04:00+00:00,2025-08-01 14:07:00+00:00,3344.64,3349.64,-5.0,stop
73529,73544,2025-08-01 14:26:00+00:00,2025-08-01 14:41:00+00:00,3346.93,3343.77,3.1599999999998545,timeout
78665,78680,2025-08-07 08:06:00+00:00,2025-08-07 08:21:00+00:00,3385.92,3376.72,9.200000000000273,timeout
79019,79025,2025-08-07 14:00:00+00:00,2025-08-07 14:06:00+00:00,3383.38,3388.38,-5.0,stop
80653,80668,2025-08-08 18:15:00+00:00,2025-08-08 18:30:00+00:00,3397.04,3393.75,3.2899999999999636,timeout
83083,83098,2025-08-12 12:52:00+00:00,2025-08-12 13:07:00+00:00,3351.87,3347.39,4.480000000000018,timeout
83138,83153,2025-08-12 13:47:00+00:00,2025-08-12 14:02:00+00:00,3347.91,3344.8,3.1099999999996726,timeout
83244,83259,2025-08-12 15:33:00+00:00,2025-08-12 15:48:00+00:00,3351.86,3352.62,-0.7599999999997635,timeout
99610,99625,2025-08-28 12:31:00+00:00,2025-08-28 12:46:00+00:00,3401.44,3402.45,-1.0099999999997635,timeout
101748,101763,2025-09-01 02:11:00+00:00,2025-09-01 02:26:00+00:00,3459.52,3464.52,-5.0,stop
101807,101822,2025-09-01 03:10:00+00:00,2025-09-01 03:25:00+00:00,3473.46,3473.07,0.38999999999987267,timeout
101885,101900,2025-09-01 04:28:00+00:00,2025-09-01 04:43:00+00:00,3473.47,3474.88,-1.4100000000003092,timeout
101957,101964,2025-09-01 05:40:00+00:00,2025-09-01 05:47:00+00:00,3475.57,3480.57,-5.0,stop
102955,102970,2025-09-02 01:49:00+00:00,2025-09-02 02:04:00+00:00,3494.07,3496.86,-2.7899999999999636,timeout
103583,103598,2025-09-02 12:17:00+00:00,2025-09-02 12:32:00+00:00,3485.38,3486.78,-1.400000000000091,timeout
103658,103661,2025-09-02 13:32:00+00:00,2025-09-02 13:35:00+00:00,3479.96,3484.96,-5.0,stop
104040,104055,2025-09-02 19:54:00+00:00,2025-09-02 20:09:00+00:00,3533.94,3536.76,-2.8200000000001637,timeout
104253,104265,2025-09-03 00:28:00+00:00,2025-09-03 00:40:00+00:00,3537.72,3542.72,-5.0,stop
105042,105057,2025-09-03 13:37:00+00:00,2025-09-03 13:52:00+00:00,3551.21,3551.85,-0.6399999999998727,timeout
105118,105133,2025-09-03 14:53:00+00:00,2025-09-03 15:08:00+00:00,3557.46,3560.74,-3.2799999999997453,timeout
106426,106441,2025-09-04 13:42:00+00:00,2025-09-04 13:57:00+00:00,3551.01,3546.23,4.7800000000002,timeout
107750,107752,2025-09-05 12:47:00+00:00,2025-09-05 12:49:00+00:00,3572.22,3577.22,-5.0,stop
107847,107862,2025-09-05 14:24:00+00:00,2025-09-05 14:39:00+00:00,3585.42,3576.71,8.710000000000036,timeout
110588,110596,2025-09-09 14:07:00+00:00,2025-09-09 14:15:00+00:00,3650.25,3655.25,-5.0,stop
113261,113276,2025-09-11 12:42:00+00:00,2025-09-11 12:57:00+00:00,3632.81,3629.09,3.7199999999998,timeout
113295,113310,2025-09-11 13:16:00+00:00,2025-09-11 13:31:00+00:00,3629.79,3625.66,4.130000000000109,timeout
116700,116715,2025-09-16 01:04:00+00:00,2025-09-16 01:19:00+00:00,3680.77,3678.22,2.550000000000182,timeout
117460,117469,2025-09-16 13:44:00+00:00,2025-09-16 13:53:00+00:00,3693.15,3698.15,-5.0,stop
117505,117520,2025-09-16 14:29:00+00:00,2025-09-16 14:44:00+00:00,3692.81,3689.7,3.1100000000001273,timeout
119107,119122,2025-09-17 18:12:00+00:00,2025-09-17 18:27:00+00:00,3694.44,3682.45,11.990000000000236,timeout
119185,119191,2025-09-17 19:30:00+00:00,2025-09-17 19:36:00+00:00,3660.15,3665.15,-5.0,stop
119457,119472,2025-09-18 01:03:00+00:00,2025-09-18 01:18:00+00:00,3662.41,3656.01,6.399999999999636,timeout
122966,122972,2025-09-22 13:34:00+00:00,2025-09-22 13:40:00+00:00,3717.52,3722.52,-5.0,stop
124375,124390,2025-09-23 14:04:00+00:00,2025-09-23 14:19:00+00:00,3778.0,3773.05,4.949999999999818,timeout
124527,124530,2025-09-23 16:36:00+00:00,2025-09-23 16:39:00+00:00,3768.52,3773.52,-5.0,stop
124984,124999,2025-09-24 01:14:00+00:00,2025-09-24 01:29:00+00:00,3763.6,3759.14,4.460000000000036,timeout
127041,127056,2025-09-25 12:32:00+00:00,2025-09-25 12:47:00+00:00,3745.63,3736.05,9.579999999999927,timeout
127166,127181,2025-09-25 14:37:00+00:00,2025-09-25 14:52:00+00:00,3728.38,3725.21,3.1700000000000728,timeout
127738,127753,2025-09-26 01:10:00+00:00,2025-09-26 01:25:00+00:00,3746.43,3739.86,6.569999999999709,timeout
129130,129145,2025-09-29 01:23:00+00:00,2025-09-29 01:38:00+00:00,3773.84,3773.79,0.0500000000001819,timeout
129770,129785,2025-09-29 12:03:00+00:00,2025-09-29 12:18:00+00:00,3824.74,3824.48,0.25999999999976353,timeout
129906,129912,2025-09-29 14:19:00+00:00,2025-09-29 14:25:00+00:00,3819.44,3824.44,-5.0,stop
129955,129970,2025-09-29 15:08:00+00:00,2025-09-29 15:23:00+00:00,3824.88,3828.38,-3.5,timeout
131328,131343,2025-09-30 15:02:00+00:00,2025-09-30 15:17:00+00:00,3846.39,3831.36,15.029999999999745,timeout
131939,131954,2025-10-01 02:14:00+00:00,2025-10-01 02:29:00+00:00,3867.59,3866.18,1.4100000000003092,timeout
132549,132564,2025-10-01 12:24:00+00:00,2025-10-01 12:39:00+00:00,3881.21,3876.23,4.980000000000018,timeout
132710,132712,2025-10-01 15:05:00+00:00,2025-10-01 15:07:00+00:00,3869.87,3874.87,-5.0,stop
132717,132732,2025-10-01 15:12:00+00:00,2025-10-01 15:27:00+00:00,3867.59,3862.43,5.160000000000309,timeout
132767,132773,2025-10-01 16:02:00+00:00,2025-10-01 16:08:00+00:00,3862.26,3867.26,-5.0,stop
133321,133336,2025-10-02 02:17:00+00:00,2025-10-02 02:32:00+00:00,3863.28,3864.21,-0.9299999999998363,timeout
134000,134015,2025-10-02 13:36:00+00:00,2025-10-02 13:51:00+00:00,3888.15,3875.85,12.300000000000182,timeout
134169,134184,2025-10-02 16:25:00+00:00,2025-10-02 16:40:00+00:00,3838.33,3839.13,-0.8000000000001819,timeout
135471,135475,2025-10-03 15:08:00+00:00,2025-10-03 15:12:00+00:00,3874.32,3879.32,-5.0,stop
135885,135900,2025-10-05 23:07:00+00:00,2025-10-05 23:22:00+00:00,3912.6,3908.46,4.139999999999873,timeout
135950,135953,2025-10-06 00:12:00+00:00,2025-10-06 00:15:00+00:00,3901.44,3906.44,-5.0,stop
136257,136272,2025-10-06 05:19:00+00:00,2025-10-06 05:34:00+00:00,3933.28,3929.92,3.3600000000001273,timeout
136380,136395,2025-10-06 07:22:00+00:00,2025-10-06 07:37:00+00:00,3929.61,3934.09,-4.480000000000018,timeout
136444,136459,2025-10-06 08:26:00+00:00,2025-10-06 08:41:00+00:00,3940.48,3938.51,1.9699999999998,timeout
137629,137644,2025-10-07 05:12:00+00:00,2025-10-07 05:27:00+00:00,3964.11,3962.98,1.1300000000001091,timeout
138162,138176,2025-10-07 14:05:00+00:00,2025-10-07 14:19:00+00:00,3972.97,3977.97,-5.0,stop
138258,138273,2025-10-07 15:41:00+00:00,2025-10-07 15:56:00+00:00,3974.12,3965.46,8.659999999999854,timeout
138289,138303,2025-10-07 16:12:00+00:00,2025-10-07 16:26:00+00:00,3968.73,3973.73,-5.0,stop
138387,138402,2025-10-07 17:50:00+00:00,2025-10-07 18:05:00+00:00,3982.59,3977.05,5.539999999999964,timeout
139542,139547,2025-10-08 14:06:00+00:00,2025-10-08 14:11:00+00:00,4037.6,4042.6,-5.0,stop
139610,139620,2025-10-08 15:14:00+00:00,2025-10-08 15:24:00+00:00,4039.71,4044.71,-5.0,stop
