entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,pnl_usd,reason
2340,2355,2025-05-21 14:02:00+00:00,2025-05-21 14:17:00+00:00,3297.47,3301.53,-4.0600000000004,timeout
2548,2554,2025-05-21 17:30:00+00:00,2025-05-21 17:36:00+00:00,3307.81,3312.81,-5.0,stop
3605,3619,2025-05-22 12:08:00+00:00,2025-05-22 12:22:00+00:00,3307.41,3312.41,-5.0,stop
3634,3649,2025-05-22 12:37:00+00:00,2025-05-22 12:52:00+00:00,3303.95,3302.13,1.819999999999709,timeout
3783,3784,2025-05-22 15:06:00+00:00,2025-05-22 15:07:00+00:00,3288.39,3283.39,5.0,tp
5056,5057,2025-05-23 13:20:00+00:00,2025-05-23 13:21:00+00:00,3348.08,3353.08,-5.0,stop
5061,5069,2025-05-23 13:25:00+00:00,2025-05-23 13:33:00+00:00,3348.66,3343.66,5.0,tp
7692,7704,2025-05-27 13:48:00+00:00,2025-05-27 14:00:00+00:00,3296.73,3291.73,5.0,tp
10459,10472,2025-05-29 13:57:00+00:00,2025-05-29 14:10:00+00:00,3314.03,3319.03,-5.0,stop
11797,11804,2025-05-30 13:16:00+00:00,2025-05-30 13:23:00+00:00,3295.18,3300.18,-5.0,stop
11857,11860,2025-05-30 14:16:00+00:00,2025-05-30 14:19:00+00:00,3280.13,3285.13,-5.0,stop
13305,13320,2025-06-02 15:25:00+00:00,2025-06-02 15:40:00+00:00,3372.03,3374.2,-2.169999999999618,timeout
17274,17286,2025-06-05 12:37:00+00:00,2025-06-05 12:49:00+00:00,3393.08,3388.08,5.0,tp
17322,17330,2025-06-05 13:25:00+00:00,2025-06-05 13:33:00+00:00,3378.13,3383.13,-5.0,stop
17346,17361,2025-06-05 13:49:00+00:00,2025-06-05 14:04:00+00:00,3378.65,3374.53,4.119999999999891,timeout
18677,18684,2025-06-06 13:01:00+00:00,2025-06-06 13:08:00+00:00,3348.33,3353.33,-5.0,stop
18696,18711,2025-06-06 13:20:00+00:00,2025-06-06 13:35:00+00:00,3352.03,3354.23,-2.199999999999818,timeout
22806,22809,2025-06-11 12:53:00+00:00,2025-06-11 12:56:00+00:00,3342.88,3337.88,5.0,tp
24205,24220,2025-06-12 13:13:00+00:00,2025-06-12 13:28:00+00:00,3384.1,3383.27,0.8299999999999272,timeout
24239,24254,2025-06-12 13:47:00+00:00,2025-06-12 14:02:00+00:00,3391.68,3389.15,2.5299999999997453,timeout
25625,25640,2025-06-13 13:54:00+00:00,2025-06-13 14:09:00+00:00,3434.03,3435.63,-1.599999999999909,timeout
