entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,pnl_usd,reason
938,948,2025-05-20 13:39:00+00:00,2025-05-20 13:49:00+00:00,3241.58,3246.58,-5.0,stop
1020,1050,2025-05-20 15:01:00+00:00,2025-05-20 15:31:00+00:00,3278.81,3278.27,0.5399999999999636,timeout
2484,2514,2025-05-21 16:26:00+00:00,2025-05-21 16:56:00+00:00,3309.84,3303.61,6.230000000000018,timeout
3605,3619,2025-05-22 12:08:00+00:00,2025-05-22 12:22:00+00:00,3307.41,3312.41,-5.0,stop
3633,3662,2025-05-22 12:36:00+00:00,2025-05-22 13:05:00+00:00,3307.58,3312.58,-5.0,stop
3694,3724,2025-05-22 13:37:00+00:00,2025-05-22 14:07:00+00:00,3308.16,3291.8,16.359999999999673,timeout
5045,5075,2025-05-23 13:09:00+00:00,2025-05-23 13:39:00+00:00,3354.48,3343.53,10.949999999999818,timeout
5127,5132,2025-05-23 14:31:00+00:00,2025-05-23 14:36:00+00:00,3348.95,3353.95,-5.0,stop
7683,7713,2025-05-27 13:39:00+00:00,2025-05-27 14:09:00+00:00,3299.69,3295.3,4.389999999999873,timeout
7764,7794,2025-05-27 15:00:00+00:00,2025-05-27 15:30:00+00:00,3299.15,3295.12,4.0300000000002,timeout
9122,9152,2025-05-28 14:39:00+00:00,2025-05-28 15:09:00+00:00,3303.33,3298.25,5.079999999999927,timeout
10405,10425,2025-05-29 13:03:00+00:00,2025-05-29 13:23:00+00:00,3312.83,3317.83,-5.0,stop
10436,10466,2025-05-29 13:34:00+00:00,2025-05-29 14:04:00+00:00,3317.55,3312.65,4.900000000000091,timeout
11795,11825,2025-05-30 13:14:00+00:00,2025-05-30 13:44:00+00:00,3302.69,3289.68,13.010000000000218,timeout
13291,13321,2025-06-02 15:11:00+00:00,2025-06-02 15:41:00+00:00,3374.08,3374.7,-0.6199999999998909,timeout
14567,14597,2025-06-03 13:28:00+00:00,2025-06-03 13:58:00+00:00,3358.43,3345.48,12.949999999999818,timeout
14659,14676,2025-06-03 15:00:00+00:00,2025-06-03 15:17:00+00:00,3345.23,3350.23,-5.0,stop
14708,14728,2025-06-03 15:49:00+00:00,2025-06-03 16:09:00+00:00,3347.12,3352.12,-5.0,stop
15884,15894,2025-06-04 12:26:00+00:00,2025-06-04 12:36:00+00:00,3350.85,3355.85,-5.0,stop
16034,16064,2025-06-04 14:56:00+00:00,2025-06-04 15:26:00+00:00,3377.03,3373.78,3.25,timeout
18695,18725,2025-06-06 13:19:00+00:00,2025-06-06 13:49:00+00:00,3354.5,3349.43,5.070000000000164,timeout
21493,21523,2025-06-10 13:59:00+00:00,2025-06-10 14:29:00+00:00,3343.61,3333.65,9.960000000000036,timeout
