signal_idx,entry_idx,exit_idx,entry_time,exit_time,probability,entry_price,exit_price,pnl_usd,pnl_pct,bars_held,exit_reason
899,900,960,2025-05-20 13:01:00+00:00,2025-05-20 14:01:00+00:00,0.2964970248359152,3238.23,3263.6,25.36999999999989,0.7834526886601597,61,timeout
960,961,1021,2025-05-20 14:02:00+00:00,2025-05-20 15:02:00+00:00,0.6706107060513908,3263.8,3280.16,16.359999999999673,0.5012562044242806,61,timeout
3537,3538,3598,2025-05-22 11:01:00+00:00,2025-05-22 12:01:00+00:00,0.2649688878701736,3284.43,3312.28,27.850000000000364,0.8479401296419886,61,timeout
3716,3717,3777,2025-05-22 14:00:00+00:00,2025-05-22 15:00:00+00:00,0.1654555971009497,3288.29,3297.21,8.920000000000073,0.27126561221790274,61,timeout
4960,4961,5021,2025-05-23 11:45:00+00:00,2025-05-23 12:45:00+00:00,0.2998088943552643,3333.91,3359.71,25.800000000000182,0.7738661211610446,61,timeout
5072,5073,5133,2025-05-23 13:37:00+00:00,2025-05-23 14:37:00+00:00,0.1570641817576656,3342.85,3352.48,9.63000000000011,0.2880775386272226,61,timeout
7335,7336,7396,2025-05-27 07:52:00+00:00,2025-05-27 08:52:00+00:00,0.1671501750113671,3297.18,3300.56,3.380000000000109,0.10251184345410652,61,timeout
9577,9578,9605,2025-05-28 23:16:00+00:00,2025-05-28 23:43:00+00:00,0.1500546411167871,3267.39,3254.32044,-13.06955999999991,-0.39999999999999725,28,stop_loss
9606,9607,9667,2025-05-28 23:45:00+00:00,2025-05-29 00:45:00+00:00,0.2086354590671024,3253.0,3266.72,13.7199999999998,0.42176452505379036,61,timeout
9689,9690,9750,2025-05-29 01:08:00+00:00,2025-05-29 02:08:00+00:00,0.1531560684341765,3252.28,3266.03,13.75,0.4227803264171597,61,timeout
11732,11733,11793,2025-05-30 12:12:00+00:00,2025-05-30 13:12:00+00:00,0.1962583815477378,3293.53,3304.95,11.419999999999618,0.3467404274440985,61,timeout
11826,11827,11842,2025-05-30 13:46:00+00:00,2025-05-30 14:01:00+00:00,0.1639962042673803,3286.13,3272.9854800000003,-13.14451999999983,-0.3999999999999948,16,stop_loss
12758,12759,12819,2025-06-02 06:19:00+00:00,2025-06-02 07:19:00+00:00,0.175845478542507,3331.33,3356.13,24.800000000000182,0.7444474128951555,61,timeout
13171,13172,13232,2025-06-02 13:12:00+00:00,2025-06-02 14:12:00+00:00,0.1522836003108149,3355.5,3371.41,15.909999999999854,0.4741469229622964,61,timeout
15985,15986,16046,2025-06-04 14:08:00+00:00,2025-06-04 15:08:00+00:00,0.2644805852535967,3364.15,3375.48,11.329999999999927,0.33678640964284967,61,timeout
17288,17289,17349,2025-06-05 12:52:00+00:00,2025-06-05 13:52:00+00:00,0.1715265750877294,3379.18,3380.18,1.0,0.029592978178137896,61,timeout
18649,18650,18656,2025-06-06 12:34:00+00:00,2025-06-06 12:40:00+00:00,0.1893621512702349,3363.05,3349.5978,-13.452200000000175,-0.40000000000000524,7,stop_loss
18708,18709,18736,2025-06-06 13:33:00+00:00,2025-06-06 14:00:00+00:00,0.1648768636247811,3354.4,3340.9824,-13.41760000000022,-0.4000000000000066,28,stop_loss
18759,18760,18820,2025-06-06 14:24:00+00:00,2025-06-06 15:24:00+00:00,0.1870632344948224,3317.65,3328.84,11.190000000000055,0.3372869350293145,61,timeout
22771,22772,22832,2025-06-11 12:19:00+00:00,2025-06-11 13:19:00+00:00,0.166275664985038,3338.18,3344.21,6.0300000000002,0.1806373532883248,61,timeout
