long_prob,short_prob,trades,total_pnl,profit_factor,avg_day,trade_max_drawdown,daily_max_drawdown,positive_days_pct,win_rate_pct
0.35,0.35,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.35,0.37,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.35,0.39,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.35,0.41,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.35,0.43,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.35,0.45,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.37,0.35,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.37,0.37,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.37,0.39,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.37,0.41,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.37,0.43,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.37,0.45,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.39,0.35,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.39,0.37,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.39,0.39,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.39,0.41,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.39,0.43,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.39,0.45,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.41,0.35,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.41,0.37,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.41,0.39,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.41,0.41,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.41,0.43,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.41,0.45,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.43,0.35,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.43,0.37,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.43,0.39,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.43,0.41,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.43,0.43,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.43,0.45,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.45,0.35,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.45,0.37,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.45,0.39,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.45,0.41,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.45,0.43,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
0.45,0.45,1370,5458.719999999992,1.6404415155038432,85.29249999999988,-237.54999999999927,-97.84000000000287,81.25,47.956204379562045
