report=training/backtest_report_wf_state_sweep_C.json
cycles_used=10
grid=6x6=36

Top 10 by total_pnl / profit_factor / avg_day:
 long_prob  short_prob  trades  total_pnl  profit_factor  avg_day  trade_max_drawdown  daily_max_drawdown  positive_days_pct  win_rate_pct
      0.35        0.35    1370    5458.72       1.640442  85.2925             -237.55              -97.84              81.25     47.956204
      0.35        0.37    1370    5458.72       1.640442  85.2925             -237.55              -97.84              81.25     47.956204
      0.35        0.39    1370    5458.72       1.640442  85.2925             -237.55              -97.84              81.25     47.956204
      0.35        0.41    1370    5458.72       1.640442  85.2925             -237.55              -97.84              81.25     47.956204
      0.35        0.43    1370    5458.72       1.640442  85.2925             -237.55              -97.84              81.25     47.956204
      0.35        0.45    1370    5458.72       1.640442  85.2925             -237.55              -97.84              81.25     47.956204
      0.37        0.35    1370    5458.72       1.640442  85.2925             -237.55              -97.84              81.25     47.956204
      0.37        0.37    1370    5458.72       1.640442  85.2925             -237.55              -97.84              81.25     47.956204
      0.37        0.39    1370    5458.72       1.640442  85.2925             -237.55              -97.84              81.25     47.956204
      0.37        0.41    1370    5458.72       1.640442  85.2925             -237.55              -97.84              81.25     47.956204
