signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,signal_ts_close,update_ts_close,last_target_price,entry_target_price,exit_reason
1529,2025-12-01T15:01:00+00:00,2025-12-01T15:02:00+00:00,2025-12-01T15:22:00+00:00,0,down,4242.2,4220.989,21.21100000000024,0.974053987007657,0.974053987007657,0,1529,2025-12-01T15:01:00+00:00,4242.49,4228.28,4220.989,4220.989,target_hit
1550,2025-12-01T15:22:00+00:00,2025-12-01T15:23:00+00:00,2025-12-01T15:37:00+00:00,0,down,4219.97,4234.97,-15.0,0.8550703265998414,0.9898658267890237,6,1560,2025-12-01T15:32:00+00:00,4220.08,4231.81,4205.4272,4198.870150000001,stop_loss
1565,2025-12-01T15:37:00+00:00,2025-12-01T15:38:00+00:00,2025-12-01T16:02:00+00:00,0,down,4232.29,4234.84,-2.550000000000182,0.9905925637381501,0.9905925637381501,0,1565,2025-12-01T15:37:00+00:00,4232.97,4234.84,4211.12855,4211.12855,timeout
2188,2025-12-03T15:03:00+00:00,2025-12-03T15:04:00+00:00,2025-12-03T15:28:00+00:00,0,down,4212.35,4221.42,-9.069999999999709,0.638341785026401,0.638341785026401,0,2188,2025-12-03T15:03:00+00:00,4212.63,4221.42,4191.2882500000005,4191.2882500000005,timeout
2810,2025-12-05T16:15:00+00:00,2025-12-05T16:16:00+00:00,2025-12-05T17:05:00+00:00,0,down,4207.08,4217.51,-10.430000000000291,0.6512934197345241,0.9953976138407433,2,2812,2025-12-05T16:17:00+00:00,4207.19,4210.14,4182.582,4186.0446,timeout
3364,2025-12-10T19:31:00+00:00,2025-12-10T19:32:00+00:00,2025-12-10T19:58:00+00:00,0,down,4200.38,4215.38,-15.0,0.9971881883049549,0.9959974785480136,3,3369,2025-12-10T19:36:00+00:00,4200.65,4214.92,4175.82595,4179.3781,stop_loss
3393,2025-12-10T20:00:00+00:00,2025-12-10T20:01:00+00:00,2025-12-10T20:07:00+00:00,0,down,4211.46,4226.46,-15.0,0.9971061747900829,0.9906814673647928,2,3397,2025-12-10T20:04:00+00:00,4211.92,4232.85,4202.8004,4190.4027,stop_loss
4034,2025-12-12T15:19:00+00:00,2025-12-12T15:20:00+00:00,2025-12-12T15:25:00+00:00,0,down,4326.36,4304.7282,21.631800000000112,0.9894966646645802,0.9906681497077462,0,4034,2025-12-12T15:19:00+00:00,4326.37,4317.64,4304.7282,4304.7282,target_hit
4040,2025-12-12T15:25:00+00:00,2025-12-12T15:26:00+00:00,2025-12-12T15:59:00+00:00,0,down,4309.18,4283.7735,25.40650000000005,0.9911850801258817,0.9544592926099134,3,4043,2025-12-12T15:28:00+00:00,4309.55,4303.44,4283.7735,4287.6341,target_hit
4074,2025-12-12T15:59:00+00:00,2025-12-12T16:00:00+00:00,2025-12-12T16:40:00+00:00,0,down,4289.89,4262.8984,26.99160000000029,0.916393569690638,0.6188054565157115,2,4076,2025-12-12T16:01:00+00:00,4290.79,4287.16,4262.8984,4268.44055,target_hit
5482,2025-12-18T16:15:00+00:00,2025-12-18T16:16:00+00:00,2025-12-18T16:22:00+00:00,0,down,4366.16,4371.92,-5.760000000000218,0.5836302560387159,0.5836302560387159,0,5482,2025-12-18T16:15:00+00:00,4366.39,4367.74,4344.3292,4344.3292,reverse_signal
