signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,signal_ts_close,update_ts_close,last_target_price,entry_target_price,exit_reason
115,2025-11-25T17:02:00+00:00,2025-11-25T17:03:00+00:00,2025-11-25T17:04:00+00:00,2,up,4144.53,4147.77,3.240000000000691,0.9998685375525266,0.9998685375525266,0,115,2025-11-25T17:02:00+00:00,4144.54,4148.86,4194.26436,4194.26436,reverse_signal
117,2025-11-25T17:04:00+00:00,2025-11-25T17:05:00+00:00,2025-11-25T18:14:00+00:00,0,down,4147.4,4146.29,1.1099999999996726,0.9999543502386549,0.9999379515826746,4,127,2025-11-25T17:14:00+00:00,4147.4,4146.29,4100.8422,4097.6312,timeout
229,2025-11-26T02:59:00+00:00,2025-11-26T03:00:00+00:00,2025-11-26T15:00:00+00:00,2,up,4161.94,4146.94,-15.0,0.9999312030340144,0.9999312030340144,0,229,2025-11-26T02:59:00+00:00,4161.66,4166.06,4211.88328,4211.88328,stop_loss
389,2025-11-28T00:34:00+00:00,2025-11-28T00:35:00+00:00,2025-11-28T01:38:00+00:00,0,down,4180.26,4190.23,-9.969999999999345,0.999902830183186,0.999938900700183,1,393,2025-11-28T00:38:00+00:00,4180.23,4190.23,4131.569,4130.09688,timeout
503,2025-11-28T06:01:00+00:00,2025-11-28T06:02:00+00:00,2025-11-28T15:00:00+00:00,0,down,4182.48,4197.48,-15.0,0.9999647853194152,0.9998713881832373,2,533,2025-11-28T06:31:00+00:00,4182.77,4182.86,4135.51112,4132.290239999999,stop_loss
829,2025-12-01T05:24:00+00:00,2025-12-01T05:25:00+00:00,2025-12-01T06:28:00+00:00,0,down,4222.83,4231.39,-8.5600000000004,0.9998852748597328,0.999872698020433,2,831,2025-12-01T05:26:00+00:00,4223.11,4229.07,4168.125,4172.15604,timeout
1443,2025-12-03T16:39:00+00:00,2025-12-03T16:40:00+00:00,2025-12-03T17:39:00+00:00,0,down,4222.09,4213.65,8.44000000000051,0.9983337268247482,0.9983337268247482,0,1443,2025-12-03T16:39:00+00:00,4222.2,4213.65,4171.42492,4171.42492,timeout
1558,2025-12-04T03:02:00+00:00,2025-12-04T03:03:00+00:00,2025-12-04T04:04:00+00:00,0,down,4188.71,4201.5,-12.789999999999964,0.9999730199461289,0.999989191952935,1,1560,2025-12-04T03:04:00+00:00,4189.02,4196.58,4144.05732,4138.44548,timeout
1684,2025-12-05T15:42:00+00:00,2025-12-05T15:43:00+00:00,2025-12-05T16:14:00+00:00,0,down,4257.33,4206.24204,51.08795999999984,0.9999016746101351,0.9999016746101351,0,1684,2025-12-05T15:42:00+00:00,4257.52,4210.14,4206.24204,4206.24204,target_hit
1976,2025-12-09T16:30:00+00:00,2025-12-09T16:31:00+00:00,2025-12-09T16:40:00+00:00,2,up,4216.54,4217.76,1.2200000000002547,0.9999773817137477,0.9999906782438223,0,1976,2025-12-09T16:30:00+00:00,4216.2,4207.68,4267.13848,4267.13848,reverse_signal
2024,2025-12-10T19:09:00+00:00,2025-12-10T19:10:00+00:00,2025-12-10T20:11:00+00:00,0,down,4215.93,4230.93,-15.0,0.9999763436758767,0.9999219708290302,0,2024,2025-12-10T19:09:00+00:00,4216.32,4228.11,4165.33884,4165.33884,stop_loss
2498,2025-12-12T15:20:00+00:00,2025-12-12T15:21:00+00:00,2025-12-12T16:38:00+00:00,0,down,4320.04,4268.19952,51.84047999999984,0.9999814036994883,0.9965206930085132,0,2498,2025-12-12T15:20:00+00:00,4320.13,4283.04,4268.19952,4268.19952,target_hit
2922,2025-12-16T02:59:00+00:00,2025-12-16T03:00:00+00:00,2025-12-16T03:59:00+00:00,0,down,4289.87,4291.23,-1.3599999999996726,0.999977985177234,0.999977985177234,0,2922,2025-12-16T02:59:00+00:00,4290.05,4291.23,4238.39156,4238.39156,timeout
3268,2025-12-17T16:29:00+00:00,2025-12-17T16:30:00+00:00,2025-12-17T17:30:00+00:00,0,down,4326.56,4337.62,-11.05999999999949,0.9999781745633647,0.9996710215017479,0,3268,2025-12-17T16:29:00+00:00,4326.8,4337.24,4274.641280000001,4274.641280000001,timeout
3747,2025-12-22T02:04:00+00:00,2025-12-22T02:05:00+00:00,2025-12-22T02:07:00+00:00,0,down,4382.74,4381.77,0.9699999999993452,0.9989181892155699,0.9989181892155699,0,3747,2025-12-22T02:04:00+00:00,4383.02,4389.14,4330.14712,4330.14712,reverse_signal
3750,2025-12-22T02:07:00+00:00,2025-12-22T02:08:00+00:00,2025-12-22T03:17:00+00:00,2,up,4379.25,4388.09,8.840000000000146,0.9999882360702904,0.9999383176667532,1,3758,2025-12-22T02:15:00+00:00,4378.96,4386.29,4433.825,4431.801,timeout
3825,2025-12-23T02:00:00+00:00,2025-12-23T02:01:00+00:00,2025-12-23T02:07:00+00:00,2,up,4485.67,4483.45,-2.2200000000002547,0.9998965503363502,0.9998965503363502,0,3825,2025-12-23T02:00:00+00:00,4485.35,4495.62,4539.49804,4539.49804,reverse_signal
3832,2025-12-23T02:07:00+00:00,2025-12-23T02:08:00+00:00,2025-12-23T03:07:00+00:00,2,up,4486.8,4489.48,2.6799999999993815,0.9999862803649997,0.9999862803649997,0,3832,2025-12-23T02:07:00+00:00,4486.52,4489.48,4540.6416,4540.6416,timeout
4081,2025-12-23T19:32:00+00:00,2025-12-23T19:33:00+00:00,2025-12-23T23:41:00+00:00,0,down,4489.86,4504.86,-15.0,0.9995893587462705,0.9994171950576115,4,4105,2025-12-23T19:56:00+00:00,4490.14,4493.98,4438.1948,4435.98168,stop_loss
4106,2025-12-23T23:41:00+00:00,2025-12-23T23:42:00+00:00,2025-12-24T00:41:00+00:00,0,down,4508.6,4515.02,-6.420000000000073,0.9999937013720165,0.9999937013720165,0,4106,2025-12-23T23:41:00+00:00,4508.88,4515.02,4454.496800000001,4454.496800000001,timeout
4190,2025-12-24T02:58:00+00:00,2025-12-24T02:59:00+00:00,2025-12-24T04:03:00+00:00,0,down,4488.9,4492.55,-3.6500000000005457,0.9999620592845453,0.9999775598801914,0,4190,2025-12-24T02:58:00+00:00,4489.21,4493.32,4435.0332,4435.0332,timeout
4406,2025-12-24T16:32:00+00:00,2025-12-24T16:33:00+00:00,2025-12-24T17:34:00+00:00,2,up,4470.03,4482.23,12.199999999999818,0.9998326414533487,0.9638886415048314,1,4407,2025-12-24T16:33:00+00:00,4469.77,4482.23,4524.18648,4523.67036,timeout
4497,2025-12-26T00:10:00+00:00,2025-12-26T00:11:00+00:00,2025-12-26T01:13:00+00:00,0,down,4504.28,4512.58,-8.300000000000182,0.9999735687825362,0.9999355381316991,0,4497,2025-12-26T00:10:00+00:00,4504.57,4513.13,4450.228639999999,4450.228639999999,timeout
4668,2025-12-26T15:37:00+00:00,2025-12-26T15:38:00+00:00,2025-12-26T17:33:00+00:00,0,down,4544.92,4512.49,32.43000000000029,0.9999136386483422,0.9999850929556556,0,4668,2025-12-26T15:37:00+00:00,4545.49,4541.77,4490.38096,4490.38096,timeout
4895,2025-12-28T23:13:00+00:00,2025-12-28T23:14:00+00:00,2025-12-29T00:30:00+00:00,0,down,4530.3,4475.9364000000005,54.36359999999968,0.9999957941921007,0.9799682141381834,0,4895,2025-12-28T23:13:00+00:00,4530.59,4524.11,4475.9364000000005,4475.9364000000005,target_hit
4974,2025-12-29T00:32:00+00:00,2025-12-29T00:33:00+00:00,2025-12-29T00:37:00+00:00,0,down,4487.84,4502.84,-15.0,0.5773707373140382,0.5773707373140382,0,4974,2025-12-29T00:32:00+00:00,4488.39,4497.37,4433.98592,4433.98592,stop_loss
5048,2025-12-29T02:16:00+00:00,2025-12-29T02:17:00+00:00,2025-12-29T03:16:00+00:00,0,down,4504.48,4514.6,-10.1200000000008,0.9991074255618565,0.9991074255618565,0,5048,2025-12-29T02:16:00+00:00,4504.73,4514.6,4450.42624,4450.42624,timeout
5161,2025-12-29T15:02:00+00:00,2025-12-29T15:03:00+00:00,2025-12-29T15:07:00+00:00,2,up,4343.59,4328.59,-15.0,0.9999966512129677,0.9999966512129677,0,5161,2025-12-29T15:02:00+00:00,4343.31,4332.75,4395.71308,4395.71308,stop_loss
5172,2025-12-29T15:13:00+00:00,2025-12-29T15:14:00+00:00,2025-12-29T15:16:00+00:00,2,up,4344.69,4329.69,-15.0,0.9999955857031305,0.9999955857031305,0,5172,2025-12-29T15:13:00+00:00,4344.36,4333.17,4396.826279999999,4396.826279999999,stop_loss
5283,2025-12-29T17:04:00+00:00,2025-12-29T17:05:00+00:00,2025-12-29T18:59:00+00:00,0,down,4339.73,4331.77,7.959999999999127,0.9999987623525761,0.9998941376812482,0,5283,2025-12-29T17:04:00+00:00,4340.17,4331.36,4287.65324,4287.65324,timeout
5732,2025-12-30T17:54:00+00:00,2025-12-30T17:55:00+00:00,2025-12-30T18:54:00+00:00,0,down,4368.33,4350.13,18.199999999999818,0.9999886047537468,0.9999886047537468,0,5732,2025-12-30T17:54:00+00:00,4368.65,4364.86,4315.91004,4315.91004,timeout
