signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,signal_ts_close,update_ts_close,last_target_price,entry_target_price,exit_reason
115,2025-11-25T17:02:00+00:00,2025-11-25T17:03:00+00:00,2025-11-25T17:04:00+00:00,0,down,4144.23,4147.87,-3.6400000000003274,0.99684169147787,0.99684169147787,0,115,2025-11-25T17:02:00+00:00,4144.84,4149.16,4082.0665499999996,4082.0665499999996,reverse_signal
117,2025-11-25T17:04:00+00:00,2025-11-25T17:05:00+00:00,2025-11-25T18:17:00+00:00,2,up,4147.7,4144.42,-3.2799999999997453,0.8655486907953267,0.9747076660024597,0,117,2025-11-25T17:04:00+00:00,4147.1,4149.07,4209.9155,4209.9155,reverse_signal
190,2025-11-25T18:17:00+00:00,2025-11-25T18:18:00+00:00,2025-11-26T02:27:00+00:00,0,down,4143.35,4158.35,-15.0,0.9998532324712248,0.9996022721960568,0,190,2025-11-25T18:17:00+00:00,4143.6,4136.68,4081.19975,4081.19975,stop_loss
229,2025-11-26T02:59:00+00:00,2025-11-26T03:00:00+00:00,2025-11-26T03:05:00+00:00,2,up,4161.94,4161.87,-0.06999999999970896,0.9991767922958998,0.5676426689370468,1,231,2025-11-26T03:01:00+00:00,4161.66,4162.8,4225.1404999999995,4224.3691,reverse_signal
237,2025-11-26T03:07:00+00:00,2025-11-26T03:08:00+00:00,2025-11-26T15:00:00+00:00,2,up,4167.17,4152.17,-15.0,0.9687135827487512,0.9687135827487512,0,237,2025-11-26T03:07:00+00:00,4166.94,4160.69,4229.67755,4229.67755,stop_loss
389,2025-11-28T00:34:00+00:00,2025-11-28T00:35:00+00:00,2025-11-28T00:36:00+00:00,0,down,4180.26,4179.93,0.32999999999992724,0.6008656590164536,0.6008656590164536,0,389,2025-11-28T00:34:00+00:00,4180.23,4187.36,4117.5561,4117.5561,reverse_signal
392,2025-11-28T00:37:00+00:00,2025-11-28T00:38:00+00:00,2025-11-28T01:46:00+00:00,2,up,4179.02,4191.5,12.479999999999563,0.7789931189636189,0.8109633233904607,1,393,2025-11-28T00:38:00+00:00,4178.93,4189.93,4244.37475,4241.7053000000005,timeout
505,2025-11-28T06:03:00+00:00,2025-11-28T06:04:00+00:00,2025-11-28T15:00:00+00:00,0,down,4183.18,4198.18,-15.0,0.8979578960649612,0.8979578960649612,0,505,2025-11-28T06:03:00+00:00,4183.46,4187.07,4120.4323,4120.4323,stop_loss
811,2025-12-01T03:11:00+00:00,2025-12-01T03:12:00+00:00,2025-12-01T04:11:00+00:00,0,down,4237.44,4221.43,16.00999999999931,0.9994992742659488,0.9994992742659488,0,811,2025-12-01T03:11:00+00:00,4237.78,4238.61,4173.8784,4173.8784,timeout
1635,2025-12-04T15:29:00+00:00,2025-12-04T15:30:00+00:00,2025-12-04T16:29:00+00:00,0,down,4205.99,4216.35,-10.360000000000582,0.9994550727749438,0.9994550727749438,0,1635,2025-12-04T15:29:00+00:00,4206.24,4216.35,4142.9001499999995,4142.9001499999995,timeout
1681,2025-12-05T15:39:00+00:00,2025-12-05T15:40:00+00:00,2025-12-05T16:39:00+00:00,0,down,4257.54,4211.9,45.64000000000033,0.9387064100006678,0.9387064100006678,0,1681,2025-12-05T15:39:00+00:00,4257.87,4211.9,4193.6769,4193.6769,timeout
1981,2025-12-09T16:35:00+00:00,2025-12-09T16:36:00+00:00,2025-12-09T16:57:00+00:00,2,up,4215.02,4214.8,-0.22000000000025466,0.9881326629375383,0.8290511726869628,1,1990,2025-12-09T16:44:00+00:00,4214.7,4207.2,4282.45755,4278.2453000000005,reverse_signal
2017,2025-12-09T17:11:00+00:00,2025-12-09T17:12:00+00:00,2025-12-10T19:35:00+00:00,0,down,4214.29,4209.75,4.539999999999964,0.9912829638887801,0.9991995404813151,3,2026,2025-12-10T19:11:00+00:00,4214.53,4230.67,4149.5193500000005,4151.07565,reverse_signal
2052,2025-12-10T19:37:00+00:00,2025-12-10T19:38:00+00:00,2025-12-10T19:41:00+00:00,2,up,4202.11,4187.11,-15.0,0.9136305939097256,0.9136305939097256,0,2052,2025-12-10T19:37:00+00:00,4201.71,4233.55,4265.14165,4265.14165,stop_loss
2056,2025-12-10T19:41:00+00:00,2025-12-10T19:42:00+00:00,2025-12-10T20:47:00+00:00,2,up,4186.32,4234.81,48.49000000000069,0.9856815040107468,0.9942589939360806,1,2057,2025-12-10T19:42:00+00:00,4186.78,4232.76,4253.1951,4249.114799999999,timeout
2500,2025-12-12T15:22:00+00:00,2025-12-12T15:23:00+00:00,2025-12-12T15:25:00+00:00,2,up,4316.95,4309.39,-7.559999999999491,0.7804200580224608,0.7804200580224608,0,2500,2025-12-12T15:22:00+00:00,4316.67,4276.58,4381.70425,4381.70425,reverse_signal
2503,2025-12-12T15:25:00+00:00,2025-12-12T15:26:00+00:00,2025-12-12T15:27:00+00:00,0,down,4309.18,4313.61,-4.4299999999993815,0.8143212660359439,0.8143212660359439,0,2503,2025-12-12T15:25:00+00:00,4309.55,4285.58,4244.5423,4244.5423,reverse_signal
2505,2025-12-12T15:27:00+00:00,2025-12-12T15:28:00+00:00,2025-12-12T15:30:00+00:00,2,up,4310.42,4295.42,-15.0,0.8336748844054699,0.8336748844054699,0,2505,2025-12-12T15:27:00+00:00,4310.11,4289.55,4375.0763,4375.0763,stop_loss
3210,2025-12-17T15:03:00+00:00,2025-12-17T15:04:00+00:00,2025-12-17T16:03:00+00:00,0,down,4340.41,4329.27,11.139999999999418,0.9885773966526474,0.9885773966526474,0,3210,2025-12-17T15:03:00+00:00,4340.7,4329.27,4275.30385,4275.30385,timeout
3662,2025-12-19T15:54:00+00:00,2025-12-19T15:55:00+00:00,2025-12-19T16:35:00+00:00,2,up,4345.69,4347.58,1.8900000000003274,0.9405406616198712,0.9405406616198712,0,3662,2025-12-19T15:54:00+00:00,4345.52,4346.66,4410.875349999999,4410.875349999999,reverse_signal
3703,2025-12-19T16:35:00+00:00,2025-12-19T16:36:00+00:00,2025-12-22T01:40:00+00:00,0,down,4346.71,4361.71,-15.0,0.999887930173085,0.999887930173085,0,3703,2025-12-19T16:35:00+00:00,4347.02,4350.79,4281.50935,4281.50935,stop_loss
3742,2025-12-22T01:59:00+00:00,2025-12-22T02:00:00+00:00,2025-12-22T02:04:00+00:00,0,down,4382.72,4382.69,0.030000000000654836,0.9872223635520697,0.981375010141773,1,3745,2025-12-22T02:02:00+00:00,4383.04,4387.08,4317.146650000001,4316.979200000001,reverse_signal
3748,2025-12-22T02:05:00+00:00,2025-12-22T02:06:00+00:00,2025-12-22T02:07:00+00:00,2,up,4383.16,4381.67,-1.4899999999997817,0.9961019706933537,0.9961019706933537,0,3748,2025-12-22T02:05:00+00:00,4383.07,4388.94,4448.9074,4448.9074,reverse_signal
3750,2025-12-22T02:07:00+00:00,2025-12-22T02:08:00+00:00,2025-12-22T02:09:00+00:00,0,down,4378.95,4380.44,-1.4899999999997817,0.9819508591774505,0.9819508591774505,0,3750,2025-12-22T02:07:00+00:00,4379.26,4387.98,4313.26575,4313.26575,reverse_signal
