side,entry_time,entry_price,stop,target,timeout,target_updates,s1_prob,s2_prob,exit_time,exit_price,exit_reason,pnl
down,2026-05-08 06:28:00+00:00,4729.28,4754.28,4689.28,2026-05-08 07:13:00+00:00,0,0.5538631677627563,0.3149261176586151,2026-05-08 07:22:00+00:00,4709.17,timeout,20.109999999999673
down,2026-05-08 07:30:00+00:00,4706.89,4731.89,4666.89,2026-05-08 08:15:00+00:00,0,0.5388625860214233,0.3830939531326294,2026-05-08 09:33:00+00:00,4710.18,timeout,-3.2899999999999636
down,2026-05-08 13:01:00+00:00,4724.19,4749.19,4683.16,2026-05-08 13:49:00+00:00,1,0.567038893699646,0.2838901877403259,2026-05-08 13:51:00+00:00,4744.12,timeout,-19.93000000000029
up,2026-05-08 14:30:00+00:00,4718.47,4693.47,4758.47,2026-05-08 15:15:00+00:00,0,0.5235466361045837,0.5912526249885559,2026-05-08 15:22:00+00:00,4706.13,timeout,-12.340000000000146
up,2026-05-11 00:30:00+00:00,4684.84,4659.84,4731.31,2026-05-11 01:56:00+00:00,8,0.536592423915863,0.7859395742416382,2026-05-11 01:22:00+00:00,4702.27,reverse_signal,17.43000000000029
down,2026-05-11 01:30:00+00:00,4699.19,4724.19,4659.19,2026-05-11 02:18:00+00:00,1,0.5034328699111938,0.3561902940273285,2026-05-11 02:30:00+00:00,4692.33,timeout,6.859999999999673
up,2026-05-11 06:08:00+00:00,4660.5,4635.5,4700.5,2026-05-11 06:53:00+00:00,0,0.5327581167221069,0.5892641544342041,2026-05-11 08:10:00+00:00,4669.56,timeout,9.0600000000004
down,2026-05-11 12:31:00+00:00,4690.68,4715.68,4650.68,2026-05-11 13:41:00+00:00,2,0.521103024482727,0.36149489879608154,2026-05-11 13:12:00+00:00,4715.68,stop_loss,-25.0
down,2026-05-11 14:05:00+00:00,4730.45,4755.45,4690.45,2026-05-11 14:50:00+00:00,0,0.6000149250030518,0.38714784383773804,2026-05-11 15:01:00+00:00,4726.94,timeout,3.5100000000002183
up,2026-05-12 00:00:00+00:00,4767.49,4742.49,4807.49,2026-05-12 01:09:00+00:00,2,0.5655622482299805,0.655059278011322,2026-05-12 01:04:00+00:00,4742.49,stop_loss,-25.0
up,2026-05-12 01:05:00+00:00,4744.2,4719.2,4791.87,2026-05-12 01:52:00+00:00,1,0.598372757434845,0.7052974700927734,2026-05-12 02:00:00+00:00,4730.4,timeout,-13.800000000000182
down,2026-05-12 06:17:00+00:00,4701.29,4726.29,4661.29,2026-05-12 07:02:00+00:00,0,0.5465121865272522,0.2907191514968872,2026-05-12 07:11:00+00:00,4697.89,timeout,3.399999999999636
down,2026-05-12 13:39:00+00:00,4694.51,4719.51,4639.61,2026-05-12 15:20:00+00:00,4,0.5995863676071167,0.2827572822570801,2026-05-12 15:20:00+00:00,4659.5,timeout,35.01000000000022
down,2026-05-12 15:22:00+00:00,4656.22,4681.22,4602.12,2026-05-12 16:17:00+00:00,3,0.5125366449356079,0.3701005280017853,2026-05-12 17:02:00+00:00,4676.95,timeout,-20.729999999999563
up,2026-05-14 04:32:00+00:00,4705.64,4680.64,4745.64,2026-05-14 05:17:00+00:00,0,0.6448839902877808,0.5503897666931152,2026-05-14 05:30:00+00:00,4700.73,timeout,-4.910000000000764
down,2026-05-14 13:29:00+00:00,4691.85,4716.85,4630.4,2026-05-14 14:46:00+00:00,8,0.529326856136322,0.423505574464798,2026-05-14 14:59:00+00:00,4680.37,timeout,11.480000000000473
