horizon,tp,sl,pattern_bars,signals,trades,win_rate,net_pnl,avg_pnl
30,40,30,2421,175,57,54.4,751.25,13.18
45,45,25,2421,158,66,47.0,715.3,10.84
15,30,25,2421,179,68,54.4,615.34,9.05
15,30,15,2421,135,52,55.8,613.11,11.79
15,40,25,2421,113,44,63.6,574.98,13.07
15,45,30,2421,94,34,55.9,567.57,16.69
30,40,25,2421,177,64,50.0,564.0,8.81
30,45,25,2421,155,54,48.1,542.9,10.05
30,45,30,2421,153,51,47.1,537.41,10.54
30,40,10,2421,104,48,37.5,527.86,11.0
45,20,15,2421,429,211,45.5,520.5,2.47
30,20,15,2421,366,195,47.7,506.17,2.6
15,30,20,2421,144,56,51.8,506.02,9.04
30,40,15,2421,168,66,39.4,483.24,7.32
30,45,20,2421,133,55,41.8,470.72,8.56
15,40,30,2421,107,40,57.5,461.73,11.54
30,40,20,2421,165,58,43.1,460.95,7.95
45,45,20,2421,157,69,42.0,449.76,6.52
15,45,15,2421,65,31,51.6,445.12,14.36
45,40,25,2421,201,79,45.6,427.87,5.42
15,45,25,2421,103,37,48.6,416.06,11.24
60,30,15,2421,273,118,37.3,393.32,3.33
30,45,15,2421,140,60,33.3,391.72,6.53
15,30,10,2421,96,44,40.9,344.78,7.84
30,45,10,2421,84,44,29.5,342.21,7.78
15,45,10,2421,39,24,45.8,340.22,14.18
45,40,15,2421,154,71,38.0,334.57,4.71
60,40,25,2421,249,91,39.6,333.01,3.66
60,45,15,2421,167,66,33.3,322.6,4.89
60,40,15,2421,176,74,32.4,320.04,4.32
45,30,15,2421,241,105,41.0,318.28,3.03
45,45,15,2421,149,72,36.1,313.69,4.36
15,45,20,2421,85,33,42.4,288.1,8.73
60,20,15,2421,439,214,40.2,274.98,1.28
15,40,15,2421,76,28,42.9,274.41,9.8
30,30,25,2421,253,101,46.5,256.1,2.54
15,40,10,2421,49,25,44.0,252.86,10.11
15,40,20,2421,88,36,47.2,236.99,6.58
60,40,30,2421,268,92,40.2,235.91,2.56
60,45,30,2421,224,71,36.6,199.36,2.81
60,30,25,2421,389,135,42.2,199.1,1.47
45,45,30,2421,191,69,40.6,190.5,2.76
60,45,10,2421,97,52,28.8,184.28,3.54
60,15,10,2421,351,211,40.8,183.45,0.87
60,45,20,2421,165,68,32.4,154.62,2.27
45,40,20,2421,162,69,37.7,146.03,2.12
60,40,20,2421,207,87,36.8,141.47,1.63
60,30,10,2421,174,95,28.4,134.02,1.41
15,20,15,2421,291,134,40.3,134.0,1.0
60,40,10,2421,116,62,24.2,127.35,2.05
15,15,10,2421,337,204,39.2,127.32,0.62
30,30,15,2421,174,86,36.0,115.81,1.35
30,30,10,2421,132,78,29.5,104.35,1.34
15,20,10,2421,230,132,34.8,92.42,0.7
60,20,10,2421,281,160,32.5,90.9,0.57
60,30,20,2421,336,123,36.6,83.52,0.68
45,40,30,2421,219,71,35.2,75.72,1.07
45,45,10,2421,101,60,23.3,61.83,1.03
45,30,10,2421,161,88,26.1,53.74,0.61
30,15,10,2421,341,210,38.1,51.91,0.25
45,40,10,2421,95,55,21.8,48.9,0.89
45,20,10,2421,297,180,32.2,33.23,0.18
30,20,10,2421,243,145,33.8,29.31,0.2
45,30,20,2421,294,122,39.3,17.65,0.14
30,30,20,2421,211,90,40.0,-24.88,-0.28
45,15,10,2421,370,222,36.5,-38.93,-0.18
60,45,25,2421,196,69,29.0,-46.1,-0.67
45,30,25,2421,346,127,39.4,-145.35,-1.14
