min_gap,time_max,baseline_trades,baseline_pnl,combined_trades,combined_pnl,delta_trades,delta_pnl,trial_trades,trial_pnl
0,45,450,2398.2,528,2613.7,78,215.5,86,444.1
0,60,450,2398.2,532,2602.1,82,203.9,91,482.5
0,30,450,2398.2,514,2534.9,64,136.7,69,308.0
0,20,450,2398.2,506,2487.8,56,89.6,61,274.4
0,15,450,2398.2,498,2427.0,48,28.8,52,198.9
10,30,450,2398.2,459,2416.8,9,18.6,10,104.4
1,45,450,2398.2,506,2407.9,56,9.7,58,218.0
10,20,450,2398.2,458,2404.4,8,6.2,9,91.9
1,30,450,2398.2,492,2402.7,42,4.5,44,147.6
3,30,450,2398.2,469,2400.3,19,2.1,23,50.8
5,30,450,2398.2,460,2399.9,10,1.7,12,137.8
10,45,450,2398.2,461,2397.4,11,-0.8,12,93.6
1,20,450,2398.2,489,2396.9,39,-1.3,41,158.2
5,45,450,2398.2,462,2395.9,12,-2.3,16,158.2
10,15,450,2398.2,457,2387.5,7,-10.7,8,75.1
5,20,450,2398.2,460,2380.0,10,-18.2,12,118.0
3,45,450,2398.2,472,2378.5,22,-19.7,27,25.5
3,20,450,2398.2,470,2367.1,20,-31.1,24,39.0
5,15,450,2398.2,458,2350.3,8,-47.9,9,47.0
5,60,450,2398.2,461,2345.8,11,-52.4,16,158.2
3,15,450,2398.2,467,2339.6,17,-58.6,23,-2.0
10,60,450,2398.2,462,2333.8,12,-64.4,15,82.2
1,15,450,2398.2,487,2320.5,37,-77.7,38,77.4
1,60,450,2398.2,511,2312.5,61,-85.7,63,187.7
3,60,450,2398.2,473,2304.4,23,-93.8,29,1.4
