horizon,tp,sl,pattern_bars,signals,trades,win_rate,net_pnl,avg_pnl
15,30,15,88037,786,93,49.5,478.39,5.14
15,30,20,88037,807,92,57.6,449.46,4.89
15,30,10,88037,809,126,37.3,403.31,3.2
45,45,15,88037,446,55,40.0,364.15,6.62
15,30,25,88037,808,90,48.9,358.93,3.99
60,30,25,88037,2855,180,50.6,351.17,1.95
60,30,10,88037,2365,238,33.6,338.8,1.42
45,45,25,88037,531,46,45.7,297.74,6.47
45,45,30,88037,546,46,47.8,285.0,6.2
45,30,25,88037,2119,156,50.6,282.24,1.81
30,40,10,88037,481,69,39.1,239.42,3.47
60,45,10,88037,361,53,32.1,231.7,4.37
45,45,20,88037,480,46,39.1,227.45,4.94
30,45,15,88037,239,26,53.8,223.37,8.59
30,40,30,88037,621,59,57.6,204.57,3.47
45,40,10,88037,421,84,31.0,196.86,2.34
60,45,15,88037,420,55,38.2,192.54,3.5
30,40,25,88037,584,60,53.3,191.4,3.19
45,30,15,88037,1980,192,39.6,181.97,0.95
60,40,20,88037,740,75,40.0,178.57,2.38
15,20,10,88037,2110,305,37.0,177.98,0.58
30,40,15,88037,508,67,46.3,176.27,2.63
45,45,10,88037,435,56,25.0,173.04,3.09
45,40,15,88037,542,69,37.7,162.96,2.36
60,45,25,88037,524,46,43.5,130.05,2.83
45,30,20,88037,1973,169,46.7,123.32,0.73
30,40,20,88037,525,66,48.5,123.04,1.86
30,30,20,88037,1243,136,44.9,98.57,0.72
60,40,15,88037,684,83,31.3,97.57,1.18
45,30,10,88037,1643,201,32.8,91.31,0.45
30,45,25,88037,300,31,45.2,82.17,2.65
45,40,30,88037,721,56,46.4,68.73,1.23
30,30,25,88037,1386,123,48.8,63.55,0.52
60,40,10,88037,633,96,27.1,56.03,0.58
60,40,30,88037,770,76,46.1,51.87,0.68
15,40,10,88037,84,32,34.4,51.2,1.6
60,40,25,88037,800,74,41.9,34.84,0.47
15,40,15,88037,87,28,42.9,33.68,1.2
30,30,15,88037,1245,154,37.0,18.5,0.12
15,45,15,88037,65,18,44.4,18.1,1.01
45,40,25,88037,586,58,41.4,17.39,0.3
30,30,10,88037,1198,186,30.1,6.15,0.03
30,45,20,88037,264,29,41.4,1.9,0.07
15,40,20,88037,103,28,35.7,-6.03,-0.22
15,20,15,88037,2100,251,40.6,-9.71,-0.04
15,45,20,88037,68,19,47.4,-13.48,-0.71
60,45,20,88037,425,51,33.3,-17.98,-0.35
15,40,25,88037,102,19,26.3,-22.38,-1.18
60,45,30,88037,550,49,36.7,-26.79,-0.55
15,40,30,88037,102,19,26.3,-46.22,-2.43
30,45,30,88037,325,31,35.5,-47.64,-1.54
30,45,10,88037,256,36,22.2,-56.03,-1.56
45,40,20,88037,584,64,35.9,-57.7,-0.9
15,45,10,88037,70,29,31.0,-71.25,-2.46
60,30,20,88037,2783,202,42.1,-75.46,-0.37
60,30,15,88037,2664,220,38.2,-90.87,-0.41
60,20,15,88037,8581,561,41.4,-103.81,-0.19
30,20,10,88037,4835,491,33.6,-138.95,-0.28
15,45,30,88037,76,19,36.8,-158.96,-8.37
15,45,25,88037,76,19,31.6,-160.92,-8.47
30,15,10,88037,10018,794,37.0,-167.64,-0.21
15,15,10,88037,5459,630,36.5,-188.87,-0.3
45,20,15,88037,7165,517,39.3,-210.85,-0.41
60,20,10,88037,7504,587,31.9,-237.93,-0.41
45,20,10,88037,6592,546,31.3,-239.9,-0.44
30,20,15,88037,4865,417,43.2,-243.7,-0.58
45,15,10,88037,12070,852,36.0,-253.8,-0.3
60,15,10,88037,13290,903,35.1,-564.67,-0.63
