horizon,tp,sl,pattern_bars,signals,trades,win_rate,net_pnl,avg_pnl
45,45,25,52646,1330,119,47.1,808.13,6.79
30,45,30,52646,948,80,47.5,802.92,10.04
45,45,30,52646,1419,112,49.1,782.45,6.99
15,45,25,52646,444,62,53.2,761.9,12.29
30,45,15,52646,908,97,36.1,751.69,7.75
30,45,25,52646,937,86,43.0,736.52,8.56
15,45,15,52646,476,76,47.4,711.52,9.36
45,45,20,52646,1327,122,42.6,709.75,5.82
15,45,20,52646,485,66,50.0,696.11,10.55
15,45,30,52646,444,61,59.0,673.42,11.04
45,45,10,52646,1218,156,28.8,667.17,4.28
60,45,30,52646,1659,114,45.6,647.66,5.68
60,45,10,52646,1569,176,28.4,629.5,3.58
45,45,15,52646,1264,140,34.3,624.25,4.46
30,45,20,52646,902,89,43.8,588.76,6.62
60,45,15,52646,1609,146,37.0,551.49,3.78
60,45,20,52646,1718,128,43.8,524.96,4.1
30,40,15,52646,1032,126,36.5,508.88,4.04
15,40,30,52646,805,92,42.4,505.0,5.49
15,45,10,52646,493,98,32.7,485.16,4.95
60,45,25,52646,1748,120,44.2,445.88,3.72
30,45,10,52646,935,127,26.0,406.89,3.2
15,40,10,52646,839,150,31.3,391.12,2.61
15,40,20,52646,856,96,40.6,388.63,4.05
45,40,30,52646,1522,125,44.8,375.7,3.01
15,30,20,52646,1599,158,39.9,361.45,2.29
60,30,20,52646,2993,246,41.9,322.58,1.31
45,30,10,52646,2497,261,30.7,242.53,0.93
60,30,10,52646,2623,267,30.0,230.56,0.86
15,40,15,52646,858,130,32.3,208.44,1.6
15,15,10,52646,4889,684,35.7,190.9,0.28
30,30,20,52646,2078,209,40.2,185.63,0.89
60,20,10,52646,4987,468,30.6,177.49,0.38
60,40,10,52646,1699,186,27.4,162.63,0.87
30,40,25,52646,1069,103,38.8,147.56,1.43
60,40,15,52646,1867,181,34.3,145.03,0.8
15,40,25,52646,788,103,38.8,141.8,1.38
60,40,25,52646,1993,152,42.8,136.99,0.9
60,20,15,52646,5764,468,37.4,123.07,0.26
45,40,20,52646,1587,142,38.7,104.7,0.74
45,40,25,52646,1539,138,41.3,95.91,0.69
30,30,10,52646,2058,251,27.9,95.14,0.38
30,40,30,52646,1043,96,37.5,89.42,0.93
60,40,20,52646,1985,157,41.4,88.22,0.56
15,30,15,52646,1562,188,34.0,87.29,0.46
30,40,10,52646,1211,179,23.5,75.8,0.42
45,40,15,52646,1531,164,32.3,71.8,0.44
45,30,20,52646,2737,232,40.5,34.24,0.15
45,40,10,52646,1495,189,23.3,31.73,0.17
30,40,20,52646,1072,120,31.7,15.65,0.13
30,20,15,52646,4597,452,37.2,15.19,0.03
60,30,15,52646,2753,260,34.2,14.01,0.05
15,20,15,52646,3246,374,37.7,4.97,0.01
30,30,25,52646,2113,188,42.0,-0.6,-0.0
60,40,30,52646,1953,145,40.7,-7.16,-0.05
45,20,15,52646,5241,451,38.6,-11.22,-0.02
30,30,15,52646,2003,217,33.2,-17.29,-0.08
45,30,25,52646,2712,227,42.3,-45.48,-0.2
15,20,10,52646,3404,480,31.9,-54.37,-0.11
15,30,25,52646,1499,150,40.7,-72.64,-0.48
45,30,15,52646,2624,252,34.9,-79.46,-0.32
30,20,10,52646,4451,494,30.8,-195.22,-0.4
60,30,25,52646,2944,243,39.5,-213.05,-0.88
30,15,10,52646,6260,653,33.4,-221.6,-0.34
60,15,10,52646,7461,645,33.0,-270.01,-0.42
45,20,10,52646,4657,457,28.0,-292.1,-0.64
45,15,10,52646,6892,678,33.3,-323.52,-0.48
15,30,10,52646,1715,250,21.6,-381.8,-1.53
