rise,drop,pattern_bars,signals,trades,win_rate,net_pnl,avg_pnl
15,10,80665,2497,348,35.3,1096.35,3.15
15,5,108440,2514,348,35.3,1090.56,3.13
15,8,91967,2509,348,35.3,1088.18,3.13
15,12,70921,2475,348,35.3,1075.74,3.09
30,10,37881,1714,241,36.1,1044.95,4.34
30,5,49148,1731,241,36.1,1039.16,4.31
30,8,42794,1726,241,36.1,1036.78,4.3
35,10,29801,1476,215,37.2,1031.69,4.8
35,5,38198,1493,215,37.2,1025.07,4.77
30,12,33504,1692,241,36.1,1024.34,4.25
35,8,33519,1488,215,37.2,1022.69,4.76
35,12,26492,1462,214,36.9,1008.35,4.71
25,10,48504,1902,266,36.1,996.23,3.75
25,5,63661,1919,266,36.1,990.44,3.72
15,15,58951,2432,345,34.8,989.07,2.87
25,8,54975,1914,266,36.1,988.06,3.71
20,10,61801,2185,299,35.1,982.08,3.28
20,5,82465,2202,299,35.1,976.29,3.27
25,12,42741,1880,266,36.1,975.62,3.67
20,8,70352,2197,299,35.1,973.91,3.26
20,12,54208,2163,299,35.1,961.47,3.22
30,15,28220,1649,238,35.3,937.67,3.94
35,15,22401,1425,211,36.0,902.45,4.28
25,15,35848,1837,263,35.4,888.95,3.38
20,15,45112,2120,296,34.5,874.8,2.96
15,20,44494,2372,341,34.0,850.56,2.49
35,20,17552,1385,208,35.1,805.3,3.87
15,30,27959,2319,333,33.9,803.57,2.41
30,20,22099,1589,234,34.2,799.16,3.42
15,25,34803,2355,338,33.7,795.35,2.35
25,20,27680,1777,259,34.4,750.44,2.9
30,25,17801,1574,231,33.8,743.95,3.22
30,30,14790,1552,228,34.2,740.79,3.25
20,20,34375,2060,292,33.6,736.29,2.52
35,30,11958,1358,203,35.0,735.51,3.62
35,25,14257,1372,206,34.5,735.21,3.57
25,30,18271,1733,251,34.7,733.38,2.92
25,25,22296,1761,256,34.0,695.23,2.72
20,25,27487,2044,289,33.2,681.08,2.36
20,30,22473,2010,285,33.3,674.3,2.37
45,10,19563,1069,176,34.7,622.53,3.54
45,5,24502,1079,176,34.7,615.69,3.5
45,8,21899,1074,176,34.7,613.31,3.48
45,12,17369,1064,176,34.7,604.27,3.43
50,5,19622,900,168,35.1,545.66,3.25
50,8,17632,895,168,35.1,543.28,3.23
45,20,11961,1010,173,34.1,542.56,3.14
45,15,14811,1043,174,33.9,535.12,3.08
40,5,30499,1260,196,32.7,530.1,2.7
50,10,15857,891,167,34.7,529.81,3.17
40,8,27102,1255,196,32.7,527.72,2.69
50,12,14281,888,167,34.7,511.55,3.06
40,10,24211,1249,195,32.3,506.94,2.6
40,12,21472,1244,195,32.3,488.68,2.51
45,25,9885,999,171,33.3,475.7,2.78
50,20,10178,844,165,34.5,475.29,2.88
50,15,12378,877,166,34.3,469.43,2.83
40,15,18066,1222,194,32.0,447.7,2.31
45,30,8485,991,169,33.1,441.75,2.61
40,20,14343,1185,193,31.6,410.84,2.13
50,30,7303,830,161,33.5,383.45,2.38
50,25,8493,835,162,33.3,381.22,2.35
40,30,9937,1162,188,31.4,370.8,1.97
40,25,11709,1174,191,30.9,343.98,1.8
