horizon,tp,sl,trades,win_rate,net_pnl,avg_pnl
60,30,15,97,46.4,747.74,7.71
45,30,15,97,45.4,743.68,7.67
45,40,15,93,44.1,731.69,7.87
30,40,15,94,45.7,729.24,7.76
60,30,25,84,56.0,727.11,8.66
30,30,15,97,46.4,721.36,7.44
45,45,15,90,43.3,716.1,7.96
60,30,20,88,52.3,713.14,8.1
60,40,25,78,51.3,704.0,9.03
30,40,25,81,55.6,698.44,8.62
45,30,25,84,54.8,692.01,8.24
60,40,15,91,41.8,690.51,7.59
45,30,20,88,51.1,689.96,7.84
60,45,25,75,49.3,689.41,9.19
60,45,15,87,40.2,685.92,7.88
30,40,20,85,51.8,681.01,8.01
45,40,25,80,53.8,680.48,8.51
30,30,25,84,56.0,678.87,8.08
30,30,20,88,52.3,676.44,7.69
60,40,20,82,47.6,675.03,8.23
45,45,25,78,52.6,672.3,8.62
45,40,20,84,50.0,663.43,7.9
15,30,15,97,48.5,662.48,6.83
30,45,15,91,45.1,662.27,7.28
60,45,20,79,45.6,655.44,8.3
45,45,20,82,48.8,650.25,7.93
60,40,30,75,56.0,647.51,8.63
15,40,15,94,47.9,646.27,6.88
45,40,30,76,56.6,642.44,8.45
45,45,30,74,55.4,634.26,8.57
60,45,30,72,54.2,632.92,8.79
15,30,20,88,53.4,630.82,7.17
30,40,30,78,57.7,627.79,8.05
30,45,25,79,54.4,614.15,7.77
15,45,15,91,47.3,613.22,6.74
30,45,20,83,50.6,605.22,7.29
15,40,20,85,52.9,599.31,7.05
15,30,25,85,55.3,597.89,7.03
60,20,15,108,51.9,596.43,5.52
45,20,15,108,50.0,584.21,5.41
30,40,10,124,31.5,577.79,4.66
15,45,20,83,51.8,571.56,6.89
15,40,25,82,54.9,571.38,6.97
45,40,10,123,30.9,563.62,4.58
15,40,30,78,59.0,557.74,7.15
30,20,15,108,51.9,552.96,5.12
45,30,10,127,32.3,552.68,4.35
15,20,15,108,52.8,550.41,5.1
30,30,10,127,32.3,545.49,4.3
15,45,25,80,53.8,543.63,6.8
30,45,30,76,56.6,543.5,7.15
45,45,10,120,30.0,543.03,4.53
60,30,10,127,31.5,536.99,4.23
15,45,30,76,57.9,529.99,6.97
60,40,10,121,28.1,521.37,4.31
60,45,10,117,26.5,511.78,4.37
30,45,10,121,30.6,505.82,4.18
15,30,10,129,34.9,470.06,3.64
15,40,10,126,34.1,456.22,3.62
15,45,10,123,33.3,436.89,3.55
60,20,10,143,36.4,352.33,2.46
45,20,10,143,36.4,348.94,2.44
30,20,10,143,36.4,314.58,2.2
15,20,10,144,38.2,314.47,2.18
45,15,10,167,39.5,204.6,1.23
60,15,10,167,39.5,195.02,1.17
15,15,10,168,41.1,193.3,1.15
30,15,10,167,39.5,192.0,1.15
