horizon,tp,sl,pattern_bars,signals,trades,win_rate,net_pnl,avg_pnl
30,45,30,37881,512,62,67.7,922.09,14.87
45,40,30,37881,1477,116,51.7,913.55,7.88
60,40,15,37881,1513,232,38.4,900.42,3.88
30,40,30,37881,764,84,57.1,817.47,9.73
60,40,30,37881,1483,125,48.8,815.37,6.52
45,45,30,37881,874,73,57.5,810.13,11.1
30,40,25,37881,687,83,53.0,809.37,9.75
45,40,25,37881,1387,129,47.3,792.76,6.15
60,40,20,37881,1464,168,43.5,786.21,4.68
15,20,15,37881,2370,504,43.5,751.47,1.49
15,30,25,37881,529,120,53.3,745.03,6.21
30,45,25,37881,538,72,55.6,730.16,10.14
30,30,25,37881,1239,172,49.4,725.96,4.22
60,40,25,37881,1572,153,41.8,713.25,4.66
45,45,25,37881,883,80,47.5,694.03,8.68
45,40,20,37881,1230,146,44.5,682.4,4.67
30,40,20,37881,693,99,46.5,677.34,6.84
15,30,10,37881,494,181,38.1,635.13,3.51
60,45,30,37881,1005,94,50.0,625.49,6.65
15,30,15,37881,598,162,43.2,612.85,3.78
30,30,20,37881,1172,192,49.0,603.84,3.15
15,20,10,37881,2004,596,39.1,599.85,1.01
60,45,25,37881,1010,106,45.3,594.93,5.61
15,40,20,37881,142,48,54.2,572.26,11.92
30,40,15,37881,623,114,41.2,568.67,4.99
15,45,20,37881,67,22,72.7,562.18,25.55
45,45,10,37881,875,167,32.9,560.53,3.36
60,30,10,37881,1730,436,33.3,545.31,1.25
45,40,15,37881,1222,184,41.8,533.52,2.9
15,45,30,37881,64,19,73.7,531.87,27.99
15,30,20,37881,567,127,45.7,530.77,4.18
45,30,15,37881,1495,290,40.0,518.57,1.79
45,45,20,37881,978,97,45.4,515.74,5.32
60,30,15,37881,2074,370,35.7,515.3,1.39
30,45,20,37881,432,76,47.4,510.13,6.71
30,40,10,37881,641,158,36.7,506.33,3.2
45,30,20,37881,1557,246,42.3,505.04,2.05
30,30,15,37881,1226,256,40.6,485.43,1.9
60,45,10,37881,752,231,30.7,466.61,2.02
60,45,20,37881,1000,130,42.3,465.81,3.58
60,40,10,37881,1172,276,35.9,458.16,1.66
15,40,15,37881,148,55,41.8,446.77,8.12
15,45,25,37881,59,20,70.0,444.26,22.21
45,40,10,37881,1320,287,34.1,409.85,1.43
60,30,20,37881,2228,334,41.9,405.2,1.21
15,40,10,37881,130,63,41.3,402.07,6.38
30,45,15,37881,418,75,38.7,398.22,5.31
60,45,15,37881,940,159,37.1,396.88,2.5
15,45,15,37881,61,22,59.1,396.19,18.01
15,40,25,37881,130,39,53.8,338.29,8.67
30,45,10,37881,319,94,31.9,325.77,3.47
45,45,15,37881,896,111,36.0,303.0,2.73
60,30,25,37881,2353,291,42.3,288.07,0.99
30,30,10,37881,1021,299,36.1,264.26,0.88
15,45,10,37881,68,33,39.4,255.68,7.75
45,30,25,37881,1673,210,44.3,210.89,1.0
15,40,30,37881,145,44,47.7,209.95,4.77
45,30,10,37881,1316,357,30.0,75.91,0.21
45,20,15,37881,5340,719,37.4,-76.1,-0.11
15,15,10,37881,4811,1252,35.5,-182.09,-0.15
30,20,15,37881,4268,687,38.0,-426.54,-0.62
45,15,10,37881,5778,1012,34.7,-462.39,-0.46
60,15,10,37881,6531,1123,35.1,-529.68,-0.47
45,20,10,37881,4252,846,31.9,-538.86,-0.64
60,20,15,37881,5527,675,36.4,-555.46,-0.82
30,20,10,37881,3465,786,31.7,-572.18,-0.73
60,20,10,37881,5038,900,32.1,-583.92,-0.65
30,15,10,37881,4973,918,34.0,-705.66,-0.77
