horizon,tp,sl,pattern_bars,signals,trades,win_rate,net_pnl,avg_pnl
45,40,30,37881,1477,92,54.3,995.27,10.82
30,45,30,37881,512,56,67.9,953.21,17.02
45,40,25,37881,1387,94,51.1,927.85,9.87
60,40,30,37881,1483,100,53.0,896.99,8.97
15,30,25,37881,529,107,57.0,878.95,8.21
60,40,15,37881,1513,133,33.8,870.27,6.54
45,45,30,37881,874,61,57.4,846.35,13.87
30,30,25,37881,1239,140,53.6,826.15,5.9
60,45,30,37881,1005,75,52.0,821.16,10.95
60,40,25,37881,1572,111,44.1,820.1,7.39
45,40,15,37881,1222,104,39.4,799.32,7.69
45,40,20,37881,1230,102,43.1,785.89,7.7
30,40,30,37881,764,74,58.1,780.05,10.54
15,30,15,37881,598,124,45.2,771.84,6.22
45,45,25,37881,883,65,49.2,720.95,11.09
60,40,20,37881,1464,115,40.9,713.39,6.2
30,40,25,37881,687,73,54.8,702.29,9.62
30,45,25,37881,538,64,53.1,687.5,10.74
15,20,15,37881,2370,382,42.7,686.88,1.8
45,45,10,37881,875,102,25.5,665.17,6.52
45,45,20,37881,978,71,46.5,662.0,9.32
60,45,25,37881,1010,78,43.6,659.08,8.45
15,30,10,37881,494,149,33.6,647.19,4.34
30,45,20,37881,432,61,45.9,630.8,10.34
30,40,20,37881,693,79,48.1,626.05,7.92
45,30,15,37881,1495,206,37.9,624.34,3.03
60,45,10,37881,752,148,20.9,603.26,4.08
30,30,15,37881,1226,176,36.9,595.43,3.38
30,40,10,37881,641,101,32.7,590.25,5.84
60,40,10,37881,1172,169,22.5,568.53,3.36
15,45,20,37881,67,22,72.7,548.73,24.94
60,45,15,37881,940,96,31.2,542.66,5.65
15,45,30,37881,64,19,73.7,531.87,27.99
60,45,20,37881,1000,82,37.8,528.96,6.45
45,40,10,37881,1320,153,24.2,517.99,3.39
15,40,10,37881,130,63,44.4,515.58,8.18
60,30,15,37881,2074,276,34.8,513.21,1.86
30,40,15,37881,623,86,40.7,508.18,5.91
45,45,15,37881,896,74,32.4,503.28,6.8
15,40,20,37881,142,46,54.3,501.59,10.9
30,30,20,37881,1172,144,45.1,484.49,3.36
15,30,20,37881,567,103,45.6,479.19,4.65
30,45,15,37881,418,58,39.7,471.68,8.13
15,45,25,37881,59,20,70.0,437.87,21.89
60,30,10,37881,1730,317,26.5,427.09,1.35
15,40,15,37881,148,53,45.3,426.54,8.05
15,45,10,37881,68,34,50.0,421.46,12.4
30,45,10,37881,319,67,29.9,409.56,6.11
15,45,15,37881,61,21,61.9,407.51,19.41
45,30,20,37881,1557,186,41.4,359.26,1.93
60,30,20,37881,2228,262,40.5,353.93,1.35
15,20,10,37881,2004,461,32.8,307.49,0.67
15,40,25,37881,130,39,53.8,289.81,7.43
45,30,25,37881,1673,159,47.2,284.14,1.79
30,30,10,37881,1021,211,29.4,260.64,1.24
15,40,30,37881,145,41,51.2,222.89,5.44
60,30,25,37881,2353,240,43.3,115.14,0.48
45,30,10,37881,1316,253,23.7,79.59,0.31
45,20,15,37881,5340,501,36.5,-80.18,-0.16
45,15,10,37881,5778,697,34.4,-137.0,-0.2
15,15,10,37881,4811,919,34.1,-208.83,-0.23
60,15,10,37881,6531,732,32.1,-470.23,-0.64
45,20,10,37881,4252,563,26.8,-486.16,-0.86
30,15,10,37881,4973,637,32.2,-504.68,-0.79
60,20,15,37881,5527,482,34.2,-552.06,-1.15
30,20,15,37881,4268,515,36.1,-569.44,-1.11
30,20,10,37881,3465,566,27.2,-579.85,-1.02
60,20,10,37881,5038,560,24.8,-608.26,-1.09
