Horizon,TP,SL,Trades,WinRate,NetPnL
15,15,10,2187,38.8,853.0
15,30,10,530,32.1,573.7
15,30,15,416,36.1,212.2
15,30,25,361,44.3,326.2
15,45,10,119,31.9,18.5
15,45,15,100,36.0,-80.7
15,45,25,114,40.4,-271.8
30,15,10,2352,38.1,336.3
30,30,10,795,31.1,741.6
30,30,15,660,38.9,1120.3
30,30,25,497,48.5,707.1
30,45,10,325,29.8,590.1
30,45,15,306,37.9,629.4
30,45,25,254,48.0,577.8
45,15,10,2428,37.4,-74.4
45,30,10,867,30.3,665.1
45,30,15,771,38.0,841.6
45,30,25,621,45.4,110.5
45,45,10,340,26.8,394.8
45,45,15,300,34.7,512.0
45,45,25,268,40.3,-250.8
